auc_roc,0.4845489088402435,0.469148256498201,0.4868859073943307,0.5197888294831703,0.5155855946736608,0.48945828709775047,0.4999159353038098,0.5274219038972393,0.5254716029456269,0.49773025320286496,0.525975991122768,0.5030767678805609,0.48064830693701865,0.5366017687212078,0.542519923332997,0.5378123003463465,0.5064393557281684,0.559013416725512,0.47160294562695443,0.5152829617673762,0.5974814217021419,0.6275597699989912,0.5330710514812199,0.6385554322606678,0.5905040519183564,0.6035508927670736,0.6204983355190153,0.5873095934631292,0.6774941995359629,0.6597061098221191,0.6917011331921047,0.6731564612125492,0.6862369279397424,0.6110494636672383,0.6233060963717678,0.6110830895457143,0.5635360973805441,0.5941356467937725,0.6399004673997108,0.6228185211338645,0.6285517334140354,0.6107804566394298,0.6224486364706278,0.6322842059248798,0.6342176939372541,0.631493997780692,0.6217593059618682,0.6821345707656613,0.643599314032079,0.6210531625138707,0.6142102962439894,0.6949124045865699,0.49406503244897276,0.526362688725243,0.5401156730219577,0.5370052792629206,0.567907461582434,0.7615588957261509,0.7129358754497461,0.6941390093816202,0.7284374054272167,0.5083224049228285,0.7137092706546959,0.7190557853323919,0.7793637983792325,0.7311274757053028,0.7389623053902283,0.6280305322976564,0.7872826927603485,0.7756145129291503,0.7300850734725445,0.7590369548404452,0.772823565015636,0.7138774000470762,0.6362688725242946,0.6322337671071657,0.7037223847473014,0.7925619556810922,0.78983825952453,0.714213658831837,0.7358350986919533,0.7804566394297052,0.7033861259625407,0.7296815629308316,0.7313292309761592,0.7233262718988533,0.766972662160799,0.7977067150879317,0.6922895860654359,0.7537576919197014,0.7046639093446316,0.6958539291838999,0.7810955311207506,0.763441944920811,0.7099767981438515,0.6748041292578768,0.6966609502673258,0.7096741652375669,0.6956185480345674,0.7396011970812738
auc_pr,0.14388617744922277,0.149722701856668,0.1644740352587337,0.1789828973182232,0.16879589713925014,0.16611865097274936,0.1790915923927367,0.1884816081134537,0.1870421319645117,0.18283949723596582,0.1880033241609552,0.18327570957433675,0.18387824708586203,0.19143493145950014,0.20384500823972015,0.20790494679231292,0.20121783199571347,0.2317981449742792,0.21116531112897285,0.1680318967953523,0.20233887683059287,0.21713026947592737,0.18768584348339734,0.2458753126589224,0.23620565460624615,0.2423863222793691,0.25443883052219396,0.2707300955897243,0.29945002686232614,0.28665962705536224,0.3152021216893686,0.3023938775708858,0.30869362780843307,0.29366257531189194,0.297175386071158,0.2962002685762619,0.2854318677372174,0.2908123583517397,0.308822320051395,0.3127645456948343,0.3335799313391333,0.33066754089576195,0.218296244040988,0.24240992128246414,0.2670270398064679,0.2691457184363828,0.2762072346399714,0.2854488619435588,0.26582843196528455,0.27864560776757885,0.28926960244232647,0.3004665729040591,0.22311899243102487,0.2679981995346541,0.2710960666762402,0.2622188420329511,0.27239277713175813,0.4444836622918667,0.3991850942202222,0.34009338399526634,0.3848291110807426,0.24879377250853246,0.36248497958141457,0.35354669351757245,0.495933616491303,0.44994156992976564,0.44510576319336326,0.3512106222489247,0.4735871636788528,0.4673466919924174,0.42571235662545787,0.44917017366236045,0.4633124070627833,0.4250816404993671,0.373382698029684,0.3944983948802207,0.4409736241788876,0.4903908940990841,0.5491337161398235,0.5185146612719627,0.49904867954062865,0.5652420799652135,0.5092402718847394,0.4953962028522583,0.47394797765610897,0.4672181683662643,0.5667521483076144,0.5656001420101812,0.4972628207449335,0.5594793317408892,0.5108239599107773,0.5033194058902752,0.5461379926259275,0.5779311547855118,0.5329310284126446,0.5153081906066438,0.5176212704150324,0.5128815378079865,0.4670127401144842,0.4804003637560569
auc_roc_bag,0.24999999999999997,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.39583333333333337,0.4583333333333333,0.47916666666666663,0.7083333333333334,0.6666666666666666,0.5416666666666667,0.5833333333333333,0.5,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8541666666666667,0.9166666666666667,0.6666666666666667,0.5833333333333333,0.5833333333333333,0.5,0.5833333333333333,0.5,0.5833333333333334,0.8958333333333334,0.75,0.9166666666666667,0.6666666666666667,0.5833333333333333,0.5,0.9166666666666667,0.75,0.7500000000000001,0.6875,0.875,0.75,0.75,0.8333333333333334,0.75,0.5833333333333333,0.9166666666666667,0.9583333333333334,0.8333333333333334,0.5,0.75,0.6666666666666667,0.75,0.9166666666666667,0.75,0.75,0.6666666666666667,0.9166666666666667,1.0,0.9166666666666667,0.9583333333333334,0.9166666666666667,0.75,0.5833333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666667,0.5,0.5833333333333333
auc_pr_bag,0.27281746031746035,0.5476686507936508,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.43918650793650793,0.5350198412698413,0.6180555555555556,0.6702380952380953,0.7024305555555557,0.6381448412698413,0.7222222222222222,0.7,0.7222222222222222,0.7222222222222222,0.7,0.75,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8145833333333333,0.9,0.75,0.7222222222222222,0.7222222222222222,0.7,0.7222222222222222,0.7,0.6517857142857143,0.85,0.7464285714285714,0.9,0.75,0.7222222222222222,0.7,0.9,0.7857142857142857,0.6708333333333334,0.6964285714285714,0.7875,0.7857142857142857,0.7857142857142857,0.8333333333333333,0.7857142857142857,0.7222222222222222,0.9083333333333333,0.94375,0.8333333333333333,0.7,0.7857142857142857,0.75,0.7857142857142857,0.9083333333333333,0.7857142857142857,0.7857142857142857,0.75,0.9,1.0,0.9,0.94375,0.9,0.7857142857142857,0.7222222222222222,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.7222222222222222
Date,2024-05-19
Time,63192.095535993576
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,4.741572970241288e-06,1.5637667720826245e-05,2.1130424591553644e-05,1.0921065014230784e-05,8.102906062065163e-06
Rewards bag 1,5.76327749258753e-06,1.691247672517603e-05,2.5401027143747048e-05,9.397591672721746e-06,1.0038917849950454e-05,1.3546541813132846e-05,1.0089105016603686e-05,1.9355149900198133e-05,1.8209712495847347e-05
Rewards bag 2,8.76900373523492e-06,1.4436233381583641e-05,2.4686889433081514e-05,1.7069694234148828e-05,2.24395161739339e-05,2.5494715179992627e-05,2.5400759475333353e-06,2.2274523803791374e-06,1.8358612036955878e-05,9.145626250503888e-07
Rewards bag 3,9.68601011207477e-06,1.2386350296817394e-05,1.4642654286474297e-05,1.0287402184299353e-05,1.5612836750089548e-05,1.5387214249285885e-05,2.638715127722506e-05,1.6641904642679068e-05,8.242972139652232e-06,3.849904923028906e-06,2.0759664608854743e-06
Rewards bag 4,7.791183222877656e-06,1.4597329437302139e-05,1.8043390445861037e-05,1.3084403928389032e-05,1.6775209746625058e-05,1.343945055559219e-05,2.200468115338122e-06,9.892144439487077e-06
Rewards bag 5,1.3892277189673907e-05,1.2169121484228752e-05,1.9773979871842776e-05,7.889967358976135e-06,2.1545339156265505e-05,1.1610203748371362e-05,3.1051806140504956e-06,2.098571244437797e-05,4.133679282080227e-06
Rewards bag 6,1.3762918115362393e-05,1.2589612096346523e-05,7.93808492955906e-06,5.043636595173068e-06,2.1635101016970203e-06
Rewards bag 7,1.2661856498689051e-05,1.180937828287804e-05,1.6771623306909507e-05,1.8595280180088532e-05,2.4153802880109727e-05,2.0446538532359813e-05,6.071279628233102e-06,2.506953587828339e-05,1.874035005579853e-05,2.315644223898159e-05,2.2715151338728308e-05,7.94170884616208e-06,1.4483557035419437e-05,4.413418983523685e-06,2.353564558070973e-05,2.3830191030428096e-05,1.8551174520801713e-05,1.1224792657191493e-05,1.2203957498764676e-05,3.3662556920016607e-06,1.529089786982142e-05
Rewards bag 8,1.558152553251956e-05,2.0418253267382798e-05,1.755138725495165e-05,1.406937633903687e-05,2.6461403438704583e-05,1.0460666905384136e-05,1.4725322473023438e-05,2.248079767384553e-05,1.838712973998115e-05,1.2310585244545177e-05,4.660861011899582e-06,1.2697777800145763e-05,1.1272100837583785e-05
Rewards bag 9,1.622643750236475e-05,2.0150492784821902e-05,2.1249386464881618e-05,1.4019669033701505e-05,2.0097897642365655e-05,2.28993976961974e-06,1.4330655087119644e-05,1.0043773496434238e-05
Prob contr bag 0,0.0474157297024181,0.15637667720827966,0.2113042459155597,0.10921065014231987,0.08102906062066055
Align contr bag 0,1.0941838986584836e-229,0.0,0.0,0.0,0.0
Prob contr bag 1,0.05763277492588165,0.16912476725177894,0.25401027143749844,0.09397591672722781,0.10038917849951559,0.13546541813134338,0.10089105016604796,0.19355149900200264,0.18209712495849353
Align contr bag 1,7.222406014247384e-177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 2,0.08769003735235886,0.1443623338158523,0.24686889433084233,0.1706969423415071,0.22439516173936372,0.25494715179995436,0.02540075947533615,0.022274523803793828,0.183586120369579,0.009145626250504895
Align contr bag 2,2.0400223796650613e-281,0.0,2.5082700551395912e-225,2.5082700551395912e-225,1.1776635028558705e-277,1.1776635028558705e-277,0.0,0.0,0.0,0.0
Prob contr bag 3,0.09686010112075838,0.12386350296818759,0.1464265428647591,0.10287402184300486,0.15612836750091266,0.15387214249287579,0.26387151277227966,0.16641904642680902,0.08242972139653139,0.038499049230293306,0.020759664608857028
Align contr bag 3,3.326995027882372e-185,0.0,0.0,0.0,3.1042766633744696e-178,3.646680023373911e-163,3.646680023282265e-163,5.884814134041279e-169,5.884905783849403e-169,3e-323,0.0
Prob contr bag 4,0.07791183222878514,0.14597329437303747,0.18043390445863022,0.13084403928390473,0.16775209746626904,0.1343945055559367,0.022004681153383644,0.09892144439488167
Align contr bag 4,9.541597809476365e-164,0.0,0.0,0.0,0.0,3.311101435589611e-235,3.311101435589611e-235,0.0
Prob contr bag 5,0.13892277189675437,0.12169121484230093,0.19773979871844954,0.07889967358977004,0.2154533915626788,0.11610203748372641,0.031051806140508377,0.2098571244438028,0.04133679282080682
Align contr bag 5,3.317819088204179e-188,0.0,0.0,0.0,0.0,0.0,0.0,7.935988730791449e-185,7.935988730791449e-185
Prob contr bag 6,0.1376291811536391,0.1258961209634791,0.07938084929559934,0.05043636595173623,0.021635101016972583
Align contr bag 6,1.1569634445143563e-192,0.0,0.0,0.0,0.0
Prob contr bag 7,0.12661856498690446,0.1180937828287934,0.16771623306911354,0.1859528018009058,0.24153802880112388,0.20446538532362066,0.0607127962823377,0.25069535878286153,0.18740350055800595,0.2315644223898414,0.2271515133873081,0.07941708846162954,0.14483557035421032,0.044134189835241706,0.23535645580712322,0.23830191030430722,0.18551174520803757,0.1122479265719273,0.1220395749876602,0.03366255692002031,0.15290897869823106
Align contr bag 7,3.848514893313173e-192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8018506109724926e-285,1.8018506109724926e-285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 8,0.15581525532521276,0.20418253267385048,0.17551387254953582,0.1406937633903842,0.264614034387075,0.10460666905385288,0.1472532247302506,0.22480797673848005,0.18387129739983177,0.12310585244546533,0.04660861011900095,0.12697777800147161,0.11272100837585027
Align contr bag 8,2.1320941671725517e-172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 9,0.16226437502366536,0.2015049278482412,0.21249386464883957,0.1401966903370305,0.20097897642367868,0.022899397696199923,0.14330655087121222,0.10043773496435345
Align contr bag 9,7.367472875934456e-176,1.4391796571045758e-166,1.4391796571045758e-166,0.0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
