auc_roc,0.35713517775229353,0.35953626720183485,0.36079056766055045,0.3620090309633027,0.3649118405963302,0.3872742259174312,0.38526734518348627,0.3874534116972477,0.3440187786697248,0.3372097190366972,0.3384640194954128,0.3403633887614679,0.34143850344036697,0.3424061066513761,0.34588231077981646,0.35423236811926606,0.35448322821100914,0.35831780389908263,0.5052501433486238,0.4964700401376147,0.5002329415137614,0.503243262614679,0.5046050745412844,0.506217746559633,0.5314829415137614,0.5394387901376145,0.5381486525229358,0.6516090883027522,0.5724448107798166,0.5444918291284404,0.5494731938073395,0.5535944667431193,0.5549562786697247,0.5566047878440367,0.5584324827981652,0.5609410837155963,0.5626612672018348,0.5643456135321101,0.5654565653669724,0.5670334002293578,0.5772469896788991,0.5791105217889908,0.5847369552752293,0.5864929759174312,0.5875322534403671,0.5901842029816513,0.5928719896788991,0.5963481938073394,0.6022254873853211,0.6037306479357798,0.6062750860091742,0.6090703841743119,0.6106472190366972,0.6122598910550459,0.6135858658256881,0.6173129300458715,0.619140625,0.6211116685779816,0.6239786410550459,0.6263080561926606,0.6263438933486238,0.6198932052752293,0.6162736525229358,0.6173129300458716,0.620215739678899,0.626128870412844,0.6283149369266056,0.6306443520642202,0.6337621846330276,0.6355182052752293,0.6522183199541284,0.6532575974770642,0.6560528956422019,0.6574863818807339,0.6579164277522935,0.6584539850917431,0.6589915424311926,0.6606042144495412,0.6617868405963303,0.6628977924311927,0.664116255733945,0.6654063933486238,0.6668040424311927,0.6679866685779816,0.6704594323394495,0.7225666571100917,0.7244660263761468,0.6986632740825688,0.6994875286697247,0.7008493405963303,0.7032504300458715,0.7686532396788991,0.769585005733945,0.7700867259174312,0.8013367259174311,0.8150265194954128,0.814811496559633,0.8173917717889908,0.8226598337155963,0.8341277236238532
auc_pr,0.09292121055978457,0.09331495061673334,0.0935496291610452,0.09378304965676187,0.09434868032381638,0.09735799565416575,0.09703806564650748,0.0974827679937325,0.09074247474842077,0.08988826481459751,0.09007823067576062,0.09038816221455781,0.09057473791715935,0.09074771901936553,0.0914007660132159,0.09235840210872726,0.09239317704078025,0.0931126410643361,0.12393965709276988,0.12059582131436328,0.12156142463302252,0.12219843721099287,0.12274450834522388,0.1234647343766285,0.13724552080546853,0.13841898089275673,0.13548735634929482,0.18652644054923703,0.14898897453871066,0.13626615757479413,0.1377257358310301,0.14346400024776168,0.14425839057517686,0.14578700236524927,0.14690906052089509,0.1474865422915304,0.14800390406582403,0.14858701289052673,0.14883963332922256,0.14929191261137256,0.15172062075601744,0.15228933669922812,0.15564703327835896,0.15687883523257345,0.16217440163214594,0.16258476575904024,0.16405994220822312,0.1654850673706234,0.1749575991133809,0.17543461222602516,0.17614316152543275,0.18449867484787558,0.18508965396389437,0.18569411092921354,0.1858669935084375,0.19326633755572706,0.1939397229199177,0.20283599363264435,0.20449272823647596,0.20515617412100304,0.20029601214417847,0.19769363112938804,0.19663204632546957,0.19686974986944805,0.2038540549349683,0.20923505716593785,0.2103776681234236,0.2119869219276373,0.21395338705239658,0.21507388610848865,0.21875390743463266,0.21903233117314638,0.219702390731343,0.22000348920073762,0.2201058710800403,0.2202223411580422,0.22029873806601072,0.22116125463336583,0.2229532842276958,0.22498850064273382,0.22688784573215257,0.22891428999146124,0.2306929980639363,0.23089536795910018,0.24038615137420008,0.2764922198743558,0.27884994605330676,0.2557622591025561,0.25606198802281976,0.2559934721474191,0.2594085821068279,0.3265672692526088,0.3350687265785295,0.33804787949718634,0.39700652889307925,0.43271555742062706,0.4349747321894307,0.44550457964915086,0.45056896739546304,0.49436689068108397
auc_roc_bag,0.48,0.48,0.48,0.48,0.48,0.5599999999999999,0.6,0.6,0.56,0.6000000000000001,0.6000000000000001,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.5599999999999999,0.6,0.6,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.6,0.68,0.6,0.6399999999999999,0.6399999999999999,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.7200000000000001,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.84,0.84,0.8,0.8,0.8,0.8,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.8,0.8
auc_pr_bag,0.6030555555555555,0.6030555555555555,0.6030555555555555,0.6030555555555555,0.6030555555555555,0.6250793650793651,0.6567460317460316,0.6567460317460316,0.6456349206349206,0.6599206349206348,0.6599206349206348,0.6456349206349206,0.6456349206349206,0.6456349206349206,0.6456349206349206,0.6456349206349206,0.6456349206349206,0.6456349206349206,0.6250793650793651,0.6393650793650794,0.6393650793650794,0.6250793650793651,0.6250793650793651,0.6250793650793651,0.6250793650793651,0.6250793650793651,0.6567460317460316,0.6905555555555556,0.6567460317460316,0.671031746031746,0.671031746031746,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.6905555555555556,0.7046428571428571,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.723095238095238,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8647619047619046,0.8647619047619046,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8064285714285713,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.7514285714285713,0.7514285714285713
Date,2024-05-20
Time,225.34332537651062
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
seed,0
Rewards bag 0,8.345158305002435e-07,3.159649028402876e-06,2.6814261555828493e-06,1.1113566608197375e-06,8.365961354921408e-07,3.846791214828925e-06,9.8651210196793e-07,1.3221272873010332e-06,1.0332689170031657e-06,5.327142876611032e-07
Rewards bag 1,7.888349798645974e-07,2.758081664173814e-06,1.383753563608258e-06,7.977817528663161e-07,3.7113551878859714e-06,4.21398696962569e-06,1.1705928334239444e-06,8.08162682158165e-07,8.766052147886832e-07,1.0870362968131136e-06,1.1839363434262962e-06
Rewards bag 2,9.909600723792413e-07,3.0174449139818584e-06,2.389645236004008e-06,1.4883055747497829e-06,2.161424464641972e-06,5.877146123656472e-06,8.320946215063242e-07,1.4599519542839161e-06,6.999276342214618e-07,6.037401635563601e-07,5.894055019622202e-07
Rewards bag 3,2.2224665769729476e-06,4.2263884370948924e-06,5.562445304208891e-06,2.133257021933405e-06,1.3594108206787427e-06,1.203698441355674e-06,8.262039115796278e-07,1.5362978052234854e-06
Rewards bag 4,7.15811495244012e-06,2.291103618571882e-06,4.352745823650759e-06,8.768586921291497e-07,1.8402505149052898e-06,1.7387024811755082e-06,7.383014902725964e-07,8.174892133581213e-07
Rewards bag 5,2.7294115827554034e-06,1.398495451405463e-06,4.342848873643253e-06,2.6114367997762645e-06,1.7459611598471567e-06,1.7486151083676663e-06,8.382462196507358e-07,5.307116671470106e-07
Rewards bag 6,2.228546141282389e-06,3.570488896346387e-06,7.943459595955713e-06,4.059950005139003e-06,1.8269395486817577e-06,5.659258354494109e-07,5.48578584323655e-07,8.198552848254106e-07,5.6976833781370314e-06,2.244138842083109e-06,2.0855857837797758e-06,2.272068222288997e-07,1.6811858317451684e-06,2.0353544497800173e-06,1.2367090294878804e-06
Rewards bag 7,7.602849809153104e-06,8.173279682647275e-06,2.663244015093247e-06,2.096488041625887e-06,1.3886968574595919e-06,6.197210335193987e-07,7.130110439433298e-07
Rewards bag 8,6.005908537715092e-06,3.9396141297837175e-06,1.6213380629281696e-06,9.008532175072565e-07,1.0586569727306435e-06,8.642494805370927e-07,3.81934903872734e-06,1.8961059380016253e-06,5.828542937802756e-07,4.797454633420228e-07
Rewards bag 9,1.8874054745392304e-06,1.7036609076907042e-06,1.528605999149808e-06,3.3717540049314348e-06,1.5492687755915348e-06,7.599565720332283e-06,4.934170083003416e-07,1.0143573801692937e-06,1.1149524689258643e-06,3.112915569107321e-07,5.409478143417738e-07
Prob contr bag 0,0.008345158305003354,0.03159649028403224,0.026814261555831446,0.0111135666081986,0.00836596135492233,0.03846791214829349,0.009865121019680385,0.013221272873011787,0.010332689170032794,0.005327142876611619
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 1,0.007888349798646842,0.02758081664174118,0.013837535636084104,0.00797781752866404,0.0371135518788638,0.04213986969626154,0.011705928334240733,0.00808162682158254,0.008766052147887797,0.010870362968132333,0.011839363434264267
Align contr bag 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 2,0.009909600723793505,0.030174449139821907,0.02389645236004271,0.014883055747499468,0.0216142446464221,0.0587714612365712,0.008320946215064158,0.014599519542840769,0.006999276342215388,0.006037401635564266,0.005894055019622851
Align contr bag 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 3,0.022224665769731925,0.042263884370953575,0.05562445304209504,0.021332570219336402,0.013594108206788923,0.012036984413558065,0.008262039115797188,0.015362978052236546
Align contr bag 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 4,0.07158114952440908,0.022911036185721344,0.043527458236512384,0.008768586921292463,0.018402505149054924,0.017387024811756996,0.007383014902726776,0.008174892133582114
Align contr bag 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 5,0.02729411582755704,0.01398495451405617,0.04342848873643731,0.02611436799776552,0.01745961159847349,0.01748615108367859,0.008382462196508282,0.00530711667147069
Align contr bag 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 6,0.022285461412826342,0.0357048889634678,0.07943459595956588,0.0405995000513945,0.01826939548681959,0.005659258354494732,0.0054857858432371545,0.00819855284825501,0.05697683378137659,0.022441388420833562,0.020855857837800054,0.0022720682222892473,0.016811858317453535,0.020353544497802415,0.012367090294880166
Align contr bag 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 7,0.07602849809153941,0.08173279682648175,0.026632440150935403,0.020964880416261177,0.013886968574597449,0.00619721033519467,0.007130110439434083
Align contr bag 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 8,0.06005908537715753,0.03939614129784152,0.016213380629283482,0.009008532175073558,0.010586569727307602,0.008642494805371879,0.0381934903872776,0.018961059380018342,0.005828542937803398,0.004797454633420756
Align contr bag 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 9,0.018874054745394383,0.017036609076908918,0.015286059991499764,0.03371754004931806,0.015492687755917054,0.0759956572033312,0.0049341700830039595,0.010143573801694054,0.01114952468925987,0.0031129155691076637,0.005409478143418333
Align contr bag 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
seed,0
