auc_roc,0.47081314575915006,0.47630027435642985,0.4824878874554901,0.47273947813904615,0.4676025917926567,0.47279785184752793,0.47846010157025287,0.4973148094098418,0.49929951549821966,0.5043196544276458,0.49824878874554906,0.509923530441889,0.5038526647597923,0.508756056272255,0.5979510828322924,0.5765863055279902,0.5617593835736385,0.5630436051602359,0.5632187262856809,0.5507267526705972,0.5429630494425312,0.5428463020255677,0.5446558869885004,0.5584904558986634,0.5637440896620163,0.5495592785009633,0.5580818399392913,0.5580818399392913,0.5440721499036835,0.5485669254567744,0.5486836728737378,0.5504932578366705,0.5544626700134261,0.550960247504524,0.5553966493491332,0.5606502831124862,0.5597746774852608,0.5587239507325901,0.551543984589341,0.5577899713968828,0.5719164088494543,0.5697565816356314,0.5704570661374118,0.5720915299748994,0.5741346097717589,0.562634989200864,0.5598914249022241,0.5611756464888215,0.5627517366178274,0.5577899713968829,0.5558052653085052,0.5555717704745783,0.5529449535929019,0.5546377911388711,0.5502597630027436,0.5522444690911213,0.5535286906777189,0.5513688634638959,0.5560971338509136,0.5555717704745784,0.5559220127254685,0.5546961648473528,0.5576732239799196,0.559132566691962,0.5575564765629563,0.5531784484268286,0.5580234662308098,0.5580234662308098,0.5552215282236881,0.5528282061759384,0.5531200747183468,0.5546377911388711,0.5562722549763587,0.5565057498102856,0.5591909404004437,0.5560971338509135,0.557556476562956,0.5580818399392913,0.5583737084816999,0.5594828089428521,0.5593660615258889,0.5611172727803397,0.5610005253633763,0.5619928784075653,0.5610005253633763,0.5558636390169869,0.55563014418306,0.5562722549763588,0.5556885178915417,0.55563014418306,0.5590741929834803,0.556622497227249,0.5572646080205477,0.5576148502714378,0.5565057498102856,0.5519526005487129,0.5522444690911215,0.5551631545152064,0.5545210437219076,0.553295195843792,0.5534703169692371
auc_pr,0.07476119794758365,0.07638088161182022,0.07673582924995159,0.07593634423027193,0.07171817705675328,0.07223557152229296,0.07354476889122755,0.07841290175622584,0.0769837754044032,0.0792177112421285,0.07807349545751155,0.0825486055880372,0.08175198214135121,0.08128551268889356,0.10021359166297804,0.09554892309197766,0.09139782493746113,0.09193538047719223,0.09298450071388886,0.09340026188076372,0.09265289300881843,0.0906911682394241,0.09141043677780301,0.09468064778396776,0.09600480428195231,0.09486963726240111,0.0972219529713487,0.09629865003407795,0.09509188327578133,0.09627978096841164,0.09581506036867274,0.09639354359201695,0.09565685299101725,0.09255439990294505,0.09406340584131388,0.09734012886994947,0.09745082590407643,0.09720780958698716,0.09699811632419535,0.09882248949232092,0.10527465532230207,0.101076950522727,0.1005351438238156,0.10672877480148527,0.10800229355561619,0.10511608614087349,0.10397679110857513,0.10511787090588992,0.10671529989018477,0.10994813294144401,0.10701492333015097,0.10249084249398929,0.10086093717434946,0.10166391845734492,0.10161872966258624,0.10296883255641028,0.11854733730497585,0.11853907471754195,0.1199198322696112,0.1299517332275928,0.12678023791345483,0.12491387616406792,0.1281629757752787,0.12972171662128568,0.12624543673973768,0.12432995910089967,0.12506376844660674,0.12673547751646122,0.13067169820206523,0.12898565394226713,0.1331419234889566,0.13438071572848082,0.14814053626545426,0.14796102170274283,0.15069582855536406,0.14698351749630004,0.1491363046985973,0.15286205264492614,0.15508124143767074,0.1550971754802749,0.15419171892337022,0.15196152972279178,0.15031612059664368,0.1507409497831786,0.15018590326357004,0.14818361295989096,0.1482679099572095,0.14794388788910656,0.14670043196417892,0.14669850861899553,0.147648499106639,0.14601106768155042,0.14473691196653488,0.14630721271480326,0.14476171025949303,0.14298198388125846,0.14623499140165153,0.14654854836236786,0.14685204906291782,0.14597365739428442,0.14862645646465944
auc_roc_bag,0.3125,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.5625,0.5,0.625,0.625,0.5625,0.5625,0.5625,0.5,0.625,0.625,0.5,0.5625,0.5,0.5,0.5,0.4375,0.5,0.5,0.5625,0.625,0.625,0.625,0.625,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
auc_pr_bag,0.13988095238095238,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.21666666666666667,0.19583333333333333,0.19583333333333333,0.18333333333333335,0.225,0.225,0.19583333333333333,0.19583333333333333,0.1964285714285714,0.18333333333333335,0.225,0.225,0.17559523809523808,0.19583333333333333,0.17559523809523808,0.17559523809523808,0.17559523809523808,0.16309523809523807,0.17559523809523808,0.17559523809523808,0.19583333333333333,0.225,0.225,0.225,0.225,0.17559523809523808,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.18333333333333335,0.19583333333333333,0.18333333333333335,0.18333333333333335,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.21666666666666667,0.21666666666666667,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
Date,2024-05-28
Time,119.36081504821777
seed,0
Number of anomalous bags,2
Number of anomalies,37
Rewards bag 0,3.3093887070534e-06,9.622954106994558e-07,1.565468744698354e-06,3.0895830637310903e-06,1.021762488514849e-06,1.3109366277269825e-06,1.939463427796739e-06,2.1010879322728864e-06,2.045721810574458e-06,1.659845174556376e-06,1.4184298899365257e-06,1.369016702257075e-06,8.487149595356812e-07,9.774204722566461e-06,2.7812454228216075e-06,1.6415221862224619e-06,5.572832053977784e-07,1.2206994703870822e-06,1.7476330162542718e-06,8.970265197747265e-07,1.4095456071524172e-06,1.0789365299516375e-06,1.0009366282028008e-06,8.314509541277883e-07,1.0686007654987406e-06,8.599248475653784e-07,1.149916179279466e-06,7.728490382359549e-07,8.765381665010408e-07,5.274432326414221e-07,6.254858665335046e-07,8.314704423968715e-07,1.0676716372018248e-06,8.020643032752766e-07,4.6714263227845716e-07,4.887500441819559e-07,1.1862292916162184e-06,5.415510752714888e-07,4.5965140263280775e-07,9.830000618311448e-06,5.76604454388989e-07,2.726010287153009e-07,6.566070782839238e-07,8.894451461247828e-07,4.761866089527776e-06,6.384397291211142e-07,9.569345928467503e-07,3.789233642050691e-07,4.934503837295839e-07,5.097944108748923e-07,5.929220361456477e-07,5.745221135829911e-07,6.663219339939518e-07,3.8630620309912246e-07,8.326414719371958e-07,3.2927635272130847e-06,2.1882880143270787e-07,6.09121261020049e-07,4.0895663849168257e-07,9.734982119461204e-07,7.037493371074295e-07,7.139259303241353e-07,7.281688508503977e-07,3.1407530591902157e-07,6.520851852470228e-07,3.9172602218400525e-07,1.6621203459150907e-07,2.074490121044193e-07,1.3647160387625274e-06,5.979117106547091e-07,4.03182764274589e-07,4.917537697898684e-06,9.905337565631786e-07,3.4879967932333476e-07,2.1214426105797876e-07,1.8348189491035407e-07,2.934052612599419e-07,1.2637757679379371e-06,2.856592675940237e-07,7.739224114233203e-07,2.3418221482748955e-07,3.1497576226345844e-07,9.470420386137463e-07,2.1730126621848437e-07,4.2979244419050084e-07,3.839227020425788e-07,3.65808440453547e-07,2.1788738081054706e-07,4.914724365461094e-07,1.7365417167246932e-07,3.366217564641601e-07,2.8684754007083183e-07,1.100905521348241e-06,3.8691111856320337e-07,3.706382728020443e-07,1.5696635598276103e-07,2.2149503918145804e-07,6.149783413297531e-07,3.14458825636267e-07,3.425931193143929e-07
Prob contr bag 0,0.03309388707053765,0.009622954106995618,0.015654687446985265,0.030895830637314305,0.010217624885149615,0.01310936627727127,0.019394634277969523,0.021010879322731178,0.020457218105746834,0.01659845174556559,0.014184298899366819,0.013690167022572258,0.008487149595357747,0.09774204722567538,0.02781245422821914,0.016415221862226426,0.005572832053978398,0.012206994703872166,0.017476330162544643,0.008970265197748253,0.014095456071525724,0.010789365299517564,0.01000936628202911,0.008314509541278799,0.010686007654988582,0.008599248475654731,0.011499161792795927,0.0077284903823604005,0.008765381665011373,0.005274432326414802,0.006254858665335735,0.008314704423969631,0.010676716372019423,0.00802064303275365,0.004671426322785086,0.004887500441820098,0.01186229291616349,0.005415510752715484,0.004596514026328584,0.0983000061831253,0.005766044543890524,0.0027260102871533094,0.0065660707828399615,0.008894451461248808,0.04761866089528301,0.0063843972912118446,0.009569345928468557,0.0037892336420511084,0.004934503837296382,0.005097944108749484,0.00592922036145713,0.005745221135830544,0.006663219339940252,0.0038630620309916502,0.008326414719372875,0.03292763527213447,0.0021882880143273198,0.006091212610201161,0.004089566384917276,0.009734982119462277,0.00703749337107507,0.007139259303242139,0.007281688508504779,0.0031407530591905618,0.006520851852470946,0.003917260221840484,0.0016621203459152736,0.0020744901210444215,0.013647160387626776,0.00597911710654775,0.004031827642746334,0.049175376978992255,0.009905337565632878,0.003487996793233732,0.0021214426105800213,0.0018348189491037429,0.002934052612599742,0.012637757679380763,0.0028565926759405516,0.007739224114234055,0.0023418221482751534,0.0031497576226349315,0.009470420386138507,0.002173012662185083,0.004297924441905482,0.0038392270204262104,0.003658084404535873,0.0021788738081057104,0.0049147243654616354,0.0017365417167248844,0.0033662175646419715,0.0028684754007086343,0.011009055213483622,0.0038691111856324597,0.0037063827280208513,0.001569663559827783,0.0022149503918148243,0.006149783413298209,0.0031445882563630166,0.0034259311931443062
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
