auc_roc,0.44096391944311597,0.4577554599075403,0.4648227854827568,0.47576916945640046,0.4766725118231574,0.47821350762527226,0.49383601679154043,0.46259099845900414,0.4650353366278761,0.46747967479674796,0.47343110686008816,0.47507837823476273,0.4777884053350337,0.46014666029013224,0.45562994845634736,0.42725437058292154,0.43283383814230303,0.43729741218980817,0.439157234709602,0.4439927732610659,0.44850948509485095,0.4506349965460439,0.4399011637175196,0.43926351028216165,0.4464902492162176,0.4488814495988097,0.45355757479143416,0.455098570593549,0.458446251129178,0.4612625538020086,0.44675593814761677,0.44845634730857115,0.4467559381476167,0.45159147669908073,0.45626760189170523,0.4591370423508157,0.4667357457888305,0.46407885647483926,0.46014666029013224,0.4673202614379085,0.470189701897019,0.47141187098145493,0.47502524044848293,0.4702959774695787,0.4764068228917583,0.48921302938519584,0.49447367022689825,0.48873478930867736,0.48512141984164936,0.48416493968861257,0.48453690419257134,0.4912854030501089,0.4933046389287422,0.4911791274775493,0.48730006907912216,0.4710399064774961,0.4732185557149689,0.4784791965566715,0.47704447632711616,0.480126467931346,0.4817206015197407,0.4813486370157819,0.4814549125883416,0.4820394282374196,0.5000531377862799,0.5020192358786333,0.49936234656464207,0.49622721717413254,0.4982464530527658,0.490382060683352,0.4802858812901854,0.48336787289441513,0.48676869121632393,0.4797013656411073,0.4811892236569425,0.47885116106063025,0.4795950900685477,0.4805515702215845,0.48156118816090127,0.4834210106806951,0.4787448854880706,0.4812954992295021,0.47746957861735484,0.47805409426643286,0.48225197938253894,0.48522769541420907,0.4875126202242415,0.49128540305010904,0.49197619427174666,0.4847494553376907,0.48554652213188804,0.5157287847388279,0.5164727137467453,0.5066953610712577,0.5071204633614964,0.5083426324459324,0.5100961793931665,0.5086614591636113,0.4972368351134492,0.4911259896912695,0.48937244274403524
auc_pr,0.0855098023752057,0.08635703623009953,0.08973881279779719,0.08630616300702157,0.08674269855505955,0.08705888122872604,0.08989882942118868,0.08544400903998112,0.08586303234320175,0.08728673263273112,0.08806367644999144,0.08858068155574612,0.08925766529126813,0.08600059563491454,0.08448861146142012,0.07939172043218058,0.08044586856542724,0.08125480576059585,0.08103432996895966,0.08134843547162318,0.0823651505389169,0.08207908452145307,0.0817328455151552,0.08222368746006109,0.0836664687729855,0.08433944775929705,0.08495985478237483,0.08629265373059944,0.08682831147799137,0.08846915180135766,0.08843813102908807,0.0857583630206955,0.08600140593394416,0.08758478619706261,0.08875338534439309,0.08832217671737003,0.10195390708747189,0.10158792769420483,0.10193014307956447,0.10328147950131764,0.10314377511369388,0.10350421361256099,0.1042127610527199,0.10158243308946976,0.1019703276644129,0.10369912029090904,0.10495840032143045,0.10401748339534822,0.10403638747719475,0.10330378123665096,0.10342413053601329,0.10435446540293819,0.10469344715438392,0.10449636696572101,0.10405974160142241,0.09964533330494997,0.10013620884189245,0.09996701531989642,0.10016519480405513,0.10074625266464211,0.10138536873545129,0.10164065566153836,0.10182461886501659,0.10226338753120223,0.10993852628775051,0.11089056201069451,0.10896862326907553,0.10729322177494348,0.10780246434318436,0.10599707325857478,0.10360592536625662,0.10417965013013712,0.1050636093345233,0.10299343527899008,0.10270998739357481,0.10246608722504272,0.10202540155383127,0.10225444138586609,0.10250154902242373,0.10334141708352723,0.10286022173473257,0.10227326377532607,0.10128980543982599,0.10172051093153794,0.10198742885054252,0.10253022644719985,0.10316346080901231,0.10391287638464822,0.10414634170318612,0.10304601830961815,0.10325861439347277,0.11233673994668361,0.1117653535085148,0.10875759436603247,0.10798625187459009,0.10832385418440851,0.10910233046975053,0.10821951913086522,0.1066814411019293,0.1052379331285807,0.10506387522372308
auc_roc_bag,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.5625,0.625,0.6875,0.6875,0.625,0.625,0.625,0.625,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.71875,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.84375,0.84375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
auc_pr_bag,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.2232142857142857,0.23809523809523808,0.6130952380952381,0.6130952380952381,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.5083333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.7083333333333333,0.7083333333333333,0.6625,0.6625,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.5833333333333333,0.5833333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333
Date,2024-05-24
Time,76.59439969062805
seed,0
Number of anomalous bags,2
Number of anomalies,41
Rewards bag 0,1.2696246545673915e-06,4.7055509229811064e-07,7.548755986879314e-07,9.279642155337492e-07,3.078957333200294e-07,2.6820913880574223e-06,1.1886798355689295e-06,3.27942968936425e-07,4.4118300264079654e-07,8.369154122858832e-07,1.428499928482594e-07,3.2959998413755136e-07,2.0222472758179966e-06,9.747272029755812e-07,1.9352317000695905e-06,5.06418844174481e-07,7.027742787932589e-07,3.318645520282427e-07,2.0845899798968938e-07,8.221816196772723e-07,1.1445713923341818e-06,1.2035009877623676e-06,1.7793916545544198e-06,7.143694387432516e-07,6.402220153359197e-07,7.075539344692919e-07,4.255639572254916e-07,4.643327601891157e-07,2.6887924685864717e-07,9.53722812472726e-07,3.9352002422366485e-07,2.0590744792638657e-07,5.569859718666861e-07,6.317660947757923e-07,7.879755459395856e-07,6.375388930609888e-07,3.899095259094854e-07,9.862260515935015e-07,1.0722768200456596e-06,1.5841040464568829e-06,5.121528254296096e-07,3.0893467082623845e-07,8.299266759880729e-07,4.143257127492696e-07,1.6329891544663282e-06,8.268428132771629e-07,2.1039205926809874e-07,6.759890514333721e-07,3.274242599200386e-07,5.466444740046383e-07,7.592508851830915e-07,5.122094722528801e-07,3.8436959217556356e-07,3.8537591594786325e-07,1.168291330144666e-06,4.775938934247939e-07,1.0048689108922185e-06,5.281077711329925e-07,8.254383608254052e-07,6.36136224467097e-07,3.011487834380996e-07,5.313299062396329e-07,9.326985350257168e-07,7.970560388108498e-06,5.981061454401368e-07,2.6967316934408764e-06,4.1751995754771045e-07,2.1151345679774093e-07,1.7811611549447449e-06,2.0374985925491683e-06,2.0792086454326825e-07,4.990145783353124e-07,6.279238620576806e-07,8.698106986521578e-08,1.2610703368728438e-06,8.619151479172169e-08,3.4341374599727865e-07,1.2299592699641562e-07,1.9413975098193627e-07,7.056652290243375e-07,5.672120603062075e-07,2.3189629530599317e-06,1.7650036762815085e-07,2.311129775197112e-07,1.8736871241413087e-07,1.8646554693821884e-07,4.7235857970580964e-07,1.1044657559133976e-07,1.3080582461204095e-07,5.8801523686201676e-08,7.737474231626766e-06,1.2674616556477679e-06,1.0184891113742559e-06,7.023369282878043e-07,9.52700276812575e-08,2.988777283736109e-06,3.0495162773485906e-07,3.501940478191803e-07,4.144332409304577e-07,1.6408145702591499e-06
Prob contr bag 0,0.012696246545675314,0.0047055509229816245,0.007548755986880145,0.009279642155338514,0.003078957333200633,0.026820913880577175,0.011886798355690604,0.0032794296893646113,0.004411830026408451,0.008369154122859754,0.0014284999284827514,0.0032959998413758765,0.020222472758182192,0.009747272029756886,0.019352317000698036,0.005064188441745368,0.007027742787933363,0.0033186455202827924,0.0020845899798971235,0.008221816196773628,0.011445713923343079,0.012035009877625001,0.017793916545546157,0.007143694387433303,0.006402220153359902,0.0070755393446936985,0.004255639572255385,0.0046433276018916685,0.002688792468586768,0.00953722812472831,0.003935200242237082,0.0020590744792640925,0.005569859718667474,0.006317660947758618,0.007879755459396724,0.00637538893061059,0.003899095259095283,0.0098622605159361,0.010722768200457776,0.015841040464570574,0.00512152825429666,0.0030893467082627247,0.008299266759881643,0.004143257127493152,0.01632989154466508,0.008268428132772539,0.002103920592681219,0.006759890514334465,0.003274242599200747,0.005466444740046985,0.007592508851831751,0.005122094722529365,0.003843695921756059,0.0038537591594790567,0.011682913301447946,0.004775938934248465,0.010048689108923292,0.005281077711330507,0.00825438360825496,0.006361362244671671,0.0030114878343813272,0.005313299062396914,0.009326985350258195,0.07970560388109375,0.0059810614544020275,0.026967316934411734,0.004175199575477564,0.002115134567977642,0.01781161154944941,0.020374985925493926,0.0020792086454329115,0.004990145783353674,0.006279238620577498,0.0008698106986522536,0.012610703368729827,0.0008619151479173117,0.003434137459973165,0.0012299592699642917,0.0019413975098195764,0.0070566522902441526,0.0056721206030627,0.02318962953060187,0.001765003676281703,0.0023111297751973667,0.0018736871241415152,0.0018646554693823938,0.004723585797058617,0.0011044657559135193,0.0013080582461205536,0.0005880152368620815,0.07737474231627618,0.012674616556479074,0.010184891113743681,0.0070233692828788165,0.00095270027681268,0.02988777283736438,0.0030495162773489268,0.0035019404781921884,0.004144332409305033,0.016408145702593305
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
