auc_roc,0.44282806513409967,0.4389966475095785,0.442109674329502,0.4453424329501916,0.4403136973180076,0.4407926245210728,0.4451628352490421,0.44683908045977017,0.4495929118773946,0.45468151340996166,0.4565972222222222,0.4601891762452107,0.452286877394636,0.4637811302681993,0.46689415708812265,0.46599616858237547,0.4682710727969349,0.46875,0.47144396551724144,0.4730004789272031,0.4724616858237548,0.47371886973180083,0.47515565134099624,0.4803041187739464,0.4814415708812261,0.483955938697318,0.48581178160919547,0.48563218390804597,0.48461446360153254,0.48575191570881227,0.48700909961685823,0.483117816091954,0.4859913793103448,0.4855723180076628,0.48850574712643685,0.4862907088122606,0.48766762452107276,0.48850574712643674,0.4929358237547893,0.49461206896551724,0.49736590038314177,0.5028735632183907,0.49778496168582376,0.49826388888888895,0.5000598659003831,0.4977250957854406,0.4965277777777778,0.4943127394636015,0.49604885057471265,0.4932950191570882,0.4941331417624522,0.49562978927203066,0.49580938697318017,0.49688697318007674,0.4972461685823755,0.4994013409961687,0.501257183908046,0.5035919540229885,0.5060464559386973,0.5052083333333333,0.5127514367816093,0.5149066091954023,0.5069444444444444,0.5075431034482759,0.5120929118773946,0.5131106321839082,0.4978448275862069,0.49934147509578547,0.49808429118773945,0.4874880268199233,0.48419540229885066,0.4855124521072797,0.4862308429118774,0.4819803639846743,0.478867337164751,0.48042385057471265,0.47707136015325674,0.47772988505747127,0.4786278735632184,0.48688936781609193,0.48778735632183917,0.48922413793103453,0.4910799808429119,0.49634818007662834,0.49269636015325674,0.48862547892720315,0.48988266283524906,0.48910440613026823,0.48766762452107293,0.4872485632183909,0.4880268199233717,0.48581178160919547,0.4876676245210728,0.4883860153256706,0.49048132183908055,0.48778735632183906,0.4894037356321839,0.4883261494252874,0.4900622605363985,0.4884458812260537
auc_pr,0.05963141067826293,0.05906293361278248,0.05946248899475322,0.059950900803108706,0.059529961548099836,0.05928360567131465,0.059922535995666194,0.06022584044903142,0.06073347848263071,0.06157669989280993,0.0649126529407898,0.06558529017219475,0.0646383342794283,0.07332162648704589,0.07385669081614965,0.07354203964277409,0.07392616165839744,0.07404274916760084,0.07455892947445877,0.07491511136068019,0.07492316705805982,0.07517183577563015,0.07543449106376567,0.07633823111746257,0.07657607658664696,0.07654622790407598,0.07694856606873493,0.07758338618328088,0.07732765157291274,0.0782286941925835,0.07853731172908357,0.0865628498619409,0.08684171485790751,0.08652453005774216,0.08708876812111156,0.08657098861987783,0.08685310902714775,0.08747550137258908,0.0881551110451636,0.08859950212361486,0.08909684242088645,0.10227579771883236,0.09552902434057262,0.09504533201897786,0.09536803093446478,0.09500124072411384,0.09381144827664385,0.09448232355222258,0.09281416106488469,0.09286238896603437,0.09314149433109606,0.0935246063542867,0.09395153563418863,0.09423912147590158,0.09230027808716512,0.09258411429913516,0.09303537276491636,0.0935407120784788,0.09410959381579356,0.09173496767295236,0.09317201698908775,0.09368762140074546,0.09230238725271406,0.09132633905036106,0.09202150678275647,0.09193683752196333,0.08806939942598721,0.08859979808991345,0.08808198741880903,0.085072503077302,0.0847862447348337,0.08518123380311146,0.08526576594550526,0.08422312880736332,0.08292099645942833,0.08328272653630608,0.08315365145687668,0.08342549363158694,0.0826678033510248,0.09450828489202678,0.09473670953116001,0.09393173482305284,0.09295176324537942,0.09392547946304093,0.09190169866500267,0.09136000792989424,0.09159781318077367,0.09155515500188378,0.09149539435127862,0.09154468557739948,0.09143724499340183,0.08931700001372808,0.08933941478626195,0.0895288649781645,0.08994301379341665,0.089657486132136,0.09001856586655778,0.08927857000718556,0.08968406289699132,0.08951952323500163
auc_roc_bag,0.5833333333333334,0.625,0.6666666666666667,0.5416666666666666,0.45833333333333337,0.5,0.5,0.5,0.625,0.5833333333333334,0.625,0.6666666666666667,0.7083333333333333,0.5833333333333333,0.5833333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.75,0.7916666666666666,0.75,0.7916666666666666,0.7083333333333334,0.6666666666666667,0.7083333333333333,0.5416666666666667,0.625,0.625,0.625,0.625,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.625,0.625,0.625,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666667,0.7083333333333334,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.75,0.7083333333333334,0.75,0.75,0.75,0.75,0.75,0.75,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.75,0.75,0.7916666666666667,0.7500000000000001,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8333333333333334,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001
auc_pr_bag,0.3952380952380953,0.5827380952380953,0.6005952380952381,0.5461805555555556,0.34791666666666665,0.3514880952380952,0.3514880952380952,0.3514880952380952,0.41309523809523807,0.3922619047619047,0.41309523809523807,0.4547619047619047,0.4797619047619047,0.5690972222222223,0.5690972222222223,0.6005952380952381,0.6005952380952381,0.6005952380952381,0.6005952380952381,0.6422619047619047,0.6494047619047619,0.6494047619047619,0.6494047619047619,0.6494047619047619,0.6672619047619047,0.6672619047619047,0.7714285714285715,0.7535714285714286,0.7714285714285715,0.6494047619047619,0.6244047619047619,0.6753472222222222,0.4060019841269841,0.6107638888888889,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.4878472222222222,0.5014880952380952,0.5014880952380952,0.5014880952380952,0.5827380952380953,0.6071428571428571,0.6071428571428571,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6244047619047619,0.6494047619047619,0.6244047619047619,0.6244047619047619,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6672619047619047,0.6672619047619047,0.6422619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.4797619047619047,0.4797619047619047,0.4797619047619047,0.4797619047619047,0.4797619047619047,0.4797619047619047,0.6672619047619047,0.6672619047619047,0.6916666666666667,0.5041666666666667,0.54375,0.54375,0.54375,0.73125,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667
Date,2024-05-22
Time,143.96791243553162
seed,0
Number of anomalous bags,4
Number of anomalies,36
Rewards bag 0,1.1062551868936068e-06,8.093144247193309e-07,8.475522472856182e-07,9.288992179986185e-07,4.81154268030866e-07,5.921880631685529e-07,4.298048511972755e-07,1.9063708473335341e-06,6.286605354559403e-07,6.67226736113075e-07,9.873271909348923e-07,5.419851094272132e-07,1.8885448335277245e-06,4.607760551157609e-07,1.9845802011496666e-06,4.013209731146487e-07,4.391691529913597e-07,4.2232265830266276e-07,4.6730028365218056e-07,4.789311552490787e-07,2.3069212015740604e-07,1.3396280286274368e-07,1.6673407231869628e-06,3.0012047906034094e-07,4.2774349108163365e-07,2.8474081645135155e-07,1.1893783804990245e-06,1.2158340958066513e-06,1.425572937271145e-06,5.078377639474772e-07,1.9549101894888296e-06,1.2980433080297223e-06,6.439660903381187e-07,5.045565489726609e-07,4.875944515564363e-07,2.47558160965396e-07,1.2273538090071082e-06,1.2394981196317328e-06,2.0491874807678785e-07,3.662206973291073e-07,7.927577218092909e-06,1.773334991580726e-06,1.1384978294163087e-06,6.782369059570974e-07,4.4022361722910965e-07,1.4773081742725022e-06,1.3103211492969377e-06,1.069817605463629e-06,1.4626231256030387e-06,4.367120556211692e-07,4.7180944350640186e-07,2.771021942874084e-07,6.139123769665403e-07,8.212086019644956e-07,6.141590437927824e-07,1.8839938563326358e-07,5.125076143193457e-07,9.26164003312298e-07,5.495926042020578e-07,1.7073363792442353e-06,1.5277965854145612e-07,9.146253957541378e-07,7.742331290075969e-07,8.735833370053194e-07,1.7646491266010488e-07,1.1386457322066986e-06,3.743482378312385e-07,2.792249622688205e-07,7.220426012482825e-07,3.2990049368064407e-07,5.541977860069567e-07,5.26566645808887e-07,3.470368205824745e-07,2.2945363098249937e-07,4.7231300335052125e-07,2.1871556118734985e-07,3.740650014865689e-07,1.7146229716536613e-06,6.615431051345455e-06,5.930606913476747e-07,1.5259044496297262e-06,9.708925484225184e-07,6.480596744340032e-07,1.1960681078527086e-06,2.256209489496386e-06,1.3379828415059154e-07,7.773565023571416e-07,9.519196583179194e-07,3.214259795863085e-07,2.49591170473312e-07,3.561377251150306e-07,6.06663147227349e-07,1.0179920245402736e-07,1.4371608497403508e-07,2.5779051088548663e-07,1.0682945129640722e-07,2.703427975953344e-07,8.92311804373051e-08,1.774331671407278e-07
Prob contr bag 0,0.011062551868937287,0.008093144247194201,0.008475522472857116,0.009288992179987209,0.0048115426803091894,0.005921880631686181,0.004298048511973228,0.01906370847333744,0.006286605354560095,0.006672267361131485,0.00987327190935001,0.005419851094272729,0.018885448335279324,0.004607760551158116,0.019845802011498853,0.004013209731146929,0.004391691529914081,0.004223226583027093,0.00467300283652232,0.004789311552491315,0.0023069212015743145,0.0013396280286275843,0.016673407231871464,0.00300120479060374,0.0042774349108168075,0.0028474081645138293,0.011893783804991554,0.012158340958067851,0.01425572937271302,0.005078377639475331,0.01954910189489045,0.012980433080298653,0.006439660903381897,0.005045565489727164,0.0048759445155649,0.002475581609654232,0.012273538090072434,0.012394981196318693,0.002049187480768104,0.003662206973291476,0.07927577218093781,0.017733349915809212,0.011384978294164341,0.006782369059571722,0.0044022361722915815,0.014773081742726648,0.01310321149297082,0.010698176054637467,0.014626231256031998,0.004367120556212173,0.004718094435064538,0.0027710219428743895,0.006139123769666079,0.00821208601964586,0.0061415904379285,0.0018839938563328432,0.005125076143194021,0.009261640033124,0.0054959260420211825,0.017073363792444233,0.0015277965854147294,0.009146253957542386,0.007742331290076821,0.008735833370054156,0.0017646491266012432,0.01138645732206824,0.003743482378312797,0.0027922496226885124,0.00722042601248362,0.003299004936806804,0.005541977860070177,0.0052656664580894505,0.0034703682058251275,0.0022945363098252464,0.004723130033505733,0.0021871556118737393,0.003740650014866101,0.0171462297165385,0.06615431051346184,0.0059306069134774,0.015259044496298942,0.009708925484226253,0.006480596744340746,0.011960681078528403,0.022562094894966345,0.0013379828415060627,0.007773565023572272,0.009519196583180243,0.0032142597958634386,0.002495911704733395,0.003561377251150698,0.006066631472274158,0.0010179920245403857,0.0014371608497405091,0.0025779051088551503,0.0010682945129641898,0.002703427975953642,0.0008923118043731493,0.0017743316714074733
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
