auc_roc,0.4419856459330143,0.4272328548644338,0.4622208931419458,0.46481259968102073,0.4690490430622009,0.47159090909090906,0.4800637958532695,0.476774322169059,0.4703448963317384,0.466457336523126,0.47542862838915473,0.4779704944178628,0.4840510366826156,0.49999999999999994,0.5102671451355663,0.5023923444976077,0.5038875598086126,0.5021431419457736,0.5007476076555024,0.49152711323763953,0.4936702551834131,0.48479864433811803,0.4882874800637958,0.49362041467304624,0.4929226475279107,0.4969597288676236,0.4973086124401914,0.49820574162679426,0.5006977671451356,0.5009968102073366,0.5027910685805422,0.5040869218500797,0.5052830940988836,0.5076754385964912,0.5095693779904306,0.5314493620414673,0.5286084529505581,0.53125,0.5327452153110048,0.5340410685805422,0.5362340510366825,0.5329445773524721,0.5333433014354068,0.5313496810207337,0.5284090909090908,0.526365629984051,0.5259669059011164,0.526664673046252,0.5290570175438597,0.5278110047846889,0.5289074960127591,0.5297547846889952,0.531549043062201,0.532396331738437,0.5329944178628389,0.5339912280701754,0.5317484051036683,0.5327950558213715,0.53125,0.5299541467304626,0.5316487240829346,0.5324461722488039,0.5337918660287081,0.5476973684210527,0.5482954545454546,0.5494417862838915,0.5525318979266347,0.5519836523125997,0.5531299840510366,0.5520334928229664,0.5508871610845294,0.5476475279106858,0.5484948165869218,0.5486443381180224,0.5492922647527911,0.5417663476874003,0.5411184210526316,0.541866028708134,0.5420155502392344,0.5423145933014354,0.5426136363636364,0.5422149122807017,0.5374302232854865,0.5358851674641147,0.5364334130781498,0.5373803827751196,0.5387759170653907,0.5691786283891547,0.570524322169059,0.5698265550239234,0.5706738437001595,0.5711722488038278,0.5752093301435406,0.5761064593301435,0.5976874003189793,0.5982854864433812,0.5963915470494418,0.5955442583732058,0.5960925039872408,0.5991826156299839
auc_pr,0.07957259352232848,0.07715634786442216,0.08156166973875673,0.0815736330090222,0.09741866513643749,0.09906638133584043,0.09574856044330612,0.0929658308440838,0.09357930654842796,0.0931398260442127,0.09485088874111494,0.0951558992214587,0.09616257906176595,0.09866500532058387,0.09881738963460969,0.09834075525567652,0.10036479583696764,0.09894025134184861,0.0984013877040108,0.09737059669180395,0.0980654642896622,0.09724417301364502,0.09973957452882508,0.10018775127515174,0.09885736383962047,0.10540198924078814,0.1024561054518168,0.10350083107090027,0.1039950263056198,0.10414921166206881,0.11051639129122687,0.11065429868118187,0.11249128446313941,0.11565085068498204,0.11595631186628919,0.12604181203358966,0.13529643141895584,0.13152917719918159,0.13091843771206665,0.12592682647760695,0.1256644779939901,0.12310781238081633,0.1263900056741912,0.12615025025208443,0.12627684984634846,0.12625305196952397,0.1258084911536306,0.12611751852599057,0.1307723064639726,0.12893136275605183,0.12908556022003798,0.129102026561202,0.12907180697799925,0.12863257508625303,0.12853648834506953,0.12864390857089017,0.12859910756291076,0.12881052084718483,0.12743636884842274,0.12740259111457808,0.127759054654072,0.12864326255772035,0.12941522213861373,0.13250948504402416,0.13257554815083167,0.13309724879121038,0.14152344497651922,0.1390635095631429,0.1399309335789945,0.137921651398009,0.13923288138635354,0.13869432271722482,0.1389566990522828,0.1386524477452195,0.13881016901321497,0.1376149247274338,0.13753160256904007,0.13763905517473216,0.1372813435873731,0.13733048307700263,0.13734549931102374,0.13571240192301665,0.13520740420931232,0.13518479417954013,0.13311726311679437,0.13288676796683746,0.13287578278247786,0.136001230172492,0.1360431113398913,0.1336014042449621,0.1337757773782356,0.1325983471584996,0.1332449495773521,0.13565290356865262,0.13868812191831978,0.13931571943882753,0.13873250492991304,0.13859207645238222,0.13820811651987883,0.13885129856328776
auc_roc_bag,0.625,0.6666666666666667,0.75,0.625,0.7083333333333333,0.6666666666666667,0.625,0.625,0.6666666666666667,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.6666666666666667,0.6666666666666667,0.625,0.625,0.625,0.625,0.5833333333333334,0.5833333333333333,0.5833333333333334,0.625,0.5833333333333334,0.625,0.625,0.625,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666667,0.6666666666666667,0.7083333333333333,0.7500000000000001,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7500000000000001,0.75,0.75,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
auc_pr_bag,0.42023809523809524,0.46190476190476193,0.519345238095238,0.4482638888888889,0.4797619047619047,0.46190476190476193,0.4482638888888889,0.4482638888888889,0.46190476190476193,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.46190476190476193,0.46190476190476193,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.4482638888888889,0.5833333333333334,0.4065972222222222,0.4375,0.4482638888888889,0.4375,0.4482638888888889,0.5940972222222223,0.5940972222222223,0.6357638888888889,0.6357638888888889,0.5940972222222223,0.6077380952380953,0.6077380952380953,0.6255952380952381,0.65,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.5041666666666667,0.519345238095238,0.519345238095238,0.706845238095238,0.706845238095238,0.706845238095238,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047
Date,2024-05-23
Time,140.33941912651062
seed,1
Number of anomalous bags,4
Number of anomalies,44
Rewards bag 0,1.0178979422524713e-06,2.454184942792547e-06,6.937216692754671e-07,5.172179876038195e-06,2.3679209589654793e-06,1.4056161468946096e-06,1.5309763150758581e-06,1.1110196444277907e-06,5.245901518282508e-07,1.1852128858777707e-06,4.928561937122201e-07,4.711881695121216e-07,9.3374655711747e-07,6.553344526622055e-07,4.036873749436983e-07,5.893155526057971e-07,4.0063454643250263e-07,1.3067699794664475e-07,4.51112183607901e-07,1.9962327276120571e-07,3.0080415702212586e-07,3.7228449621496165e-06,7.485378376742911e-07,5.797663023052413e-07,8.843108557992087e-07,9.352955357278059e-07,2.870413473411185e-07,3.248975260765575e-07,2.433119475555134e-07,1.0657683992158236e-06,1.5772205254572008e-07,4.6956611168304056e-07,4.3874056814390933e-07,1.8900437681100562e-07,8.611515172676173e-07,2.0379022441177364e-06,7.698389487455485e-07,3.320225444402665e-07,7.129516860172283e-07,4.496350918661043e-07,1.6317972656334514e-07,1.3549110676495158e-06,4.153488664612321e-07,2.2037810004092385e-07,2.9522891569608073e-07,1.6908428327261523e-07,2.301072555569961e-07,2.1584744663594665e-06,5.832886063388836e-07,2.7286505690681017e-07,2.6761730694734317e-07,3.421267638768158e-07,7.247413313608619e-07,1.6019127672419496e-07,1.84108261434632e-07,1.5304904943479938e-07,2.4774550522186856e-07,1.516946899280696e-07,1.0287043902207459e-07,1.1492572449244788e-07,1.7161874769176303e-07,4.6497770750169583e-07,9.520878104862349e-07,4.693716566932498e-08,9.962207797113238e-08,6.663119995301764e-07,5.91108671842949e-07,9.053466823193534e-08,5.728748424313574e-07,1.1698328762481616e-06,1.213403529206278e-07,1.493188114045023e-07,2.190889781299255e-07,1.5126391657894248e-07,1.973778686437371e-06,8.203083912031313e-08,1.0034026636785909e-07,1.7669910218979765e-07,2.9926800992936744e-07,3.292524350119667e-08,3.0752802860857686e-07,9.415178259653292e-08,5.665644090141608e-08,3.9085393629739165e-07,1.8162914879355737e-07,8.540255419616817e-08,2.0043886406917702e-06,1.4031770068031113e-07,6.950076462873366e-07,1.3676492290947717e-07,2.5186787529486303e-07,2.726098988827753e-07,2.691969943568214e-07,1.368153737629072e-06,7.954880243472247e-08,2.0601142988507666e-07,9.44781795128146e-08,1.9057594667342546e-07,2.0127969474285413e-07
Prob contr bag 0,0.010178979422525833,0.024541849427928173,0.006937216692755435,0.05172179876038764,0.023679209589657402,0.014056161468947644,0.015309763150760268,0.011110196444279132,0.0052459015182830864,0.011852128858779011,0.004928561937122744,0.004711881695121735,0.009337465571175728,0.006553344526622777,0.004036873749437428,0.00589315552605862,0.0040063454643254675,0.0013067699794665915,0.004511121836079507,0.001996232727612277,0.00300804157022159,0.037228449621500265,0.007485378376743735,0.005797663023053051,0.00884310855799306,0.00935295535727909,0.002870413473411501,0.003248975260765933,0.002433119475555402,0.01065768399215941,0.0015772205254573745,0.004695661116830923,0.004387405681439576,0.0018900437681102643,0.008611515172677121,0.02037902244117961,0.007698389487456333,0.0033202254444030304,0.007129516860173068,0.004496350918661538,0.0016317972656336311,0.01354911067649665,0.004153488664612778,0.002203781000409481,0.0029522891569611323,0.0016908428327263385,0.0023010725555702143,0.02158474466359704,0.005832886063389478,0.002728650569068402,0.0026761730694737267,0.003421267638768535,0.007247413313609417,0.001601912767242126,0.0018410826143465226,0.0015304904943481623,0.0024774550522189583,0.001516946899280863,0.0010287043902208592,0.0011492572449246054,0.0017161874769178193,0.0046497770750174704,0.009520878104863397,0.0004693716566933015,0.0009962207797114336,0.006663119995302498,0.005911086718430141,0.0009053466823194531,0.005728748424314205,0.011698328762482906,0.0012134035292064118,0.0014931881140451875,0.002190889781299496,0.0015126391657895913,0.019737786864375884,0.0008203083912032217,0.0010034026636787014,0.001766991021898171,0.002992680099294004,0.00032925243501200297,0.003075280286086107,0.0009415178259654329,0.0005665644090142232,0.003908539362974347,0.0018162914879357739,0.0008540255419617757,0.02004388640691991,0.0014031770068032659,0.006950076462874131,0.0013676492290949224,0.002518678752948908,0.0027260989888280534,0.002691969943568511,0.013681537376292227,0.0007954880243473124,0.0020601142988509935,0.00094478179512825,0.0019057594667344644,0.002012796947428763
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
