auc_roc,0.4434946392350043,0.480295566502463,0.4631990727325413,0.4652274702984642,0.5075340481019994,0.4915966386554622,0.4976818313532309,0.5075340481019994,0.5115908432338453,0.513329469718922,0.5249203129527673,0.5289771080846131,0.5443349753694582,0.5498406259055346,0.5556360475224572,0.5582439872500724,0.577079107505071,0.5762097942625325,0.5869313242538394,0.5880904085772239,0.5979426253259924,0.5895392639814545,0.5956244566792234,0.6011301072152999,0.6025789626195305,0.5996812518110692,0.6043175891046073,0.6002607939727613,0.6072152999130687,0.6051869023471457,0.6086641553172993,0.6130107215299914,0.6138800347725297,0.6156186612576064,0.6075050709939147,0.6127209504491451,0.6156186612576066,0.6173572877426833,0.6182266009852216,0.6225731671979136,0.623442480440452,0.6240220226021442,0.6219936250362214,0.621414082874529,0.6228629382787597,0.6060562155896841,0.612431179368299,0.6161982034192988,0.6164879745001449,0.6098232396406839,0.612431179368299,0.6069255288322225,0.6017096493769921,0.5944653723558389,0.5976528542451462,0.5970733120834539,0.5964937699217618,0.6005505650536076,0.6025789626195306,0.5999710228919154,0.6019994204578383,0.6002607939727616,0.5993914807302231,0.6017096493769921,0.5776586496667633,0.5820052158794552,0.5808461315560707,0.5698348304839176,0.5724427702115329,0.5730223123732251,0.5759200231816864,0.5764995653433787,0.5756302521008404,0.5764995653433788,0.5802665893943785,0.5698348304839178,0.57041437264561,0.5707041437264562,0.5733120834540713,0.5738916256157636,0.5744711677774558,0.5759200231816864,0.57939727615184,0.5805563604752246,0.5822949869603014,0.5840336134453781,0.5886699507389163,0.5909881193856853,0.5930165169516082,0.5912778904665315,0.5927267458707621,0.5779484207476093,0.5741813966966097,0.5753404810199942,0.5756302521008403,0.577079107505071,0.5753404810199942,0.575050709939148,0.5762097942625326,0.5773688785859171,0.5666473485946102
auc_pr,0.011372850738169207,0.023822548816055947,0.01426410564235378,0.014276547549272336,0.015321028919333997,0.014997226103213086,0.015345609387254204,0.015797691142997124,0.01592166822500324,0.01597447418656964,0.01636230632128162,0.01645615454854094,0.01721481934913568,0.017434337131928948,0.017610815388867634,0.01774404882015477,0.01826108194507828,0.016875351972434192,0.01727338992886602,0.017458178320917415,0.01820668670604251,0.017717806768249442,0.017968547834200814,0.018410274658899196,0.01853758869103984,0.018569703858902453,0.019035060714454363,0.01889327409004314,0.019053851528859765,0.01911254449201189,0.019161123370941526,0.018977865346222346,0.019068129344935018,0.019333208881759243,0.019120748601565173,0.01937674512710711,0.019540081223409115,0.019552185790485992,0.019306491901416784,0.019748796901026294,0.01978248448523868,0.01983958165357669,0.019781431699071768,0.019821023898838427,0.019888628370576943,0.01889083424137325,0.019411444666366292,0.019562777271385598,0.01961357995376723,0.019409634479866208,0.019579115117867814,0.019548724628504918,0.019121556189322167,0.01903572914982184,0.01963193263602793,0.019321907253973328,0.01914107027118301,0.019444262251691942,0.019630876164850777,0.019477862970006622,0.019598974487282785,0.019123963206401452,0.01907722773400065,0.019328570968027127,0.01742473318944622,0.01758676116692707,0.01755954141242853,0.01742566374802171,0.01745683418942423,0.017465297104682552,0.01767235202001748,0.017824209779804638,0.017804224600901766,0.0178125134186154,0.017914054039264864,0.017318594486072265,0.01726465330484937,0.01738370092389699,0.017494809018933848,0.017765371789496616,0.01781277209858353,0.01786285199255063,0.018012329590546147,0.01807526734807524,0.018461350392049512,0.018587902266064125,0.018809153214797533,0.018917148191227497,0.0189610373307628,0.018886458485339562,0.018965653399640715,0.018304087470628207,0.018271915386667347,0.01829795231812361,0.018506807790136977,0.018517764319524885,0.018436202342470627,0.018398840716670785,0.018481691565456253,0.0185154288044992,0.01842914604649979
auc_roc_bag,0.125,0.375,0.25,0.1875,0.25,0.25,0.25,0.25,0.3125,0.3125,0.3125,0.375,0.4375,0.4375,0.5,0.5625,0.5,0.4375,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.25,0.1875,0.1875,0.1875,0.1875,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3125,0.3125,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.3125,0.375,0.25,0.25,0.25,0.25,0.25,0.25,0.1875,0.25,0.25,0.25
auc_pr_bag,0.11349206349206349,0.14930555555555555,0.12777777777777777,0.11944444444444444,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.14027777777777778,0.14027777777777778,0.14027777777777778,0.1611111111111111,0.20277777777777778,0.20277777777777778,0.21180555555555555,0.5868055555555556,0.5777777777777777,0.20277777777777778,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.1611111111111111,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.12777777777777777,0.11944444444444444,0.11944444444444444,0.11944444444444444,0.11944444444444444,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.14027777777777778,0.14027777777777778,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.14027777777777778,0.1611111111111111,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.11944444444444444,0.12777777777777777,0.12777777777777777,0.12777777777777777
Date,2024-05-26
Time,69.03133201599121
seed,4
Number of anomalous bags,2
Number of anomalies,7
Rewards bag 0,1.0223130788371056e-05,4.062092882196548e-06,1.2591656756484137e-06,2.2114453854614147e-06,6.477954183938574e-07,5.412481693752507e-07,1.010235878643059e-06,1.6691052740831822e-07,5.18187510966093e-07,9.074710006367062e-07,1.0477888382244948e-06,1.00979796615589e-06,3.493167407328861e-07,2.1335290935684458e-07,9.076451361356771e-07,1.3013411410145607e-06,1.346232851859383e-06,7.863254884537961e-07,8.585906768530634e-07,1.2429914391246368e-06,4.872900908113836e-07,2.8518736516734533e-07,5.676977107991428e-07,1.3391735166513275e-07,6.122904592296743e-07,5.976401981549119e-07,3.401152639013721e-07,5.38210637347235e-07,2.2888243277137975e-07,1.9785192939797681e-07,4.932075501006022e-07,1.7666906782291674e-07,1.890501716646958e-07,2.3952105638964684e-07,5.392784741901586e-07,2.1751638921434913e-07,3.2310726671110435e-07,6.877738207247622e-07,5.290706903420101e-07,4.02613094494446e-08,2.6991107804520144e-07,1.9246770929048347e-07,6.808964812166052e-07,1.0953954819437058e-07,2.94727659232858e-07,4.034936839663249e-07,2.1892954398617494e-07,1.265586703903767e-07,1.448836751744517e-07,1.4173299745931037e-07,9.395763889121797e-07,4.1281051952064413e-07,2.0991217686390546e-07,7.88621883631192e-07,3.1202842312333935e-07,2.457015045597499e-07,2.2292743364528527e-07,1.5623068792155498e-07,1.1757098993488353e-07,2.1933996123264638e-07,3.511378526111523e-07,1.679092209161271e-07,4.457693088517803e-07,2.5611591213838728e-06,3.096211067914881e-07,6.814248770508136e-08,3.193499639019868e-07,1.2516481025203137e-07,5.7669729938105125e-08,1.678754352530359e-07,4.354187914481354e-07,6.931296464024041e-08,2.0122054469007008e-07,2.6684220158277277e-07,6.424407074615371e-08,1.2648500421261749e-06,4.1435002384079103e-07,1.8868503461744137e-07,7.579819905878225e-07,2.440710704337616e-07,1.0849762617485765e-07,1.0374088103039204e-07,1.2005407154871492e-07,1.0135976086475117e-06,9.919453550631549e-07,2.3501428654436962e-07,1.2625670749441645e-07,2.0218932356869667e-07,9.160609677327395e-08,9.166405456849081e-08,1.8965799095764394e-06,2.803888850820207e-07,1.261895229866812e-07,3.848073500065446e-07,1.5611979673635237e-07,9.329178051206034e-08,9.704878508859169e-08,1.6191475366936899e-07,1.0188546072458915e-07,2.10086246356525e-07
Prob contr bag 0,0.10223130788372183,0.04062092882196995,0.012591656756485523,0.022114453854616585,0.006477954183939288,0.005412481693753103,0.010102358786431702,0.001669105274083366,0.005181875109661501,0.009074710006368062,0.0104778883822461,0.010097979661560012,0.0034931674073292456,0.002133529093568681,0.009076451361357771,0.01301341141014704,0.013462328518595313,0.007863254884538828,0.00858590676853158,0.012429914391247738,0.004872900908114372,0.0028518736516737675,0.005676977107992053,0.001339173516651475,0.006122904592297417,0.0059764019815497765,0.0034011526390140957,0.005382106373472943,0.0022888243277140495,0.001978519293979986,0.0049320755010065645,0.001766690678229362,0.001890501716647166,0.0023952105638967323,0.00539278474190218,0.0021751638921437308,0.0032310726671113993,0.006877738207248379,0.005290706903420684,0.0004026130944944903,0.002699110780452312,0.0019246770929050466,0.006808964812166802,0.0010953954819438265,0.0029472765923289047,0.004034936839663694,0.0021892954398619905,0.0012655867039039063,0.0014488367517446767,0.0014173299745932598,0.009395763889122832,0.004128105195206896,0.0020991217686392857,0.007886218836312789,0.003120284231233737,0.00245701504559777,0.0022292743364530983,0.0015623068792157218,0.0011757098993489647,0.0021933996123267054,0.00351137852611191,0.0016790922091614558,0.004457693088518294,0.025611591213841548,0.0030962110679152222,0.0006814248770508886,0.00319349963902022,0.0012516481025204515,0.0005766972993811148,0.001678754352530544,0.004354187914481834,0.0006931296464024805,0.0020122054469009225,0.0026684220158280213,0.0006424407074616078,0.01264850042126314,0.0041435002384083664,0.0018868503461746215,0.00757981990587906,0.002440710704337885,0.001084976261748696,0.0010374088103040347,0.0012005407154872813,0.010135976086476234,0.009919453550632642,0.002350142865443955,0.0012625670749443036,0.0020218932356871893,0.0009160609677328404,0.000916640545685009,0.018965799095766483,0.002803888850820516,0.001261895229866951,0.00384807350006587,0.0015611979673636957,0.0009329178051207061,0.0009704878508860238,0.0016191475366938682,0.0010188546072460037,0.0021008624635654814
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
