auc_roc,0.5188541666666667,0.555625,0.6146874999999999,0.6345833333333334,0.6263541666666667,0.6460416666666667,0.5914583333333333,0.5588020833333334,0.5455208333333333,0.5389583333333334,0.5746875,0.6021875,0.6859375,0.6407291666666667,0.6803124999999999,0.6397916666666668,0.6995833333333333,0.7772916666666666,0.7252083333333333,0.6451041666666667,0.72609375,0.69015625,0.6656770833333333,0.6522916666666666,0.6347916666666669,0.6267187499999999,0.5949479166666667,0.7177083333333333,0.6654687499999999,0.6842187499999999,0.6833333333333333,0.75390625,0.7498958333333333,0.6552604166666667,0.7061458333333334,0.7113020833333333,0.6073958333333332,0.7208333333333333,0.6854166666666667,0.6634374999999999,0.6605729166666666,0.62796875,0.6938541666666667,0.7264583333333333,0.6908333333333334,0.7392708333333333,0.6766666666666666,0.67125,0.6832291666666666,0.6792708333333334,0.6694791666666666,0.6821875000000001,0.74125,0.69625,0.7088541666666667,0.7336458333333333,0.7621875,0.7310416666666667,0.6994791666666667,0.7067708333333332,0.6962499999999999,0.6461458333333333,0.80703125,0.7345833333333334,0.6786979166666666,0.6746354166666666,0.6366145833333334,0.6797395833333335,0.6634895833333334,0.6891666666666667,0.7293229166666667,0.7469270833333334,0.7577083333333333,0.70703125,0.7005729166666667,0.6803125,0.7579166666666667,0.6646354166666667,0.6778124999999999,0.6841666666666667,0.6390625,0.6891145833333334,0.7088541666666667,0.7025,0.7297395833333333,0.6518750000000001,0.8016666666666666,0.713125,0.6644791666666666,0.6673958333333333,0.7076041666666666,0.6941666666666667,0.6649999999999999,0.7078125000000001,0.614375,0.6308333333333334,0.6575,0.6461458333333333,0.6486458333333334,0.61875
auc_pr,0.06681952289956102,0.06650720799148206,0.08739009353874791,0.08815119284498094,0.07912997656343262,0.16938835932506105,0.11360865144218205,0.13112626475429756,0.1574264177533078,0.1494087371228176,0.155041560945151,0.15526017498994696,0.1847437921371632,0.25204930193625313,0.2658450372061228,0.24134867322518813,0.22991502532830468,0.3313300516367319,0.33320541804818876,0.3138264129498204,0.3192711487767161,0.31972917323445493,0.31433667528928094,0.3147619701191459,0.30828982361418517,0.30133166128768585,0.2937431689109883,0.3125546882536097,0.30966058334247826,0.30687235743767144,0.30757702428426237,0.32993963533763226,0.31821163654549267,0.2590680567174386,0.289611142863757,0.318656494179831,0.3066011498132276,0.2994139921102066,0.31094082246400584,0.3047913344935126,0.3146705987600564,0.3150394028111878,0.3344701256962581,0.3432790399313419,0.3337923149538896,0.34536034488209955,0.3327508186740538,0.33278574385206544,0.3329361666635123,0.3283192210415798,0.3368540240177886,0.34124739237743884,0.337416861588126,0.3368612821051672,0.3372988950345973,0.3380770653613244,0.3504496441247079,0.34361880571510983,0.34689644330448516,0.34453388981525784,0.33881798224946696,0.3329206347021188,0.38276461718144467,0.37308596656406956,0.36277083610753863,0.3621538706833106,0.3657234121141203,0.3645250548602985,0.36073795947716253,0.36170992234984106,0.36958474971373134,0.381164076613897,0.37291146848338674,0.36440340311555103,0.36091564894814876,0.36260585784094523,0.36853952117346067,0.361924616918186,0.3671939393924775,0.3638783064313178,0.364264908168645,0.37466329680801574,0.37366542069309655,0.3672270448056604,0.36563846938705313,0.35682011993322255,0.4625819107087125,0.41590741028081685,0.43376197259028293,0.40991676232520274,0.3883350422383164,0.35290690695032645,0.3418278548581447,0.36118192887816974,0.346251910519303,0.3416194849912182,0.34325981730147614,0.3346571634398841,0.33134417694503004,0.3348273328053749
auc_roc_bag,0.25,0.25,0.5,0.5,0.5625,0.8125,0.75,0.6875,0.5625,0.5625,0.5625,0.5625,0.8125,0.875,0.8125,0.75,0.6875,0.5625,0.5,0.5,0.5,0.5625,0.5625,0.625,0.625,0.5625,0.5,0.5625,0.5625,0.5,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5,0.5625,0.5625,0.5625,0.5,0.5,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.6875,0.6875,0.5625,0.5,0.5,0.5,0.5,0.5625,0.5625,0.5625,0.5,0.5,0.5625
auc_pr_bag,0.1284722222222222,0.1284722222222222,0.17559523809523808,0.18333333333333335,0.19583333333333333,0.7,0.6666666666666666,0.6428571428571428,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5416666666666666,0.75,0.7,0.6666666666666666,0.6428571428571428,0.6111111111111112,0.6,0.6,0.6,0.6111111111111112,0.6111111111111112,0.625,0.625,0.6111111111111112,0.6,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6111111111111112,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6111111111111112,0.6,0.6,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6,0.6,0.6,0.6,0.6111111111111112,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6666666666666666,0.6428571428571428,0.6428571428571428,0.6111111111111112,0.6,0.6,0.6,0.6,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6111111111111112
Date,2024-05-17
Time,63207.70780801773
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,2.279970179293239e-06,1.2187338135875137e-05,2.1754452624450268e-05,1.0045468557809109e-05,5.857887949979317e-06,1.1766306373278329e-05,4.477470864354535e-06,2.2446930524567054e-06,4.0280057350637295e-06,4.072347750145024e-06,2.201853306902926e-06
Rewards bag 1,5.121253918894278e-06,2.0158305469402915e-05,2.1743936286742715e-05,9.089565250723934e-06,6.006273777083187e-06,1.9981614052927433e-06,1.3912459867005622e-06,3.451399852881443e-06
Rewards bag 2,5.964102746505647e-06,1.650962135735829e-05,1.4492813945200305e-05,3.620516143109046e-06,2.0405104265156738e-06,7.380257598660663e-06,4.5410433489495285e-06,6.260045407209246e-06,2.2145499225209e-05,6.790466150543413e-06,1.9039176144915707e-06,2.666946625741831e-06,2.7563419289764175e-06,7.818996461502694e-06
Rewards bag 3,7.145402358689411e-06,1.705585047848674e-05,1.130149502689618e-05,9.019377850467809e-06,4.9312646425035365e-06,4.881696256423122e-06,1.405611705152698e-06,1.5570901730679538e-06
Rewards bag 4,3.360044696091225e-05,1.7442607757590216e-05,5.5402003599156435e-06,2.4957645634134908e-06,2.4674860063122243e-06,9.498180340052986e-07,2.80766438420241e-06
Rewards bag 5,2.164377905736318e-05,1.6253347149895427e-05,5.227905331862653e-06,8.746862265946189e-06,5.9085900653253576e-06,4.3123998884476205e-06,8.424157673911109e-06,5.851954786714777e-06,2.43359733819328e-06,6.915998698883699e-06,1.6922604811513616e-06,1.0315496531187032e-05,4.736706367641871e-06,3.6626541441051915e-06,2.1347306538060994e-06
Rewards bag 6,2.0439197715510914e-05,2.055091583236962e-05,1.0524588864252561e-05,6.382661237213793e-06,5.2280807160986276e-06,6.022586210537934e-06,5.052420305098483e-06,3.1144898274873405e-06,3.247540457298274e-06,2.5376175238841855e-05,2.1914467860858214e-06,2.067048343347754e-06,1.064599973297481e-06
Rewards bag 7,2.377708491533623e-05,2.2357638261529762e-05,2.7887782546723222e-06,2.1554228456994543e-06,8.687772759589437e-07,1.092300081729532e-06,4.32049689242065e-06
Rewards bag 8,1.8614087703617713e-05,1.9548411958708828e-05,4.798303312925615e-06,7.934367974054065e-06,4.530452837840809e-06,7.157088495657299e-06,3.569532619509742e-06,3.614889675849201e-06,2.1556818470196603e-06
Rewards bag 9,2.5755335966859967e-05,3.0051049778759325e-05,1.6765077658288311e-06,9.724462440884546e-07,8.430286082997807e-07,6.166581616094797e-07,7.387542003139997e-07
Prob contr bag 0,0.022799701792934904,0.12187338135876478,0.21754452624452664,0.10045468557810215,0.05857887949979962,0.11766306373279624,0.044774708643550286,0.022446930524569527,0.04028005735064173,0.04072347750145472,0.022018533069031686
Align contr bag 0,1.9510956290251733e-163,1.1467305921377978e-216,5.598179870938286e-173,5.598179870938286e-173,0.0,2.181902838683142e-174,2.181902838683142e-174,4.9101293784934405e-231,0.0,0.0,0.0
Prob contr bag 1,0.05121253918894842,0.20158305469405136,0.21743936286745108,0.09089565250724935,0.06006273777083848,0.019981614052929635,0.013912459867007154,0.03451399852881823
Align contr bag 1,3.0995558568424127e-144,4.5711104644195436e-166,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 2,0.05964102746506304,0.1650962135736011,0.14492813945201902,0.036205161431094444,0.020405104265158985,0.07380257598661476,0.04541043348950029,0.06260045407209935,0.22145499225211437,0.06790466150544161,0.019039176144917805,0.026669466257421247,0.027563419289767212,0.07818996461503555
Align contr bag 2,1.0351005966752218e-160,1.773255168563018e-145,1.773255168563018e-145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 3,0.07145402358690198,0.17055850478488618,0.11301495026897423,0.09019377850468803,0.049312646425040796,0.04881696256423659,0.014056117051528528,0.015570901730681253
Align contr bag 3,4.0248657285056976e-153,4.0248656988502057e-153,4.36943002993721e-161,0.0,0.0,0.0,0.0,0.0
Prob contr bag 4,0.3360044696091595,0.17442607757592138,0.05540200359916254,0.024957645634137656,0.02467486006312496,0.009498180340054032,0.028076643842027193
Align contr bag 4,8.691842625482815e-156,2.178065097223016e-200,0.0,0.0,0.0,0.0,0.0
Prob contr bag 5,0.21643779057365564,0.16253347149897215,0.05227905331863229,0.08746862265947153,0.05908590065326008,0.04312399888448095,0.08424157673912036,0.058519547867154215,0.02433597338193548,0.06915998698884461,0.01692260481151548,0.10315496531188167,0.04736706367642393,0.03662654144105595,0.021347306538063347
Align contr bag 5,1.4286115029819577e-211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 6,0.20439197715513166,0.20550915832371883,0.1052458886425372,0.06382661237214496,0.05228080716099203,0.06022586210538597,0.050524203050990396,0.031144898274876834,0.03247540457298632,0.2537617523884465,0.021914467860860626,0.020670483433479818,0.010645999732975983
Align contr bag 6,1.5456209210650935e-147,1.5456209210651146e-147,2.67025662458511e-217,2.67025662458511e-217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 7,0.23777084915338847,0.22357638261532226,0.027887782546726293,0.021554228456996918,0.008687772759590394,0.010923000817296523,0.04320496892421126
Align contr bag 7,1.2915662548837303e-151,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 8,0.18614087703619764,0.19548411958710982,0.047983033129261436,0.07934367974054939,0.045304528378413075,0.07157088495658087,0.03569532619510135,0.036148896758495995,0.02155681847019898
Align contr bag 8,2.4452422740722096e-154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 9,0.257553359668628,0.30051049778762634,0.016765077658290158,0.009724462440885618,0.008430286082998735,0.006166581616095477,0.00738754200314081
Align contr bag 9,5.4351363393379716e-142,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
