auc_roc,0.4792297215496367,0.48059170702179177,0.4922442493946731,0.5002648305084745,0.4863423123486683,0.5014754842615012,0.4945142251815981,0.5008701573849879,0.5110093825665859,0.5164573244552058,0.5181976392251816,0.5153980024213075,0.5818326271186441,0.5539875907990315,0.5601165254237287,0.5664724576271186,0.5744930387409201,0.5673047820823245,0.5511879539951574,0.5562575665859564,0.5384004237288135,0.5603435230024213,0.5641268159806295,0.5682127723970944,0.5659427966101696,0.5676074455205811,0.5753253631961259,0.5815299636803873,0.5848592615012106,0.5940904963680388,0.5704070823244553,0.5488423123486683,0.5530796004842615,0.5563332324455206,0.5869779055690073,0.5888695520581113,0.582286622276029,0.5853889225181598,0.5719960653753027,0.5688180992736077,0.5758550242130751,0.572147397094431,0.565261803874092,0.5704827481840193,0.5730553874092009,0.5774440072639224,0.5788059927360775,0.581378631961259,0.5810759685230024,0.6232975181598063,0.6178495762711864,0.6026407384987894,0.6061970338983051,0.6009760895883778,0.6013544188861984,0.6009004237288136,0.5949984866828086,0.601051755447942,0.5999924334140435,0.6033217312348669,0.6220868644067797,0.6239785108958837,0.6155796004842615,0.6176982445520581,0.6212545399515738,0.6225408595641647,0.6158065980629539,0.6190602300242131,0.621784200968523,0.6199682203389831,0.6130069612590799,0.6155796004842615,0.6095263317191284,0.6064996973365618,0.6089966707021791,0.6114179782082325,0.6138392857142857,0.6115693099273608,0.6129312953995159,0.6127799636803875,0.6189088983050848,0.6244325060532687,0.626853813559322,0.6303344430992736,0.631393765133172,0.6351013922518159,0.6258701573849879,0.6271564769975787,0.6250378329297821,0.6262484866828086,0.6234488498789347,0.6245081719128329,0.6267024818401937,0.6275348062953995,0.6321504237288134,0.662265435835351,0.6589361380145279,0.6583308111380145,0.6596927966101696,0.6574228208232445,0.658103813559322
auc_pr,0.06674051042885729,0.09376853877198252,0.09651474336470013,0.10000431935193944,0.10632376751925635,0.10938245983847375,0.10714191362773712,0.10908382209553151,0.11333300127538529,0.12057807050681445,0.1247857013602662,0.12310137079027501,0.14124425388107795,0.15215036191397788,0.15505884511679005,0.15764237015849408,0.14165406326909166,0.13995802891105902,0.13807213261368437,0.1370693579216571,0.14701293707774887,0.1614654098538269,0.16468306124655402,0.1654967741024633,0.1641128142656672,0.16588447430125558,0.1679775401729187,0.15758108760144376,0.15855387922216244,0.16581885457009732,0.1571212088234953,0.1469428021742251,0.14991272528856764,0.15166030364822333,0.17737554753354623,0.17819894746949044,0.1700920579282887,0.16986144983909038,0.16622958165292498,0.16153880617887534,0.1631952742814886,0.15929587028964146,0.15481318863915594,0.15592733217816007,0.15604495696618967,0.1637107799800221,0.16469606400069187,0.1648948680216376,0.1643722706248189,0.1857670553152343,0.18108211572144162,0.1765402219037528,0.17740993679143133,0.17466682544195203,0.1747696614902122,0.16977068918133165,0.1659698456839856,0.18072306887144649,0.17612576413474731,0.17456163182372839,0.1937835213737273,0.19140807589008374,0.18770399776804733,0.18958282236792245,0.1932869914069713,0.1937116502115176,0.18516856037845575,0.1860578573616673,0.1884880614986891,0.19008061094773437,0.18232668295254384,0.18282922272043667,0.18166970350325382,0.1803009119846577,0.17703014663125902,0.17760931971643087,0.17860317965312542,0.17836905923852137,0.1810702200671179,0.18048895015978783,0.17971235729974477,0.18295049087051607,0.18361760551968692,0.1855004579769702,0.1858300985533714,0.18362996176989077,0.18866317173403846,0.19020894832508456,0.18798807145160318,0.1887653567504512,0.1880899144893213,0.1884498816650559,0.18862546968761856,0.1927939364398621,0.19438683568649143,0.21197795570895817,0.20964067731028596,0.20890014869689236,0.20965607610281872,0.2079448132902764,0.21066095476863947
auc_roc_bag,0.6875,0.75,0.75,0.8125,0.8125,0.8125,0.6875,0.6875,0.75,0.875,0.875,0.875,1.0,0.8125,0.875,0.875,1.0,0.9375,0.875,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.8125,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.9375,0.9375,1.0,1.0,1.0
auc_pr_bag,0.2583333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6625,0.6625,0.24583333333333335,0.24583333333333335,0.2875,0.7083333333333333,0.7083333333333333,0.7083333333333333,1.0,0.6625,0.7083333333333333,0.7083333333333333,1.0,0.7916666666666666,0.7083333333333333,1.0,0.7083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.3333333333333333,0.3333333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,1.0,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0
Date,2024-05-28
Time,119.45280265808105
seed,0
Number of anomalous bags,2
Number of anomalies,28
Rewards bag 0,1.1886032138075829e-06,2.4141796894556428e-06,1.5116339946900213e-06,1.6779867126551164e-06,1.6036346248935778e-06,1.2680962872300035e-06,1.1362821391071248e-06,1.2008752793971772e-06,2.2030595011615322e-06,5.458223974015486e-07,4.169636273738928e-07,4.048113603730974e-06,2.9478004351512644e-06,8.3367702551576e-07,7.538725619817856e-07,9.657520820369575e-07,1.1862126445991196e-06,1.5202778298572573e-06,8.804862257348259e-07,2.4466991455776184e-06,1.4543782996405415e-06,1.9355125663300866e-06,7.311946016579436e-07,7.366558123724357e-07,3.191400956398297e-07,8.706335827786932e-07,8.477185158358751e-07,4.628980260129617e-07,9.7996599838733e-07,1.3271216520401216e-06,1.0419049538870322e-06,1.400834279244416e-06,1.1436495910768752e-06,3.0575188304861074e-06,4.6094749712217395e-07,7.487202605093499e-07,3.800501364699148e-07,4.596302227750332e-07,1.3865803738855726e-06,9.375776449960061e-07,7.059451425952756e-07,6.718809835178797e-07,7.159525781548241e-07,4.239690977642541e-07,7.874283112657088e-07,3.4254375706964376e-07,1.1427399306142893e-06,1.9889387990901687e-06,3.783404893217181e-06,1.2733484202294198e-06,1.1084184772369783e-06,2.7729097860550544e-07,5.04259484126757e-07,2.682555895291689e-07,8.518633825200087e-07,4.122831630758644e-07,4.928597239806051e-06,5.131536002833496e-07,1.2326126007811264e-06,3.4866985012627623e-06,1.0644985550706579e-06,1.1400090043960535e-06,8.176874571151399e-07,4.169873050088644e-07,1.7637540779472187e-07,6.899379969192455e-07,8.955869167619232e-07,7.089458319228926e-07,4.511871120934752e-07,3.844184178023538e-07,3.8394821327858233e-07,1.2389511425933833e-06,5.726390651494041e-07,2.477852482712383e-07,2.1878155266912786e-07,2.845747690568482e-07,1.2127835134436118e-06,1.777967661724522e-07,2.7299579191315933e-07,4.6845771176968207e-07,4.42669874686024e-07,3.565046954481711e-07,9.88941840131267e-07,1.1719482278070292e-06,8.916799467884777e-07,4.002531650438863e-07,2.7117469782858436e-07,2.9855870794933496e-07,6.297157828227577e-07,2.2407639333952193e-07,1.0245973279111113e-07,2.2847681612299907e-07,4.387255278171147e-07,2.3740943503128082e-07,4.46633227423511e-06,6.30982761788344e-07,2.565812349966467e-07,4.6970674246364776e-07,3.2814443936584383e-07,1.2276296617695625e-06
Prob contr bag 0,0.011886032138077138,0.024141796894559087,0.015116339946901878,0.01677986712655301,0.016036346248937544,0.012680962872301431,0.0113628213910725,0.012008752793973093,0.02203059501161775,0.005458223974016087,0.004169636273739387,0.0404811360373142,0.02947800435151589,0.008336770255158518,0.007538725619818686,0.009657520820370639,0.011862126445992502,0.015202778298574247,0.008804862257349229,0.02446699145577888,0.014543782996407016,0.019355125663302997,0.007311946016580241,0.007366558123725169,0.0031914009563986483,0.008706335827787891,0.008477185158359685,0.004628980260130127,0.009799659983874378,0.013271216520402678,0.01041904953887147,0.014008342792445703,0.011436495910770011,0.030575188304864442,0.004609474971222247,0.007487202605094323,0.0038005013646995665,0.004596302227750838,0.013865803738857253,0.009375776449961093,0.007059451425953534,0.006718809835179537,0.007159525781549029,0.004239690977643008,0.007874283112657955,0.003425437570696815,0.011427399306144151,0.019889387990903878,0.03783404893217598,0.0127334842022956,0.011084184772371004,0.0027729097860553597,0.005042594841268125,0.0026825558952919843,0.008518633825201025,0.004122831630759098,0.04928597239806594,0.005131536002834061,0.012326126007812622,0.03486698501263146,0.010644985550707751,0.01140009004396179,0.0081768745711523,0.004169873050089103,0.0017637540779474128,0.006899379969193215,0.008955869167620218,0.007089458319229707,0.0045118711209352486,0.003844184178023961,0.003839482132786246,0.012389511425935197,0.005726390651494671,0.002477852482712656,0.0021878155266915195,0.0028457476905687953,0.012127835134437454,0.0017779676617247176,0.002729957919131894,0.004684577117697337,0.0044266987468607275,0.0035650469544821037,0.009889418401313759,0.011719482278071583,0.00891679946788576,0.004002531650439304,0.0027117469782861423,0.002985587079493678,0.00629715782822827,0.002240763933395466,0.0010245973279112241,0.0022847681612302422,0.00438725527817163,0.0023740943503130696,0.044663322742356015,0.006309827617884134,0.00256581234996675,0.004697067424636995,0.0032814443936587997,0.012276296617696978
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
