auc_roc,0.5417515274949083,0.5469563249603983,0.5734329033718035,0.5530663045937995,0.5392622765331523,0.5277212038922833,0.5324734102738176,0.54989816700611,0.5723014256619144,0.5824847250509165,0.5747906766236704,0.5695858791581805,0.5652862638606019,0.5829373161348721,0.5883684091423398,0.5910839556460737,0.5897261823942068,0.5949309798596968,0.5935732066078299,0.5922154333559628,0.5931206155238742,0.5775062231274044,0.5786377008372935,0.57795881421136,0.5842950893867391,0.5910839556460737,0.5904050690201403,0.5942520932337633,0.6109979633401221,0.6137135098438561,0.6057931658746323,0.6078298257524326,0.6121294410500113,0.6085087123783661,0.5990042996152976,0.5985517085313419,0.6094138945462775,0.6091875990042995,0.617560534057479,0.5797691785471826,0.5797691785471826,0.5827110205928943,0.5797691785471826,0.589499886852229,0.5951572754016745,0.5996831862412311,0.60081466395112,0.6066983480425436,0.6085087123783661,0.6100927811722109,0.6134872143018782,0.64448970355284,0.6528626386060195,0.6499207965603078,0.6472052500565739,0.6490156143923964,0.6544467073998642,0.6553518895677755,0.6646300067888662,0.6619144602851323,0.662367051369088,0.6650825978728219,0.6628196424530437,0.6591989137813985,0.658520027155465,0.6494682054763521,0.6481104322244852,0.6338538130798822,0.6284227200724146,0.6288753111563702,0.6295541977823036,0.6263860601946142,0.6146186920117673,0.6238968092328581,0.6220864448970356,0.6279701289884589,0.6334012219959266,0.6370219506675718,0.639511201629328,0.6413215659651504,0.6456211812627292,0.6481104322244852,0.6381534283774609,0.6417741570491061,0.6481104322244852,0.6499207965603078,0.642000452591084,0.636795655125594,0.6374745417515275,0.6424530436750395,0.6433582258429509,0.6435845213849287,0.6449422946367956,0.642000452591084,0.645621181262729,0.6499207965603077,0.6990269291694953,0.7001584068793845,0.7012898845892735,0.7031002489250961,0.6997058157954289
auc_pr,0.018176344460575214,0.01840029821216258,0.019679922674128915,0.018882223345326424,0.018606924297975586,0.02257584836584163,0.0226274675872024,0.02403902863094083,0.025287452037814413,0.025667741649947173,0.02139408821767128,0.021372921126787653,0.021308679661190245,0.022770430945848855,0.0226650094457964,0.023027880155754642,0.023313030365260015,0.02355984960027721,0.023042068330902995,0.021941403210326827,0.021996707626372063,0.021391544527829064,0.021693437122621905,0.021535962468164197,0.021905125130390918,0.022345057386135438,0.022328752122114815,0.02259304817084322,0.02439493961434578,0.02501489001461691,0.02443000441542062,0.024553948559204942,0.024866296984540986,0.02470822521490792,0.02435563161986486,0.024349231657333666,0.025179166967596457,0.025237830598895453,0.026205681635891834,0.023681913956635145,0.023807384444503435,0.025586990404926586,0.025618996951665196,0.026644307302078608,0.02739139312508159,0.027840395224301144,0.028180230409435916,0.028097332858699746,0.028203182750410893,0.028302163250291203,0.028389527243063793,0.033041789211026094,0.0338952306500349,0.033744678654184325,0.033248190458810785,0.03400095906054495,0.03339187730092437,0.03279011636660089,0.03293203298688581,0.032845742389457706,0.032547665128697584,0.033972436569544254,0.03418174089137007,0.0338803681887436,0.03335096382683597,0.034123495868480645,0.035331849424115054,0.034430660542920835,0.03440025538806804,0.03391694143493859,0.034031215667139604,0.03377592580567483,0.03322437985413576,0.03393200614904729,0.033757097567162796,0.03396608729067015,0.036256880054718534,0.03685281190456519,0.037527799732803825,0.03533932524695738,0.035950260160362846,0.036342811182650606,0.03574646931878223,0.0362559935745235,0.03677217992403836,0.03687454119815901,0.03637782390147788,0.035314463548219786,0.036541076552817874,0.03682290500341168,0.03606969914161313,0.036075939069786706,0.03675367089839052,0.036052351147727084,0.03607108916199246,0.037034912044392444,0.05658382971908989,0.05500322267113928,0.05487963026060326,0.0543638146220804,0.054400232158815
auc_roc_bag,0.8125,0.8125,0.8125,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.75,0.75,0.8125,0.75,0.6875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.8125,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.875,0.875
auc_pr_bag,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7083333333333333,0.7083333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6625,0.6625,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6333333333333333,0.6130952380952381,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6625,0.6625,0.6625,0.6625,0.2875,0.6625,0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,0.6625,0.6625,0.6625,0.6625,0.6625,0.2875,0.2875,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333
Date,2024-05-28
Time,113.49949955940247
seed,0
Number of anomalous bags,2
Number of anomalies,9
Rewards bag 0,5.325440744700203e-07,1.7497267724637659e-06,1.5514097973768957e-06,1.182480595197051e-06,6.574823951811001e-06,7.796496783107441e-07,7.246197521665511e-07,2.102100250502981e-06,7.643344404429256e-07,3.333171796070978e-06,1.5015108681761358e-06,8.802870827179906e-07,1.1935171646856328e-06,4.821314112285328e-07,7.118820753328532e-07,1.3029733441150577e-06,5.981623703923368e-07,1.8962248580996273e-06,1.4589530469197548e-06,5.026628345107304e-07,6.907583841024522e-07,1.2431084922209107e-06,6.187065237387202e-07,4.57998947515477e-07,3.741996064863896e-07,4.2835536543460755e-07,3.9583593802130506e-07,1.7799447229701906e-06,1.0120757790081626e-06,9.880555882359005e-07,3.4449590190507165e-07,2.8735389697576987e-07,3.56931113470734e-07,9.23485035076393e-07,3.117771898451422e-07,8.294412927942967e-07,5.847264161334797e-07,1.3794656198881143e-06,2.6363189025350506e-07,1.0663384512665938e-06,9.916337957493684e-07,2.723180079564811e-07,7.748920874127054e-07,2.75534496032151e-07,6.549589488930658e-07,1.1425818445202238e-06,9.202311589945895e-07,4.604615332332793e-07,5.226613474612478e-07,5.782177279146429e-07,4.267748421703815e-06,8.504200657003315e-07,4.3723045362387657e-07,2.937121161701909e-07,5.514026475662184e-07,3.124180505012116e-07,2.716522784035643e-07,9.546244258339701e-07,4.225730747090287e-07,6.987482701164291e-07,6.416789311026421e-07,3.126304308893743e-07,5.901164087290691e-07,3.352457067110831e-07,6.248510263359431e-07,3.672535456233261e-07,2.9906287351968163e-07,2.559260533555739e-07,3.455250069321413e-07,2.194026763224697e-07,4.4067091201697567e-07,2.557959997977836e-07,5.651527904806938e-07,1.910738794144036e-07,2.6776341438806635e-07,7.507864045375743e-07,2.7086856719373336e-07,6.536296844687449e-07,2.218963885199255e-07,5.534697429779871e-07,6.608468094000602e-07,3.55509563768789e-07,2.986490720152694e-07,2.714231395702923e-07,1.8741791739123764e-07,6.419013766647911e-07,1.9818260232422251e-07,2.2317655092785797e-07,1.9554554662158e-07,3.692496664905522e-07,1.4152729687200502e-07,1.1018053670869613e-06,1.7831723513144633e-07,2.6177475297873034e-07,2.9806390632213213e-07,2.683329900767674e-06,2.398978560181638e-07,1.314367365001123e-07,4.3270394198899996e-07,3.6479543878547685e-07
Prob contr bag 0,0.005325440744700789,0.017497267724639585,0.015514097973770666,0.011824805951971811,0.06574823951811726,0.0077964967831082995,0.007246197521666309,0.021021002505032124,0.007643344404430098,0.03333171796071345,0.015015108681763012,0.008802870827180875,0.011935171646857642,0.004821314112285859,0.007118820753329317,0.013029733441152012,0.005981623703924027,0.01896224858099836,0.014589530469199155,0.005026628345107857,0.0069075838410252825,0.012431084922210477,0.006187065237387884,0.004579989475155274,0.0037419960648643084,0.004283553654346547,0.003958359380213486,0.017799447229703867,0.01012075779008274,0.009880555882360094,0.003444959019051096,0.0028735389697580153,0.0035693111347077327,0.009234850350764948,0.0031177718984517653,0.00829441292794388,0.00584726416133544,0.013794656198882661,0.002636318902535341,0.010663384512667112,0.009916337957494775,0.002723180079565111,0.007748920874127908,0.0027553449603218137,0.0065495894889313795,0.011425818445203496,0.009202311589946909,0.0046046153323333,0.005226613474613054,0.005782177279147065,0.04267748421704285,0.008504200657004251,0.004372304536239247,0.0029371211617022323,0.005514026475662792,0.00312418050501246,0.002716522784035942,0.009546244258340752,0.004225730747090753,0.006987482701165061,0.006416789311027128,0.0031263043088940873,0.00590116408729134,0.0033524570671112,0.006248510263360119,0.0036725354562336656,0.0029906287351971457,0.002559260533556021,0.003455250069321794,0.0021940267632249385,0.004406709120170242,0.0025579599979781175,0.00565152790480756,0.0019107387941442466,0.0026776341438809583,0.00750786404537657,0.002708685671937632,0.00653629684468817,0.002218963885199499,0.005534697429780481,0.0066084680940013294,0.0035550956376882814,0.0029864907201530232,0.0027142313957032216,0.0018741791739125828,0.006419013766648618,0.0019818260232424435,0.0022317655092788254,0.0019554554662160155,0.003692496664905929,0.001415272968720206,0.011018053670870828,0.0017831723513146596,0.002617747529787592,0.0029806390632216495,0.026833299007679695,0.002398978560181902,0.0013143673650012676,0.004327039419890476,0.00364795438785517
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
