auc_roc,0.4656545545047287,0.46420652518213495,0.4584596588080908,0.45832390605909773,0.4511742612787909,0.4427575908412145,0.4388660120367438,0.4401330376940133,0.4420788270962487,0.43954477578170964,0.43873025928775056,0.4515815195257704,0.47411647585863614,0.4667858274130051,0.4714919227114349,0.4730304538666908,0.47642427259152,0.47932033123670753,0.4820353862165709,0.488642020000905,0.4839359247024752,0.495927417530205,0.5003167564143174,0.4961536721118603,0.4906783112358025,0.49262410063803785,0.4887777727498982,0.48303090637585416,0.48176388071858456,0.48298565545952304,0.480451604144984,0.4761527670935336,0.4753835015159057,0.48122086972261185,0.4821711389655641,0.483754921037151,0.4855649576903932,0.4844789356984479,0.4826236481288746,0.4898637947418435,0.490271052988823,0.4815828770532603,0.48185438255124663,0.4836191682881578,0.4890945291642156,0.48882302366622926,0.48470519028010317,0.4882800126702566,0.4917643332277479,0.4914023258970995,0.4905878094031404,0.4921263405583963,0.4909950676501199,0.48330241187384043,0.48814425992126337,0.48153762613692924,0.48058735689397714,0.4763790216751889,0.4724874428707181,0.47420697769129827,0.47669577808950625,0.48656047784967643,0.48945653649486404,0.48357391737182676,0.48248789537988146,0.4826236481288746,0.48149237522059823,0.481311371555274,0.4801800986469976,0.4825783972125436,0.4864247251006833,0.4859269650210417,0.48506719761075157,0.4843431829494547,0.4867867324313317,0.485383954025069,0.48502194669442056,0.4857459613557174,0.48298565545952304,0.47913932757138333,0.4798180913163491,0.4792750803203766,0.4697271369745238,0.4695008823928684,0.46922937689488214,0.465880809086384,0.46674057649667405,0.4691841259785511,0.47144667179510386,0.474795239603602,0.47411647585863614,0.47542875243223676,0.4729852029503598,0.47366396669532557,0.4739354721933119,0.47429747952396034,0.478913072989728,0.47959183673469385,0.4818091316349156,0.4814471243042671,0.48226164079822614
auc_pr,0.10955056995186685,0.10791039520262169,0.09992961825063554,0.09579583583806422,0.09376389660366169,0.09307338723184208,0.0915150292936151,0.09093381899622743,0.09132606847000932,0.09106087021161696,0.08868242802677692,0.09080754166184574,0.09892286866053408,0.09545051023807744,0.0968682671060537,0.09719848999568048,0.09821529826309247,0.09924002109420058,0.10017595941254412,0.10214367724075782,0.09957273099469392,0.10293163307785005,0.10440580679687772,0.10476930166069345,0.10273881287317883,0.1033757867614861,0.09981998569435829,0.09763290827229172,0.1005079461061164,0.10027793598089711,0.09914544971766574,0.09773787432076,0.09709470310351223,0.09810018070715212,0.09846892992425091,0.09888605416969605,0.09982295496112065,0.09914015695881222,0.09909837875833372,0.10070222416508218,0.10059406636968535,0.09868794895556787,0.09855362495254445,0.09943260206568064,0.10194367241411215,0.101925987322236,0.10015798718723884,0.10143791569598301,0.10261633478443077,0.10231627957284348,0.10233499383562097,0.102472925562017,0.10228414098786734,0.10116097772928598,0.10233078890050476,0.10127697858659608,0.10157777992263764,0.09975925173556738,0.0984391923193679,0.09890765678536431,0.0992291901995987,0.10151774877952542,0.10249942536152404,0.09873543551798228,0.09839577627748611,0.09869889806811971,0.09850329414981582,0.0980512653440126,0.09820604486207703,0.09879837629706437,0.10185353248054796,0.10180270271292696,0.10084629639896872,0.10098404356887189,0.10465106282097131,0.10425192819110732,0.1043491609615447,0.10445135743380497,0.10383530805793469,0.10251224088856707,0.10308003428013664,0.10392985594253969,0.10522771661537642,0.10428468065870725,0.10437416025992707,0.10369103712298741,0.10392877657182936,0.10400742155053563,0.10398038595446062,0.10456375296185713,0.1066960888696594,0.10713799016346785,0.10590421452473722,0.1060041797243293,0.10640948001355159,0.10669432412784778,0.10773330308310708,0.10730346279935177,0.10844750005596185,0.10808268031181555,0.10851074302334954
auc_roc_bag,0.75,0.7916666666666667,0.8333333333333334,0.7916666666666667,0.7083333333333334,0.7500000000000001,0.7083333333333334,0.7916666666666667,0.9166666666666667,0.9166666666666667,0.875,0.875,0.7083333333333334,0.8333333333333334,0.75,0.75,0.75,0.75,0.6666666666666667,0.625,0.7083333333333333,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.625,0.625,0.5833333333333334,0.6666666666666666,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.6666666666666667,0.7083333333333333,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7708333333333334,0.7708333333333334,0.7291666666666666,0.6875,0.6875,0.6458333333333334,0.6875,0.6875,0.6875,0.6875,0.7291666666666667,0.6875,0.7916666666666667,0.7916666666666667,0.75,0.75,0.75,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7708333333333334,0.7708333333333334,0.75,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.75,0.75,0.75,0.75,0.75,0.75,0.75
auc_pr_bag,0.519345238095238,0.706845238095238,0.73125,0.54375,0.4625,0.5041666666666667,0.4625,0.54375,0.9083333333333333,0.9083333333333333,0.8354166666666667,0.8354166666666667,0.5014880952380952,0.8660714285714286,0.6889880952380952,0.6889880952380952,0.6889880952380952,0.6889880952380952,0.6244047619047619,0.5776785714285715,0.6255952380952381,0.6005952380952381,0.6422619047619047,0.6422619047619047,0.5776785714285715,0.5776785714285715,0.39017857142857143,0.4380952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6255952380952381,0.6005952380952381,0.6005952380952381,0.6005952380952381,0.6005952380952381,0.6005952380952381,0.6005952380952381,0.6005952380952381,0.6422619047619047,0.6422619047619047,0.6005952380952381,0.6255952380952381,0.6005952380952381,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6672619047619047,0.6672619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6291666666666667,0.6291666666666667,0.6047619047619047,0.5797619047619047,0.5797619047619047,0.5380952380952381,0.5630952380952381,0.5630952380952381,0.5630952380952381,0.5630952380952381,0.5875,0.5630952380952381,0.6916666666666667,0.6916666666666667,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6291666666666667,0.6291666666666667,0.6672619047619047,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6672619047619047,0.73125,0.73125,0.73125,0.6916666666666667,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047,0.6672619047619047
Date,2024-05-26
Time,78.7599184513092
seed,5
Number of anomalous bags,4
Number of anomalies,49
Rewards bag 0,1.0921645522592286e-06,1.1309422355257572e-06,1.164271946370161e-06,8.920761470135303e-07,6.959195523939394e-07,1.1247609947983658e-06,1.4420612168093322e-06,1.2782326287193968e-06,9.078869679538277e-07,1.5300154607650591e-06,1.511667089609391e-06,6.1645855002067825e-06,3.3333909088105565e-06,1.15296120712917e-06,2.6513245925622606e-07,6.145824388600498e-07,5.412524876917282e-07,5.130273940462108e-07,1.5490262908283044e-06,1.450024901565248e-06,9.65798681072357e-07,4.0162655805357995e-07,9.220751989125571e-07,9.68900215213704e-07,3.4619459312337283e-07,9.74451915952899e-07,8.167531539517587e-07,2.112513068766467e-06,9.548204190682306e-07,4.777860707785985e-07,1.1717188476849845e-06,3.5806592811575153e-07,2.6338359659275386e-07,4.826680711201733e-07,8.641108532578106e-07,1.4467121815550271e-06,2.7957773056342074e-07,1.7976363727414102e-07,1.1255481178153446e-06,2.7570169426642206e-07,1.7860115267093048e-06,7.846381901521929e-07,1.9517995708308086e-07,5.244498468891495e-07,9.835263249668339e-07,8.639024139957024e-07,1.0461690623459452e-06,5.87879198488859e-07,3.418672361909496e-07,8.285232645682452e-07,1.1146902377212623e-06,5.690122447449809e-07,9.087487913009163e-07,5.580519817899039e-07,5.528582080746245e-07,5.990501638728055e-07,9.695541509512372e-07,9.34744191854953e-07,1.7987583330716217e-07,6.070719401148833e-07,4.0585845322431673e-07,1.0143951144822235e-07,3.2143588882310497e-07,2.3090910799772001e-07,4.616636188046087e-07,3.26792768721379e-06,4.0631638447362833e-07,6.378259688064757e-07,5.588162294590904e-07,6.991495547959197e-06,2.472433734681735e-06,8.262198854285992e-07,7.191423467344557e-07,6.8595488959592345e-06,1.0329420463453071e-06,2.153419074965017e-07,4.872737655657524e-07,9.325797192635116e-07,4.110591496535754e-06,1.4210015752038448e-07,6.417077437100874e-07,5.781074163906671e-06,2.16398621190602e-07,7.768642632444878e-07,5.32152748395383e-07,2.958549888982007e-06,1.374709990009447e-06,3.2179667153413964e-07,2.525591952889786e-07,5.330735241296838e-06,5.183346028988732e-07,3.42083420955206e-07,4.4265806771174405e-06,5.681130544031264e-07,3.14249178325918e-07,2.8108782419232876e-07,2.3066410060337e-07,9.356104120995614e-08,3.3258983860233634e-07,1.3865635664969956e-07
Prob contr bag 0,0.010921645522593488,0.011309422355258818,0.011642719463702891,0.008920761470136285,0.006959195523940161,0.011247609947984898,0.01442061216809491,0.012782326287195375,0.009078869679539277,0.015300154607652277,0.015116670896095575,0.06164585500207462,0.03333390908810924,0.01152961207129297,0.0026513245925625525,0.006145824388601175,0.005412524876917878,0.0051302739404626724,0.015490262908284749,0.014500249015654077,0.009657986810724634,0.004016265580536242,0.009220751989126587,0.009689002152138108,0.0034619459312341095,0.009744519159530065,0.008167531539518486,0.021125130687666995,0.009548204190683357,0.004777860707786511,0.011717188476851135,0.0035806592811579094,0.0026338359659278288,0.0048266807112022645,0.008641108532579057,0.014467121815551865,0.0027957773056345153,0.0017976363727416082,0.011255481178154685,0.0027570169426645243,0.017860115267095016,0.007846381901522793,0.0019517995708310237,0.005244498468892073,0.009835263249669421,0.008639024139957976,0.010461690623460605,0.005878791984889237,0.0034186723619098725,0.008285232645683364,0.01114690237721385,0.005690122447450435,0.009087487913010164,0.005580519817899654,0.005528582080746854,0.0059905016387287145,0.00969554150951344,0.00934744191855056,0.0017987583330718198,0.006070719401149502,0.004058584532243614,0.0010143951144823353,0.003214358888231404,0.0023090910799774544,0.004616636188046595,0.0326792768721415,0.004063163844736731,0.006378259688065459,0.005588162294591519,0.06991495547959967,0.02472433734682007,0.008262198854286902,0.007191423467345349,0.0685954889595999,0.01032942046345421,0.0021534190749652542,0.00487273765565806,0.009325797192636143,0.04110591496536207,0.0014210015752040013,0.00641707743710158,0.05781074163907308,0.0021639862119062583,0.007768642632445733,0.005321527483954416,0.029585498889823328,0.013747099900095983,0.0032179667153417507,0.002525591952890064,0.053307352412974254,0.005183346028989303,0.003420834209552437,0.04426580677117928,0.005681130544031889,0.003142491783259526,0.002810878241923597,0.002306641006033954,0.0009356104120996644,0.00332589838602373,0.0013865635664971484
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
