auc_roc,0.41964625332826166,0.4242107265119818,0.4237352605553443,0.4119437048307341,0.37799543552681625,0.37447698744769875,0.40490680867249906,0.4183149486496767,0.4190756941802967,0.41802966907569417,0.41603271205781667,0.41641308482312667,0.41841004184100417,0.42211867630277666,0.41584252567516167,0.4722327881323698,0.4726131608976798,0.4752757702548498,0.4730886268543173,0.4682388740966147,0.4663370102700647,0.4725180677063522,0.46557626473944463,0.4753708634461773,0.4720426017497147,0.4778432864206923,0.4701407379231647,0.49914416127805256,0.49809813617345,0.4934385697984024,0.4845949030049449,0.4853556485355649,0.4924876378851275,0.49039558767592245,0.4864016736401674,0.48316850513503234,0.48763788512742484,0.48383415747432484,0.48155192088246485,0.4792696842906048,0.4745150247242298,0.4722327881323697,0.4825028527957398,0.4779383796120198,0.4829783187523773,0.4849752757702548,0.4827881323697223,0.4859262076835299,0.4850703689615824,0.4800304298212248,0.47784328642069224,0.4828832255610498,0.4840243438569798,0.49885888170406995,0.5205401293267402,0.5240585774058577,0.5220616203879802,0.5223468999619627,0.5201597565614302,0.5206352225180677,0.5170216812476227,0.5163560289083302,0.5149296310384177,0.5182578927348802,0.5217763408139977,0.5193039178394827,0.5225370863446177,0.5240585774058577,0.5243438569798403,0.5223468999619627,0.5204450361354127,0.5220616203879802,0.5259604412324078,0.5255800684670977,0.551635602890833,0.5472613160897679,0.5507797641688854,0.5518257892734879,0.5513503233168505,0.5509699505515406,0.5469760365157855,0.5437428680106505,0.5409851654621529,0.5422213769494104,0.5408900722708254,0.5435526816279954,0.5447888931152529,0.543837961201978,0.5455496386458729,0.5441232407759604,0.5462152909851654,0.5451692658805629,0.5431723088626854,0.5735070368961582,0.5725561049828832,0.5765500190186382,0.5767402054012932,0.5761696462533282,0.5755990871053632,0.5762647394446557,0.5739825028527957
auc_pr,0.0347515259572074,0.03502010300959796,0.034873813066215675,0.03431322331589428,0.032117435952000055,0.03193237241974769,0.0336393568147562,0.03450875034387193,0.034487655185170135,0.034413212225451933,0.034364189907458466,0.03438337808428443,0.034504565966289154,0.034759325406820515,0.03430240872776269,0.038854086601170026,0.038957581398803835,0.03926058396068685,0.039149373111323243,0.038387805475729314,0.03827935599168203,0.03880775494519763,0.03823833681347556,0.039158392105758444,0.03875195771909161,0.03929430268504022,0.03850451738290263,0.041914440072550005,0.04162770049272602,0.04104577095290533,0.0399540127507571,0.0400294233193275,0.040673422320587974,0.040522597017658424,0.04022151962913198,0.039940955667061365,0.04055386126766293,0.04011876793365713,0.03992845061786535,0.03980281787196423,0.03937129781165361,0.03912359563071543,0.03987441968536741,0.039492924315838236,0.039977422080822445,0.040173822454007246,0.0400272376553807,0.040336414133285925,0.040300358265390496,0.0396459530468923,0.03951354398107139,0.0400016919244463,0.0401387196530114,0.04298150764893226,0.04696421172046376,0.047435081347962996,0.0470058874773274,0.04702000174016027,0.04650055171259897,0.0465937642707603,0.04565830826678988,0.045595432390737003,0.045458187386979376,0.045830053028502404,0.04614551954781502,0.04584881791017871,0.04615775029500285,0.04623662880098896,0.04635363982035547,0.04619586989511661,0.04607455568326954,0.046199727758872,0.04660697316713344,0.046499095616773234,0.04916044726448158,0.04870515549769101,0.04907280306737108,0.04944539586957995,0.04939088485815636,0.0493649635800459,0.04901565315657373,0.04838206153528231,0.04755110540286582,0.048121004487253635,0.04794284414729816,0.04816921428214649,0.04830870017127575,0.04837738827791727,0.048779996856895644,0.04843265816065219,0.04871694316200727,0.048598026704914817,0.0483653565250599,0.052598246182658376,0.052349906561046496,0.052863972852723366,0.05295044489155223,0.05300317051756738,0.052700033861230594,0.052823249088666424,0.052358649632558873
auc_roc_bag,0.5,0.625,0.6875,0.5,0.5625,0.5,0.625,0.6875,0.625,0.625,0.6875,0.6875,0.625,0.6875,0.625,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.625,0.625,0.625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125
auc_pr_bag,0.17559523809523808,0.21666666666666667,0.2583333333333333,0.17559523809523808,0.1964285714285714,0.18154761904761904,0.23809523809523808,0.6130952380952381,0.5982142857142857,0.5982142857142857,0.6130952380952381,0.6130952380952381,0.23809523809523808,0.6130952380952381,0.23809523809523808,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.19583333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.6625,0.2875,0.2875,0.2875,0.6625,0.6625,0.6625,0.6625,0.6625
Date,2024-05-25
Time,74.92151498794556
seed,3
Number of anomalous bags,2
Number of anomalies,22
Rewards bag 0,2.646723743444297e-06,2.218155311365651e-06,2.870277595434049e-06,1.2363528557854453e-06,1.0903563478970118e-06,2.2192579275071826e-06,9.128056422479478e-07,1.2147033336286616e-06,5.447646236973266e-07,6.541689600255339e-07,2.624996214484794e-07,7.240228379090392e-07,1.0148020680092141e-06,1.0670944195289989e-06,2.952020537925059e-06,5.624697128712264e-07,1.6312065069720584e-07,3.7633174681121713e-07,9.179765585907042e-07,3.298059543412198e-07,3.231898476955094e-07,3.8197135989019767e-07,9.552482137832025e-07,9.504431873706095e-07,4.299985752634121e-07,9.26336902524357e-07,3.538709264692875e-06,6.777739461516487e-07,1.0629911415388461e-06,8.716028967555728e-07,2.9331067866287363e-07,3.437193989145885e-07,5.790074464763838e-07,4.618131106390606e-07,6.318988282340926e-07,1.1091701587310615e-06,1.24294431576761e-06,5.682602500227411e-07,3.112199027596227e-07,3.6980651873773316e-07,2.9286322269220414e-07,6.729891012463934e-07,4.497611589515963e-07,4.4558978867832413e-07,2.1133296533495614e-07,2.3557701089611917e-07,1.586573618319299e-07,3.4847156041903577e-07,3.869625507553434e-07,3.5086458976907964e-07,2.397068306824473e-07,3.7364008505988067e-07,9.68166255710311e-07,1.8900867469039937e-06,2.9222661409703844e-07,3.115766399796835e-07,2.0750264434361848e-07,3.3867504729349516e-07,2.62174487694089e-07,2.73466737267185e-07,2.0090579242511424e-07,1.8405944566134246e-07,2.4869423780283736e-07,2.2557221477638011e-07,3.489391968606351e-07,1.3526239359705844e-07,1.1442645562469044e-07,1.0046046799160979e-07,1.8057083729060115e-07,2.4155576603163233e-07,1.223326997184594e-07,2.514462639858924e-07,2.3193856969249358e-07,2.8654261186433903e-06,2.2733523566657122e-07,1.8354697677195546e-07,5.923356926557221e-07,2.1265513355990553e-07,1.8705361929941526e-07,1.9311814785894403e-07,5.906588780083476e-07,2.521007828622406e-07,6.560130036333098e-07,1.7966283300337594e-07,1.4378447807425723e-07,1.2794552746431086e-07,2.1615609084524574e-07,7.637990465605277e-07,1.8384629529263784e-07,1.0937556367276222e-07,1.523990336224102e-07,1.333375119461865e-07,3.475009524697099e-06,2.840484430407642e-07,1.522484297502928e-07,8.664870354149706e-08,1.4603798518757296e-07,3.869927076364456e-07,6.129505259348851e-08,2.244251994638145e-07
Prob contr bag 0,0.026467237434445883,0.022181553113658953,0.02870277595434365,0.012363528557855814,0.010903563478971319,0.02219257927507427,0.009128056422480484,0.012147033336287954,0.005447646236973866,0.006541689600256059,0.0026249962144850834,0.0072402283790911895,0.010148020680093258,0.010670944195291163,0.02952020537925384,0.005624697128712883,0.001631206506972238,0.0037633174681125856,0.009179765585908052,0.0032980595434125614,0.00323189847695545,0.0038197135989023975,0.009552482137833078,0.009504431873707142,0.0042999857526345945,0.00926336902524459,0.03538709264693265,0.006777739461517234,0.010629911415389631,0.008716028967556688,0.002933106786629059,0.0034371939891462634,0.005790074464764476,0.004618131106391115,0.0063189882823416225,0.011091701587311837,0.012429443157677468,0.005682602500228036,0.00311219902759657,0.0036980651873777387,0.0029286322269223637,0.006729891012464675,0.0044976115895164585,0.004455897886783732,0.002113329653349794,0.002355770108961451,0.0015865736183194737,0.0034847156041907415,0.00386962550755386,0.003508645897691183,0.002397068306824737,0.003736400850599218,0.009681662557104176,0.01890086746904202,0.002922266140970706,0.0031157663997971783,0.0020750264434364132,0.0033867504729353246,0.002621744876941179,0.002734667372672151,0.0020090579242513637,0.0018405944566136272,0.0024869423780286477,0.0022557221477640496,0.003489391968606735,0.0013526239359707333,0.0011442645562470305,0.0010046046799162085,0.0018057083729062103,0.0024155576603165896,0.0012233269971847285,0.002514462639859201,0.0023193856969251914,0.02865426118643706,0.0022733523566659626,0.0018354697677197566,0.005923356926557873,0.0021265513355992896,0.0018705361929943587,0.001931181478589653,0.005906588780084127,0.0025210078286226835,0.0065601300363338205,0.0017966283300339574,0.0014378447807427306,0.0012794552746432494,0.0021615609084526953,0.007637990465606118,0.0018384629529265809,0.0010937556367277427,0.00152399033622427,0.0013333751194620118,0.03475009524697482,0.002840484430407955,0.0015224842975030957,0.000866487035415066,0.0014603798518758905,0.0038699270763648823,0.0006129505259349526,0.002244251994638392
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
