auc_roc,0.3299456120943953,0.33229627581120946,0.3385186209439528,0.34022400442477885,0.34621589233038347,0.35787702802359883,0.3640071902654867,0.37018344395280234,0.3489352876106194,0.34921183628318586,0.33575313421828906,0.33372511061946897,0.3280097713864307,0.32662702802359883,0.3258434734513274,0.3204507743362832,0.32215615781710916,0.32976124631268444,0.3298534292035398,0.3301760693215339,0.3351078539823009,0.34289730825958714,0.34257466814159293,0.341883296460177,0.3413301991150443,0.34326603982300885,0.3561716445427729,0.36621957964601776,0.36677267699115046,0.3673257743362832,0.3658047566371681,0.3623939896755162,0.3698147123893805,0.3675562315634219,0.3651133849557522,0.370413901179941,0.3732715707964602,0.371427912979351,0.4439297566371681,0.43508019911504425,0.4322225294985251,0.4221285029498525,0.4163209808259587,0.40613477138643067,0.4079784292035398,0.4061808628318584,0.4087158923303835,0.4136015855457226,0.4106978244837758,0.4107900073746313,0.4068722345132743,0.4094072640117994,0.40636522861356933,0.4030466445427729,0.4029083702064897,0.403876290560472,0.4040606563421829,0.40313882743362833,0.41000645280235987,0.4057199483775812,0.40571994837758113,0.40392238200589975,0.4018943584070796,0.3993132374631268,0.39958978613569324,0.4014334439528024,0.39908278023598825,0.39834531710914456,0.3990366887905605,0.40051161504424776,0.395902470501475,0.40037334070796465,0.39894450589970504,0.3991749631268437,0.40055770648967554,0.4047981194690265,0.3973773967551622,0.396732116519174,0.4218980457227139,0.42337297197640117,0.4198239306784661,0.48052636430678464,0.4945842551622419,0.4960130899705015,0.4930632374631268,0.48744008112094395,0.48140210176991144,0.48260047935103245,0.4811716445427729,0.47550239675516226,0.4753180309734513,0.4719994469026549,0.47057061209439527,0.4662380162241888,0.4683121312684366,0.46633019911504425,0.46126014011799416,0.4596008480825958,0.4815403761061947,0.4804802728613569,0.47803742625368734
auc_pr,0.06714405721443856,0.06750853112079722,0.06787215937281386,0.06748107622478768,0.06831752590742567,0.07174215154448221,0.07260483809681582,0.07454586976873372,0.07046634924944017,0.07025900797281576,0.06860466667650314,0.06814251467274099,0.06708113240254489,0.06713839707009188,0.06717625125074231,0.06669965952217675,0.0670500365659696,0.06819494301928007,0.0682746567258373,0.06849850229140964,0.06900983333463603,0.07016829094559826,0.07031879942144394,0.07007306657956866,0.07006235603321338,0.06975760851047498,0.07193820308721044,0.0732137445680507,0.07332052760581032,0.0736102655480808,0.07349282497243403,0.07315286860712297,0.07438239951825645,0.0749727196560411,0.07444147972672935,0.07478403062911775,0.07556912866518886,0.07511934329293202,0.08813821422075756,0.08585273183527328,0.08485554372807415,0.08288955280805085,0.08133202780882028,0.07941660091570632,0.08462622175915532,0.0841925346705659,0.08465029008234884,0.08557883051129193,0.08535751879656758,0.08555323082086802,0.08444621330060989,0.08495438010620204,0.08448637528942124,0.0834847700520616,0.08392412821041642,0.08421490269405135,0.08345580486875603,0.08351683541719893,0.0846308186836165,0.08383358173615663,0.08406727527756927,0.08436965308911464,0.08430817125103754,0.08353504925177804,0.0837574870365842,0.08425696985456896,0.08411259551601238,0.08411674975084477,0.08456884090196466,0.08469509405568074,0.08365949094130326,0.08433176648742409,0.08404483467232698,0.08416175991002922,0.08320584230134205,0.08380360705347588,0.08290438884043236,0.08311916235970801,0.09207860297022194,0.09223074724720612,0.09139227152648816,0.10167365909729321,0.10749381266660138,0.10791176377911423,0.10820947128994356,0.10696907463873875,0.1058081407481119,0.10599398143927156,0.10559963133747757,0.10400214888179468,0.10362202776761409,0.1031370007910748,0.10250497007384778,0.10181092143243296,0.10235953494310424,0.1020715877687847,0.10132199034828716,0.10064998883999768,0.1094934845326648,0.10989399969577918,0.10934447277051837
auc_roc_bag,0.375,0.29166666666666663,0.25,0.3333333333333333,0.3333333333333333,0.29166666666666663,0.45833333333333337,0.45833333333333337,0.375,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.5,0.5,0.5,0.5,0.4583333333333333,0.5,0.4583333333333333,0.5,0.5,0.5,0.5,0.5,0.41666666666666663,0.4583333333333333,0.41666666666666663,0.41666666666666663,0.4583333333333333,0.5,0.4583333333333333,0.5,0.5,0.5,0.5,0.4583333333333333,0.4583333333333333,0.5,0.5,0.5,0.5833333333333334,0.5,0.375,0.375,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.39583333333333337,0.41666666666666663,0.39583333333333337,0.39583333333333337,0.39583333333333337,0.39583333333333337,0.39583333333333337,0.39583333333333337,0.39583333333333337,0.3541666666666667,0.39583333333333337,0.39583333333333337,0.39583333333333337,0.3541666666666667,0.39583333333333337,0.39583333333333337,0.4375,0.47916666666666663,0.5208333333333333,0.5208333333333333,0.5208333333333333,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.5833333333333334,0.5833333333333334,0.6041666666666667
auc_pr_bag,0.490922619047619,0.29330357142857144,0.2836309523809524,0.48080357142857144,0.48080357142857144,0.29330357142857144,0.34791666666666665,0.34791666666666665,0.31607142857142856,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5035714285714286,0.5354166666666667,0.5354166666666667,0.5354166666666667,0.5354166666666667,0.518154761904762,0.5354166666666667,0.518154761904762,0.5410714285714285,0.5410714285714285,0.5410714285714285,0.5410714285714285,0.5410714285714285,0.5035714285714286,0.518154761904762,0.5035714285714286,0.5035714285714286,0.518154761904762,0.5354166666666667,0.518154761904762,0.5354166666666667,0.5354166666666667,0.5354166666666667,0.5354166666666667,0.518154761904762,0.518154761904762,0.5354166666666667,0.5354166666666667,0.5354166666666667,0.5833333333333334,0.5410714285714285,0.490922619047619,0.490922619047619,0.490922619047619,0.48080357142857144,0.48080357142857144,0.48080357142857144,0.48080357142857144,0.48080357142857144,0.48080357142857144,0.48080357142857144,0.490922619047619,0.44300595238095236,0.5055059523809524,0.44107142857142856,0.44107142857142856,0.44107142857142856,0.44107142857142856,0.44107142857142856,0.44107142857142856,0.44107142857142856,0.428422619047619,0.44107142857142856,0.44107142857142856,0.44107142857142856,0.428422619047619,0.44107142857142856,0.44107142857142856,0.4556547619047619,0.47857142857142854,0.5202380952380952,0.5202380952380952,0.5202380952380952,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.5619047619047619,0.4196428571428571,0.4196428571428571,0.5446428571428571
Date,2024-05-28
Time,124.42626738548279
seed,1
Number of anomalous bags,4
Number of anomalies,48
Rewards bag 0,1.3233242210614238e-06,1.66654665686536e-06,1.2286509436753205e-06,1.3722209003049888e-06,2.6119653083852773e-06,1.5926523386832457e-06,2.633014309088115e-06,9.215416993568243e-07,8.921525241181908e-07,8.984965254241255e-07,6.752637432975378e-07,9.752110052770003e-07,1.2323893999360547e-06,3.854849486996385e-07,1.3658645692062475e-06,6.050796792736977e-07,1.1178521624104805e-06,7.249426499547813e-07,5.144147567362228e-07,8.066922660755441e-07,1.1401491874646663e-06,4.38433834837128e-07,1.3658005743940445e-06,3.3762266798008146e-07,9.506936646542163e-07,2.4837902353483746e-06,9.61169397146062e-07,8.983845466696563e-07,8.498366566057271e-07,5.34104202927174e-07,5.348648992872104e-07,8.129263616831857e-07,1.332906465643359e-06,4.865802589938301e-07,2.1404973196338388e-06,1.0203928406777709e-06,5.930599745933989e-07,8.030705896316917e-06,1.5667425603801933e-06,1.23469504686862e-06,9.033993377694575e-07,9.318429032645846e-07,1.529509026382403e-06,5.562122150084668e-06,2.8177969923392164e-07,3.6881334396017536e-07,1.4030522216923778e-06,6.095164215823277e-07,1.3566024907783288e-06,1.2259230943853228e-06,4.232439127667709e-07,8.263577867650049e-07,3.3963597975890935e-07,4.614475870168002e-07,6.674763823686843e-07,8.625226019610707e-07,3.333417915458881e-07,2.204594711739657e-07,4.4367239840874747e-07,1.0086896339459412e-06,2.54144569803991e-07,1.3423410354572304e-06,3.1865050022456715e-07,4.965883053405647e-07,1.0607605675874062e-07,4.607076727441529e-07,1.7179509071543519e-06,2.1756975814426957e-07,2.4537922838128944e-07,4.3179992194986007e-07,1.2138467106095308e-06,8.938799699841001e-07,4.1765836078551827e-07,4.7091366440014766e-07,2.683741962104985e-07,5.002563182138392e-07,2.8017945023043455e-07,5.1697681441178685e-06,8.169237255269656e-07,5.084769239038455e-07,4.731168466830334e-06,1.3583412317839247e-06,1.8518840433997564e-07,3.487592802331432e-07,1.1352525190870784e-06,6.774862170590033e-07,2.458244223809212e-07,4.875222308074749e-07,6.19055302308745e-07,5.979333157105677e-07,5.753213861498962e-07,3.19287356726169e-07,4.42865233038188e-07,4.633112642632063e-07,1.6408758835701202e-07,8.526123090968768e-07,3.5183910405353427e-07,3.96522048321881e-06,1.605106289562525e-06,3.9640714915512643e-07
Prob contr bag 0,0.013233242210615696,0.016665466568655436,0.012286509436754559,0.013722209003051399,0.026119653083855648,0.015926523386834212,0.02633014309088405,0.009215416993569259,0.008921525241182891,0.008984965254242245,0.006752637432976122,0.009752110052771077,0.012323893999361903,0.0038548494869968097,0.01365864569206398,0.0060507967927376435,0.011178521624106036,0.0072494264995486115,0.005144147567362794,0.008066922660756329,0.01140149187464792,0.004384338348371763,0.013658005743941949,0.0033762266798011867,0.00950693664654321,0.02483790235348648,0.00961169397146168,0.008983845466697553,0.008498366566058208,0.005341042029272328,0.005348648992872693,0.008129263616832753,0.013329064656435059,0.004865802589938837,0.021404973196340746,0.010203928406778832,0.005930599745934642,0.08030705896317801,0.01566742560380366,0.01234695046868756,0.00903399337769557,0.009318429032646873,0.015295090263825714,0.05562122150085281,0.0028177969923395265,0.0036881334396021595,0.014030522216925323,0.006095164215823948,0.013566024907784783,0.012259230943854579,0.004232439127668175,0.00826357786765096,0.0033963597975894674,0.00461447587016851,0.006674763823687578,0.008625226019611658,0.003333417915459248,0.0022045947117399,0.004436723984087963,0.010086896339460522,0.0025414456980401897,0.013423410354573782,0.0031865050022460224,0.004965883053406194,0.001060760567587523,0.004607076727442036,0.01717950907154541,0.0021756975814429353,0.0024537922838131646,0.004317999219499076,0.012138467106096645,0.008938799699841985,0.004176583607855643,0.004709136644001995,0.0026837419621052803,0.0050025631821389435,0.0028017945023046543,0.05169768144118438,0.008169237255270556,0.0050847692390390145,0.047311684668308554,0.013583412317840743,0.0018518840433999603,0.0034875928023318163,0.011352525190872034,0.00677486217059078,0.0024582442238094827,0.004875222308075286,0.006190553023088132,0.0059793331571063365,0.005753213861499596,0.0031928735672620417,0.004428652330382368,0.004633112642632573,0.0016408758835703009,0.008526123090969707,0.00351839104053573,0.03965220483219247,0.01605106289562702,0.003964071491551701
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
