auc_roc,0.33835341365461846,0.3142570281124498,0.21485943775100402,0.24397590361445787,0.2961847389558233,0.38554216867469876,0.4538152610441767,0.5753012048192772,0.6526104417670683,0.6947791164658634,0.6907630522088354,0.7690763052208835,0.6556224899598394,0.6596385542168675,0.40060240963855426,0.3965863453815261,0.042168674698795205,0.2700803212851406,0.4126506024096385,0.6315261044176707,0.6937751004016064,0.6887550200803213,0.5672690763052209,0.536144578313253,0.2831325301204819,0.35943775100401604,0.4367469879518072,0.5933734939759037,0.6506024096385542,0.7038152610441767,0.714859437751004,0.7349397590361446,0.8102409638554217,0.09638554216867468,0.071285140562249,0.5371485943775101,0.643574297188755,0.6184738955823293,0.6244979919678715,0.5993975903614458,0.5311244979919678,0.7590361445783133,0.5582329317269077,0.21184738955823296,0.4568273092369478,0.6024096385542168,0.5331325301204819,0.4236947791164658,0.6566265060240963,0.428714859437751,0.4497991967871486,0.29718875502008035,0.43775100401606426,0.568273092369478,0.4598393574297189,0.6586345381526104,0.6335341365461847,0.7419678714859438,0.7068273092369478,0.4919678714859438,0.6726907630522088,0.6947791164658634,0.5572289156626506,0.641566265060241,0.748995983935743,0.8142570281124498,0.8052208835341366,0.8152610441767069,0.7680722891566265,0.858433734939759,0.8554216867469878,0.8112449799196787,0.6927710843373494,0.7660642570281124,0.7108433734939759,0.8122489959839357,0.857429718875502,0.8654618473895582,0.820281124497992,0.8413654618473896,0.8614457831325302,0.7981927710843373,0.8303212851405622,0.8273092369477911,0.8890562248995983,0.8920682730923694,0.9849397590361446,0.9909638554216867,0.9769076305220884,0.96285140562249,0.9548192771084337,0.9528112449799198,0.9518072289156627,0.9528112449799196,0.9548192771084337,0.9829317269076305,0.9678714859437751,0.9698795180722891,0.9618473895582329,0.9588353413654619
auc_pr,0.0030314244168113784,0.002832819798119662,0.002380023511852252,0.002471119557507757,0.0026543374553993715,0.003110877049756507,0.003572442215734898,0.004392075542988914,0.005739814571085958,0.006601887332056047,0.006809330195813082,0.0081603415447057,0.005406833824975418,0.0054992391006474925,0.0032191573858240527,0.0031387166344237476,0.0020750560645206094,0.002564350437091401,0.003345104909496123,0.005080946450809465,0.00614449506565294,0.00597128087153209,0.004418018231750276,0.004056081306774665,0.002644336740636551,0.0030703725941221257,0.003330855122881831,0.004605822535115465,0.0055184997560884085,0.006408433018998332,0.006665830981033032,0.007002447232675076,0.00991401897088865,0.0021420588758171467,0.0020851141535407265,0.004253581488383359,0.005442425508214981,0.004954284257559177,0.0052644185415782275,0.004693041630868106,0.00422472145952333,0.007890091808842994,0.004397958719767231,0.0023690639432587327,0.0035358633533457565,0.004852501346588171,0.0041940583408024215,0.003279103713628699,0.005432502868648379,0.0032875325974920746,0.003490209987383032,0.002825350767702028,0.003381378740413492,0.004513816237165386,0.0034924003185296077,0.0056204469155133295,0.005358824652142215,0.007621841827187869,0.0066666830779734,0.0038200756619367433,0.005877047281648865,0.006904234251225953,0.0042059392372357715,0.005277417812128786,0.0076430427444071,0.010457138181733175,0.009809165540077196,0.010442434549577408,0.008257583456273573,0.013444888444888444,0.013433407462317767,0.009807055065675755,0.006159596108129304,0.008214712839794108,0.006636612898043706,0.010178912542586502,0.013322120917057626,0.0141496682592573,0.010796295581212752,0.012278005078475252,0.014088759610804927,0.009498606995191028,0.032388472316897676,0.2821982441891944,0.26874084467270254,0.26581982097918094,0.11744505494505494,0.5909090909090909,0.54,0.5256410256410257,0.5212765957446809,0.5204081632653061,0.52,0.5204081632653061,0.5212765957446809,0.5526315789473684,0.5294117647058824,0.53125,0.525,0.5232558139534884
auc_roc_bag,0.0,0.11111111111111116,0.0,0.0,0.11111111111111116,0.4444444444444444,0.6111111111111112,0.5555555555555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.11111111111111116,0.5555555555555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.5555555555555556,0.5,0.5,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.2222222222222222,0.6111111111111112,0.6111111111111112,0.5,0.5,0.5,0.5,0.5555555555555556,0.5,0.5,0.5,0.5555555555555556,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,0.8888888888888888,0.8333333333333334,0.6666666666666667,0.6111111111111112,0.8888888888888888,0.8888888888888888,0.6666666666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.7222222222222222,0.5,0.5,0.5,0.5
auc_pr_bag,0.05,0.05555555555555555,0.05,0.05,0.05555555555555555,0.08333333333333333,0.5625,0.5555555555555556,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.05,0.05555555555555555,0.5555555555555556,0.55,0.55,0.55,0.55,0.55,0.55,0.5555555555555556,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5555555555555556,0.5555555555555556,0.5625,0.5555555555555556,0.55,0.55,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0625,0.5625,0.5625,0.55,0.55,0.55,0.55,0.5555555555555556,0.55,0.55,0.55,0.5555555555555556,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5555555555555556,0.6666666666666666,0.625,0.5714285714285714,0.5625,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.55,0.55,0.55,0.55,0.55,0.55,0.5833333333333334,0.55,0.55,0.55,0.55
Date,2024-05-21
Time,49951.10122537613
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,4.9936170471384234e-06,3.02110580546438e-05,5.182617116027625e-07,3.184902932329117e-06,2.0652598562589685e-06,5.847891278887995e-06,1.3172161671622517e-06
Rewards bag 1,7.102991981261452e-06,3.625009041286847e-05,4.500245766965092e-07,8.161352691294891e-06,9.202385924626533e-06,2.2880604774039092e-07,9.560474837486223e-08,2.5940078161919707e-06,2.6118111369983785e-06,2.00307839966653e-05,6.816842483452397e-06,1.3962477013995325e-06,6.519948925281911e-07,2.9934828116122637e-07,7.270272341208793e-07
Rewards bag 2,8.937323660261296e-06,3.011485223375146e-05,1.216871825927904e-06,8.147918518668097e-07,2.3826490748757663e-07,1.0170490862702792e-05,1.7376054653853586e-07
Rewards bag 3,8.05885111796791e-06,3.338339655610555e-05,2.3276628938099474e-06,1.162428103686951e-06,2.7587713586157284e-07,1.863886416942674e-07,1.5142033540709863e-07
Rewards bag 4,8.569148832357399e-06,3.0346269793823215e-05,1.679854957942033e-06,2.2707431977834445e-06,1.8529418344943464e-07,1.6063554498077485e-05,1.499896434166167e-07,1.5618456960922628e-06,2.2333949705777813e-06,5.855683691189689e-07,4.047370637282205e-06
Rewards bag 5,1.377530464728165e-05,2.2113413015014102e-05,1.9439908390356163e-06,3.849388453335382e-06,2.4689781349081266e-06,4.237238422521069e-06,5.815706276403832e-06,2.43090023382694e-06,1.8238665592176324e-06,2.904752049516143e-05,2.0431653245002614e-05,2.4721692972969305e-06,8.649449432247443e-06,4.057361244049148e-05,1.832055959731972e-05,7.843981819163506e-06,4.762015470166487e-06,5.617428659662644e-06,2.1344184625876982e-06,1.9263272384550445e-07,8.261468827676511e-09
Rewards bag 6,2.0677146554519953e-05,1.726100342138239e-05,9.49830321456642e-07,1.2392886497728315e-06,3.280898266450092e-07,7.396921769172202e-06,1.7821188417175827e-06
Rewards bag 7,1.6903142237246907e-05,1.6395297050838494e-05,2.0396920019051045e-06,5.018964727809757e-06,7.825283364221241e-07,2.174896490099471e-06,1.0391567591670833e-06
Rewards bag 8,2.886458050220138e-05,1.0533394274355278e-05,1.0654854468306523e-05,3.210164316439017e-06,3.712318253382176e-08,1.620933008643492e-05,8.153448871960494e-06,1.6211446417458795e-06,1.3656225093153846e-06,1.2985305461854714e-06,3.605968389823469e-07
Rewards bag 9,3.334828047736715e-05,5.0383375285769e-06,1.0490838163678332e-06,2.862715965957853e-06,2.3669287042923954e-06,1.2340607376217267e-07
Prob contr bag 0,0.049936170471389735,0.3021105805464713,0.005182617116028196,0.03184902932329468,0.02065259856259196,0.05847891278888639,0.013172161671623968
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 1,0.07102991981262234,0.3625009041287246,0.004500245766965587,0.0816135269129579,0.09202385924627546,0.002288060477404161,0.0009560474837487276,0.025940078161922564,0.026118111369986662,0.20030783996667506,0.06816842483453148,0.013962477013996864,0.0065199489252826285,0.0029934828116125935,0.007270272341209594
Align contr bag 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 2,0.08937323660262281,0.3011485223375478,0.01216871825928038,0.008147918518668994,0.0023826490748760287,0.10170490862703913,0.00173760546538555
Align contr bag 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 3,0.08058851117968796,0.33383396556109224,0.023276628938102038,0.01162428103687079,0.0027587713586160324,0.0018638864169428792,0.001514203354071153
Align contr bag 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 4,0.08569148832358342,0.3034626979382656,0.01679854957942218,0.022707431977836947,0.0018529418344945504,0.16063554498079255,0.0014998964341663324,0.015618456960924348,0.022333949705780273,0.0058556836911903345,0.040473706372826504
Align contr bag 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 5,0.13775304647283168,0.2211341301501654,0.019439908390358304,0.03849388453335806,0.024689781349083985,0.04237238422521536,0.058157062764044726,0.024309002338272077,0.018238665592178332,0.2904752049516463,0.20431653245004863,0.02472169297297203,0.08649449432248396,0.4057361244049595,0.18320559597321737,0.0784398181916437,0.04762015470167011,0.05617428659663262,0.021344184625879333,0.0019263272384552567,8.26146882767742e-05
Align contr bag 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 6,0.2067714655452223,0.1726100342138429,0.009498303214567466,0.012392886497729681,0.0032808982664504537,0.07396921769173016,0.01782118841717779
Align contr bag 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 7,0.1690314223724877,0.16395297050840302,0.020396920019053293,0.0501896472781031,0.007825283364222103,0.02174896490099711,0.010391567591671978
Align contr bag 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 8,0.28864580502204557,0.10533394274356438,0.10654854468307697,0.032101643164393706,0.0003712318253382585,0.16209330086436707,0.08153448871961391,0.01621144641746058,0.013656225093155349,0.012985305461856144,0.003605968389823866
Align contr bag 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 9,0.33348280477370823,0.05038337528577455,0.010490838163679487,0.028627159659581684,0.023669287042926562,0.0012340607376218626
Align contr bag 9,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
