auc_roc,0.5091444890023089,0.5593936079718069,0.5709989063069631,0.5896828290193219,0.5919309758172318,0.5949690120306235,0.6001640539555231,0.6197593875318994,0.6229189451938267,0.6296633855875562,0.6477700814193705,0.6512030623405031,0.6549094665208409,0.6576436991128934,0.6591019564953214,0.657096852594483,0.658889293960384,0.7009964758779924,0.7085004253250698,0.7085915664114716,0.7105359095880422,0.7097764005346944,0.7109308542957832,0.7161866569449509,0.7162170373070846,0.7388200267347187,0.7391845910803256,0.7402479037550127,0.7345971563981043,0.7344756349495686,0.7396099161502006,0.7428606148985295,0.7413719771539676,0.7427998541742618,0.7472050066836797,0.7481164175476972,0.7499696196378661,0.7522481467979099,0.7534633612832665,0.7569571029286669,0.7590229675537733,0.7626382306477093,0.7633673593389233,0.7655851257746992,0.7657977883096366,0.7702940819054563,0.7683497387288856,0.7705371248025277,0.7660104508445741,0.7669218617085916,0.7673471867784665,0.7706890266131973,0.7710839713209382,0.7602989427633977,0.7601166605905942,0.7612103536274153,0.7609976910924778,0.7613926358002188,0.7621217644914328,0.7639142058573338,0.7646433345485479,0.7662534937416454,0.7650078988941548,0.7669218617085916,0.7676813707619395,0.7701725604569206,0.7704763640782598,0.7698991371977154,0.7716308178393487,0.7767650990399805,0.7767650990399805,0.7721169036334913,0.772238425082027,0.8027099283023453,0.8007959654879085,0.801008628022846,0.8013428120063192,0.7950236966824644,0.7931097338680276,0.7934439178515008,0.7938692429213757,0.8017681370761939,0.8022238425082027,0.8125835459958684,0.8137987604812249,0.8151658767772512,0.8136164783084214,0.8145886498967068,0.8148013124316441,0.8147405517073764,0.8143152266375016,0.8155000607607242,0.814862073155912,0.8156519625713938,0.8162595698140723,0.8188115202333213,0.8189938024061247,0.8191457042167943,0.8197533114594726,0.8198444525458745,0.8200571150808119
auc_pr,0.17320353714579056,0.1896528406300229,0.1938828500046446,0.1992792224077664,0.19831638847517014,0.1990526296942733,0.20215442714033896,0.21031811496602124,0.21799012762089576,0.2204583940254969,0.22777987816979084,0.23157675157526392,0.23476173493835778,0.23251621275956202,0.23252009684600233,0.23244031955560499,0.2346783782615315,0.28470374446237107,0.29764888559949576,0.29709756334915205,0.2987064613600898,0.29307794273097254,0.29389940619170557,0.3044574495992823,0.3045374355667492,0.3299308992524566,0.3302160773961655,0.3309064187293776,0.3253705124913117,0.3251577535409201,0.3309347471519116,0.33140443380417994,0.33853411300425146,0.33893837557506296,0.34487109174149466,0.3452518664644783,0.34713735467077184,0.3501406275073688,0.3509597338494519,0.35169731303070295,0.35192394500814633,0.36083287930515784,0.3613482965433979,0.3637132170969558,0.36357087059344123,0.36776866607858266,0.3667601170172706,0.3846565743256272,0.38930519003083824,0.38958179122513154,0.3904729840451462,0.3933416839688857,0.39462698104206945,0.38558823568309014,0.38576476211172805,0.3861013260680625,0.38729788942772475,0.38760284600269845,0.38800918244325255,0.38793097724312997,0.3882307124745562,0.3903602989178785,0.38985028394392474,0.3878268346470129,0.3886926899434612,0.3903489395192037,0.390578247832784,0.3905181703573916,0.3932514722789965,0.4123870453214582,0.4123870453214582,0.40916246366525505,0.40953682815552483,0.44765072650781884,0.44735225500410425,0.45334498688797176,0.4536446182747788,0.44669945506665454,0.44689615615055545,0.4472262055000311,0.4474906629815223,0.4615461049925761,0.4618739432849878,0.4852331910196684,0.48690271561126747,0.528209720450096,0.5279586004571335,0.5282883815307452,0.5284021108997011,0.5285913216404532,0.5306172306796821,0.5322570604796764,0.5315986353784063,0.5324888988701265,0.5327901065419328,0.5454297468725777,0.5454882509873048,0.5456123350652876,0.545812405974734,0.5460509660842795,0.5448707538217488
auc_roc_bag,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.875,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.875,0.875,0.875,0.875,0.875,0.9166666666666667,0.875,0.875,0.875,0.875,0.875,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
auc_pr_bag,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8354166666666667,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.8839285714285714,0.9083333333333333,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.7666666666666666,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666
Date,2024-06-04
Time,83.63611125946045
seed,23
Number of anomalous bags,4
Number of anomalies,78
Rewards bXagX 0,2.1668007763811606e-06,8.327877268810907e-07,6.63868325266764e-07,2.3924018259501776e-07,1.613586269520613e-07,2.5077333220483293e-07,1.1659391113017428e-06,2.0934312097323954e-07,2.8775345159488356e-07,7.958932456270218e-07,7.179951707654696e-07,7.0813566298629e-07,1.1235704959841345e-06,5.6269945856578e-07,2.1608165199112087e-07,4.185275696125184e-07,6.503294625545432e-06,6.997213820702774e-07,3.106933074528459e-07,2.4616033613918125e-07,1.9193090177118566e-06,1.3479341627784598e-07,2.254759381510059e-06,2.800379601406259e-07,2.14581370642408e-06,3.697658765582736e-08,7.899077696922884e-08,8.106041297493135e-07,3.305022698798439e-07,3.7749550247313754e-07,3.92412071454205e-07,2.2255879767119066e-06,1.019173760275189e-07,1.1849675095612306e-06,3.951353885119344e-08,2.14958530557383e-07,4.328849880095196e-07,7.244479577575177e-08,3.68031083875868e-07,8.55079529428138e-07,1.2492425955463264e-06,3.7872933247746165e-08,2.1526128333480534e-07,8.451202180420211e-08,3.391785310120653e-07,6.689690515190248e-07,2.7858452370022995e-07,1.1455868687510096e-06,7.352989403795108e-08,2.964633258861039e-07,2.3711663233587464e-07,6.656812324008724e-07,7.882540915474914e-07,6.790088176327205e-08,2.2863730632354097e-07,2.7191259498391876e-07,5.7209235335203044e-08,3.6999046122041004e-08,3.0941893974282846e-07,4.299229657415799e-08,1.9847820450556068e-07,5.870334289880596e-08,1.8489552493722837e-06,4.1225528414381756e-08,1.1615183091687627e-06,6.750848475691145e-08,2.750715476199628e-07,2.991063967536069e-07,2.1332138926809223e-06,1.1931149786369818e-08,1.7695826082911053e-07,3.8102082022155416e-08,1.282113821901669e-06,1.9040381263139985e-07,1.8915172521860086e-06,2.4832214977626263e-08,9.298518657070349e-07,1.5198370278927049e-07,2.1159337709016968e-08,2.3733714525828115e-08,9.001418633226608e-07,3.040991520296404e-08,9.382242516650976e-07,7.598445599580123e-08,2.9229938260911576e-07,1.5459242641267537e-07,1.828652421863824e-08,1.2302559376141818e-08,3.034178114245593e-08,2.1319554938585242e-07,7.38471531495595e-08,8.22578807675899e-08,5.461278770491873e-08,1.5622768881590522e-07,6.54508642102748e-07,6.768668048606573e-09,1.440533934394598e-08,3.433171535217369e-08,4.294771131170745e-08,1.2271297360848626e-07
Prob contr bag 0,0.02166800776381399,0.008327877268811824,0.006638683252668372,0.002392401825950441,0.0016135862695207909,0.0025077333220486055,0.011659391113018712,0.002093431209732626,0.0028775345159491525,0.007958932456271094,0.007179951707655487,0.007081356629863679,0.011235704959842583,0.005626994585658419,0.0021608165199114467,0.0041852756961256446,0.06503294625546148,0.006997213820703545,0.003106933074528801,0.0024616033613920835,0.01919309017712068,0.0013479341627786084,0.022547593815103073,0.0028003796014065678,0.02145813706424316,0.0003697658765583143,0.0007899077696923753,0.008106041297494027,0.003305022698798803,0.0037749550247317912,0.003924120714542482,0.02225587976712152,0.0010191737602753012,0.01184967509561361,0.0003951353885119779,0.0021495853055740668,0.004328849880095673,0.0007244479577575975,0.0036803108387590856,0.008550795294282322,0.01249242595546464,0.0003787293324775034,0.0021526128333482905,0.0008451202180421142,0.0033917853101210265,0.006689690515190984,0.0027858452370026062,0.011455868687511358,0.0007352989403795918,0.0029646332588613654,0.0023711663233590076,0.006656812324009456,0.007882540915475782,0.0006790088176327953,0.0022863730632356615,0.002719125949839487,0.0005720923533520934,0.0003699904612204508,0.0030941893974286254,0.00042992296574162725,0.0019847820450558254,0.0005870334289881243,0.018489552493724873,0.00041225528414386294,0.011615183091688906,0.0006750848475691888,0.002750715476199931,0.002991063967536398,0.021332138926811572,0.00011931149786371131,0.0017695826082913002,0.00038102082022159614,0.012821138219018102,0.001904038126314208,0.01891517252186217,0.00024832214977629,0.009298518657071373,0.0015198370278928723,0.000211593377090193,0.0002373371452583073,0.0090014186332276,0.00030409915202967385,0.00938224251665201,0.000759844559958096,0.0029229938260914795,0.001545924264126924,0.00018286524218640254,0.00012302559376143173,0.00030341781142459266,0.002131955493858759,0.0007384715314956762,0.0008225788076759895,0.0005461278770492474,0.0015622768881592244,0.0065450864210282005,6.768668048607319e-05,0.00014405339343947566,0.0003433171535217747,0.0004294771131171218,0.0012271297360849978
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14
Rewards bag 1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9
Rewards bag 2,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Rewards bag 5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9
Rewards bag 6,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,12,12,13,14,14,14,14,14,14
Rewards bag 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rewards bag 9,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
