auc_roc,0.16633266533066138,0.16633266533066138,0.16833667334669333,0.1703406813627254,0.1703406813627254,0.16232464929859725,0.16633266533066138,0.16633266533066138,0.16633266533066138,0.16633266533066138,0.16633266533066138,0.1703406813627254,0.17234468937875747,0.17835671342685366,0.18036072144288573,0.1823647294589178,0.18436873747494986,0.19038076152304606,0.20841683366733466,0.21042084168336672,0.2124248496993988,0.2064128256513026,0.20841683366733466,0.2464929859719439,0.24849699398797598,0.20440881763527052,0.2064128256513026,0.21042084168336672,0.21643286573146292,0.21643286573146292,0.22244488977955912,0.22645290581162325,0.22645290581162325,0.2805611222444889,0.2865731462925851,0.2885771543086172,0.2925851703406813,0.30260521042084165,0.32665330661322645,0.33867735470941884,0.3366733466933868,0.3366733466933868,0.33867735470941884,0.3406813627254509,0.342685370741483,0.3527054108216433,0.35671342685370744,0.3587174348697395,0.36072144288577157,0.3887775551102205,0.38677354709418843,0.38677354709418843,0.3887775551102205,0.38076152304609223,0.3246492985971944,0.33266533066132264,0.3406813627254509,0.34468937875751504,0.3486973947895792,0.35070140280561124,0.3527054108216433,0.3286573146292585,0.34468937875751504,0.3527054108216433,0.3587174348697395,0.36072144288577157,0.36272545090180364,0.3647294589178357,0.35070140280561124,0.3587174348697395,0.35470941883767537,0.35470941883767537,0.35470941883767537,0.36673346693386777,0.3707414829659319,0.3767535070140281,0.3767535070140281,0.3827655310621243,0.3927855711422845,0.3927855711422845,0.39679358717434865,0.38476953907815636,0.38476953907815636,0.3226452905811623,0.3226452905811623,0.3226452905811623,0.3246492985971944,0.33266533066132264,0.3406813627254509,0.3246492985971944,0.3306613226452906,0.33266533066132264,0.3366733466933868,0.3366733466933868,0.3406813627254509,0.3006012024048096,0.3006012024048096,0.30260521042084165,0.3066132264529058,0.3066132264529058,0.3106212424849699
auc_pr,0.001199040767386091,0.001199040767386091,0.001201923076923077,0.0012048192771084338,0.0012048192771084338,0.0011933174224343676,0.001199040767386091,0.001199040767386091,0.001199040767386091,0.001199040767386091,0.001199040767386091,0.0012048192771084338,0.0012077294685990338,0.0012165450121654502,0.0012195121951219512,0.0012224938875305623,0.0012254901960784314,0.0012345679012345679,0.0012626262626262627,0.0012658227848101266,0.0012690355329949238,0.0012594458438287153,0.0012626262626262627,0.001326259946949602,0.0013297872340425532,0.001256281407035176,0.0012594458438287153,0.0012658227848101266,0.0012755102040816326,0.0012755102040816326,0.0012853470437017994,0.0012919896640826874,0.0012919896640826874,0.001388888888888889,0.0014005602240896359,0.0014044943820224719,0.0014124293785310734,0.0014326647564469914,0.001483679525222552,0.0015105740181268882,0.0015060240963855422,0.0015060240963855422,0.0015105740181268882,0.0015151515151515152,0.001519756838905775,0.0015432098765432098,0.0015527950310559005,0.001557632398753894,0.0015625,0.0016339869281045752,0.0016286644951140066,0.0016286644951140066,0.0016339869281045752,0.0016129032258064516,0.0014792899408284023,0.0014970059880239522,0.0015151515151515152,0.001524390243902439,0.0015337423312883436,0.0015384615384615385,0.0015432098765432098,0.001488095238095238,0.001524390243902439,0.0015432098765432098,0.001557632398753894,0.0015625,0.001567398119122257,0.0015723270440251573,0.0015384615384615385,0.001557632398753894,0.0015479876160990713,0.0015479876160990713,0.0015479876160990713,0.0015772870662460567,0.0015873015873015873,0.0016025641025641025,0.0016025641025641025,0.0016181229773462784,0.001644736842105263,0.001644736842105263,0.0016556291390728477,0.0016233766233766235,0.0016233766233766235,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014792899408284023,0.0014970059880239522,0.0015151515151515152,0.0014792899408284023,0.0014925373134328358,0.0014970059880239522,0.0015060240963855422,0.0015060240963855422,0.0015151515151515152,0.0014285714285714286,0.0014285714285714286,0.0014326647564469914,0.001440922190201729,0.001440922190201729,0.0014492753623188406
auc_roc_bag,0.11111111111111116,0.11111111111111116,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.33333333333333337,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
auc_pr_bag,0.05555555555555555,0.05555555555555555,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.07142857142857142,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.1,0.1,0.0625,0.0625,0.07142857142857142,0.07142857142857142,0.08333333333333333,0.1,0.1,0.1,0.1,0.1,0.1,0.125,0.125,0.16666666666666666,0.16666666666666666,0.1,0.1,0.125,0.125,0.125,0.125,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.125,0.125,0.125,0.125,0.125,0.125,0.1,0.1,0.08333333333333333,0.08333333333333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08333333333333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Date,2024-06-21
Time,71.77416777610779
seed,14
Number of anomalous bags,1
Number of anomalies,1
Rewards bXagX 0,1.0297432899602737e-06,3.0546520660040805e-07,5.49881763132933e-07,1.0328095612092624e-06,4.1379488520888106e-07,1.0830680757931856e-06,4.7673246889971714e-07,2.1280171253180793e-07,5.594154556524482e-07,1.703552247892568e-06,1.063694059587006e-06,8.469821565970348e-07,3.496173710746535e-07,6.639164360680612e-07,6.50338173139673e-07,7.253404705294632e-07,5.526043695237353e-07,1.377763010495843e-06,4.27915673097975e-07,4.125328383813174e-07,1.5389262909982036e-06,5.430805472429217e-07,1.2730242632428816e-06,2.4024838749601585e-07,5.379701965300801e-07,2.225054568111081e-07,1.6611094757682166e-06,3.593995924614953e-07,6.194004943625067e-07,6.017445117152769e-07,6.965243364772877e-07,6.669372878183606e-07,1.954797114097814e-06,3.6155062104083597e-07,5.430577834639531e-07,4.123333531410371e-07,8.997959942655259e-07,1.7101427814465365e-06,1.4337996215039532e-06,5.546083894133773e-07,4.928057070783373e-07,5.866307966633655e-07,4.1296354761385925e-07,4.901241747518204e-07,6.274842117702688e-07,3.341701954401174e-07,1.0008661658464788e-06,2.176276611842246e-07,1.6814941728751785e-06,5.809986028397327e-07,2.38564564625801e-07,2.2475269819330437e-07,5.414726629264467e-07,4.1773989874743784e-07,5.88559462322925e-07,4.6743115494677187e-07,9.949697600665304e-07,3.6259577553125626e-07,8.350140085710138e-07,3.074151360641089e-07,2.859534316130581e-07,1.045198401017608e-06,6.992342045680927e-07,3.2450298138372095e-07,1.2410587668693724e-06,1.8536845490861164e-07,3.2418018511569027e-07,9.54333631607899e-07,3.2127429659320214e-07,5.653284153126001e-07,2.237572940310224e-07,3.866365870080418e-07,4.490064915183147e-07,6.226514334656215e-07,3.5799139022671335e-07,7.235047381265987e-07,2.709329554723132e-07,4.351454799490242e-07,8.292023023328616e-07,1.9035766232386912e-07,4.4648996797510423e-07,4.2804469547191646e-07,3.600938542008783e-07,3.589166757022878e-07,8.588289658152998e-07,1.0351462001927484e-06,2.432614744620087e-07,9.727112217182574e-07,7.738522804292852e-07,8.372693330383493e-07,3.7143875174225483e-07,3.476126398313002e-07,3.5319255058333337e-07,5.300617852671893e-07,3.228013224758492e-07,1.9390964658945066e-06,2.5274628007831194e-07,2.852653375498829e-07,1.0230279750258454e-06,5.538775439256505e-07
Prob contr bag 0,0.010297432899603871,0.003054652066004417,0.005498817631329935,0.010328095612093762,0.004137948852089266,0.010830680757933048,0.0047673246889976964,0.0021280171253183137,0.005594154556525099,0.017035522478927555,0.01063694059587123,0.008469821565971281,0.00349617371074692,0.006639164360681344,0.006503381731397446,0.00725340470529543,0.005526043695237961,0.013777630104959946,0.004279156730980221,0.004125328383813629,0.015389262909983732,0.005430805472429815,0.012730242632430219,0.002402483874960423,0.005379701965301393,0.002225054568111326,0.016611094757683995,0.003593995924615349,0.00619400494362575,0.006017445117153432,0.006965243364773645,0.006669372878184341,0.01954797114098029,0.003615506210408758,0.0054305778346401285,0.004123333531410825,0.00899795994265625,0.01710142781446725,0.014337996215041112,0.005546083894134384,0.004928057070783916,0.0058663079666343015,0.004129635476139047,0.004901241747518744,0.006274842117703379,0.0033417019544015425,0.01000866165846589,0.0021762766118424855,0.016814941728753637,0.005809986028397967,0.0023856456462582726,0.0022475269819332913,0.005414726629265064,0.004177398987474839,0.005885594623229898,0.0046743115494682335,0.0099496976006664,0.003625957755312962,0.008350140085711057,0.0030741513606414275,0.0028595343161308957,0.01045198401017723,0.0069923420456816975,0.0032450298138375668,0.01241058766869509,0.0018536845490863204,0.0032418018511572596,0.009543336316080042,0.0032127429659323755,0.005653284153126624,0.0022375729403104703,0.003866365870080844,0.004490064915183642,0.006226514334656901,0.0035799139022675277,0.007235047381266783,0.0027093295547234307,0.004351454799490721,0.00829202302332953,0.0019035766232389007,0.004464899679751534,0.004280446954719636,0.00360093854200918,0.0035891667570232735,0.008588289658153943,0.010351462001928624,0.002432614744620355,0.009727112217183646,0.007738522804293704,0.008372693330384415,0.0037143875174229573,0.0034761263983133844,0.0035319255058337226,0.0053006178526724766,0.003228013224758848,0.019390964658947202,0.0025274628007833978,0.002852653375499143,0.010230279750259582,0.005538775439257115
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,13,14,14,15,16,16,16,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,18,19,19
Rewards bag 1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Rewards bag 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11
Rewards bag 3,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9
Rewards bag 4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Rewards bag 5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rewards bag 6,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,17,17,17
Rewards bag 7,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
Rewards bag 8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10
Rewards bag 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
