auc_roc,0.5091444890023089,0.5590290436262001,0.5778344877870945,0.581632033053834,0.5908069024182767,0.591809454368696,0.5710596670312311,0.5702697776157493,0.5790193219103171,0.5809332847247539,0.6314862073155911,0.6368331510511606,0.6489549155425933,0.6513549641511727,0.6531474055170738,0.6538461538461539,0.6526005589986634,0.6546360432616357,0.6575221776643578,0.6729857819905214,0.6618665694495078,0.6684591080325678,0.6670616113744077,0.6703730708470045,0.6743528982865475,0.6755681127719042,0.6786365293474298,0.6800947867298578,0.6819176084578927,0.6879936808846762,0.6910620974602016,0.6868999878478551,0.6857151537246324,0.6893304168185685,0.6881152023332118,0.6874772147283996,0.678211204277555,0.6775428363106087,0.6788795722445011,0.6850164053955523,0.686201239518775,0.6892088953700328,0.7142119334062462,0.7174322517924414,0.719012030623405,0.7232956616842874,0.7301920038886864,0.7325920524972658,0.7375136711629603,0.7286122250577227,0.7280957589014462,0.7289767894033297,0.7255438084821972,0.7271539676752947,0.7283691821606513,0.7290375501275976,0.7310426540284362,0.732197107789525,0.733959168793292,0.7339895491554259,0.7348401992951756,0.7360554137805323,0.7799854174261757,0.7804715032203184,0.7787702029408191,0.7936262000243043,0.795570543200875,0.7961173897192854,0.8203001579778831,0.8259812856969254,0.8303256774820755,0.829110462996719,0.827652205614291,0.8275914448900231,0.8281382914084335,0.8325434439178515,0.8351561550613683,0.8357333819419128,0.8354599586827075,0.8355510997691092,0.8338497994896099,0.834183983473083,0.8347612103536275,0.835277676509904,0.8351257746992344,0.8349738728885648,0.832330781382914,0.8322396402965123,0.8351561550613683,0.8366751731680642,0.8355814801312432,0.8348219710778954,0.8341232227488152,0.8450297727548912,0.8467006926722567,0.8467614533965245,0.8464880301373192,0.8486754162109613,0.8605237574431888,0.8609490825130636,0.8602807145461173
auc_pr,0.17320353714579056,0.18884739013424123,0.1941868442119293,0.1964849612878788,0.19997543321534295,0.20023814569276036,0.1934748967847996,0.1929468406083244,0.20297580962227746,0.20231679264669217,0.23157939842867006,0.23432445144444058,0.2570464066191204,0.26276222839293645,0.2641864269972949,0.2638894221972428,0.26208650747832035,0.26783726149625253,0.2689199689725579,0.2757364854048922,0.2714363941005749,0.29113330717519337,0.2912227053885157,0.30634915698832155,0.30893358254553577,0.30982625289717386,0.31082924689599745,0.3118253924389634,0.3130047695359743,0.317951021572246,0.31966627887567417,0.31117507860190624,0.31070810601242915,0.31311649556072063,0.3125988131894483,0.3124653859475197,0.30484345302640753,0.30487556355930695,0.308025219071754,0.3126634318105645,0.313364521597543,0.3159532247857044,0.3449410359953795,0.3463640162728679,0.34757451145849927,0.3504847776626113,0.35330545057868296,0.3544161333044391,0.3590726037888565,0.35227486198554075,0.3518820316355315,0.3523418448325716,0.35110442560262833,0.35470628235422436,0.35690517770900476,0.3571382103097407,0.3582882559017716,0.3659757059806495,0.36668314922888856,0.36666239538558365,0.37792742978902316,0.382305033782537,0.43436271534873133,0.4347399880445361,0.43386278641374354,0.44148319213220605,0.44133259215196424,0.4418370832315792,0.4669523482453233,0.47297396248261847,0.4761841542673677,0.47377314441908286,0.4723453781000593,0.4643994785824759,0.4647452940444484,0.47697063772432363,0.48280727956830605,0.48307950696702595,0.48283055191986285,0.4875919252050889,0.48623029051101585,0.48613836260797694,0.48610834146814436,0.4871877382467269,0.4869189828127608,0.4861267363792293,0.48384923274442426,0.4838379051235022,0.48599539759147364,0.48716373028704546,0.4846220606586606,0.48293914156818046,0.48380274677044616,0.5032756477541107,0.5041195308388539,0.5048363892098434,0.50489613880534,0.5071055998983768,0.5209556698634168,0.521184099117449,0.5209395278479986
auc_roc_bag,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.9166666666666667,0.875,0.875,0.875,0.875,0.8333333333333334,0.875,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.9583333333333334,0.9583333333333334,1.0,1.0,0.875,0.875,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.875,0.875,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334
auc_pr_bag,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.73125,0.73125,0.73125,0.7666666666666666,0.7666666666666666,0.8708333333333333,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.73125,0.8354166666666667,0.7958333333333334,0.6916666666666667,0.7958333333333334,0.6916666666666667,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7714285714285715,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8110119047619048,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.8354166666666667,0.94375,0.94375,1.0,1.0,0.8839285714285714,0.8839285714285714,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.7666666666666666,0.7666666666666666,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.8708333333333333,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375,0.94375
Date,2024-06-24
Time,94.19474029541016
seed,23
Number of anomalous bags,4
Number of anomalies,78
Rewards bXagX 0,2.2120122259079557e-06,9.956984042058402e-07,5.230853318309344e-07,8.1627447246516e-07,7.061088296788975e-07,5.883958931235354e-07,3.67352375639509e-07,1.7463479134379096e-06,3.783568852950813e-07,2.479934943901512e-06,4.857959007719862e-07,5.465875521630924e-07,1.1145194888294854e-06,3.647267878623742e-07,4.4714439580809127e-07,3.404715957824659e-07,4.08332210592343e-07,1.779122081811608e-07,7.014370651847391e-07,4.960255303224192e-07,1.5442006643475292e-06,3.828970088406632e-07,3.2454726361484126e-07,2.34566563497554e-07,1.331797478383743e-07,4.5653964425802457e-07,1.2284162980332664e-07,9.877326338755017e-08,5.801055140888827e-07,5.609739279314422e-07,4.4121760866255773e-07,2.2584859989564406e-07,4.6078253877930114e-07,1.3840923711116375e-07,2.4603069702484784e-07,5.667507777067664e-07,1.2907016486624293e-07,4.994133573998314e-07,1.0142534501849694e-06,2.1850501497531054e-07,9.573047106330475e-07,2.7203793261040186e-06,2.317189993593792e-07,1.8105787815194092e-07,5.230433288305645e-07,2.6696726461584683e-07,1.980430520258383e-07,3.563305897742156e-07,3.4951858399993914e-07,1.5659214074016945e-07,3.7995048292001876e-08,1.886425446824746e-07,1.0197388537823994e-06,3.5211452201935506e-07,3.277571631351504e-08,9.134711928400604e-08,1.388776966303231e-07,1.0402218338464619e-07,7.477496980813252e-08,1.384989288443013e-06,8.696971772803506e-07,3.439393917709345e-06,2.2808293714735026e-08,3.962134033498413e-07,2.1065132906022635e-06,1.1759900917321826e-07,4.411675322345648e-08,2.4592163551120233e-06,2.1600316444066335e-06,4.685958046005207e-07,2.539680394363204e-07,1.0873131931734146e-07,7.547897666907557e-07,3.2787982542784976e-08,9.963702207656696e-07,1.2094240541284411e-06,8.56953851234441e-08,3.925812668731336e-07,1.3037946505924649e-07,1.180319479637439e-07,4.415662630128703e-08,5.494816432050912e-08,1.0273627537590778e-07,3.8049892665264076e-07,4.523771947961985e-07,2.2064125532024203e-07,4.586409868781515e-08,1.6529392327179237e-07,7.572504728174744e-08,6.477204412069058e-07,1.884842111274431e-07,1.6559339842644412e-07,1.6612295914959845e-06,1.1369864948530447e-07,2.0859704694976336e-07,1.6255376922255597e-07,2.0768315170404006e-07,1.4031655728963025e-06,1.5047689760369817e-08,1.0144861489804934e-07
Prob contr bag 0,0.022120122259081994,0.009956984042059499,0.005230853318309921,0.008162744724652499,0.007061088296789753,0.005883958931236002,0.003673523756395494,0.01746347913438102,0.0037835688529512294,0.02479934943901785,0.004857959007720397,0.005465875521631526,0.011145194888296081,0.0036472678786241435,0.004471443958081405,0.0034047159578250337,0.004083322105923879,0.001779122081811804,0.007014370651848164,0.004960255303224739,0.015442006643476992,0.003828970088407054,0.00324547263614877,0.0023456656349757983,0.0013317974783838896,0.004565396442580748,0.0012284162980334017,0.0009877326338756105,0.005801055140889466,0.00560973927931504,0.004412176086626063,0.0022584859989566893,0.004607825387793519,0.00138409237111179,0.002460306970248749,0.005667507777068288,0.0012907016486625714,0.0049941335739988645,0.01014253450185081,0.002185050149753346,0.00957304710633153,0.02720379326104318,0.002317189993594047,0.0018105787815196085,0.0052304332883062205,0.0026696726461587625,0.001980430520258601,0.003563305897742549,0.0034951858399997764,0.001565921407401867,0.0003799504829200606,0.001886425446824954,0.010197388537825118,0.0035211452201939384,0.00032775716313518654,0.0009134711928401611,0.001388776966303384,0.0010402218338465764,0.0007477496980814076,0.013849892884431655,0.008696971772804464,0.03439393917709724,0.00022808293714737538,0.0039621340334988495,0.021065132906024957,0.001175990091732312,0.0004411675322346134,0.024592163551122943,0.021600316444068714,0.004685958046005723,0.0025396803943634836,0.0010873131931735344,0.007547897666908388,0.00032787982542788587,0.009963702207657793,0.012094240541285743,0.0008569538512345354,0.003925812668731769,0.0013037946505926085,0.001180319479637569,0.0004415662630129189,0.0005494816432051517,0.001027362753759191,0.0038049892665268266,0.004523771947962483,0.0022064125532026634,0.000458640986878202,0.0016529392327181058,0.0007572504728175578,0.006477204412069771,0.0018848421112746387,0.0016559339842646234,0.016612295914961675,0.00113698649485317,0.0020859704694978633,0.0016255376922257388,0.0020768315170406294,0.01403165572896457,0.00015047689760371474,0.0010144861489806052
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
