auc_roc,0.5354115395132623,0.5260231519460395,0.5718712970558746,0.5634855528210737,0.567313827363048,0.5695925622094613,0.5711421019050222,0.5737854343268617,0.5703217573603135,0.5842676146203628,0.601312551271534,0.5926533588551637,0.587731291586911,0.593929450369155,0.5859994531036368,0.5874578434053414,0.5907392215841765,0.6020417464223863,0.6041381824810865,0.5971196791541336,0.5945674961261507,0.5947497949138638,0.5962081852155683,0.5965727827909943,0.5915595661288853,0.5882781879500503,0.5926533588551636,0.5958435876401422,0.6063257679336432,0.6084222039923435,0.6095159967186219,0.6185397867104183,0.6483456385015041,0.6506243733479172,0.6498040288032085,0.6499863275909215,0.6497128794093519,0.6477075927445082,0.6523562118311913,0.6471606963813691,0.6366785160878681,0.6354024245738765,0.634764378816881,0.6423297785069729,0.6509889709233433,0.648345638501504,0.6539057515267523,0.6570048309178744,0.672044480904202,0.6740497675690456,0.6748701121137545,0.6664843678789536,0.6639321848509708,0.6658463221219579,0.6605596572782791,0.6696745966639321,0.6743232157506153,0.6644790812141099,0.6647525293956795,0.6697657460577887,0.6736851699936195,0.6842584996809771,0.6792452830188679,0.6833470057424118,0.6836204539239814,0.688177923616808,0.6932822896727736,0.6954698751253304,0.7030352748154225,0.6982043569410263,0.6987512533041655,0.7046759639048401,0.701759183301431,0.6909124054325039,0.6971105642147479,0.6958344727007566,0.7024883784522833,0.7034910217847052,0.7043113663294139,0.7075015951143925,0.7058609060249749,0.7116944672317929,0.7136997538966365,0.7154315923799106,0.7955519095798013,0.7859812232248655,0.7871661653450005,0.7837024883784524,0.7811503053504694,0.7807857077750433,0.7792361680794823,0.7806945583811867,0.7723999635402425,0.7637407711238721,0.7644699662747243,0.766657551727281,0.7629204265791633,0.7643788168808678,0.7691185853614073,0.7568134171907758,0.76064169173275
auc_pr,0.0453285697470474,0.04409383188713907,0.04868414139221461,0.04798974289617884,0.04896624498112215,0.0487761938469101,0.048829352859572184,0.04981062853949604,0.050029694767591025,0.05222464103252759,0.055249673863543555,0.05426404082079653,0.05361403756570125,0.05573699291230984,0.054701336017756334,0.055388043245252816,0.05661312817585782,0.05872204342775233,0.05941555641076172,0.05777907208885723,0.05675376642879881,0.056902303216646785,0.056762823964384077,0.05713826252877036,0.056043502549587204,0.05573171916926421,0.05711055891907725,0.05719988454326362,0.06003029753318899,0.0608686699408216,0.06078176492411976,0.06296177268529687,0.08466086784103842,0.08598853517618991,0.08429981214118498,0.07980088106777206,0.0788301478101266,0.07851256991643848,0.07999089221276515,0.0920608060163597,0.08927452137273804,0.0896356558228067,0.08694238514844568,0.08863444049879665,0.09035518332188071,0.09085044506112236,0.09141313440394849,0.10696658570105028,0.166194562838859,0.1665698212867037,0.16826054528086626,0.16738256546613545,0.16730361540599595,0.1688827098548897,0.16867629808589304,0.18972669983448054,0.18991079746981068,0.18739547519919153,0.1975744617420062,0.1634576332864178,0.152509665334945,0.15729379687069722,0.15898323081438417,0.15667349214599657,0.15266619389216907,0.15154174827599193,0.15181686586714954,0.14672360866980846,0.14855541114382922,0.15091069983125147,0.14916460227525746,0.1438512013483981,0.1423693717585958,0.14460401694443384,0.145270276332156,0.15326724755352336,0.15388274585810294,0.15161249162132476,0.1525145766706332,0.1524715664018151,0.15119074173910188,0.15398459899271588,0.15918029909083134,0.15596476828783806,0.19881043195423675,0.19598816593685328,0.20003016986392017,0.19185793211210603,0.18842353851778154,0.18695922471928753,0.185963131565329,0.19802489419761674,0.19739563731812693,0.1934421524161937,0.19889470984049643,0.19614800646744723,0.19647500939904042,0.19410992842779104,0.1935492979327354,0.19197233591834947,0.19058431808576917
auc_roc_bag,0.375,0.375,0.375,0.25,0.1875,0.25,0.3125,0.3125,0.3125,0.25,0.3125,0.125,0.1875,0.1875,0.25,0.125,0.1875,0.25,0.1875,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.6875,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
auc_pr_bag,0.1611111111111111,0.14930555555555555,0.14930555555555555,0.1284722222222222,0.11944444444444444,0.1284722222222222,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.12777777777777777,0.13680555555555557,0.11349206349206349,0.11944444444444444,0.12251984126984126,0.1284722222222222,0.11805555555555555,0.12251984126984126,0.1284722222222222,0.12251984126984126,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.11805555555555555,0.13392857142857142,0.1701388888888889,0.18154761904761904,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.21180555555555555,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.24583333333333335,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7083333333333333,0.7083333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663
Date,2024-06-01
Time,77.9060845375061
seed,4
Number of anomalous bags,2
Number of anomalies,23
Rewards bag 0,2.754378935498945e-06,3.3154325258110626e-06,1.5181000180434996e-06,2.653150369261657e-06,1.853822758700955e-06,2.4447761057061264e-06,1.8076667009117272e-06,2.0499591913183867e-06,2.656461911985451e-06,2.1450672691094063e-06,1.5190291376461406e-06,8.204076893248667e-07,1.7127354949955192e-06,1.3899344428984286e-06,8.112177002550558e-07,1.7559160911662952e-06,1.1484942450301276e-06,2.222475967640404e-06,7.097859904917465e-07,1.3604548486796334e-06,1.3710700949148716e-06,9.982349306222074e-07,1.0084466124364844e-06,6.618702311875667e-07,6.50911970463905e-07,1.754491245833037e-06,8.710697978768022e-07,1.3707893912356895e-06,8.49575749440144e-07,4.1429236673068285e-07,1.6912966726736042e-06,6.025970596768187e-06,9.821716303390572e-07,8.163876296704024e-07,9.096916577977843e-07,6.871991562388999e-07,9.110045537127721e-07,8.767183715065494e-07,6.273907757441449e-06,6.8086199494565e-07,9.993325530614293e-07,9.418791712850887e-07,1.5517210571704173e-06,8.616804982638427e-07,9.849671312585214e-07,1.2441600026466813e-06,4.300628844486179e-06,2.433501945746876e-06,7.562956320527818e-07,1.1793372002991446e-06,8.218420764831909e-07,7.410031440592469e-07,3.3825561604308083e-07,4.0107222216234153e-07,6.6339856151869016e-06,2.190363516549035e-06,3.9462023046858377e-07,3.542466581409467e-07,1.064912765558259e-06,5.646770672032934e-07,1.978340180697972e-06,4.2264317885869497e-07,4.626027543930925e-07,6.626351220472138e-07,2.1827530128050103e-06,2.046255944801344e-06,1.025495037343994e-06,3.836594612326187e-07,5.788278081048274e-07,5.239140290205456e-07,7.275833161860863e-07,3.596981287586543e-07,3.414478760134637e-07,1.0919048695669556e-06,4.039702058076896e-07,5.291885531909835e-07,5.441793780650321e-07,4.3074715053561064e-07,8.471644340865342e-07,6.330169791136861e-07,4.7261633503473296e-07,8.358475752533658e-07,4.533113770087011e-07,3.761834386024253e-06,3.298260737378743e-07,5.801291921791861e-07,6.698317605385744e-07,4.0610045388426975e-07,3.5174996522423296e-07,6.321639548369624e-07,4.63589970668858e-07,2.9659507158229996e-07,1.0341700391254725e-06,4.839034132534711e-07,3.1015545293443286e-07,4.6921579402422843e-07,7.756194234475896e-07,3.834559685781118e-07,5.076005921780774e-07,5.306736514216233e-07
Prob contr bag 0,0.027543789354992482,0.03315432525811428,0.015181000180436667,0.02653150369261949,0.018538227587011593,0.024447761057063956,0.018076667009119262,0.020499591913186125,0.026564619119857438,0.021450672691096427,0.01519029137646308,0.008204076893249571,0.01712735494995708,0.013899344428985817,0.008112177002551452,0.017559160911664887,0.01148494245030254,0.022224759676406487,0.007097859904918247,0.013604548486797832,0.013710700949150226,0.009982349306223173,0.010084466124365955,0.006618702311876396,0.0065091197046397665,0.017544912458332302,0.00871069797876898,0.013707893912358405,0.008495757494402376,0.004142923667307285,0.016912966726737904,0.06025970596768851,0.009821716303391653,0.008163876296704923,0.009096916577978845,0.0068719915623897555,0.009110045537128724,0.008767183715066459,0.0627390775744214,0.00680861994945725,0.009993325530615394,0.009418791712851924,0.01551721057170588,0.008616804982639377,0.0098496713125863,0.012441600026468184,0.04300628844486653,0.02433501945747144,0.0075629563205286505,0.011793372002992745,0.008218420764832814,0.007410031440593285,0.003382556160431181,0.004010722221623857,0.06633985615187632,0.021903635165492763,0.003946202304686272,0.003542466581409857,0.010649127655583764,0.005646770672033556,0.019783401806981897,0.004226431788587415,0.004626027543931434,0.006626351220472867,0.021827530128052507,0.020462559448015696,0.010254950373441069,0.0038365946123266096,0.0057882780810489115,0.005239140290206033,0.0072758331618616645,0.003596981287586939,0.003414478760135013,0.01091904869567076,0.004039702058077341,0.005291885531910418,0.00544179378065092,0.004307471505356581,0.008471644340866275,0.006330169791137558,0.00472616335034785,0.008358475752534579,0.00453311377008751,0.03761834386024667,0.0032982607373791065,0.0058012919217925,0.006698317605386482,0.004061004538843145,0.0035174996522427168,0.006321639548370321,0.004635899706689091,0.002965950715823326,0.010341700391255863,0.004839034132535244,0.0031015545293446704,0.004692157940242801,0.00775619423447675,0.0038345596857815405,0.005076005921781333,0.005306736514216818
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
