auc_roc,0.4583333333333333,0.5276930894308943,0.485010162601626,0.47433943089430897,0.4552845528455285,0.483739837398374,0.4946646341463415,0.47738821138211385,0.48348577235772355,0.5490345528455285,0.5335365853658537,0.5170223577235772,0.4972052845528455,0.5007621951219512,0.5365853658536586,0.5050813008130082,0.5464939024390244,0.5165142276422764,0.4989837398373984,0.5066056910569106,0.5106707317073171,0.49923780487804875,0.5378556910569106,0.5515752032520325,0.5589430894308942,0.5779979674796748,0.5548780487804879,0.501270325203252,0.5909552845528455,0.5124491869918699,0.5322662601626017,0.4669715447154471,0.5348069105691057,0.5276930894308942,0.5088922764227641,0.5241361788617886,0.5675813008130082,0.553099593495935,0.5195630081300813,0.5678353658536586,0.5584349593495935,0.5548780487804879,0.49949186991869915,0.5861280487804877,0.5655487804878048,0.5480182926829269,0.5416666666666667,0.5360772357723578,0.5602134146341463,0.5167682926829269,0.5863821138211383,0.5261686991869918,0.505589430894309,0.5497967479674797,0.5628810975609756,0.5494156504065041,0.5331554878048781,0.5341717479674797,0.5627540650406504,0.5177845528455284,0.5656758130081301,0.5317581300813008,0.5463668699186992,0.5515752032520325,0.5731707317073171,0.5786331300813008,0.5872713414634146,0.5176575203252033,0.5898119918699187,0.5044461382113821,0.5450965447154472,0.5471290650406504,0.506859756097561,0.5353150406504066,0.4833587398373984,0.5217225609756098,0.5107977642276422,0.5926067073170731,0.5245172764227642,0.5001270325203252,0.5358231707317074,0.5199441056910569,0.541285569105691,0.5128302845528455,0.5608485772357723,0.5603404471544716,0.553734756097561,0.5273119918699187,0.510670731707317,0.5135924796747968,0.5887957317073171,0.49186991869918695,0.5209603658536586,0.5135924796747968,0.5292174796747967,0.5593241869918699,0.505716463414634,0.5354420731707317,0.5491615853658537,0.5334095528455285,0.5309959349593496
auc_pr,0.02396206471554524,0.019774881831975618,0.019508261397924668,0.020384551551760475,0.023304149239476327,0.024701574161228826,0.025324070998977356,0.035249782769852814,0.04100408315399502,0.0604680738978562,0.04543659985636799,0.057280092982833444,0.047884039633239554,0.041878505611910005,0.04485639022878948,0.05068486409074748,0.06079335091286138,0.05275287240379474,0.04136323157207336,0.040388543250759495,0.04004324559323668,0.05198305679497467,0.05242885641770449,0.04212657144750576,0.04394763596461265,0.055613767002896546,0.0435722362660021,0.04032572906902855,0.044324452051437355,0.041328787627046205,0.054059521241198394,0.05084970218279564,0.05516050839482084,0.043389235114130426,0.04254343151762734,0.05269931287372694,0.05465959779389493,0.05394526269201544,0.05456596057826036,0.0592570513129843,0.05620884110050338,0.054871325037662476,0.051958929960072495,0.04551478381480492,0.04373974881138196,0.05269989387526901,0.05355482491220608,0.05440172983710226,0.05796278171550528,0.0523726378882981,0.04580716115867985,0.05380253332591074,0.052809391561620525,0.043821948129966926,0.11724633156548948,0.11657256108350586,0.11600253167557614,0.11629116780547764,0.054079875778644995,0.040500676321735124,0.11730901681336628,0.051793745938850694,0.11530995114638454,0.10493379870533615,0.05457831190829991,0.11664849462617753,0.12039221392067438,0.11643828673243799,0.11911330313707591,0.11324017409578643,0.11475298812156147,0.11518638395918449,0.05087334960268312,0.05243256754317192,0.11199424366495397,0.1150275588703419,0.11312329475536226,0.11929758807908018,0.11431669502756475,0.11291503541125048,0.05101973430528395,0.11350883684981483,0.11607394361492689,0.11439527090810561,0.11481393660162552,0.11622467484654173,0.11607290773823556,0.11299663634047918,0.10343521059400969,0.11432363966411349,0.11691008485459499,0.050445615695262416,0.1150493572051352,0.11427072205765634,0.10376236891712594,0.11632809666682739,0.11377663803875682,0.11548739839448662,0.1161125552725237,0.11513678034122031,0.10477239941713042
auc_roc_bag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.9444444444444444,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
auc_pr_bag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Date,2024-06-02
Time,69.53022503852844
seed,21
Number of anomalous bags,1
Number of anomalies,8
Rewards bag 0,7.19836408521864e-06,7.0120831823802555e-06,5.198268206456452e-06,5.324019734332647e-06,5.09966883841587e-06,6.150155146792386e-06,6.169528955211025e-06,4.946654779789145e-06,4.272807785824932e-06,4.4020098505676555e-06,4.279316296141402e-06,4.121826306149256e-06,3.8006828595550718e-06,3.902066686223648e-06,3.3793927872910803e-06,4.845781436040616e-06,4.522151388695972e-06,3.5342019350271426e-06,3.029992472076953e-06,3.82677537071524e-06,4.33245164008552e-06,3.955841672181062e-06,3.6694617889855657e-06,3.802151184431674e-06,4.081363628941258e-06,3.9574646617835294e-06,5.216072503917722e-06,4.319759850706173e-06,4.966246748054609e-06,3.107257018374624e-06,3.311085707576106e-06,3.7429059340962203e-06,4.127324924210178e-06,4.225514602756616e-06,4.01974688944722e-06,3.7560004343933297e-06,4.018033805532028e-06,4.4674648331367685e-06,4.7304148118197976e-06,4.283414651942205e-06,5.381164829875171e-06,4.2848886179481525e-06,4.431901665892791e-06,5.622701102215441e-06,3.7407944604425913e-06,3.896562061873971e-06,4.0565834464527464e-06,4.514254281753193e-06,5.494160292531347e-06,4.624878227973863e-06,3.7251744743166157e-06,3.152437912323922e-06,4.526046875118294e-06,4.887685556648151e-06,3.8491031728022895e-06,3.2155969906309155e-06,3.756586457561787e-06,4.461814401431509e-06,4.4214886705859525e-06,4.2421699174920625e-06,5.106506986376148e-06,3.732953472831364e-06,5.599812865333672e-06,4.003265823060881e-06,3.810442847673542e-06,3.83867086804949e-06,3.37109111398996e-06,4.061689869063397e-06,5.066066631519705e-06,5.025383823985341e-06,5.374505015479369e-06,4.257617612124521e-06,2.8637260528477147e-06,3.989064258160191e-06,3.447639332495157e-06,4.858174906359573e-06,5.297092227520688e-06,4.793825018102823e-06,4.399781861201357e-06,4.516782037637108e-06,3.964363997292958e-06,5.664779703006734e-06,4.110786919734478e-06,4.203206307126494e-06,4.025877300421648e-06,3.991569501509401e-06,3.123680773364532e-06,3.939430975736313e-06,3.922549929073632e-06,3.3211707818105485e-06,4.571645715287226e-06,3.684491168960593e-06,3.0029200140740684e-06,3.4959185632700633e-06,3.870991833204227e-06,4.10351780627244e-06,3.78940353558419e-06,3.7513443014372287e-06,4.725706527926539e-06,3.7337155294421582e-06
Prob contr bag 0,0.07198364085219433,0.07012083182381028,0.05198268206457024,0.05324019734333233,0.05099668838416432,0.06150155146793064,0.06169528955211704,0.049466547797896894,0.04272807785825403,0.0440200985056814,0.04279316296141873,0.041218263061497104,0.0380068285955549,0.039020666862240774,0.03379392787291453,0.0484578143604115,0.0452215138869647,0.03534201935027532,0.030299924720772867,0.03826775370715662,0.04332451640085997,0.039558416721814975,0.0366946178898597,0.03802151184432093,0.040813636289417074,0.03957464661783965,0.05216072503918296,0.04319759850706648,0.04966246748055156,0.031072570183749662,0.03311085707576471,0.037429059340966325,0.041273249242106326,0.042255146027570814,0.040197468894476625,0.037560004343937435,0.040180338055324706,0.04467464833137261,0.04730414811820319,0.04283414651942677,0.05381164829875764,0.04284888617948625,0.044319016658932786,0.0562270110221606,0.03740794460443003,0.038965620618744,0.040565834464531936,0.04514254281753691,0.05494160292531953,0.04624878227974372,0.03725174474317026,0.03152437912324269,0.04526046875118793,0.04887685556648689,0.038491031728027134,0.0321559699063127,0.037565864575622006,0.04461814401432001,0.0442148867058644,0.0424216991749253,0.051065069863767104,0.03732953472831775,0.05599812865334289,0.040032658230613215,0.038104428476739616,0.038386708680499135,0.033710911139903314,0.04061689869063845,0.05066066631520263,0.05025383823985895,0.05374505015479961,0.0425761761212499,0.0286372605284803,0.0398906425816063,0.03447639332495537,0.04858174906360108,0.05297092227521271,0.04793825018103351,0.04399781861201841,0.04516782037637606,0.03964363997293394,0.05664779703007358,0.0411078691973493,0.04203206307126957,0.04025877300422091,0.0399156950150984,0.03123680773364876,0.03939430975736747,0.039225499290740644,0.03321170781810914,0.045716457152877296,0.03684491168960999,0.030029200140743992,0.03495918563270448,0.03870991833204653,0.04103517806272892,0.037894035355846074,0.03751344301437642,0.047257065279270594,0.037337155294425696
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
