auc_roc,0.5425520322545494,0.5406995750245178,0.5009625513058007,0.507936507936508,0.5284951509207803,0.5401547346627438,0.5478188224183648,0.5617667356797791,0.5533761941084596,0.5806545348879445,0.595110965820348,0.591841923649704,0.599433366023755,0.5842868039664377,0.6090952017725473,0.6242417638298644,0.610911336311794,0.602702408194399,0.667611056627075,0.6737132686789437,0.6993570883731066,0.6957611419853982,0.7054956231157603,0.6721150702844066,0.6437107260905889,0.663252333732883,0.6672841524100105,0.6787621226980495,0.6641967236932912,0.6629980748973885,0.6767280520140931,0.6835203951908757,0.6834114271185208,0.6846463986052087,0.6965602411826668,0.7022629036359013,0.7092368602666086,0.7135229377792306,0.7682249101013403,0.7897279430460209,0.7981184846173405,0.7891831026842469,0.7963386727688787,0.8004794595183611,0.8098870364316588,0.8013875267879844,0.7957211870255348,0.7880934219606988,0.7964113181504484,0.7862046420398823,0.7949220878282663,0.7992808107224583,0.7981911299989103,0.7941956340125678,0.7931785986705894,0.7922342087101812,0.7905633649340742,0.796193382005739,0.7962660273873088,0.7925611129272455,0.7953216374269004,0.7995713922487377,0.7984817115251898,0.8002978460644364,0.8423958446841742,0.8472267625585703,0.8519487123606115,0.8536195561367186,0.8471541171770004,0.856162144491664,0.8596491228070176,0.8628818422868767,0.8750499436998292,0.8856198467182449,0.8936108386909303,0.9086121099851078,0.8980058842759071,0.9007664087755621,0.8962260724274453,0.8934292252370055,0.8977153027496276,0.9032000290581526,0.9109367621953435,0.9179470415168356,0.898623370019251,0.9002942137953578,0.9050888089789692,0.9103919218335693,0.8911408957175548,0.9000036322690784,0.904616613998765,0.910646180669064,0.9169663288656423,0.9188551087864588,0.9143874178199122,0.8989139515455304,0.8916857360793288,0.8961897497366605,0.9069049435182158,0.9031637063673676,0.9111183756492681
auc_pr,0.15453656344717323,0.15868716093563168,0.14934719629433885,0.16855150349361608,0.16417011551825544,0.177341384031217,0.18871096448524743,0.19630794211783437,0.21193805853917683,0.21100269967594448,0.21536796572815792,0.2229835728375299,0.22140083172176786,0.21529213570229241,0.25929873587481395,0.29411306878016935,0.2774180353520186,0.2701317139296005,0.3045981975157851,0.3046313420193953,0.31698299115511097,0.3096079577265032,0.3133579080826749,0.2948208148598285,0.3289706803944094,0.33378972914569754,0.3287098683002234,0.3454819878080466,0.32669500682293173,0.32828823479097713,0.3286410364369907,0.33124594125297285,0.34564188617218317,0.34844025881156565,0.3513413228697759,0.35578349274718785,0.3555158570621747,0.35823699242406815,0.3890264525851018,0.3933045812445814,0.40599327883234393,0.4018650690898549,0.4153487274908932,0.4376780778504932,0.4438902124411195,0.43562032271634404,0.4337566745483539,0.43088809172258186,0.4367178988844822,0.4298684727687286,0.42911695965326596,0.43541939182689876,0.4290119721552191,0.42677290024747216,0.4364255447360357,0.44016546937265083,0.4488737368831527,0.4510167096030015,0.45593225584544605,0.45537650304263233,0.4652782405552594,0.4640645466490353,0.4625467228865426,0.4349203816353322,0.4516611958569586,0.4610949260831936,0.47318995840513056,0.47736489261997894,0.4765509659120419,0.4651044917398386,0.47598860193895814,0.4823805968364299,0.5148917046175461,0.5423440985382877,0.5620191411023806,0.6056917168437262,0.6185659618029993,0.626313326758314,0.6296959757749999,0.6244745743688978,0.6411701323231639,0.6638884071899964,0.6834718925633484,0.6763016117887302,0.6179794131737413,0.6492978968334655,0.6618789414758567,0.6755239809863292,0.6298800895996676,0.6663291517852389,0.6633676550235141,0.6760587824084539,0.7048474143725606,0.7394897804851397,0.7397360050841697,0.6964217576736984,0.6948460800727415,0.714844205600314,0.7376127432919488,0.7326914962455817,0.7632154888897917
auc_roc_bag,0.56,0.48000000000000004,0.6799999999999999,0.6799999999999999,0.6,0.56,0.6799999999999999,0.6799999999999999,0.72,0.72,0.6799999999999999,0.72,0.72,0.8,0.72,0.6799999999999999,0.56,0.6,0.72,0.72,0.6799999999999999,0.64,0.72,0.52,0.52,0.43999999999999995,0.52,0.5599999999999999,0.64,0.6,0.6,0.68,0.64,0.7200000000000001,0.72,0.72,0.7600000000000001,0.7600000000000001,0.6000000000000001,0.6799999999999999,0.6799999999999999,0.64,0.52,0.6,0.6,0.6,0.6399999999999999,0.6799999999999999,0.64,0.64,0.6799999999999999,0.72,0.6799999999999999,0.6799999999999999,0.72,0.72,0.72,0.76,0.72,0.72,0.72,0.72,0.72,0.8400000000000001,0.7200000000000001,0.7200000000000001,0.76,0.76,0.8,0.76,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8,0.8,0.92,0.8400000000000001,0.88,0.92,0.88,0.88,0.92,0.92,0.92,0.8400000000000001,0.92,0.92,0.92,0.8400000000000001,0.88,0.92,0.92,0.92,0.88,0.88,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.88,0.88,0.88
auc_pr_bag,0.6193650793650793,0.4317857142857143,0.5546428571428571,0.5414285714285714,0.4896428571428571,0.4701190476190476,0.5414285714285714,0.6580952380952381,0.5730952380952381,0.5829761904761905,0.5546428571428571,0.5730952380952381,0.5730952380952381,0.6266666666666667,0.5730952380952381,0.5546428571428571,0.5067460317460317,0.521031746031746,0.5829761904761905,0.5829761904761905,0.5546428571428571,0.5405555555555556,0.8126984126984127,0.47507936507936505,0.4693650793650794,0.4193650793650794,0.4693650793650794,0.606031746031746,0.5405555555555556,0.5294444444444444,0.5294444444444444,0.8015873015873016,0.6588888888888889,0.7188888888888889,0.8211111111111111,0.8211111111111111,0.8494444444444444,0.8494444444444444,0.6255555555555556,0.5414285714285714,0.5414285714285714,0.5229761904761905,0.47507936507936505,0.521031746031746,0.521031746031746,0.521031746031746,0.671031746031746,0.7543650793650793,0.7400793650793651,0.7400793650793651,0.7543650793650793,0.8126984126984127,0.7984126984126985,0.7984126984126985,0.8126984126984127,0.8126984126984127,0.8126984126984127,0.8322222222222222,0.8126984126984127,0.8126984126984127,0.8126984126984127,0.8126984126984127,0.8126984126984127,0.8347619047619046,0.7188888888888889,0.7188888888888889,0.8022222222222222,0.7329761904761904,0.8163095238095237,0.8022222222222222,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.8605555555555555,0.8605555555555555,0.9183333333333332,0.874642857142857,0.8930952380952379,0.9380952380952381,0.8930952380952379,0.8930952380952379,0.9380952380952381,0.9183333333333332,0.9380952380952381,0.874642857142857,0.9380952380952381,0.9380952380952381,0.9380952380952381,0.874642857142857,0.919642857142857,0.9380952380952381,0.9380952380952381,0.9380952380952381,0.919642857142857,0.919642857142857,0.874642857142857,0.874642857142857,0.874642857142857,0.919642857142857,0.919642857142857,0.919642857142857
Date,2024-06-23
Time,85.87771916389465
seed,28
Number of anomalous bags,5
Number of anomalies,63
Rewards bXagX 0,3.0276883340139312e-06,1.0109346778550109e-05,3.42057750901042e-06,1.974236266339519e-06,4.167699314423853e-06,2.7594197277551696e-06,3.6672714807363904e-06,2.2608904942545693e-06,3.860371995521325e-06,2.6192374400690113e-06,1.5374205066809708e-06,1.621125188338682e-06,2.1918351027566943e-06,5.861157610986889e-06,3.676428839346135e-06,2.2333617622590134e-06,1.6575697500324869e-06,3.278937885644549e-06,1.1089396676542668e-06,2.2812513539465687e-06,1.0122520338237571e-06,1.56107806746153e-06,7.047992151641739e-06,2.7852441694691013e-06,2.423998620106025e-06,1.3523691686448395e-06,2.1974428108276787e-06,1.3410400289936644e-06,1.4615638926805067e-06,9.635664762672932e-07,8.27613095789531e-07,1.2900974893231859e-06,1.6898995140386326e-06,9.688735796940784e-07,8.500941895934517e-07,1.7388071965959584e-06,1.7429466763530052e-06,5.375522836092626e-06,4.696355404418903e-06,1.3331882422298014e-06,9.874155249889222e-07,1.2308808352319494e-06,1.1902258581743747e-06,1.1731489782135597e-06,9.135562812180501e-07,1.291988000397558e-06,6.527800817540974e-07,8.085273507207202e-07,8.524249389314675e-07,1.3490682881340784e-06,4.673156612597666e-07,5.354252622134501e-07,8.436439942518427e-07,6.962657270396358e-07,4.992364639317638e-07,1.3820107511841555e-06,6.200215200577332e-07,1.018685595475552e-06,6.934015404169828e-07,7.307972259543638e-07,4.849145811998421e-07,5.552285484605393e-07,4.668591965110473e-06,3.706102189357297e-06,9.661535749760665e-07,5.552522083221906e-07,6.828954370991542e-07,8.428386616593905e-07,5.786700133616601e-06,1.216972097793587e-06,9.063891090046723e-07,1.6372186021630762e-06,1.5111559841910348e-06,6.428735025791474e-07,1.560967855852869e-06,1.7277721812484002e-06,6.70840259066316e-07,7.902148611391275e-07,2.529091300115973e-06,9.806301660501868e-07,9.772787059700707e-07,1.2269228968259585e-06,3.270285551824004e-06,2.4723464462301784e-06,1.5442312199825642e-06,8.97815109683092e-07,8.119068937099174e-07,1.9772631901954573e-06,8.088559563952674e-07,9.98472034343318e-07,9.57584639905649e-07,5.134342706910392e-07,1.3185893538657509e-06,1.1736386005558725e-06,1.3264452557753806e-06,7.696780513210855e-07,6.727312753832575e-07,8.239858841749719e-07,6.871739450593341e-07,7.139288291273142e-07
Prob contr bag 0,0.030276883340142648,0.10109346778551223,0.03420577509010797,0.019742362663397364,0.04167699314424313,0.027594197277554734,0.036672714807367945,0.022608904942548184,0.0386037199552175,0.026192374400692997,0.015374205066811402,0.016211251883388605,0.02191835102756936,0.058611576109875343,0.0367642883934654,0.022333617622592592,0.016575697500326694,0.0327893788564491,0.01108939667654389,0.0228125135394682,0.010122520338238686,0.015610780674617018,0.07047992151642515,0.02785244169469408,0.024239986201062918,0.013523691686449886,0.021974428108279206,0.013410400289938122,0.014615638926806677,0.009635664762673994,0.008276130957896222,0.01290097489323328,0.016898995140388187,0.009688735796941851,0.008500941895935454,0.0173880719659615,0.01742946676353197,0.05375522836093218,0.0469635540441942,0.013331882422299483,0.009874155249890309,0.012308808352320849,0.011902258581745057,0.01173148978213689,0.009135562812181508,0.012919880003977003,0.0065278008175416935,0.008085273507208092,0.008524249389315614,0.01349068288134227,0.004673156612598181,0.005354252622135091,0.008436439942519356,0.006962657270397125,0.004992364639318188,0.013820107511843076,0.0062002152005780145,0.010186855954756643,0.006934015404170591,0.0073079722595444435,0.004849145811998956,0.005552285484606004,0.04668591965110987,0.03706102189357705,0.009661535749761729,0.005552522083222518,0.006828954370992294,0.008428386616594834,0.05786700133617239,0.01216972097793721,0.009063891090047722,0.016372186021632564,0.015111559841912012,0.006428735025792182,0.015609678558530408,0.017277721812485904,0.006708402590663899,0.007902148611392145,0.025290913001162516,0.009806301660502949,0.009772787059701783,0.012269228968260937,0.03270285551824364,0.024723464462304508,0.015442312199827342,0.008978151096831909,0.008119068937100068,0.01977263190195675,0.008088559563953565,0.00998472034343428,0.009575846399057543,0.005134342706910957,0.01318589353865896,0.011736386005560017,0.013264452557755267,0.007696780513211703,0.006727312753833316,0.008239858841750627,0.0068717394505940985,0.007139288291273927
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9
Rewards bag 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rewards bag 2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rewards bag 3,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,9,10,11,11,11,11
Rewards bag 4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,6,6,6,7,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Rewards bag 5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Rewards bag 6,0,0,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15
Rewards bag 7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,7,7,8,8,9,9,9,9,10,10,11,11,11,11,11,11
Rewards bag 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10
Rewards bag 9,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,5,6,6,6,6,7,7,7,7,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
