auc_roc,0.4337883141762453,0.43941570881226055,0.4229525862068965,0.4202586206896552,0.4257662835249042,0.43289032567049807,0.4266642720306513,0.4281010536398468,0.43384818007662834,0.4276819923371648,0.4291786398467433,0.43031609195402304,0.434925766283525,0.4254669540229885,0.4191211685823755,0.4336087164750958,0.43881704980842906,0.4370210727969349,0.43600335249042144,0.44013409961685823,0.4482159961685824,0.45013170498084293,0.44222940613026823,0.44342672413793105,0.4445641762452108,0.444683908045977,0.4236709770114943,0.4356441570881227,0.438757183908046,0.43031609195402304,0.4323515325670498,0.43408764367816094,0.4379789272030652,0.4394755747126437,0.44636015325670503,0.4477370689655173,0.4477969348659004,0.44857519157088127,0.44989224137931033,0.43899664750957856,0.44234913793103453,0.4430675287356322,0.44582136015325674,0.45102969348659006,0.4525862068965517,0.45294540229885066,0.4516283524904215,0.43696120689655177,0.441271551724138,0.4339080459770116,0.4363625478927204,0.4418702107279694,0.4439655172413793,0.44492337164750967,0.4438457854406131,0.4358836206896552,0.4363026819923372,0.43540469348659006,0.4357638888888889,0.4361230842911877,0.4363625478927203,0.43702107279693486,0.4375,0.437919061302682,0.43235153256704983,0.43301005747126436,0.4347461685823755,0.4324712643678161,0.43348898467432956,0.4343869731800767,0.43588362068965525,0.4368414750957855,0.44025383141762453,0.43923611111111116,0.4424090038314176,0.4396551724137931,0.44187021072796934,0.4429477969348659,0.4279214559386973,0.42923850574712646,0.4337883141762453,0.43767959770114945,0.4382183908045977,0.4366020114942529,0.4376197318007663,0.43953544061302685,0.43815852490421453,0.4401340996168583,0.4419899425287357,0.4434865900383142,0.4436661877394636,0.4439056513409962,0.4465397509578544,0.44683908045977017,0.4474377394636015,0.44755747126436785,0.4474976053639847,0.440433429118774,0.43773946360153254,0.43917624521072807,0.43121408045977005
auc_pr,0.060224605578630123,0.06118366867369514,0.059409671283535526,0.058964876129704025,0.05994689203918855,0.06070936187999215,0.05914722027786913,0.05955228044452158,0.06028318654633218,0.059891563514609225,0.0602329175751717,0.06039968093315587,0.06112256883812985,0.06003639750744422,0.058730885943075496,0.060402223643661934,0.06120823053055546,0.06115932168725162,0.06131663167677071,0.06195332427688019,0.0631353633022815,0.06377277760806033,0.06335088442945039,0.06371704036107717,0.06405727221882937,0.06429922206047178,0.06132830658794056,0.06302745350301857,0.06353344925361798,0.06243729959787604,0.06294239079200675,0.06347933986931503,0.06369922686395732,0.06401622928299547,0.0712139314140836,0.07147019771978425,0.06969275171430064,0.06846726512254925,0.06880538208389339,0.06862590926771123,0.069450555990963,0.06945174995039932,0.06954110431286409,0.0703634472943421,0.07031059453416297,0.06961992055445088,0.06888950206902467,0.06605730270505131,0.06792330698272823,0.0669699115388853,0.06729741342816595,0.06864074278469928,0.06906626245745685,0.06943568856616683,0.07337347573551908,0.07386124647272947,0.07390405713250775,0.07382562236689422,0.07388815217566178,0.0739451731101646,0.07658911419873499,0.07577846136382696,0.07485921993532413,0.07493224309172816,0.07428033654422989,0.07444245413744525,0.07332455676251216,0.07082949707903821,0.07096969496858585,0.07079432749373096,0.07107079740488725,0.07068505718646563,0.07122825411835018,0.07117693523549673,0.07174287710006302,0.07164079276121926,0.07194048024066807,0.07200810539522343,0.06895388356164689,0.0691534786429498,0.07006340065520725,0.07043597387917115,0.07051989285539115,0.07076073733386365,0.07104689197627523,0.07218566561603562,0.07182207523097878,0.07640676304404477,0.07657853489637143,0.07686898096104622,0.07677177949907801,0.07628128874431592,0.0767428824232241,0.07644429158534628,0.07657567709422643,0.07635217249289496,0.0763296674556766,0.07534894706562298,0.07514480286654969,0.07526149832077618,0.07448700136281045
auc_roc_bag,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.625,0.5625,0.625,0.625,0.625,0.65625,0.65625,0.65625,0.65625,0.59375,0.59375,0.65625,0.65625
auc_pr_bag,0.1964285714285714,0.1964285714285714,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.1964285714285714,0.1964285714285714,0.1964285714285714,0.1964285714285714,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.1964285714285714,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2232142857142857,0.23809523809523808,0.2232142857142857,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.4880952380952381,0.4880952380952381,0.4880952380952381,0.4880952380952381,0.4732142857142857,0.4732142857142857,0.4880952380952381,0.4880952380952381
Date,2024-05-26
Time,76.70289444923401
seed,18
Number of anomalous bags,2
Number of anomalies,36
Rewards bag 0,3.1991214805634666e-07,6.995530978137125e-07,1.142422394844419e-06,1.2800395366210876e-06,8.364850413562624e-07,4.425517919204862e-07,4.100793866890995e-07,5.508231856320701e-07,1.1817121444325686e-06,1.706745339761429e-07,1.3463665612492628e-07,6.686500029054829e-07,1.8588267359037551e-06,5.208734998211347e-07,1.1976455722220623e-06,5.951029070723374e-07,1.0928528410952068e-06,4.035986999396233e-07,5.093901893208235e-07,1.5298129647901161e-06,1.619970082416214e-06,1.1348925725955782e-06,5.52073310710241e-07,2.999188485118637e-07,5.109641574047352e-07,1.3581201109665885e-06,6.759021687716002e-07,1.2033024917551462e-06,9.697179045124252e-07,2.9434605214960784e-07,3.0223532065138967e-07,7.551662626163647e-07,2.0170624659085226e-07,4.982679552284866e-06,5.259807417414834e-07,6.099659366229378e-07,2.4660717109634382e-06,6.419987762952112e-07,1.0355187957278139e-06,6.867393546869956e-07,3.2532037980981173e-07,2.2614679927623074e-06,7.350568879587092e-07,1.2538818568873242e-06,3.6918084136526174e-07,3.016450804045445e-07,7.345993894165623e-07,9.279894679999658e-07,9.238882917463037e-07,4.59566401588577e-07,6.294269052537031e-07,3.8753824488606335e-07,8.184612431363757e-07,6.357531329915258e-06,5.397032307461702e-06,4.165501711558891e-07,4.5300204115042843e-07,1.5320822754328212e-07,4.137171273788898e-07,1.4208114978981816e-06,2.4046474267360997e-06,5.214456585831788e-07,8.161604020164107e-07,5.278452391097348e-07,3.010442273678635e-07,1.5792638212686789e-06,1.34844117249681e-06,3.7137920040193285e-07,1.863699508724042e-06,2.7280981758577637e-07,6.795289094404134e-08,1.6471829314771978e-07,2.08866494094471e-07,1.659707113058145e-07,2.7842300941792556e-07,1.6301777843962408e-07,1.5911165647231955e-07,1.5877034403470097e-07,1.1917515090615158e-07,5.018149978386455e-07,2.2526794829812587e-07,1.258656423310907e-06,1.1015180723786658e-07,2.5573246176135695e-07,1.2047345834558054e-07,4.1395635146814477e-07,2.1121079846423096e-06,1.8976253804812595e-07,4.993924387890395e-07,6.730541506214015e-07,1.4410833688521387e-06,1.9515489140435845e-07,1.3328328621072271e-06,5.781298017436156e-07,4.893120031198569e-07,1.589025450015155e-07,4.7100876673885287e-07,1.1817622597944776e-07,1.2481290395177999e-06,6.830068075498219e-07
Prob contr bag 0,0.003199121480563819,0.006995530978137896,0.011424223948445448,0.012800395366212285,0.008364850413563545,0.004425517919205349,0.004100793866891447,0.005508231856321308,0.011817121444326987,0.001706745339761617,0.001346366561249411,0.006686500029055566,0.0185882673590396,0.00520873499821192,0.011976455722221942,0.00595102907072403,0.010928528410953271,0.0040359869993966775,0.0050939018932087965,0.015298129647902847,0.016199700824163926,0.011348925725957032,0.005520733107103017,0.0029991884851189674,0.005109641574047915,0.013581201109667382,0.006759021687716747,0.012033024917552787,0.00969717904512532,0.0029434605214964027,0.0030223532065142295,0.0075516626261644786,0.0020170624659087448,0.04982679552285414,0.005259807417415413,0.006099659366230049,0.024660717109637097,0.006419987762952818,0.010355187957279278,0.006867393546870712,0.0032532037980984754,0.022614679927625565,0.007350568879587902,0.012538818568874623,0.0036918084136530237,0.0030164508040457774,0.007345993894166432,0.00927989468000068,0.009238882917464055,0.004595664015886276,0.006294269052537725,0.0038753824488610604,0.008184612431364658,0.06357531329915958,0.05397032307462296,0.00416550171155935,0.004530020411504783,0.00153208227543299,0.004137171273789353,0.014208114978983381,0.024046474267363643,0.005214456585832363,0.008161604020165006,0.005278452391097929,0.0030104422736789665,0.015792638212688528,0.013484411724969584,0.0037137920040197373,0.018636995087242474,0.002728098175858064,0.0006795289094404882,0.0016471829314773792,0.00208866494094494,0.001659707113058328,0.0027842300941795625,0.0016301777843964202,0.0015911165647233708,0.0015877034403471845,0.001191751509061647,0.005018149978387008,0.002252679482981507,0.012586564233110456,0.001101518072378787,0.0025573246176138513,0.0012047345834559381,0.004139563514681904,0.021121079846425424,0.0018976253804814684,0.004993924387890945,0.0067305415062147555,0.014410833688522974,0.0019515489140437994,0.01332832862107374,0.005781298017436793,0.004893120031199108,0.0015890254500153299,0.004710087667389048,0.0011817622597946077,0.012481290395179373,0.0068300680754989716
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
