auc_roc,0.44280849358974356,0.4464142628205129,0.43773370726495725,0.43052216880341887,0.43726629273504275,0.43753338675213677,0.4363314636752137,0.42791800213675213,0.4299879807692307,0.43366052350427353,0.4185697115384615,0.4045472756410256,0.409889155982906,0.4180355235042734,0.4278512286324786,0.4341279380341881,0.43906917735042733,0.4447449252136752,0.42952056623931617,0.4193042200854701,0.4214409722222222,0.4245793269230769,0.42417868589743596,0.42718349358974356,0.418903579059829,0.4170339209401709,0.41649973290598286,0.4169671474358974,0.4184361645299146,0.45322516025641024,0.44875133547008556,0.45015357905982895,0.4491519764957264,0.44394364316239315,0.4456129807692308,0.5107839209401709,0.5152577457264957,0.5097155448717949,0.5105836004273503,0.5260750534188035,0.5287459935897436,0.5344885149572649,0.5361578525641024,0.5274105235042734,0.5208667200854701,0.5166599893162394,0.5207331730769231,0.5239383012820513,0.519130608974359,0.5195980235042735,0.5295472756410257,0.5256076388888888,0.5181290064102564,0.5211338141025641,0.513187767094017,0.5129874465811965,0.5088474893162394,0.5162593482905984,0.5189302884615384,0.5182625534188035,0.5188635149572649,0.518997061965812,0.5159922542735043,0.5179286858974359,0.518863514957265,0.5224025106837606,0.5173944978632479,0.5191973824786325,0.5222689636752137,0.519798344017094,0.5220686431623931,0.5229366987179487,0.5317508012820512,0.5341546474358974,0.5374265491452992,0.5394965277777778,0.566139155982906,0.5903111645299145,0.5922475961538461,0.5880408653846154,0.5903111645299145,0.5920472756410257,0.5911124465811965,0.5924479166666666,0.5939169337606837,0.5951856303418803,0.5975894764957265,0.5892427884615385,0.5911792200854701,0.5807625534188035,0.5829660790598291,0.5766225961538461,0.5748197115384615,0.574752938034188,0.5615985576923077,0.5620659722222222,0.5618656517094017,0.5603966346153847,0.5621995192307693,0.5644030448717949,0.5658052884615385
auc_pr,0.055388092109246,0.055782595478440486,0.05392863294188379,0.05261802229640501,0.053382857744577905,0.05364886733830032,0.05359420045707417,0.0529379562356916,0.053207612459836594,0.05367362197902992,0.061556144203026256,0.060432664764725835,0.06084108648768763,0.059970183229037424,0.06044639953626457,0.058955562823413826,0.05967564855440147,0.05916549438551838,0.05777032094705528,0.060195354636108075,0.0602413826094849,0.06133348214225251,0.061342837952150134,0.06104336865671836,0.06021206829461258,0.05985533254065411,0.0597396020547806,0.06065182428658075,0.06081429066210893,0.06461283001794393,0.06423498351013351,0.06205390694065324,0.06147909756788474,0.0611488504038739,0.061541517058083174,0.0726943957687815,0.07348176140996678,0.07280858114551769,0.07304766233970948,0.07739910706979158,0.07709780250054808,0.07720908572130611,0.07819047213777938,0.07456960565237575,0.07303790378182295,0.07212039897553447,0.0725738563445307,0.07200903790095216,0.06998859082898251,0.06973102789831356,0.07312617290794884,0.07607836864270172,0.07434743681210862,0.07393935152366798,0.07174259972780445,0.07042924936634551,0.06902028188522191,0.06957337298040243,0.06960738559944113,0.0689661413709225,0.06920929665652087,0.06886581775769787,0.06812123570663661,0.06844000856002386,0.06830399224422946,0.06894175592846277,0.06850562635784012,0.06863596367160946,0.06962126182899869,0.06913413307999816,0.06982547058414351,0.07047193429809882,0.07223823557770145,0.07231767358801681,0.07258175565508296,0.07324738099097566,0.07885830667204072,0.08117980941774214,0.08173115349141555,0.08171262682114243,0.08236863175059367,0.08270108042005263,0.08286717690673767,0.08297707066032795,0.08286299292189667,0.08368794585653896,0.08412222256618192,0.08288163650039135,0.08325226940889265,0.08168793160086615,0.08212436706828177,0.0839556529061985,0.08465497369461766,0.08407314480156683,0.08290573897681572,0.0821157342018894,0.08129670797458013,0.08175423892380251,0.08348598825902873,0.08585877727087507,0.08661139097764166
auc_roc_bag,0.4375,0.4375,0.375,0.375,0.375,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.3125,0.3125,0.3125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.4375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,0.375,0.375,0.3125,0.3125,0.3125,0.375,0.3125,0.3125,0.375,0.4375,0.5,0.5,0.5,0.375,0.375,0.25,0.3125,0.1875,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3125,0.3125,0.375,0.375,0.375,0.3125,0.25,0.25,0.25,0.25,0.25,0.25,0.3125,0.25,0.3125,0.3125,0.3125,0.25,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125
auc_pr_bag,0.16309523809523807,0.16309523809523807,0.15476190476190474,0.15476190476190474,0.15476190476190474,0.1284722222222222,0.1284722222222222,0.14821428571428572,0.14821428571428572,0.14821428571428572,0.15476190476190474,0.15476190476190474,0.13988095238095238,0.13988095238095238,0.13988095238095238,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.1284722222222222,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.20277777777777778,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.14027777777777778,0.14027777777777778,0.14027777777777778,0.1611111111111111,0.14027777777777778,0.14027777777777778,0.1611111111111111,0.1607142857142857,0.17559523809523808,0.17559523809523808,0.17559523809523808,0.14930555555555555,0.14930555555555555,0.1284722222222222,0.13680555555555557,0.11944444444444444,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.14027777777777778,0.14027777777777778,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.14027777777777778,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.12777777777777777,0.14027777777777778,0.12777777777777777,0.14027777777777778,0.14027777777777778,0.14027777777777778,0.12777777777777777,0.14027777777777778,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.13680555555555557,0.13680555555555557
Date,2024-05-25
Time,74.05002999305725
seed,9
Number of anomalous bags,2
Number of anomalies,32
Rewards bag 0,1.489260417147693e-07,1.4085956331523917e-06,1.9193518982093107e-06,3.680406998175674e-07,1.9284258602007415e-06,7.41935227891888e-07,1.0392285672730511e-06,1.447523021051815e-07,4.0465646371304483e-07,6.813263227827081e-06,6.84731509813535e-07,1.545306250892802e-06,1.3769691423316094e-06,1.3266401668620093e-06,1.1233692004609714e-06,8.394510525468891e-07,8.579621944261518e-07,5.323800089495325e-07,1.8958951316106415e-06,3.9890387586361476e-07,2.584123223024139e-07,9.134966483718025e-08,5.448319198071283e-07,7.197350317064869e-07,3.090136802598821e-07,3.989335830236832e-07,5.649800185503445e-07,4.665954117054358e-07,2.491739499181568e-06,7.208876526476853e-07,8.946496580187957e-07,6.775817246967518e-07,1.780857051579068e-07,4.399980601652161e-07,4.6674533896273134e-06,2.1244407692183806e-07,7.018053412699871e-07,8.449006328899122e-08,3.240682570166345e-06,9.63498214813744e-07,5.14704703442042e-07,2.900888403280661e-07,8.040730898055973e-07,4.4131953766325755e-07,1.8143624152879154e-07,3.780407770892012e-07,5.741307289192181e-07,3.9316659102720314e-07,4.957883438216798e-07,2.498421313053382e-06,3.7036004901113474e-06,3.817287658282902e-07,3.404154945475366e-07,3.518636357259747e-07,9.524762483519587e-07,1.9754375086054204e-07,3.3600530060075304e-07,6.390516584998312e-07,8.831173901385989e-07,1.1553470182230533e-06,7.972352375975001e-07,3.4271932037242065e-07,5.956223947758478e-07,2.960511696011794e-07,2.665147338020961e-07,2.8960403565112616e-07,3.182569211022914e-07,2.813815009668378e-07,1.879525152942544e-07,2.262660528083326e-07,3.899870620255714e-07,1.2294037724599837e-06,2.4192135856012795e-07,2.676724913033749e-07,6.301895945080686e-07,3.258879688644351e-06,1.698257091124455e-06,9.975867621014297e-08,7.328098972084312e-07,2.0686386357213004e-07,4.393498554135927e-07,3.401751026393624e-07,3.1344723665963286e-07,2.576328868883944e-07,1.1687495521251919e-07,2.3355133136401504e-07,5.57794794052522e-07,1.6861219331012014e-07,6.958978388334563e-07,1.750125255910542e-07,2.1052086127632496e-06,2.418595272805038e-07,2.2365170526575588e-07,3.0501382446117736e-07,2.660455153238896e-07,1.9712468319055666e-07,1.757004626560393e-07,6.919356578849725e-07,5.10979535372119e-07,3.237476815487088e-07
Prob contr bag 0,0.001489260417147857,0.014085956331525469,0.01919351898209522,0.0036804069981760793,0.019284258602009538,0.007419352278919698,0.010392285672731656,0.0014475230210519744,0.004046564637130894,0.06813263227827832,0.006847315098136104,0.015453062508929721,0.01376969142331761,0.013266401668621553,0.01123369200461095,0.008394510525469816,0.008579621944262462,0.005323800089495911,0.018958951316108502,0.003989038758636587,0.002584123223024424,0.0009134966483719031,0.005448319198071883,0.007197350317065662,0.003090136802599161,0.003989335830237271,0.005649800185504068,0.004665954117054872,0.024917394991818425,0.0072088765264776465,0.008946496580188942,0.006775817246968264,0.0017808570515792641,0.004399980601652646,0.04667453389627827,0.0021244407692186146,0.007018053412700644,0.0008449006328900053,0.032406825701667016,0.0096349821481385,0.005147047034420987,0.00290088840328098,0.00804073089805686,0.0044131953766330615,0.0018143624152881152,0.003780407770892428,0.005741307289192813,0.003931665910272464,0.004957883438217344,0.02498421313053657,0.03703600490111755,0.0038172876582833223,0.0034041549454757406,0.0035186363572601346,0.009524762483520636,0.001975437508605638,0.0033600530060079003,0.006390516584999016,0.008831173901386961,0.011553470182231806,0.00797235237597588,0.003427193203724584,0.005956223947759133,0.00296051169601212,0.0026651473380212543,0.0028960403565115806,0.0031825692110232645,0.002813815009668688,0.001879525152942751,0.0022626605280835752,0.0038998706202561435,0.012294037724601192,0.002419213585601546,0.002676724913034044,0.00630189594508138,0.0325887968864471,0.01698257091124642,0.0009975867621015396,0.007328098972085119,0.002068638635721528,0.004393498554136411,0.003401751026393999,0.0031344723665966737,0.0025763288688842277,0.0011687495521253207,0.0023355133136404075,0.005577947940525835,0.001686121933101387,0.0069589783883353285,0.0017501252559107348,0.021052086127634814,0.0024185952728053043,0.002236517052657805,0.0030501382446121096,0.002660455153239189,0.0019712468319057837,0.0017570046265605866,0.006919356578850486,0.005109795353721753,0.003237476815487445
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
