auc_roc,0.439805385833899,0.4671871464132157,0.48529078977144147,0.48483819868748584,0.4459153654673003,0.43392170174247563,0.4239646978954515,0.41762842272007245,0.42984838198687486,0.5706042090970809,0.5746775288526815,0.5737723466847703,0.5771667798144376,0.5545372256166553,0.552274270196877,0.56132609187599,0.5737723466847704,0.5635890472957683,0.5667571848834578,0.5647205250056574,0.5724145734329034,0.5683412536773026,0.5712830957230143,0.5708305046390586,0.5694727313871917,0.5563475899524779,0.5617786829599457,0.5699253224711474,0.5631364562118126,0.5590631364562118,0.5640416383797239,0.5694727313871917,0.5672097759674135,0.5674360715093913,0.5724145734329034,0.5642679339217018,0.5574790676623671,0.5617786829599457,0.5581579542883006,0.5439013351436977,0.5441276306856755,0.540959493097986,0.5414120841819416,0.5423172663498529,0.5649468205476351,0.5658520027155465,0.5667571848834578,0.5604209097080787,0.5568001810364336,0.5536320434487441,0.5556687033265444,0.5581579542883004,0.560194614166101,0.5633627517537904,0.56653088934148,0.5653994116315908,0.5647205250056573,0.5672097759674134,0.5681149581353246,0.5699253224711472,0.5669834804254356,0.6083955646073773,0.6043222448517764,0.6020592894319983,0.6025118805159538,0.6031907671418872,0.6047748359357321,0.5970807875084861,0.5982122652183752,0.5943652410047522,0.5943652410047522,0.5909708078750848,0.5911971034170627,0.590744512333107,0.5871237836614618,0.5889341479972845,0.5911971034170627,0.5909708078750848,0.5939126499207965,0.5957230142566191,0.6002489250961756,0.6000226295541977,0.6011541072640868,0.6007015161801312,0.6022855849739759,0.6038696537678208,0.6059063136456212,0.6068114958135324,0.6059063136456211,0.6043222448517764,0.6038696537678208,0.6045485403937543,0.6063589047295769,0.6054537225616655,0.6045485403937543,0.6056800181036434,0.6065852002715546,0.6050011314777098,0.6034170626838651,0.6027381760579317,0.6045485403937543
auc_pr,0.015437736786189534,0.016054513893200624,0.016792175978204277,0.016920851568815135,0.015061307251478787,0.014564586963407403,0.014364732802342435,0.01419477829846863,0.014376711406618408,0.025171667438996993,0.02356516602927947,0.023185802734460487,0.023888569226804594,0.022370859865965237,0.022017346083844265,0.022412990704656417,0.022965193206615525,0.02258733949893103,0.02260995517986539,0.02144994397316126,0.02177822315581341,0.02156018957448646,0.02034107866683058,0.020331804465371046,0.01969272381567254,0.0192396266971143,0.01945870892414566,0.01979372499073253,0.01935180800184961,0.019240566273925338,0.019421921875222715,0.01972144551246216,0.01980725030197701,0.019762187631650864,0.020044630841863618,0.019783118298772405,0.01894755312154982,0.019099201079351348,0.01875400179160651,0.018355082580968754,0.018383140942360446,0.018308980361990065,0.01835321111045033,0.0183203790668527,0.020669244863872983,0.020777674957987394,0.020814985054988383,0.020205675313469198,0.020247476871106798,0.020208858055792204,0.020330458774589576,0.020530071821121133,0.020657643570193014,0.020864241505686994,0.02103875231312608,0.020940433669822994,0.020915152265192395,0.021232775394675288,0.02128382961308143,0.021402399750248963,0.021294636495644823,0.033814067410271646,0.033738866072216475,0.03356166129140445,0.03357584140872749,0.033596244262014116,0.03363802599945048,0.02944551810320821,0.0296518580847308,0.02841259031154365,0.02831812986341824,0.028266587005918574,0.028471588530973257,0.028251413442105272,0.027525482666126307,0.02769065502369509,0.027856675173443073,0.02807647997249057,0.02837744503334738,0.029104166560614077,0.03112469720773299,0.031069483286771876,0.0311087378657168,0.031087873913398636,0.03200739004414711,0.03204898147651104,0.03313234850647513,0.033509022649289996,0.03349796429838586,0.03342427893712219,0.03331949866257417,0.03334774193569719,0.03342033527986146,0.033385304203778124,0.03338040102760382,0.03407770484648945,0.03411098764400286,0.03357670162722307,0.03380330284988836,0.03374180326892405,0.03381074394933328
auc_roc_bag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
auc_pr_bag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25
Date,2024-05-26
Time,73.16712999343872
seed,3
Number of anomalous bags,1
Number of anomalies,9
Rewards bag 0,2.14690326054658e-06,1.2205849380200842e-06,1.2891721595427014e-06,1.947616445928248e-06,8.550734582116266e-07,5.71959136385448e-07,6.652545531008526e-07,1.0321797640248857e-06,5.880158175980064e-06,9.06964548968677e-07,5.270529331360015e-07,6.975698497306574e-07,7.936239326138727e-07,5.774111897935538e-07,4.1064268139689006e-07,6.740936906470579e-07,3.4052289155691716e-07,1.9118275737960085e-07,8.068675561701122e-07,4.2828614569118436e-07,2.7898502079489005e-07,1.1731372721089618e-06,3.7596173595199344e-07,7.55345474529378e-07,1.897781335203897e-07,3.725230137698822e-07,4.951942081908361e-07,3.768162723378542e-07,1.0918831129376279e-07,4.022035173246736e-07,1.2182173467149912e-06,6.327273993221738e-07,2.752902241259372e-07,2.956187954758329e-07,1.9384314659158845e-07,1.0061574165388405e-06,2.455811172473601e-07,5.926865221663737e-07,2.659286156265706e-07,1.9113537937361546e-07,1.842877873019038e-07,1.4823527943461492e-07,2.556890474585238e-07,3.126753842165012e-06,3.582283802428784e-07,1.056645057208376e-07,4.6651331429530297e-07,2.932219607606643e-07,2.11268970256953e-07,1.3402811820408115e-07,2.9345507014422297e-07,1.596672398228498e-07,1.583765524095386e-07,3.7180976731987833e-07,1.7843944989739865e-07,1.906338943629761e-07,6.285526304530448e-07,1.2356063089553677e-07,1.6666259754542607e-07,1.475838986872927e-07,2.9038593071478968e-06,9.545859765972667e-08,9.795488706063298e-08,6.401095921555537e-08,1.5251650640712596e-07,6.944748820730602e-08,1.0262555882676328e-06,1.0575133656517037e-07,3.958489357642347e-07,7.414878311832832e-08,6.87016984730677e-08,6.95174960977039e-08,7.064521683225219e-07,3.015365504021941e-07,2.2155446547525702e-07,1.308499877070745e-07,2.4160597689757156e-07,1.1722504574541066e-07,4.5334037236083856e-07,7.581172251723852e-07,1.0893211189998295e-07,7.259524830713697e-08,7.869481252825252e-08,1.6864411837661778e-07,7.016176693664624e-08,9.142065522380221e-07,1.6866423407151585e-07,6.692167041169997e-08,7.080541212041283e-08,1.917557436996545e-07,7.600978795979985e-08,1.9545025559632522e-07,4.7119050937229485e-08,5.626486192072564e-08,3.673291753328112e-07,7.168520229010312e-08,5.513261594952265e-07,4.984542922553753e-07,4.1069412939371815e-07,1.3345083378826744e-07
Prob contr bag 0,0.021469032605468164,0.012205849380202187,0.012891721595428434,0.019476164459284625,0.008550734582117208,0.0057195913638551105,0.006652545531009259,0.010321797640249994,0.05880158175980712,0.009069645489687769,0.005270529331360596,0.006975698497307343,0.007936239326139601,0.005774111897936174,0.004106426813969353,0.006740936906471322,0.0034052289155695466,0.0019118275737962191,0.00806867556170201,0.004282861456912315,0.0027898502079492077,0.01173137272109091,0.003759617359520348,0.007553454745294612,0.001897781335204106,0.003725230137699232,0.004951942081908907,0.0037681627233789572,0.0010918831129377482,0.004022035173247179,0.012182173467151254,0.006327273993222435,0.002752902241259675,0.0029561879547586544,0.001938431465916098,0.010061574165389513,0.0024558111724738716,0.005926865221664389,0.0026592861562659987,0.001911353793736365,0.001842877873019241,0.0014823527943463124,0.0025568904745855194,0.031267538421653564,0.0035822838024291786,0.0010566450572084924,0.004665133142953543,0.0029322196076069663,0.002112689702569763,0.001340281182040959,0.0029345507014425527,0.001596672398228674,0.0015837655240955606,0.0037180976731991926,0.001784394498974183,0.0019063389436299709,0.00628552630453114,0.0012356063089555037,0.0016666259754544441,0.0014758389868730895,0.029038593071482165,0.0009545859765973719,0.0009795488706064376,0.0006401095921556242,0.0015251650640714276,0.0006944748820731366,0.010262555882677458,0.0010575133656518202,0.003958489357642783,0.0007414878311833648,0.0006870169847307526,0.0006951749609771156,0.007064521683225997,0.003015365504022273,0.0022155446547528143,0.0013084998770708893,0.0024160597689759818,0.0011722504574542356,0.004533403723608885,0.007581172251724687,0.0010893211189999495,0.0007259524830714497,0.0007869481252826119,0.0016864411837663636,0.0007016176693665397,0.009142065522381228,0.0016866423407153443,0.0006692167041170734,0.0007080541212042062,0.0019175574369967561,0.0007600978795980821,0.0019545025559634674,0.00047119050937234673,0.0005626486192073184,0.0036732917533285163,0.0007168520229011102,0.005513261594952873,0.004984542922554302,0.004106941293937634,0.0013345083378828214
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
