auc_roc,0.489483173076923,0.5489783653846153,0.5411992521367521,0.5404981303418803,0.5518830128205128,0.5244724893162392,0.5095152243589742,0.504306891025641,0.5550547542735043,0.5322182158119658,0.5049412393162394,0.5578926282051282,0.5063434829059829,0.5484107905982907,0.5881410256410257,0.5337873931623931,0.5465077457264957,0.5272769764957265,0.5103165064102564,0.5308827457264957,0.5374933226495726,0.4938234508547008,0.5559895833333333,0.5241386217948718,0.503372061965812,0.518729967948718,0.5463074252136751,0.5496461004273504,0.514823717948718,0.5561231303418803,0.5563902243589743,0.5282118055555555,0.4966613247863248,0.5357905982905982,0.5724158653846154,0.5160924145299145,0.4812032585470085,0.4683493589743589,0.4898838141025641,0.5791266025641024,0.5358239850427351,0.6078392094017093,0.5629340277777777,0.5396968482905983,0.5898103632478632,0.6012286324786325,0.6306089743589743,0.5703124999999999,0.5978899572649572,0.6084067841880342,0.617454594017094,0.6523103632478633,0.5715144230769231,0.6902711004273504,0.6262019230769231,0.613681891025641,0.6977497329059829,0.6778178418803418,0.7211204594017094,0.7102363782051282,0.7106370192307692,0.7179821047008548,0.7040264423076923,0.7017561431623932,0.7245926816239315,0.7444911858974358,0.6253004807692308,0.6904046474358975,0.676716079059829,0.7146434294871795,0.7204527243589745,0.6864650106837605,0.7068309294871795,0.6933426816239315,0.668636485042735,0.6877337072649572,0.7016893696581197,0.6834602029914529,0.7037593482905984,0.6837606837606838,0.6688701923076923,0.7173143696581197,0.7451589209401709,0.6958800747863247,0.6763822115384615,0.6798544337606836,0.6737780448717949,0.706764155982906,0.7172142094017094,0.6915397970085471,0.6789863782051282,0.7059628739316239,0.6642294337606838,0.6484041132478633,0.6116119123931625,0.6610243055555556,0.7825186965811965,0.7154113247863247,0.6942441239316239,0.6972155448717949
auc_pr,0.11210078824199333,0.12235038678727804,0.11174575134955979,0.128697987627215,0.14625366729576042,0.16275499736584398,0.16504960905113553,0.16442008013287882,0.20099901243537907,0.21175533420819825,0.18736252902947748,0.20840468251681463,0.1897853358376514,0.19307171874802098,0.2009872464751705,0.1938970903770252,0.20559225214176846,0.20689175313272234,0.20416129800467578,0.20420621391023558,0.20269215301283638,0.1974334527752924,0.20678452007887768,0.2095690354860098,0.20829989105674548,0.20429106463562605,0.21126767006630215,0.21026338970695063,0.21702830590797922,0.22230347868296876,0.22448300146953434,0.21983524486380696,0.2139514550903695,0.21915230135006297,0.22559600882488165,0.21692867094287407,0.21210061190138105,0.2083899130011409,0.22365949406381644,0.2339966923820986,0.21956620663229892,0.23212031835069546,0.2265333713215093,0.20635773516353337,0.20774147809988652,0.23248745083440028,0.233218851059329,0.2231086833350821,0.23076619957165623,0.2304960058621959,0.2317717000100504,0.2436650808168493,0.22532898919379996,0.3338615890569394,0.29151057529714086,0.28416412497887067,0.29979848773725826,0.2999911258678847,0.33470949278581863,0.33653868945966603,0.32262880733833094,0.3254131641674749,0.32092177875291644,0.3621774356661031,0.36503353057417887,0.36618640942522507,0.342338326566129,0.35831049662923486,0.34725727536919276,0.36193907673906656,0.3536612247894686,0.3492778609262063,0.3548846888722978,0.356572215381732,0.35221886604020364,0.3432228440645418,0.35169169422215046,0.3648611775075352,0.36811655432217755,0.38336144537400274,0.38561210532805357,0.3897437021434367,0.3875383784766731,0.38355271911761707,0.36769751343368423,0.35009072081726544,0.3620824061770611,0.37288148687300804,0.3628802579943103,0.3726890611281498,0.3546118362471875,0.35820321166548363,0.32838101574388306,0.47769781699783875,0.3833395978646172,0.36416479193495505,0.40212325553863937,0.3458409796689588,0.3373910431553002,0.45326714824080266
auc_roc_bag,0.9375,0.71875,0.6875,0.75,0.6875,0.625,0.625,0.625,0.5625,0.5625,0.875,0.75,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5625,0.625,0.5,0.5,0.5,0.5,0.5625,0.5,0.5,0.5,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.9375,0.8125,0.625,0.625,0.625,0.5625,0.5625,0.5,0.5625,0.5625,0.5625,0.5625,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5625,0.5625,0.625,0.5625,0.6875,0.5625,0.625,0.5625,0.5,0.5,0.5,0.5,0.5625,0.625,0.5625,0.5625,0.5625,0.5625,0.5,0.875,0.75,0.6875,0.625,0.5625,0.5625,1.0
auc_pr_bag,0.7916666666666666,0.5083333333333333,0.4666666666666667,0.6666666666666666,0.6428571428571428,0.625,0.625,0.625,0.6111111111111112,0.6111111111111112,0.75,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6,0.6111111111111112,0.625,0.6,0.6,0.6,0.6,0.6111111111111112,0.6,0.6,0.6,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6,0.6,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6111111111111112,0.6,0.6,0.6,0.6,0.6,0.6,0.8333333333333333,0.7,0.625,0.625,0.625,0.6111111111111112,0.6111111111111112,0.6,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.6,0.6,0.6111111111111112,0.6111111111111112,0.625,0.6111111111111112,0.6428571428571428,0.6111111111111112,0.625,0.6111111111111112,0.6,0.6,0.6,0.6,0.6111111111111112,0.625,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6,0.75,0.6666666666666666,0.6428571428571428,0.625,0.6111111111111112,0.6111111111111112,1.0
Date,2024-05-16
Time,62810.99793219566
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,6.807027769878816e-06,2.2062409973485136e-05,1.2808953698993586e-05,1.8350272759174803e-05,2.459528676257739e-06,2.8139926474628156e-06,8.315339240834552e-06,1.2055843840433727e-05,2.7742450919883894e-06
Rewards bag 1,4.999332593400826e-06,1.3787283969474426e-05,2.9513326092979252e-06,2.5771979837570735e-06,3.0184599377038554e-06
Rewards bag 2,8.75134390081919e-06,1.4050759708480016e-05,4.941627639833249e-06,7.661207771772474e-06,2.571070809981164e-06,1.773569053754393e-05,9.057706388001164e-07,1.3012838721680735e-05,3.130948695048229e-06,1.8071722448971474e-06,8.586986329386014e-07
Rewards bag 3,8.747565815844259e-06,1.6060414921664693e-05,5.067307249785491e-06,4.94609431150023e-06,4.941369313431576e-06,2.0636377379180897e-05,1.7306325869451111e-06,6.710876330443794e-06,1.976741633538486e-06,3.5106933959745554e-06,2.886164617516068e-06
Rewards bag 4,1.624040296710257e-05,7.670274504012345e-06,5.680313912590981e-06,4.734998410654134e-06,2.0165070744362204e-06,1.6032000908234193e-05,8.049000684143872e-07
Rewards bag 5,1.0612017391528463e-05,1.0733080258437571e-05,4.901664130528787e-06,2.1485125520780567e-06,5.0161746236741276e-06,1.7560042019481344e-05,3.0377277208803962e-06,1.7794348103176505e-05,1.745357115438671e-06,4.255422455405979e-06,1.7563451768379748e-06
Rewards bag 6,1.1494994434920916e-05,1.0315896179828547e-05,6.335714392503157e-06,4.817128444669819e-06,1.3088117618188527e-05,9.777174635230984e-06,1.9026476695933557e-06,4.136898088366339e-06,5.728113566595702e-06,6.662997449940498e-07
Rewards bag 7,1.3199389217358154e-05,1.0070249263696989e-05,6.065511167385065e-06,5.025056651780715e-06,2.0569346225274383e-06,1.7852955758348866e-05,1.7741580625809803e-06,1.9362061651308592e-05,4.984587710086474e-06,3.0952404803917696e-06,1.4815155276889277e-06,1.1591371106531477e-06,2.1261671058236104e-06
Rewards bag 8,1.0428110421413621e-05,9.838147837137973e-06,6.612870129285782e-06,2.4016558128758965e-06,3.910206600323023e-06,1.8045785422182263e-05,1.8212834743747126e-06,3.816844383063935e-06,1.09064558527126e-05,1.6131584636949855e-06,1.182066427567334e-05
Rewards bag 9,2.505917875016904e-05,1.1825753318741902e-05,3.6330323011960584e-06,6.758442240928238e-06,5.954869650146636e-06,1.8522316756543507e-05,3.22040010986497e-06,5.621380304610247e-06,1.2529653266547102e-06,5.537667368709376e-06,2.585782197576875e-06
Prob contr bag 0,0.06807027769879566,0.22062409973487565,0.12808953698994996,0.18350272759176825,0.0245952867625801,0.028139926474631257,0.08315339240835468,0.12055843840435054,0.02774245091988695
Align contr bag 0,1.739632299388293e-157,4.384557495895483e-162,0.0,0.0,0.0,0.0,0.0,1.5663382726205218e-174,1.5663382726205218e-174
Prob contr bag 1,0.04999332593401377,0.13787283969475944,0.029513326092982503,0.025771979837573573,0.03018459937704188
Align contr bag 1,1.150940266982658e-180,0.0,0.0,0.0,0.0
Prob contr bag 2,0.08751343900820154,0.14050759708481564,0.04941627639833793,0.07661207771773318,0.02571070809981447,0.17735690537545884,0.009057706388002162,0.13012838721682168,0.031309486950485736,0.018071722448973464,0.00858698632938696
Align contr bag 2,6.842938710756188e-148,9.87521969119246e-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 3,0.08747565815845222,0.16060414921666463,0.05067307249786049,0.04946094311500775,0.0494136931343212,0.20636377379183168,0.017306325869453017,0.06710876330444533,0.01976741633538704,0.03510693395974942,0.028861646175163857
Align contr bag 3,4.519945112549028e-155,5.0604411214327264e-201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 4,0.1624040296710436,0.0767027450401319,0.056803139125916065,0.04734998410654656,0.020165070744364424,0.16032000908235958,0.008049000684144759
Align contr bag 4,1.385884522491272e-156,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 5,0.10612017391529632,0.10733080258438753,0.04901664130529327,0.021485125520782935,0.0501617462367468,0.17560042019483277,0.030377277208807306,0.17794348103178464,0.01745357115438863,0.042554224554064476,0.017563451768381682
Align contr bag 5,5.1111078976424206e-154,0.0,0.0,0.0,1.9073962059626218e-146,1.9073962059626218e-146,0.0,0.0,0.0,0.0,0.0
Prob contr bag 6,0.11494994434922182,0.10315896179829682,0.06335714392503855,0.048171284446703495,0.13088117618189968,0.09777174635232061,0.019026476695935653,0.04136898088366795,0.05728113566596333,0.006662997449941232
Align contr bag 6,6.2940623248377015e-155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 7,0.13199389217359608,0.10070249263698099,0.06065511167385733,0.050250566517812685,0.020569346225276647,0.17852955758350833,0.017741580625811756,0.19362061651310725,0.049845877100870226,0.030952404803921106,0.01481515527689091,0.011591371106532754,0.021261671058238448
Align contr bag 7,3.334076998644673e-151,7.728959198574595e-147,1.3962051180841545e-136,1.3962051181614474e-136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3120689238216165e-255,4.3120689238216165e-255
Prob contr bag 8,0.1042811042141477,0.09838147837139057,0.0661287012928651,0.02401655812876161,0.039102066003234535,0.18045785422184252,0.018212834743749132,0.03816844383064356,0.109064558527138,0.01613158463695163,0.11820664275674643
Align contr bag 8,2.0148379052996256e-167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 9,0.250591787501718,0.11825753318743205,0.03633032301196459,0.06758442240928983,0.05954869650147292,0.18522316756545545,0.03220400109865325,0.056213803046108665,0.012529653266548481,0.05537667368709986,0.0258578219757716
Align contr bag 9,8.79226522160414e-165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
