auc_roc,0.3177696980854197,0.3821336524300442,0.4144421944035346,0.46258284241531666,0.4873205081001473,0.5393271354933726,0.5588871502209132,0.6484259941089838,0.7128129602356407,0.7147229381443299,0.7490335051546392,0.7574558173784978,0.760401325478645,0.8209223122238586,0.8355117820324005,0.8560152798232695,0.8586616347569955,0.85995029455081,0.8579022459499264,0.870696796759941,0.8696152430044183,0.8813972754050073,0.8801086156111929,0.8901877761413844,0.8973444403534611,0.9064340942562592,0.9118418630338733,0.9153856774668631,0.9267765095729014,0.9301132179675994,0.9279961340206185,0.928479381443299,0.9554722017673049,0.9538843888070692,0.9579804860088365,0.9585097569955818,0.9590160162002945,0.96759941089838,0.9700616715758468,0.9726389911634757,0.97105117820324,0.9722017673048601,0.9706599779086893,0.9706369661266568,0.9723858615611194,0.9783919366715759,0.9781157952871871,0.9788291605301914,0.9800257731958764,0.9814755154639175,0.9810152798232695,0.9811533505154639,0.9809692562592047,0.9825570692194403,0.9821658689248896,0.9838227172312224,0.9844210235640648,0.984375,0.9850883652430044,0.9841218703976435,0.9834315169366716,0.9858937776141384,0.9856176362297496,0.987941826215022,0.9876196612665684,0.9875736377025037,0.9893225331369662,0.9891844624447718,0.9890924153166422,0.988448085419735,0.9892995213549337,0.9896216863033873,0.9909563696612665,0.9905421575846833,0.9901049337260678,0.9896907216494846,0.9892995213549337,0.989828792341679,0.9899898748159057,0.9904731222385861,0.9904040868924889,0.9931885125184094,0.9935106774668631,0.9938098306332842,0.9935797128129602,0.9933265832106037,0.9932115243004418,0.9935106774668632,0.9936717599410898,0.993855854197349,0.9939248895434463,0.9938788659793814,0.9937868188512519,0.9948683726067746,0.9952135493372607,0.9952135493372607,0.9952365611192932,0.9951905375552282,0.9951905375552283,0.9954206553755524,0.9955817378497791
auc_pr,0.15947354721359516,0.175207281694209,0.19717808132852496,0.2067042276384896,0.214825776403876,0.23429107816727945,0.24379808578361564,0.3066024920548594,0.3822671829113372,0.36956716409730106,0.427727985559736,0.4483824453671295,0.4440697705184653,0.5393925355746967,0.5948502619148323,0.6475108625115833,0.6503727864542602,0.6797572337032287,0.6777031575935925,0.7041678319691829,0.7011092443168911,0.7516898223974599,0.748381809926491,0.7650757518128943,0.7815516824602441,0.7981663332275688,0.8093059613105955,0.8138999619061386,0.8313338750140624,0.8404153043726376,0.8358672653981902,0.8360321884395702,0.8667667426450012,0.8637058851590335,0.8766850038420992,0.8773536736142391,0.8770163062334965,0.8938940910081683,0.8981375010006734,0.9065032649371808,0.9019573058461514,0.9098782919964297,0.9058373935455605,0.9062522558019104,0.9113919917296169,0.9276574304874591,0.9269438335883233,0.9283174256328598,0.9322107510519825,0.937330850025352,0.9364123673162645,0.9366050537627296,0.9361796019744169,0.9397505840643439,0.9385125050626354,0.9441806318835573,0.9461295939736185,0.9465622217496756,0.9496964227814071,0.946623982488675,0.9448547294024173,0.9531095385101319,0.9525622260762624,0.9593430629685162,0.9574676843336276,0.9570241868591318,0.9629655402957216,0.9624073881663167,0.9618194437680162,0.9608323913706945,0.9625957457081729,0.9638176596024797,0.9683052080623966,0.9676521196975498,0.966469019032415,0.9646686875088241,0.9647054777076609,0.9660405797891806,0.9661199163929555,0.9670157085494322,0.9668504174382275,0.9755316486172604,0.9769136931442904,0.9779128845451135,0.9773049804175733,0.9766740202891976,0.9762556531053566,0.9770854247157966,0.9775740668150925,0.9780685574642443,0.9782126038705448,0.9781158893589692,0.9778088212725562,0.9813969736535471,0.982406816134495,0.9822743011710717,0.9821112603378692,0.9819969740274086,0.9816811917977671,0.9829795874328714,0.9832944426387785
auc_roc_bag,0.09523809523809525,0.380952380952381,0.380952380952381,0.33333333333333337,0.380952380952381,0.5714285714285715,0.6190476190476191,0.6666666666666667,0.7142857142857144,0.7142857142857144,0.6666666666666667,0.6190476190476191,0.6666666666666667,0.6666666666666667,0.7142857142857144,0.9047619047619049,0.9047619047619049,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.49829931972789115,0.5766439909297052,0.5889455782312926,0.5651360544217686,0.5766439909297052,0.665986394557823,0.6774943310657596,0.6920918367346939,0.799234693877551,0.799234693877551,0.6920918367346939,0.6774943310657596,0.6920918367346939,0.6920918367346939,0.799234693877551,0.9587585034013604,0.9587585034013604,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-01
Time,75.52844095230103
seed,59
Number of anomalous bags,7
Number of anomalies,112
Rewards bag 0,3.184984665937842e-06,4.610097062982299e-06,2.898148467998391e-06,1.4142198383418931e-06,2.5217288125831685e-06,1.026472183540588e-06,4.094560627868907e-06,2.141017703087653e-06,1.7544109718818434e-06,2.405107383227541e-06,1.7504251486869714e-06,1.4773594249019127e-06,3.0314623498496264e-06,6.560762776709643e-07,1.4234189847111253e-06,3.064873891861825e-07,1.9071167989954554e-06,8.629703694038212e-07,1.8112817148260251e-06,6.686810938060742e-07,3.3103885378477744e-06,5.466346185067238e-07,5.715417450831875e-07,6.23427490497728e-07,5.070908314030916e-07,6.916880607852487e-07,7.021604472450396e-07,5.943698831092828e-07,6.480907691651208e-07,4.2329178936963544e-07,4.395339676649629e-07,1.14559988290642e-06,3.776088957838425e-07,6.286346155586775e-07,1.6006242188137422e-07,3.777495072305094e-07,1.2185472782178256e-06,1.068207066131114e-06,6.39714941698863e-07,4.5459726184520714e-07,1.4621704584479438e-06,2.777523038935755e-07,2.3554052247044881e-07,2.671231604660819e-07,1.1495455604295417e-06,2.733242996794694e-07,3.970744214821736e-07,4.243465859651311e-07,1.9561111805775089e-07,2.3566683337023153e-07,1.6920255684198412e-07,2.1883400650385914e-07,7.03423918688316e-07,1.1573511648103866e-07,3.3152055271257704e-07,9.62922118515325e-07,2.0064746319785178e-07,2.2037426179237122e-07,2.0673070021924055e-07,4.810537673930084e-07,9.421492407575414e-07,8.289273568401825e-07,3.9531969468470435e-07,6.395312772137382e-07,2.6214955791645914e-07,3.3579764073203424e-07,1.5805953274533407e-07,1.0553414733522593e-07,2.531146888740482e-07,2.6498725943493506e-07,1.994823589941985e-07,3.8268553326208077e-07,4.3763972789345094e-07,4.3718131167328467e-07,2.853588428132263e-07,7.070413206129048e-07,1.9259033521419518e-07,1.5272804820757292e-07,2.1440147730516355e-07,1.0916341757301816e-07,6.022491710185553e-07,2.233577746720111e-07,1.933409085205916e-07,1.1766649971378052e-07,1.4287073246054512e-07,1.40931454594325e-07,3.7242386960431206e-07,1.6246598043175924e-07,1.4290303568972433e-07,1.3526294572423347e-07,7.669552482402499e-08,1.0237445204300693e-07,5.898851367532344e-07,3.019686664552692e-07,2.158920100630146e-07,1.3280370087783734e-07,1.467373531334175e-07,1.687524367034656e-07,6.524427814794599e-08,1.3700021369460008e-07
Prob contr bag 0,0.031849846659381925,0.04610097062982807,0.028981484679987103,0.014142198383420488,0.025217288125834462,0.01026472183540701,0.04094560627869358,0.02141017703087889,0.017544109718820367,0.024051073832278058,0.017504251486871642,0.014773594249020753,0.0303146234984996,0.006560762776710366,0.01423418984711282,0.0030648738918621623,0.019071167989956655,0.008629703694039162,0.018112817148262246,0.006686810938061479,0.03310388537848139,0.00546634618506784,0.0057154174508325046,0.006234274904977966,0.005070908314031474,0.00691688060785325,0.007021604472451168,0.005943698831093483,0.006480907691651922,0.004232917893696821,0.004395339676650113,0.011455998829065462,0.0037760889578388407,0.006286346155587467,0.0016006242188139185,0.00377749507230551,0.012185472782179598,0.010682070661312316,0.006397149416989335,0.004545972618452572,0.014621704584481048,0.002777523038936061,0.0023554052247047475,0.0026712316046611133,0.011495455604296684,0.002733242996794995,0.003970744214822173,0.004243465859651779,0.001956111180577724,0.002356668333702575,0.0016920255684200276,0.0021883400650388324,0.007034239186883934,0.001157351164810514,0.0033152055271261356,0.00962922118515431,0.0020064746319787387,0.002203742617923955,0.0020673070021926332,0.004810537673930614,0.009421492407576452,0.008289273568402738,0.003953196946847479,0.006395312772138086,0.00262149557916488,0.0033579764073207122,0.0015805953274535148,0.0010553414733523755,0.002531146888740761,0.0026498725943496426,0.0019948235899422046,0.0038268553326212293,0.004376397278934991,0.004371813116733328,0.0028535884281325774,0.007070413206129827,0.0019259033521421638,0.0015272804820758974,0.0021440147730518717,0.0010916341757303018,0.006022491710186216,0.002233577746720357,0.001933409085206129,0.0011766649971379347,0.0014287073246056084,0.0014093145459434051,0.003724238696043531,0.0016246598043177713,0.0014290303568974007,0.0013526294572424836,0.0007669552482403344,0.001023744520430182,0.005898851367532993,0.0030196866645530247,0.0021589201006303837,0.0013280370087785196,0.0014673735313343365,0.001687524367034842,0.0006524427814795317,0.0013700021369461516
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
