auc_roc,0.4536991062562066,0.6027805362462761,0.6291273584905661,0.6306789970208541,0.6540777060575969,0.7511171797418073,0.7966732869910625,0.8099553128103277,0.8162549652432969,0.800490317775571,0.8006765143992055,0.8038108242303873,0.8021660873882821,0.8308714001986098,0.8386916583912611,0.8451154419066536,0.8449292452830189,0.8352159880834161,0.8394364448857994,0.8388157894736842,0.8461084905660378,0.8491186693147965,0.8501117179741807,0.8502979145978152,0.8532770605759683,0.8509185700099305,0.8508875372393248,0.8764275074478649,0.8794376861966237,0.8797480139026812,0.8741931479642502,0.8707174776564052,0.8718967229394241,0.8744724428997022,0.8768309334657398,0.930393495531281,0.9341484607745779,0.9318210029791459,0.9326278550148958,0.933093346573982,0.9361966236345581,0.9334967725918569,0.9340863952333665,0.9314486097318768,0.9301762661370407,0.9420307845084409,0.9448237338629593,0.9427135054617677,0.9424652432969215,0.941503227408143,0.9410377358490567,0.9489510923535254,0.9494786494538232,0.9522715988083417,0.9524577954319762,0.9539473684210527,0.9529853525322741,0.9525198609731877,0.9528922542204568,0.9540714995034757,0.9544128599801391,0.951961271102284,0.952488828202582,0.9715119165839126,0.9721636047666335,0.9713257199602781,0.9723498013902682,0.9738393743793446,0.9759496027805362,0.9759185700099304,0.9744289970208541,0.9752979145978153,0.9747703574975174,0.9747393247269116,0.9744910625620656,0.9734980139026812,0.9740876365441906,0.9738083416087389,0.9751427507447865,0.9752358490566038,0.9749875868917577,0.9738083416087389,0.9732497517378351,0.9757634061569018,0.9749875868917577,0.9754220456802384,0.9757944389275075,0.9753910129096326,0.974553128103277,0.9747393247269116,0.9744600297914597,0.9751427507447865,0.9756082423038729,0.9763840615690169,0.9770667825223436,0.9788356504468719,0.9829630089374379,0.9823733862959285,0.9869972691161867,0.9870593346573983,0.9873696623634558
auc_pr,0.14116761380681064,0.20927431815344694,0.22872334743007214,0.22476865030850068,0.2614455859526658,0.34937213489208335,0.432573959881546,0.5102021308115254,0.5183924644562005,0.4871162165805739,0.4831838372029457,0.4702762123176699,0.47075021180050514,0.5593299169758713,0.573076623040324,0.5782356575530219,0.565017187445392,0.513816617238863,0.5558630025138582,0.5794740179104323,0.594767559884778,0.5958849507587066,0.6177304616259459,0.6094418918228068,0.6131952085531076,0.6039986609253893,0.6091899974958306,0.6787961379484463,0.6953821882307007,0.6890934166115299,0.6906841625197565,0.6881314656888333,0.683957276619839,0.6886746402449627,0.6906409320684342,0.755243767857589,0.76770178594192,0.7563846218192611,0.757500826531848,0.7582285636524483,0.7714253116684431,0.7621056724078615,0.7675687951768978,0.7608885118278788,0.7541518583425437,0.8040196659022232,0.8120529976680722,0.8086760262594676,0.8068969204036816,0.8044381887667393,0.7993800476018699,0.8308027353403532,0.8317980596965099,0.8413139576833588,0.8411597742522132,0.8542160912790783,0.8530105706643297,0.8526222909199443,0.8523316294927726,0.8533481904378706,0.8485128692232876,0.8463909146317363,0.8464839580972088,0.8861675264304544,0.8896616832705424,0.8894132493903845,0.8921868952508832,0.8957813052797343,0.904992770668929,0.9026482941480323,0.90003269874894,0.9017155021708111,0.8996659675008327,0.8998895182350046,0.8991893790293973,0.8979745460594523,0.9008639003655161,0.8971399138885896,0.9051163953955393,0.9055021240408316,0.9042339682945844,0.9003971389939531,0.8973536931368836,0.9061385570107449,0.9046628883227263,0.9058950452937965,0.9069801808383284,0.9061910799390406,0.902344654844742,0.9026598344995757,0.9025217873312054,0.9022007698675022,0.9038053611925579,0.908205727281692,0.9105953240228671,0.9149769706067122,0.9250237492907248,0.9228811582481289,0.9387759282045796,0.9388901082739837,0.939814073411487
auc_roc_bag,0.5416666666666667,0.75,0.7916666666666667,0.7083333333333333,0.7083333333333333,0.8333333333333334,0.875,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.875,0.875,0.875,0.875,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.875,0.875,0.875,0.875,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.875,0.875,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.7366732804232804,0.878042328042328,0.8729166666666667,0.794047619047619,0.7482142857142857,0.8873015873015873,0.9061507936507937,0.8575396825396825,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,1.0,1.0,1.0,1.0,0.9061507936507937,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9436507936507936,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,0.9742063492063491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9742063492063491,0.9742063492063491,1.0,1.0,1.0,1.0,0.9742063492063491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-20
Time,74.4026939868927
seed,6
Number of anomalous bags,6
Number of anomalies,76
Rewards bXagX 0,5.005950135063961e-06,2.261060184334161e-06,3.1689936789202325e-06,2.8814436380077336e-06,2.415280870783848e-06,1.6839637459217541e-06,2.44914470152856e-06,2.063953082712252e-06,1.890736720233587e-06,9.470175558989973e-07,7.623967912909324e-07,2.468344373434544e-07,3.1193382238814142e-06,1.1584130221560862e-06,1.0879549133574219e-06,1.1181527899599796e-06,1.46991134121315e-06,2.443812126104234e-06,1.7925511788228776e-06,7.778622432813688e-07,4.067732757290446e-07,6.403523456524606e-07,9.277277576748419e-07,2.501358483699981e-07,8.726974653987544e-07,4.4536955845349954e-07,3.648290570116864e-06,1.1301822365033867e-06,6.008647414238189e-07,4.5556099063110035e-07,4.630449151445646e-07,1.0341297722015343e-06,2.3203873407519587e-07,3.3521374243246163e-07,3.5199402241796283e-06,5.402443495035668e-07,4.895200694569433e-07,4.479951082163752e-07,4.688198113456266e-07,8.537971552965758e-07,3.4038943445262016e-07,3.3066031339610447e-07,5.200629154171104e-07,3.521462978831156e-07,1.5557497063682297e-06,4.421383935584991e-07,3.2525200463402057e-07,3.5276961376998876e-07,3.8708344492591056e-07,6.74330230400472e-07,1.474206732302498e-06,1.1628473812801794e-07,8.480086639326497e-07,1.7571141872449906e-07,1.3561929695292582e-06,3.1843325631124404e-07,1.1099417399494769e-07,6.079648965282384e-07,2.5624457680368016e-07,3.546585738443185e-07,2.441727031878888e-07,1.439169275584532e-07,1.7759035750889365e-06,4.844159554016635e-07,1.1608644770166728e-07,2.4657252513399073e-07,2.605231489097888e-07,6.664081084250937e-07,5.391073331663163e-07,4.392729084820305e-07,1.8869946517057068e-07,2.1552815851603186e-07,1.5452360454127227e-07,1.39605240639743e-07,7.475985337554339e-07,9.221571859702042e-08,2.5400429674986015e-07,7.482311525724405e-07,1.2508597809384012e-07,1.0161226316277962e-06,4.410962733664067e-07,2.3694441770949678e-07,3.63070446500564e-07,2.2636316438504994e-07,1.8088837134944209e-07,1.7023952481868253e-07,1.9862437434199053e-07,2.860224475069331e-07,2.2549914435126154e-07,1.0168935887413793e-06,1.7539552728092011e-07,2.095204575639678e-07,5.989163640591188e-07,9.127367916152088e-07,5.499256693137646e-07,9.579252045835595e-07,1.1587494439876594e-07,1.0087068651094131e-06,9.413245438833233e-08,5.641587974150675e-08
Prob contr bag 0,0.05005950135064512,0.0226106018433441,0.031689936789205814,0.02881443638008051,0.024152808707841138,0.016839637459219396,0.024491447015288294,0.020639530827124795,0.018907367202337953,0.009470175558991016,0.007623967912910164,0.0024683443734348155,0.03119338223881758,0.011584130221562136,0.010879549133575417,0.011181527899601027,0.014699113412133119,0.024438121261045033,0.01792551178823075,0.007778622432814545,0.004067732757290894,0.006403523456525311,0.00927727757674944,0.0025013584837002565,0.008726974653988504,0.004453695584535486,0.03648290570117266,0.011301822365035111,0.0060086474142388505,0.004555609906311505,0.004630449151446156,0.010341297722016482,0.0023203873407522143,0.0033521374243249856,0.03519940224180016,0.005402443495036263,0.0048952006945699724,0.004479951082164245,0.004688198113456782,0.008537971552966699,0.0034038943445265763,0.0033066031339614088,0.005200629154171677,0.003521462978831544,0.01555749706368401,0.004421383935585478,0.003252520046340564,0.003527696137700276,0.003870834449259532,0.006743302304005463,0.014742067323026603,0.0011628473812803075,0.00848008663932743,0.0017571141872451841,0.013561929695294076,0.003184332563112791,0.0011099417399495991,0.006079648965283054,0.0025624457680370836,0.003546585738443576,0.002441727031879157,0.0014391692755846904,0.01775903575089132,0.004844159554017168,0.0011608644770168006,0.002465725251340179,0.002605231489098175,0.006664081084251671,0.005391073331663757,0.004392729084820789,0.0018869946517059146,0.002155281585160556,0.0015452360454128928,0.0013960524063975838,0.007475985337555162,0.0009221571859703057,0.0025400429674988815,0.007482311525725228,0.0012508597809385389,0.010161226316279082,0.004410962733664553,0.0023694441770952287,0.0036307044650060395,0.0022636316438507486,0.00180888371349462,0.0017023952481870128,0.001986243743420124,0.002860224475069646,0.0022549914435128636,0.010168935887414913,0.0017539552728093944,0.002095204575639909,0.005989163640591848,0.009127367916153093,0.005499256693138252,0.009579252045836649,0.001158749443987787,0.010087068651095243,0.000941324543883427,0.0005641587974151296
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
