auc_roc,0.5417515274949083,0.5483140982122652,0.5487666892962209,0.5220638153428376,0.5186693822131704,0.543335596288753,0.5501244625480878,0.5725277212038922,0.5863317492645395,0.5872369314324507,0.6132609187599004,0.6121294410500112,0.6324960398280154,0.6463000678886626,0.6655351889567775,0.6555781851097533,0.6582937316134871,0.6668929622086444,0.6503733876442633,0.6548992984838199,0.6637248246209551,0.6702873953383118,0.6754921928038017,0.6804706947273138,0.6766236705136909,0.6320434487440597,0.6442634080108621,0.6551255940257976,0.6306856754921928,0.5661914460285131,0.5652862638606019,0.5589499886852228,0.5532926001357773,0.563928490608735,0.5646073772346685,0.5736591989137814,0.5795428830052047,0.5867843403484951,0.5863317492645395,0.5967413441955194,0.6057931658746323,0.5969676397374971,0.594704684317719,0.5942520932337633,0.6014935505770536,0.6037565059968318,0.6180131251414347,0.6275175379045033,0.6281964245304368,0.6259334691106585,0.6340801086218602,0.6345326997058157,0.622765331522969,0.6277438334464811,0.6315908576601041,0.6404163837972392,0.6478841366825073,0.6354378818737271,0.6483367277664629,0.6453948857207513,0.6519574564381082,0.6587463226974429,0.6501470921022855,0.6562570717356868,0.6578411405295316,0.6485630233084408,0.6474315455985516,0.6512785698121747,0.6555781851097533,0.6456211812627292,0.6451685901787735,0.6395112016293278,0.6322697442860375,0.6354378818737271,0.6386060194614166,0.6492419099343743,0.6390586105453723,0.6422267481330618,0.64448970355284,0.6205023761031908,0.6121294410500113,0.6134872143018782,0.6202760805612129,0.6175605340574791,0.6143923964697896,0.6152975786377007,0.617560534057479,0.6195971939352795,0.6218601493550576,0.6257071735686807,0.6324960398280153,0.6320434487440597,0.6347589952477936,0.6374745417515274,0.6383797239194388,0.6426793392170174,0.6408689748811949,0.6408689748811948,0.641774157049106,0.6444897035528401,0.6440371124688844
auc_pr,0.018176344460575214,0.018523643472490622,0.018569213305757233,0.017669190649468217,0.017493098661573805,0.01869667832895451,0.019051007989334047,0.02025833062532307,0.021082447210195365,0.021141416431333784,0.02353520025889109,0.023781026063971335,0.02655627877815963,0.027358449056452558,0.02951153657563582,0.0283287898466381,0.029932983060564675,0.03086464648255946,0.02996059784615683,0.029344802264549812,0.030097398967654572,0.030703061984820583,0.031831396550108054,0.03302078444524859,0.033453438781400446,0.029831190606801304,0.030844705760006214,0.03799116997146254,0.036923424678392755,0.03182990857995653,0.03163546515980129,0.03116530471710116,0.03553063164420178,0.031430717464110663,0.03143154428367766,0.031916155290504775,0.03220005348273651,0.03259970350045316,0.032526899868135915,0.037758693487881176,0.03824530713615364,0.037785688681588846,0.037531621681664296,0.03757379835672224,0.047261775823621476,0.04741998721072473,0.048453360769839623,0.049167099012518437,0.04961922680314126,0.04938016429208523,0.050249369468229166,0.050335796026421,0.0498076862825901,0.04101276361612563,0.04144629629940963,0.04243185663251709,0.04331066539667153,0.041753137487251804,0.04322538316936195,0.04337977877549161,0.0443043326364405,0.04527974104273995,0.044858298937496106,0.04571612492305375,0.045707574524640304,0.06337235177468939,0.06331812830477036,0.07271566278168967,0.07358752270389422,0.06828559966630776,0.06826464472804021,0.06832511465886991,0.07240394720985928,0.07260039979497457,0.07280552638416946,0.07621968953782486,0.08581580869317551,0.08606359626804633,0.08529595411372846,0.08238919485163758,0.0821756297185168,0.08226744859192202,0.08267312740297841,0.08302207003065841,0.07847787110069124,0.0777149461563986,0.07331141437712896,0.07360931791259344,0.07056640236091787,0.07104671114711698,0.07152281795232862,0.07453804523430345,0.07473711152030957,0.07497700433305103,0.07496020264913054,0.07533954282541822,0.07893883593463855,0.07491007696335765,0.07499139494394728,0.075321890552017,0.07553283905035632
auc_roc_bag,0.8125,0.875,0.875,0.8125,0.5625,0.6875,0.625,0.625,0.625,0.5625,0.625,0.625,0.6875,0.75,0.6875,0.8125,0.8125,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.9375,0.875,0.875,0.875,0.8125,0.8125,0.8125,0.875,0.875,0.9375,0.875,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.8125,0.9375,0.875,0.875,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
auc_pr_bag,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.3333333333333333,0.19583333333333333,0.24583333333333335,0.225,0.225,0.225,0.19583333333333333,0.225,0.225,0.24583333333333335,0.2875,0.2583333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.7916666666666666,0.7916666666666666,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7083333333333333,0.7083333333333333,0.7916666666666666,0.7083333333333333,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.6625,0.6625,0.7916666666666666,0.7083333333333333,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666
Date,2024-05-28
Time,115.31770014762878
seed,0
Number of anomalous bags,2
Number of anomalies,9
Rewards bag 0,1.8489831686626626e-06,2.325197793703423e-06,1.1841203528078754e-06,6.668242617903854e-07,1.968841729797011e-06,1.0509150294559572e-06,8.881492650443296e-07,1.600073011916135e-06,4.54712752522334e-07,3.3093893108558645e-06,8.029361057177882e-07,1.6203618706859958e-06,1.407652378152299e-06,1.8066181009338375e-06,9.843147679920502e-07,1.7640773164372914e-06,4.943486823936595e-07,1.6717162193134336e-06,4.4701532057503765e-07,1.7512553640098596e-06,4.1978434151418557e-07,4.864780479636513e-07,4.6918300842877674e-07,3.648562376316035e-07,9.757225574091125e-07,1.3644940344236175e-06,1.3816562861506652e-06,8.076662426092901e-07,6.665094507442899e-07,2.7575675673550748e-06,1.2928219482054378e-06,8.323494493676726e-07,5.587731665965957e-07,1.1421754481168744e-06,1.0489761483467972e-06,4.1379453475527396e-07,4.659126232342745e-07,5.501477431360508e-07,2.145398805894396e-06,6.306345313862873e-07,9.766314553278311e-07,3.953631011601017e-07,1.7345672214623365e-06,2.9230701126876134e-07,5.413965896691655e-07,9.847399924586642e-07,3.8444548075419527e-07,5.128260993503756e-07,3.8722925725181655e-07,7.175654118945429e-07,8.059018887908784e-07,4.7422588270622417e-07,4.980264063190838e-07,5.20985910147978e-07,3.1871342923435414e-07,6.538044065410863e-07,1.0294128580360505e-06,7.209282873157244e-07,5.575520190253544e-07,2.3292278058766166e-07,1.1025535031189963e-06,8.499997956846057e-07,7.590983812435282e-07,2.827628380451467e-07,8.374412418075666e-06,4.167481955405004e-07,2.5827362172221036e-07,1.2612144156760244e-06,1.9325584724384476e-06,1.1920879194204067e-06,5.490307849278891e-07,1.2479005866955724e-06,8.005638560928857e-07,1.3464505507634422e-06,8.236867443432653e-07,9.54492813844811e-07,1.760265896708045e-07,5.346610516985115e-07,3.0567482045114184e-07,3.4843942647591467e-07,6.624091929911806e-07,2.763363193596098e-07,2.490458698519689e-07,6.328248393641299e-07,5.798644110545238e-07,8.295858712916946e-07,5.202444420037921e-07,3.0145525976942965e-07,4.82753669129345e-07,4.614779448430818e-07,2.4725103060558687e-07,5.359779640886898e-07,4.1999835517533997e-07,3.641554115347595e-07,1.8194120542031313e-07,2.789699149412061e-07,9.8371473366874e-07,1.6706454975281369e-07,2.1777206606076366e-07,2.2871051463743546e-07
Prob contr bag 0,0.018489831686628662,0.02325197793703679,0.011841203528080059,0.006668242617904589,0.01968841729797228,0.010509150294560728,0.008881492650444274,0.01600073011916311,0.004547127525223841,0.03309389310856229,0.008029361057178766,0.016203618706861742,0.01407652378152454,0.018066181009340366,0.009843147679921586,0.017640773164374856,0.004943486823937139,0.016717162193136178,0.004470153205750869,0.017512553640100525,0.004197843415142318,0.004864780479637049,0.004691830084288284,0.003648562376316437,0.0097572255740922,0.013644940344237678,0.013816562861508175,0.00807666242609379,0.006665094507443634,0.027575675673553783,0.012928219482055801,0.008323494493677643,0.005587731665966572,0.011421754481170002,0.010489761483469128,0.004137945347553195,0.004659126232343258,0.005501477431361114,0.021453988058946324,0.006306345313863568,0.009766314553279387,0.003953631011601452,0.017345672214625275,0.002923070112687935,0.005413965896692251,0.009847399924587727,0.003844454807542376,0.005128260993504321,0.0038722925725185923,0.00717565411894622,0.008059018887909672,0.004742258827062764,0.004980264063191386,0.005209859101480354,0.0031871342923438925,0.006538044065411583,0.010294128580361639,0.007209282873158038,0.005575520190254158,0.002329227805876873,0.011025535031191178,0.008499997956846993,0.007590983812436118,0.0028276283804517786,0.08374412418076589,0.004167481955405463,0.002582736217222388,0.012612144156761634,0.019325584724386606,0.01192087919420538,0.005490307849279496,0.012479005866957098,0.008005638560929739,0.013464505507635905,0.00823686744343356,0.009544928138449161,0.001760265896708239,0.005346610516985704,0.003056748204511755,0.0034843942647595303,0.006624091929912535,0.002763363193596402,0.0024904586985199633,0.0063282483936419965,0.0057986441105458775,0.00829585871291786,0.005202444420038494,0.0030145525976946284,0.0048275366912939825,0.004614779448431326,0.002472510306056141,0.005359779640887488,0.004199983551753862,0.0036415541153479963,0.0018194120542033316,0.0027896991494123684,0.009837147336688482,0.0016706454975283207,0.0021777206606078763,0.0022871051463746067
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
