auc_roc,0.4941190447903053,0.5037424260425329,0.47463466793394316,0.5021187279711694,0.5374044592293374,0.5450873232743257,0.5916201338560849,0.6246089263791533,0.651380143360659,0.6610035246128866,0.7486832204665161,0.747336739139044,0.8087600491069661,0.8296305096827847,0.8344223991129064,0.8406003722624846,0.8428181062136153,0.8577482079917628,0.866341927052394,0.866935962932161,0.8750940556809631,0.9247554552294959,0.9239634073898064,0.9238842026058374,0.9254682982852164,0.9253098887172786,0.9258247198130769,0.9316462714347946,0.9306958140271672,0.9257455150291077,0.9259831293810146,0.9215476614787532,0.9232901667260703,0.9180626509841194,0.914775652449408,0.9199635657993743,0.9184982772959487,0.9248346600134648,0.9193299275276227,0.9200823729753276,0.9247554552294958,0.9251118767573562,0.9297057542275553,0.9299037661874777,0.9245574432695736,0.9228941428062255,0.9228149380222566,0.9232109619421013,0.9527939487545047,0.9529127559304582,0.9495465526117778,0.9528731535384737,0.9515662746029859,0.9525167320106134,0.9538236109461011,0.9533483822422875,0.9525167320106134,0.9554473090174647,0.953387984634272,0.9533483822422875,0.9511306482911568,0.9520415033067997,0.9531503702823652,0.953387984634272,0.9527939487545047,0.9528335511464892,0.9550908874896044,0.9543780444338837,0.9534275870262563,0.9531107678903806,0.9537840085541167,0.9537444061621322,0.95390281573007,0.965466714189537,0.9644766543899251,0.9648726783097699,0.9636450041582512,0.9626945467506238,0.9623381252227634,0.9612292582471981,0.9618628965189497,0.9619421013029187,0.9613876678151361,0.9686349055482952,0.9691497366440933,0.9700209892677518,0.9699417844837829,0.9710506514593482,0.9719219040830067,0.9734267949784168,0.9723971327868202,0.9717634945150687,0.9716842897310998,0.971961506474991,0.9802780087917311,0.9799611896558552,0.9798423824799019,0.9797631776959328,0.9810700566314206,0.9809512494554672,0.9816244901192032
auc_pr,0.1175779403171672,0.11936649709237832,0.10822151707319795,0.1155503392197001,0.12603485413024537,0.12653598598550192,0.14050772473001147,0.1593068974595716,0.1775769292782932,0.19562900052601065,0.29885964420626154,0.2917195986586523,0.348461585527592,0.37130241954666743,0.3775096400015055,0.3862762424161734,0.3871896155621055,0.4400264073775248,0.46867483958272693,0.46921845518561617,0.5160823693054188,0.6650025469442691,0.665953693313987,0.6767729961304213,0.6840704464710283,0.6857438486395551,0.6907131739212825,0.704648570669401,0.697658794126725,0.6829675048088758,0.682986238656087,0.6538735015986064,0.6709177505943702,0.6589907981675842,0.663489328641128,0.6880611926350595,0.6899307552725057,0.7103261022856417,0.6952556402698497,0.6971442280863106,0.7196020666263148,0.7219204466943457,0.7311505630177838,0.732784925610398,0.7253968840954649,0.718167775716304,0.7173862299622206,0.7159153269060954,0.760020890861302,0.7393808773805435,0.7347322915923945,0.7603086408423102,0.7606142341258828,0.7597445483976542,0.7649227725392552,0.7648019730841055,0.7594545761916396,0.8022156333231847,0.8006231862082434,0.799716628312693,0.7983060945211974,0.8001035711334881,0.7995425644133786,0.7997613898231747,0.797492062537745,0.7994381949718603,0.8070714670067918,0.8031082758812633,0.8016178107718557,0.7988488365535015,0.8047429091330394,0.7939237831434183,0.7937682382920157,0.814897892139818,0.811921260209448,0.8093227694166326,0.8068786841157369,0.8029910205009649,0.7994635060367508,0.7981259280307309,0.7998535337805002,0.8011568217660987,0.7979368587156621,0.8397162424948065,0.8402985978569205,0.8433611175439668,0.8415846816224113,0.8468319169670915,0.8487185649363314,0.8589310949016556,0.8564293777399887,0.8549137115834233,0.8550649438309462,0.855249190589969,0.9052214024227705,0.904384338913991,0.9030423782578136,0.9024199001150235,0.9071083225553467,0.9070446532091152,0.9094795426783502
auc_roc_bag,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.38095238095238093,0.38095238095238093,0.5238095238095237,0.5714285714285714,0.6666666666666666,0.7142857142857142,0.8571428571428571,0.8571428571428571,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.20925925925925926,0.20925925925925926,0.20925925925925926,0.19576719576719576,0.23703703703703705,0.23703703703703705,0.30925925925925923,0.5592592592592592,0.625,0.6378968253968254,0.8166666666666667,0.8166666666666667,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-01
Time,101.51593899726868
seed,3
Number of anomalous bags,3
Number of anomalies,57
Rewards bag 0,1.7430722364838944e-06,1.1553967453820065e-06,1.5750832213355284e-06,2.6841052014894825e-06,5.313130343637885e-07,3.5870053637315487e-06,2.326550359710408e-06,2.8486400964205285e-06,1.955727764517496e-06,2.400957700631411e-06,1.0893912190355245e-06,2.8006521972418917e-06,1.965903329857121e-06,3.567962548573982e-07,1.3433383014258348e-06,2.841697893481445e-07,2.0827500074179004e-06,1.4175348381162611e-06,3.464548486207789e-07,1.212786173445388e-06,2.719007969224214e-06,4.671992289804548e-07,3.8856101222101514e-07,8.74721081823565e-07,3.6741107879621115e-07,6.013375794505918e-07,8.518888451072579e-07,5.801038432730147e-07,3.645767546755932e-07,1.5571288053702238e-07,9.30445637153091e-07,8.892735017105893e-07,3.37154930648964e-07,9.963925977283992e-07,1.2112664461278357e-06,2.354618560743365e-07,7.513692935441607e-07,4.244151406632756e-07,2.75340053798347e-07,1.1265966214480741e-06,3.350581568730483e-07,7.938628961945216e-07,4.3472397240780727e-07,3.1488611418831477e-07,3.1398443072470327e-07,2.8684176863437183e-07,2.0044606826673039e-07,1.5455036056069795e-06,1.1407058476242625e-06,3.4094559349284887e-07,1.0602306606920442e-06,2.422965949705677e-07,3.4460531842750825e-07,4.749872474273515e-07,4.6904389472906393e-07,1.6590399709795332e-07,2.15532084370819e-06,4.295663697340611e-07,2.2225287621864385e-07,2.881325685522447e-07,4.597386027440529e-07,6.546604279388368e-07,2.3583167399786934e-07,3.679707213284415e-07,1.9721641595492812e-07,3.040024929012736e-07,2.1133266884673163e-07,1.6329547097297657e-07,3.035295601683546e-07,1.9048339850542105e-07,6.152048578229182e-07,1.7647353677222274e-07,1.907213964467944e-06,2.0346049373652782e-07,2.634035696615735e-07,1.2411457397316916e-07,1.2453857869676682e-07,1.0789651085259715e-07,9.836163116267726e-08,6.290035572623296e-07,6.495317930817212e-08,1.1711644473439617e-07,1.4767762682974963e-06,3.956220598056427e-07,2.070074572303779e-07,1.495164612329445e-07,3.978610879873165e-07,2.9542954191272366e-07,6.252227184033529e-07,1.1415523689606953e-07,7.342793012665178e-08,7.390831203309879e-08,9.471498606959854e-08,3.1581822950435226e-06,1.1997449577673375e-07,4.9684389636229474e-08,1.1047361829413286e-07,2.516306192117676e-07,1.797797860126311e-07,3.3941066821275523e-07
Prob contr bag 0,0.017430722364840865,0.011553967453821338,0.01575083221335702,0.02684105201489778,0.00531313034363847,0.03587005363731944,0.023265503597106642,0.02848640096420842,0.019557277645177115,0.024009577006316753,0.010893912190356445,0.028006521972422,0.019659033298573374,0.0035679625485743748,0.013433383014259828,0.0028416978934817576,0.0208275000741813,0.014175348381164172,0.0034645484862081705,0.012127861734455216,0.027190079692245135,0.004671992289805063,0.003885610122210579,0.008747210818236614,0.0036741107879625164,0.00601337579450658,0.008518888451073518,0.005801038432730787,0.0036457675467563336,0.0015571288053703952,0.009304456371531935,0.008892735017106872,0.003371549306490011,0.00996392597728509,0.01211266446127969,0.0023546185607436244,0.007513692935442434,0.0042441514066332234,0.002753400537983773,0.011265966214481981,0.003350581568730852,0.00793862896194609,0.004347239724078552,0.0031488611418834947,0.0031398443072473787,0.002868417686344034,0.0020044606826675245,0.015455036056071497,0.01140705847624388,0.003409455934928864,0.01060230660692161,0.0024229659497059437,0.0034460531842754618,0.004749872474274038,0.004690438947291156,0.0016590399709797159,0.021553208437084276,0.004295663697341084,0.002222528762186683,0.002881325685522764,0.004597386027441035,0.006546604279389088,0.002358316739978953,0.0036797072132848207,0.0019721641595494984,0.003040024929013071,0.002113326688467549,0.0016329547097299456,0.00303529560168388,0.0019048339850544203,0.00615204857822986,0.0017647353677224219,0.01907213964468154,0.0020346049373655022,0.002634035696616025,0.0012411457397318282,0.0012453857869678055,0.0010789651085260903,0.0009836163116268809,0.006290035572623988,0.0006495317930817928,0.0011711644473440907,0.014767762682976589,0.003956220598056863,0.002070074572304007,0.0014951646123296095,0.003978610879873603,0.002954295419127562,0.0062522271840342175,0.001141552368960821,0.0007342793012665987,0.0007390831203310693,0.0009471498606960897,0.0315818229504387,0.0011997449577674695,0.0004968438963623494,0.0011047361829414502,0.0025163061921179533,0.001797797860126509,0.0033941066821279262
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
