auc_roc,0.5232788822759697,0.5640538601156557,0.5481828542484488,0.5491958971761428,0.5133595036089654,0.5022160314043308,0.5102781647038961,0.5692034949981005,0.5739310286606729,0.6052509391752142,0.5994259423409734,0.5903929762357014,0.5757038537841375,0.6691570638639146,0.6782744502131611,0.6658646743489088,0.6446751931113082,0.6493183065299059,0.6396521885948251,0.613566333206703,0.6222616183360771,0.6323920476130176,0.636148748469883,0.6196868008948546,0.6409184922544425,0.6277489341944199,0.6440842514034866,0.621923937360179,0.7005613946224305,0.7153771474399562,0.730910472331265,0.7299396395255583,0.7301084800135073,0.7396057574606391,0.7188805875648979,0.776539614199485,0.751129120763159,0.8042294542231228,0.8065932210544088,0.824152631801106,0.8222109661896924,0.8518002617027562,0.8592714532945,0.8566122156093031,0.8704149254991347,0.8691908319615044,0.8736228947701659,0.8815161875817822,0.8762399223333756,0.8704571356211219,0.8820227090456292,0.8883120172217297,0.8960786796673842,0.9200118188341564,0.9203072896880673,0.9235996792030728,0.9192098265163986,0.9190409860284496,0.899539909670339,0.9094592883373434,0.9272719598159639,0.92794732176776,0.9216158034696721,0.9149888143176733,0.9068000506521464,0.8880587564898061,0.9260478662783336,0.9321683339664852,0.9247815626187159,0.9286648938415433,0.9279895318897472,0.9220379046895445,0.9268498585960913,0.9317884428685999,0.9378667004347643,0.9277784812798109,0.9333502173821283,0.9340255793339243,0.9380355409227132,0.9521759317884428,0.9508252078848508,0.9467308260520874,0.9481237600776666,0.9478282892237558,0.9603646954539699,0.9605757460639062,0.962221940821409,0.9631927736271158,0.9601536448440336,0.9546241188637036,0.9479971297117048,0.9496011143472205,0.9471951373939471,0.9419188721455406,0.9463087248322147,0.947026296905998,0.9487147017854881,0.9471107171499726,0.9509096281288253,0.945337892026508,0.9447047401966991
auc_pr,0.11451525471621735,0.13828522059714948,0.12522342869668762,0.12782040677304027,0.134589699592492,0.12706483548428246,0.12290758265709095,0.14090401106908707,0.13607378043347906,0.12675265800617608,0.1252893377391369,0.12213472634878451,0.135696126003143,0.19071576177786354,0.23038997540407022,0.23323521904693792,0.23448822020048174,0.2376723081489378,0.23750818709092575,0.22958598255207138,0.22990336452733293,0.23371048247814885,0.23244268683859703,0.23093345483829744,0.23077224633673685,0.23393352425030361,0.23168379822192178,0.2292048462901317,0.35932881058774674,0.3597710281170119,0.37376408611807216,0.3689146223561081,0.45545389852661583,0.45792836305480716,0.48950240861122424,0.5883149693038804,0.5560758030667147,0.656036794466348,0.6592774155989035,0.6821364566852424,0.6750303158786288,0.7067251146526383,0.6976682968414435,0.7174009292822348,0.737366811458926,0.7243019188604088,0.7338856831474556,0.7477528732995823,0.7393273887675503,0.7226423010791364,0.748828746659228,0.7457016193195001,0.7663509161428851,0.8019367118431104,0.7973493145820872,0.807110735925692,0.8028917068613843,0.8035612472753588,0.7484079481236835,0.7811993786694335,0.8038080979584598,0.7990381813087778,0.7975350616286182,0.7959777265587352,0.7893119411827809,0.7659772498410383,0.8080698334029183,0.8178860393561079,0.805705890001855,0.816022419817422,0.8065810686029017,0.7902128160705714,0.8059961186848197,0.8127652244397042,0.8243997724723525,0.8097989775551627,0.817315204984391,0.8161329769580117,0.8264899985537615,0.8566886072932832,0.8495978624866914,0.840449864404375,0.8452679030601294,0.8429402596349773,0.8708042090818805,0.8735313447306301,0.8766532619166121,0.8764803380627969,0.8664256318457136,0.8542769319849933,0.8422247029230204,0.8511855457164158,0.8452937083447601,0.8366024098858723,0.8367457735304223,0.8360399290702079,0.8390975002112521,0.8319741785811238,0.8397162788195004,0.832146098911542,0.829329610528743
auc_roc_bag,0.28,0.52,0.36,0.32,0.56,0.44,0.27999999999999997,0.32,0.36,0.27999999999999997,0.23999999999999996,0.27999999999999997,0.23999999999999996,0.19999999999999996,0.27999999999999997,0.4,0.56,0.39999999999999997,0.52,0.56,0.56,0.56,0.48,0.56,0.48,0.64,0.48,0.64,0.76,0.72,0.72,0.72,0.76,0.76,0.72,0.8,0.76,0.92,0.92,0.92,0.9600000000000001,0.88,0.8400000000000001,0.92,0.8400000000000001,0.88,0.8400000000000001,0.8400000000000001,0.88,0.8400000000000001,0.88,0.8,0.8400000000000001,0.6799999999999999,0.64,0.64,0.6799999999999999,0.76,0.68,0.68,0.72,0.64,0.72,0.8,0.8,0.72,0.76,0.64,0.64,0.68,0.64,0.68,0.64,0.64,0.6,0.64,0.68,0.64,0.6399999999999999,0.5599999999999999,0.64,0.64,0.64,0.64,0.52,0.5599999999999999,0.48,0.52,0.6,0.64,0.6,0.64,0.64,0.6799999999999999,0.6,0.6,0.64,0.6,0.64,0.6399999999999999,0.64
auc_pr_bag,0.36730158730158724,0.47507936507936505,0.3867460317460317,0.3784126984126984,0.5067460317460317,0.44126984126984126,0.3646031746031746,0.3784126984126984,0.39269841269841266,0.3646031746031746,0.352936507936508,0.3646031746031746,0.352936507936508,0.347936507936508,0.3646031746031746,0.4034126984126984,0.48936507936507934,0.401031746031746,0.456031746031746,0.5067460317460317,0.48936507936507934,0.5099206349206349,0.4417460317460317,0.5099206349206349,0.4417460317460317,0.5351190476190476,0.4417460317460317,0.5351190476190476,0.6014285714285714,0.5829761904761905,0.5829761904761905,0.5829761904761905,0.6014285714285714,0.6014285714285714,0.5730952380952381,0.7514285714285713,0.6014285714285714,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9633333333333334,0.8930952380952379,0.874642857142857,0.9380952380952381,0.874642857142857,0.8930952380952379,0.874642857142857,0.874642857142857,0.8930952380952379,0.8347619047619046,0.8930952380952379,0.8163095238095237,0.874642857142857,0.7984126984126985,0.7400793650793651,0.7400793650793651,0.7984126984126985,0.8322222222222222,0.5688888888888889,0.5688888888888889,0.8126984126984127,0.7400793650793651,0.8126984126984127,0.8605555555555555,0.8163095238095237,0.5829761904761905,0.8322222222222222,0.7400793650793651,0.5405555555555556,0.6905555555555556,0.5405555555555556,0.5688888888888889,0.5405555555555556,0.5405555555555556,0.6567460317460316,0.5072222222222221,0.6905555555555556,0.5405555555555556,0.671031746031746,0.6250793650793651,0.7400793650793651,0.7400793650793651,0.7400793650793651,0.7400793650793651,0.5917460317460317,0.6250793650793651,0.5717460317460317,0.6050793650793651,0.7084126984126984,0.7400793650793651,0.6567460317460316,0.7400793650793651,0.7400793650793651,0.7543650793650793,0.6567460317460316,0.521031746031746,0.7400793650793651,0.521031746031746,0.7400793650793651,0.671031746031746,0.5405555555555556
Date,2024-06-04
Time,79.09533524513245
seed,52
Number of anomalous bags,5
Number of anomalies,53
Rewards bXagX 0,6.215570692493026e-06,5.526751392192736e-06,4.756503859650212e-06,7.23302974651327e-06,3.3220029519574233e-06,2.1602368554354876e-06,3.3764574378064112e-06,2.4685344635862e-06,1.4093426299170005e-05,3.6723859814733805e-06,1.2604311964105329e-06,3.458296413525161e-06,4.597900745526517e-06,3.4885934266044897e-06,2.699895189854403e-06,1.8534763195806994e-06,2.808010130148506e-06,2.1809224205673954e-06,1.7444915083374879e-06,1.8459059131199089e-06,1.403682302197519e-06,1.5247214776643587e-06,9.225084243896582e-07,1.7794623632883834e-06,1.7068375232383491e-06,1.692975828761832e-06,1.3356808404103154e-06,5.293806275020814e-06,1.2440451969378668e-06,1.128274209377286e-06,1.1814471392305425e-06,3.598351459937633e-06,1.4268902260075978e-06,3.616546990567699e-06,4.797598647043478e-06,3.3474823896261523e-06,3.79088743186724e-06,1.0171929408497968e-06,1.0743079467391468e-06,7.024110585571172e-07,1.5925204286221425e-06,3.01806742630617e-06,1.4543023431030544e-06,1.0417797072780903e-06,1.103142872798261e-06,8.758425639316986e-07,8.251111589163339e-07,8.427507864839829e-07,9.333927169373174e-07,7.433608539702981e-07,9.109114698641548e-07,1.034025350066237e-06,2.3105272681199496e-06,7.665870636914406e-07,5.027704394998875e-07,5.873947141324211e-07,1.016370817023777e-06,3.2332917029835414e-06,1.2678233984376955e-06,2.6224535993814823e-06,5.857880477783985e-07,4.5755502371556234e-07,8.305196171684467e-07,6.571491351090454e-07,1.7362508933377142e-06,2.22483776942538e-06,6.39001100624029e-07,2.01317924029056e-06,7.209817418488312e-07,9.54813867493507e-07,7.528308787999171e-07,1.2027870903420485e-06,9.257560954271192e-07,6.430571294649628e-07,6.387784433146761e-07,6.900678109909012e-07,7.019283717797392e-07,6.636735635793806e-07,1.8674554506769088e-06,5.608129847310356e-07,5.784752827966397e-07,4.897850484438015e-07,5.123919673748483e-07,2.0677315110610374e-06,7.525732435727709e-07,3.7953927569721525e-07,8.180782512072999e-07,5.5535263069746e-07,7.372764921152686e-07,5.203513427703536e-07,6.513792001880022e-07,3.8165039717647353e-07,4.928463642367157e-07,4.963037792508596e-07,6.238888523989813e-07,8.43087641910096e-07,4.814064349204252e-07,5.072643047907842e-07,4.065982449650407e-07,5.014043358652405e-07
Prob contr bag 0,0.062155706924937104,0.055267513921933444,0.04756503859650736,0.07233029746514066,0.03322002951957789,0.021602368554357255,0.03376457437806783,0.02468534463586472,0.14093426299171558,0.03672385981473785,0.012604311964106716,0.03458296413525542,0.045979007455270234,0.03488593426604874,0.026998951898547004,0.018534763195809035,0.02808010130148815,0.021809224205676356,0.0174449150833768,0.018459059131201123,0.014036823021976735,0.015247214776645267,0.009225084243897598,0.017794623632885795,0.01706837523238537,0.016929758287620184,0.013356808404104626,0.052938062750213975,0.012440451969380038,0.011282742093774103,0.011814471392306725,0.0359835145993803,0.01426890226007755,0.03616546990568097,0.04797598647044006,0.03347482389626521,0.03790887431867657,0.010171929408499088,0.010743079467392651,0.007024110585571946,0.01592520428622318,0.030180674263065022,0.014543023431032146,0.01041779707278205,0.011031428727983825,0.008758425639317951,0.008251111589164247,0.008427507864840757,0.009333927169374203,0.007433608539703799,0.009109114698642552,0.010340253500663508,0.02310527268120204,0.00766587063691525,0.005027704394999429,0.005873947141324857,0.010163708170238891,0.032332917029838974,0.012678233984378352,0.02622453599381771,0.005857880477784631,0.0045755502371561275,0.008305196171685382,0.0065714913510911774,0.017362508933379053,0.02224837769425625,0.006390011006240994,0.020131792402907817,0.007209817418489106,0.009548138674936122,0.0075283087879999995,0.01202787090342181,0.009257560954272211,0.006430571294650337,0.006387784433147465,0.006900678109909772,0.007019283717798164,0.006636735635794537,0.018674554506771145,0.005608129847310973,0.005784752827967035,0.004897850484438554,0.005123919673749048,0.02067731511061265,0.007525732435728538,0.0037953927569725704,0.0081807825120739,0.005553526306975211,0.007372764921153498,0.005203513427704109,0.0065137920018807395,0.0038165039717651555,0.004928463642367699,0.0049630377925091425,0.0062388885239905,0.008430876419101889,0.004814064349204782,0.005072643047908401,0.004065982449650855,0.005014043358652957
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rewards bag 2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,14,14,14,14,14,15,15,16,16,16
Rewards bag 3,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rewards bag 5,0,0,0,1,1,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,20,20,20,21
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,11,11,11,12,13,14,14,14,14,15,15,15,15,15,15,15,15,15
Rewards bag 8,0,0,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Rewards bag 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
