auc_roc,0.5304651162790697,0.6022591362126246,0.5928239202657808,0.5862458471760797,0.5629900332225914,0.5721594684385382,0.5921262458471761,0.7716943521594684,0.7701661129568107,0.7757807308970099,0.7782392026578073,0.7565116279069768,0.7606644518272425,0.7687707641196013,0.7782392026578073,0.793156146179402,0.7835880398671097,0.7834883720930232,0.7940199335548173,0.8638870431893687,0.8637541528239203,0.865249169435216,0.8632890365448505,0.8733554817275747,0.8750498338870432,0.8742857142857142,0.878671096345515,0.8791362126245847,0.8969435215946844,0.8956810631229236,0.8959800664451827,0.8955813953488372,0.893687707641196,0.8943189368770764,0.9008970099667775,0.8969435215946844,0.8973089700996677,0.8968106312292359,0.8962458471760798,0.8991029900332226,0.9095348837209303,0.9080398671096346,0.9083388704318938,0.9079069767441862,0.9114285714285715,0.9099335548172758,0.9103322259136213,0.9166445182724252,0.9114617940199337,0.9124252491694351,0.913156146179402,0.9120598006644519,0.9123255813953488,0.9093355481727575,0.901029900332226,0.9038205980066445,0.903953488372093,0.9006644518272425,0.8890033222591363,0.89578073089701,0.8996013289036545,0.8884385382059801,0.8627906976744186,0.8537209302325581,0.8609302325581396,0.8633887043189368,0.8560132890365449,0.8995681063122924,0.8992691029900333,0.9059136212624586,0.919966777408638,0.9203986710963454,0.9229568106312294,0.9203322259136213,0.9216279069767443,0.9184717607973423,0.914750830564784,0.9167441860465116,0.9158471760797342,0.9181063122923588,0.9165448504983389,0.9167774086378736,0.9158803986710964,0.9117940199335548,0.9200332225913621,0.91687707641196,0.9052159468438539,0.9061794019933556,0.9098006644518274,0.9131229235880399,0.9145182724252491,0.913654485049834,0.916079734219269,0.9182724252491695,0.94156146179402,0.9392358803986711,0.9400996677740864,0.9402325581395349,0.9413621262458471,0.9394684385382059,0.9388039867109634
auc_pr,0.14613301904936965,0.16995274748537592,0.17437597624196244,0.16652058523098565,0.1551797136098138,0.1602559538169812,0.167950067428991,0.2563294026895348,0.25143902804561136,0.25410100715507755,0.2552850979960606,0.24766563173935735,0.24917944377792248,0.2602188616091159,0.27156133068721705,0.2777249113609274,0.27767744739818395,0.2760820917941844,0.28591764080544635,0.3852218274207715,0.3826912300298929,0.38840165576151275,0.3811620367015005,0.4302894683238682,0.44061194706921486,0.4373445896930514,0.45863202679796455,0.457447122770411,0.5709951341101984,0.55448942433668,0.5481886414113227,0.5421959210597355,0.5338585167018408,0.5308466218340334,0.5559194230564848,0.5396898399364781,0.536933228024399,0.5337547396210082,0.5297686126454975,0.5367614466695886,0.5880072713473505,0.5752236039133314,0.5773805591227534,0.5723273235007293,0.6114078509737966,0.6053658732407567,0.6136790738823203,0.6829665942786969,0.6795700250502401,0.693035386761646,0.6946745624795271,0.6877416144850249,0.6823985429712456,0.6713339108997678,0.6343397897587899,0.6373501405121474,0.6638500818643904,0.6527944424691371,0.6180029994643124,0.641638092822883,0.6547609644372046,0.6309055367572728,0.5593998724203981,0.545206959832344,0.5653149566293987,0.5736145566508947,0.557122828568095,0.6541926177298987,0.6460461021677704,0.6735802907153227,0.7422058013728696,0.7412176628244731,0.7509060356866877,0.7409788538661375,0.7430181053782947,0.7381547932967545,0.7296840449141372,0.7309208564113588,0.7266135865233828,0.7308495635416719,0.7286996491028442,0.7244495660124282,0.7201945063791513,0.708562023192318,0.7472871104490185,0.7348487162985157,0.6788671942897037,0.6796435543987305,0.694649314281553,0.7124448279791645,0.712022148034269,0.7084887412457664,0.7207930920043969,0.72933605358319,0.7474451484838589,0.7478825628263538,0.7501267553879596,0.74990542696381,0.7508181158062747,0.7514102449591036,0.7465936531006175
auc_roc_bag,0.36,0.4,0.48,0.4,0.24,0.36,0.36,0.23999999999999996,0.27999999999999997,0.27999999999999997,0.32,0.23999999999999996,0.27999999999999997,0.32,0.36,0.36,0.32,0.23999999999999996,0.36,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.44,0.44,0.44,0.44,0.52,0.48000000000000004,0.44,0.44,0.44,0.44,0.44,0.4,0.4,0.4,0.4,0.44,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39999999999999997,0.39999999999999997,0.43999999999999995,0.43999999999999995,0.36,0.4,0.43999999999999995,0.43999999999999995,0.48,0.48,0.48,0.48,0.48,0.4,0.4,0.4,0.44,0.44,0.44,0.39999999999999997,0.44,0.39999999999999997,0.36,0.39999999999999997,0.39999999999999997,0.44,0.44,0.44,0.44,0.44,0.44,0.48,0.4,0.4,0.4,0.43999999999999995,0.48,0.44,0.44,0.44,0.4,0.4,0.4,0.4,0.4,0.4,0.4
auc_pr_bag,0.39269841269841266,0.40678571428571425,0.4334523809523809,0.40678571428571425,0.35638888888888887,0.39269841269841266,0.39269841269841266,0.352936507936508,0.3646031746031746,0.3646031746031746,0.3784126984126984,0.352936507936508,0.3646031746031746,0.3784126984126984,0.39269841269841266,0.39269841269841266,0.3784126984126984,0.352936507936508,0.39269841269841266,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4501190476190476,0.4317857142857143,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.4151190476190476,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.401031746031746,0.401031746031746,0.4193650793650794,0.4193650793650794,0.3912698412698413,0.4050793650793651,0.4193650793650794,0.4193650793650794,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4050793650793651,0.4050793650793651,0.4050793650793651,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.401031746031746,0.4151190476190476,0.401031746031746,0.3867460317460317,0.401031746031746,0.401031746031746,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4334523809523809,0.4050793650793651,0.4050793650793651,0.4050793650793651,0.4193650793650794,0.4334523809523809,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425,0.40678571428571425
Date,2024-06-04
Time,75.16026306152344
seed,44
Number of anomalous bags,5
Number of anomalies,70
Rewards bXagX 0,4.492439138959069e-06,6.660150989718858e-06,4.06715834104807e-06,3.94724897380852e-06,3.454639982305251e-06,1.3659744916722911e-06,1.0611666412764289e-05,1.6108782055195617e-06,8.937964431049124e-07,9.641579380311474e-07,3.716736521127096e-06,1.00525399170944e-06,2.3481453274491657e-06,2.1128991662441317e-06,1.9105823160649193e-06,1.836383363447206e-06,9.74385979681323e-07,1.1462293675398345e-06,4.895882148524257e-06,5.241016647615741e-07,1.2961189513579095e-06,6.024553195362112e-07,2.4486119619413956e-06,1.087206495705287e-06,4.240113986221253e-07,1.9555370927901704e-06,4.690010815257321e-07,3.3844652552901323e-06,6.577048792682048e-07,4.839233611113249e-07,6.717579446869117e-07,8.685786727805186e-07,4.365595447624436e-07,1.192553437539032e-06,8.500162793097815e-07,2.7618325001006843e-07,5.465388208350115e-07,4.803180621050258e-07,1.0716795887302814e-06,2.175710643769631e-06,4.1130499063549984e-07,7.712318747782563e-07,4.783555447651487e-07,1.6502926245821895e-06,8.501804536906851e-07,7.215733516352022e-07,1.9174467098496625e-06,9.640480362699794e-07,8.385156391502942e-07,4.95023014536783e-07,4.5289398881474314e-07,2.590124030440988e-07,6.144212697230453e-07,2.8277021606533816e-06,4.998167948886974e-07,1.0848459288819471e-06,3.306741815567114e-07,7.858714995520258e-07,8.140228028288381e-07,2.981152562501515e-07,7.283195521448302e-07,1.8752609760578915e-06,4.730526087208138e-07,7.085760734871778e-07,3.340804027539452e-07,5.057002745316185e-07,2.775578514590342e-06,2.4515461129068074e-07,6.980780836844975e-07,2.3532561161211008e-06,3.244364769243109e-07,4.781138811070264e-07,3.8536865255788263e-07,3.96095471252423e-07,5.136822219045871e-07,4.844732734582965e-07,3.085429805520419e-07,1.8825735374741904e-07,3.82717120655199e-07,3.494680210920715e-07,2.321984834368338e-07,2.4983014439673223e-07,4.3368043781932777e-07,1.0758175028816788e-06,5.522163032706204e-07,1.2857332790287432e-06,2.4549613663082597e-07,5.221951287757806e-07,4.0460037276961883e-07,2.109229964367943e-07,2.1696870859228696e-07,4.223846110181583e-07,2.2315284854156236e-07,2.532382595775942e-06,6.278454648988851e-07,2.2543079268359494e-07,1.9505066237399722e-07,3.019255095113382e-07,3.459296028542533e-07,1.6876449656614916e-07
Prob contr bag 0,0.04492439138959564,0.06660150989719592,0.040671583410485185,0.03947248973808955,0.034546399823056316,0.013659744916724417,0.10611666412765458,0.01610878205519739,0.008937964431050108,0.009641579380312536,0.037167365211275054,0.010052539917095508,0.023481453274494243,0.021128991662443645,0.0191058231606513,0.018363833634474084,0.009743859796814303,0.011462293675399608,0.04895882148524796,0.005241016647616318,0.012961189513580523,0.006024553195362776,0.024486119619416654,0.010872064957054067,0.00424011398622172,0.019555370927903857,0.0046900108152578375,0.03384465255290505,0.006577048792682773,0.004839233611113782,0.0067175794468698575,0.008685786727806143,0.004365595447624917,0.011925534375391634,0.008500162793098752,0.0027618325001009885,0.005465388208350718,0.004803180621050787,0.010716795887303995,0.021757106437698705,0.004113049906355451,0.007712318747783413,0.0047835554476520145,0.016502926245823713,0.008501804536907787,0.007215733516352817,0.019174467098498738,0.009640480362700855,0.008385156391503865,0.004950230145368374,0.00452893988814793,0.0025901240304412733,0.006144212697231129,0.02827702160653693,0.004998167948887525,0.010848459288820667,0.0033067418155674783,0.007858714995521123,0.008140228028289278,0.0029811525625018436,0.0072831955214491045,0.01875260976058098,0.004730526087208659,0.007085760734872559,0.00334080402753982,0.005057002745316742,0.02775578514590648,0.002451546112907077,0.006980780836845744,0.0235325611612136,0.003244364769243466,0.00478113881107079,0.0038536865255792505,0.003960954712524666,0.0051368222190464365,0.004844732734583498,0.003085429805520759,0.0018825735374743977,0.0038271712065524113,0.0034946802109211,0.0023219848343685938,0.0024983014439675976,0.0043368043781937555,0.010758175028817972,0.005522163032706812,0.012857332790288847,0.0024549613663085302,0.005221951287758381,0.004046003727696634,0.0021092299643681754,0.0021696870859231085,0.004223846110182048,0.0022315284854158694,0.02532382595776221,0.006278454648989543,0.0022543079268361977,0.001950506623740187,0.0030192550951137144,0.003459296028542914,0.0016876449656616774
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Rewards bag 1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10
Rewards bag 2,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
Rewards bag 5,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,7,7,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6
Rewards bag 7,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11
Rewards bag 8,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13
Rewards bag 9,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
