auc_roc,0.4508733624454148,0.4723955084217092,0.6640673736743605,0.7202640881680182,0.7867540029112082,0.7804117280099813,0.7938760657101268,0.827199001871491,0.8355687253067166,0.8200769390725723,0.8336972343522562,0.8305780827614888,0.8364524849241006,0.8476294447910168,0.8419110002079434,0.8412871698897899,0.8440424204616345,0.8558951965065502,0.8545955500103972,0.8563630692451654,0.8610417966313163,0.8671761280931586,0.8836036598045331,0.8791848617176128,0.8820960698689956,0.8814202536909961,0.8789249324183822,0.8692555624870035,0.8602100228737783,0.8649927219796215,0.8570388854231649,0.866916198793928,0.8666042836348513,0.8652526512788521,0.8722707423580786,0.8778852152214598,0.8731545019754627,0.865616552297775,0.8641089623622374,0.8614056976502391,0.8604179663131628,0.8627573300062383,0.8618735703888543,0.8640049906425452,0.8628613017259306,0.8626013724266999,0.862133499688085,0.8631732168850073,0.8625493865668538,0.8617695986691619,0.8616656269494698,0.8853191931794551,0.8857870659180702,0.8817321688500728,0.8800166354751507,0.8827199001871492,0.9066333957163651,0.9194739030983572,0.9199937616968186,0.9189020586400499,0.9214493657725099,0.9236847577458931,0.9229049698482013,0.9232168850072782,0.9223851112497401,0.921085464753587,0.9216053233520483,0.9199937616968186,0.9196818465377417,0.9184861717612809,0.9173424828446662,0.9157309211894364,0.9139114160948222,0.9103763776252858,0.9091287169889789,0.9061655229777501,0.903150343106675,0.9007070076939072,0.8984196298606779,0.8954564358494489,0.8938448741942191,0.8914015387814515,0.8865668538157621,0.8838116032439176,0.8819920981493035,0.8796007485963818,0.8768454980245373,0.8748700353503847,0.8725306716573091,0.8700353503846954,0.8669681846537741,0.8645768351008526,0.8611977542108546,0.8585984612185485,0.8546475358702433,0.8522042004574756,0.8495009357454772,0.8460178831357871,0.8453940528176336,0.8432626325639426,0.8404553961322521
auc_pr,0.07264603134423075,0.07461248707523443,0.15300304251248825,0.1499476691240422,0.19175145907794375,0.1813597143927072,0.18858882700498394,0.24540824992932703,0.24495169184950868,0.22109727437400523,0.26966895987037814,0.28448986207589955,0.27964541532745113,0.30330911944824845,0.2914181576279618,0.2840573778719497,0.2856868264394202,0.31444997050403656,0.3332447442372161,0.32108693029146923,0.3553523381255005,0.3647326657443739,0.46409381723628174,0.450039082788951,0.4484367303763885,0.44675000579099244,0.44335249142050714,0.4055181919619375,0.378351110146698,0.4021909883690411,0.3650935004305722,0.4160271787784993,0.41557383946193927,0.3982780188732874,0.4378588306055224,0.4561018279194693,0.43221519594292207,0.42152431363966225,0.4283065560858488,0.41638961023243964,0.42052108237972863,0.40919149554117473,0.4127122562376398,0.4232970588185459,0.40686504370694415,0.4042852081347311,0.40217551435937915,0.40860454002917385,0.4161242500611679,0.4088122560840703,0.42459803898040593,0.5079980883827906,0.5028913395221224,0.4795371710794146,0.4706333423467022,0.49433836426874656,0.5801131871241662,0.6118423039225563,0.6212225215807076,0.612251963626504,0.6193873470558734,0.6344550582539247,0.6317765559862812,0.6321302522331521,0.6286857897276195,0.6277277096331288,0.6236897854799028,0.6190431287868507,0.6149594473484682,0.6118620449590361,0.606876894384443,0.6016855109371607,0.5964191150376881,0.5888408257854657,0.5820806109956838,0.5739467185171798,0.5620293539898192,0.5517290425850456,0.5412931447003155,0.5285215754984466,0.5184872782804061,0.5116287440176526,0.49353143940108624,0.4819803268564168,0.4747503982401526,0.4663230943552421,0.46094114142640025,0.4562520518721317,0.44713084447497414,0.4420179505243726,0.43196829308991774,0.42826247533336553,0.4159741478055953,0.40799136419100124,0.3979313467983383,0.3949389302876891,0.3905225108766487,0.37992210663148035,0.37933893694068704,0.3751973628066506,0.3670507578703266
auc_roc_bag,0.5416666666666667,0.625,0.8333333333333334,0.75,0.8333333333333334,0.75,0.7083333333333333,0.7083333333333333,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.8333333333333334,0.7500000000000001,0.7500000000000001,0.7916666666666667,0.7916666666666667,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667
auc_pr_bag,0.37797619047619047,0.5827380952380953,0.7958333333333334,0.6672619047619047,0.73125,0.6672619047619047,0.4797619047619047,0.6255952380952381,0.65,0.65,0.65,0.73125,0.65,0.65,0.6916666666666667,0.6916666666666667,0.65,0.65,0.65,0.65,0.65,0.65,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.6916666666666667,0.73125,0.73125,0.73125,0.6916666666666667,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.8354166666666667,0.73125,0.73125,0.73125,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.73125,0.73125,0.73125,0.73125,0.73125,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667
Date,2024-06-23
Time,76.03516149520874
seed,51
Number of anomalous bags,4
Number of anomalies,42
Rewards bXagX 0,0.88,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 1,0.28,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 2,1.24,0.15999999999999992,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 3,1.04,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 4,0.64,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 5,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 6,0.28,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 7,0.07999999999999996,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 8,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 9,0.48,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0
Rewards bag 1,0
Rewards bag 2,0
Rewards bag 3,0
Rewards bag 4,0
Rewards bag 5,0
Rewards bag 6,0
Rewards bag 7,0
Rewards bag 8,0
Rewards bag 9,0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
