auc_roc,0.5304651162790697,0.4877076411960133,0.4815282392026578,0.4829568106312292,0.5389700996677741,0.5227906976744185,0.5022591362126246,0.5712624584717607,0.5599667774086379,0.5608305647840531,0.5506312292358805,0.5540199335548173,0.6423255813953489,0.6761461794019933,0.6990697674418604,0.6919933554817276,0.6986710963455149,0.7973089700996678,0.8065448504983389,0.7945514950166113,0.7981395348837209,0.8379734219269104,0.8304318936877075,0.8422923588039867,0.8428239202657806,0.8444186046511628,0.8579401993355481,0.8529900332225913,0.8358471760797341,0.8697009966777408,0.8733554817275748,0.876810631229236,0.8680730897009968,0.8430897009966778,0.851594684385382,0.8684385382059802,0.88,0.863654485049834,0.8700000000000001,0.8561129568106313,0.8533554817275747,0.8706644518272426,0.8631893687707641,0.8546179401993356,0.8420265780730897,0.863421926910299,0.8701328903654485,0.8689368770764119,0.8887707641196013,0.8826910299003322,0.8863787375415282,0.8924916943521595,0.892923588039867,0.8970099667774086,0.8901661129568106,0.8912624584717608,0.8949169435215947,0.8983720930232557,0.8923920265780731,0.8870764119601329,0.8812956810631228,0.8895348837209303,0.8852159468438539,0.881295681063123,0.8899335548172758,0.8717940199335548,0.879468438538206,0.882358803986711,0.8788704318936877,0.8840531561461794,0.8905315614617939,0.891295681063123,0.8909302325581395,0.8972425249169436,0.8769767441860467,0.8799335548172758,0.8861129568106313,0.8905980066445183,0.8814285714285715,0.872093023255814,0.8743189368770765,0.8732225913621263,0.875016611295681,0.8765116279069767,0.8886378737541528,0.9017607973421926,0.9026910299003322,0.894983388704319,0.8884717607973421,0.8941528239202657,0.8854485049833888,0.8889700996677741,0.8956478405315614,0.8988372093023258,0.9074086378737541,0.9066777408637874,0.9067774086378737,0.9068106312292358,0.8965448504983389,0.9025581395348836,0.9018936877076412
auc_pr,0.14613301904936965,0.13584098043501264,0.128993488878612,0.1307593885671586,0.14845409236253465,0.14463683375925956,0.13656150625072558,0.1821855401651586,0.1758069934247091,0.16599332606748174,0.15991811298631575,0.15763076313553043,0.2088578303825197,0.2793905678094217,0.23771509263879997,0.22713327652255266,0.255805019457341,0.3627184903835718,0.3970863175961021,0.36094476376912227,0.35095504814242096,0.4521535252663376,0.4726838324817821,0.4638737284272347,0.5099273640989894,0.48623133356654447,0.5378275808929761,0.5761368736030953,0.583978591750825,0.6891429888010987,0.6742087347496947,0.7105791603239837,0.732583089255663,0.7326920999583447,0.7521419414169508,0.7320446292335175,0.7211882575799472,0.6373474537205712,0.6932031236887563,0.6762494338657592,0.7115463663258244,0.7373482979867007,0.7368987255521638,0.7189918606509029,0.649138788226117,0.6757057794751898,0.709460820085624,0.7302763828989923,0.7602110603288591,0.7701079470919995,0.7687057892551248,0.7868551040296106,0.7923542019553704,0.7767640646791728,0.7865094667949452,0.7821506808691384,0.7941493387967927,0.7904677275602228,0.7916814224633093,0.7935185637729076,0.7870976714938072,0.7872185840423529,0.7856821956808284,0.7865198351814345,0.7903658684282479,0.7839334406481268,0.7840342441505357,0.793902085615451,0.7862310582305025,0.792081006969359,0.7912609300307928,0.8015838210429777,0.796637198850942,0.7984005937014548,0.7902950083377637,0.7896589788877397,0.7931112312864242,0.7950654522995483,0.7975657693756654,0.7970055871481327,0.8006322911599555,0.8003987405139636,0.802239174751519,0.8017061612949989,0.810346421900827,0.8117235753553416,0.8147406059193841,0.8119753262112585,0.8031145158489132,0.8087585484594894,0.8013000141854654,0.8046180566892923,0.8079682352992152,0.8110917457398933,0.8191405545473025,0.8156864134509589,0.81573989044546,0.8175037946125004,0.810145561794347,0.8157972672643207,0.8159719884992082
auc_roc_bag,0.36,0.12,0.24,0.08000000000000002,0.28,0.28,0.12,0.64,0.56,0.43999999999999995,0.36,0.36,0.56,0.76,0.4,0.32,0.4,0.44,0.4,0.44,0.4,0.44,0.52,0.36,0.4,0.39999999999999997,0.44,0.56,0.8,0.72,0.64,0.6799999999999999,0.8800000000000001,0.8800000000000001,0.8800000000000001,0.76,0.64,0.48000000000000004,0.6000000000000001,0.52,0.56,0.64,0.56,0.56,0.44,0.4,0.48000000000000004,0.52,0.6,0.64,0.56,0.6799999999999999,0.76,0.72,0.76,0.6799999999999999,0.72,0.6799999999999999,0.72,0.8400000000000001,0.76,0.6799999999999999,0.64,0.76,0.64,0.88,0.68,0.88,0.8,0.88,0.72,0.8,0.8400000000000001,0.8,0.88,0.88,0.88,0.8,0.88,0.8800000000000001,0.8400000000000001,0.8800000000000001,0.8800000000000001,0.92,0.8,0.76,0.76,0.8,0.8400000000000001,0.8400000000000001,0.92,0.88,0.8,0.8,0.8,0.8400000000000001,0.8,0.8,0.8400000000000001,0.8400000000000001,0.8
auc_pr_bag,0.39269841269841266,0.32079365079365074,0.3501587301587301,0.3126984126984127,0.36730158730158724,0.36730158730158724,0.32079365079365074,0.5229761904761905,0.47555555555555556,0.4193650793650794,0.39269841269841266,0.39269841269841266,0.4701190476190476,0.6014285714285714,0.40678571428571425,0.3784126984126984,0.40678571428571425,0.4151190476190476,0.40678571428571425,0.4151190476190476,0.40678571428571425,0.4151190476190476,0.4501190476190476,0.3867460317460317,0.40678571428571425,0.401031746031746,0.4151190476190476,0.4834523809523809,0.6266666666666667,0.6914285714285714,0.6534523809523809,0.7543650793650793,0.8599999999999999,0.8599999999999999,0.8599999999999999,0.7747619047619048,0.7167857142857144,0.4317857142857143,0.6334523809523809,0.5817857142857144,0.6001190476190477,0.7167857142857144,0.6001190476190477,0.6001190476190477,0.4151190476190476,0.40678571428571425,0.4317857142857143,0.5817857142857144,0.7026984126984126,0.7226984126984126,0.6193650793650793,0.7984126984126985,0.8022222222222222,0.8126984126984127,0.8322222222222222,0.7984126984126985,0.7738888888888888,0.7984126984126985,0.8126984126984127,0.874642857142857,0.8322222222222222,0.7543650793650793,0.7226984126984126,0.8322222222222222,0.7400793650793651,0.919642857142857,0.7422222222222221,0.919642857142857,0.8463095238095237,0.919642857142857,0.7738888888888888,0.8163095238095237,0.9055555555555554,0.8605555555555555,0.919642857142857,0.919642857142857,0.919642857142857,0.8605555555555555,0.919642857142857,0.8599999999999999,0.8347619047619046,0.8599999999999999,0.8599999999999999,0.9183333333333332,0.8163095238095237,0.8322222222222222,0.8322222222222222,0.8605555555555555,0.874642857142857,0.9055555555555554,0.9380952380952381,0.919642857142857,0.8605555555555555,0.8605555555555555,0.8605555555555555,0.9055555555555554,0.8605555555555555,0.8163095238095237,0.8347619047619046,0.8347619047619046,0.8163095238095237
Date,2024-06-21
Time,87.63998556137085
seed,44
Number of anomalous bags,5
Number of anomalies,70
Rewards bXagX 0,7.842041397173808e-06,7.273001210437972e-06,3.8129320378377164e-06,3.7917021147877757e-06,5.093649207999584e-06,4.3270274380464225e-06,1.1063976940946604e-05,1.8120659445005237e-06,2.5345125984583784e-06,2.687500450140669e-06,2.2700924203447764e-06,5.7121892420606245e-06,4.6988032232427446e-06,1.0789758668286677e-05,1.2235730846733173e-06,4.240799912823065e-06,3.454305800275785e-06,2.698725761790748e-06,1.5718463469210549e-06,1.1968789287287087e-06,3.5215916147624586e-06,1.6975208310705078e-06,5.575158751206904e-06,2.1875437424678933e-06,1.122676939535918e-06,2.0714618270060475e-06,2.1598714847250837e-06,1.99248757909244e-06,4.286728672514594e-06,1.0289520363892395e-06,1.8990098971669656e-06,1.89599190185938e-06,1.8952767021113673e-06,1.0022213905361185e-06,2.287952815211402e-06,9.515060056681327e-07,2.0115843999679094e-06,1.2972556386475608e-06,1.5039169625188064e-06,1.0672289221559432e-06,1.068379660872386e-06,1.2518364997682089e-06,5.654315040591314e-07,1.6220358047175768e-06,9.602571018715118e-07,9.600844418605384e-07,8.585734058099077e-07,1.1703561195432448e-06,8.865369094587425e-07,7.23766372583002e-07,9.616418128438672e-07,1.4608807585257008e-06,1.2174224162200147e-06,5.436286857705963e-07,7.903611335232619e-07,7.953507018494758e-07,7.945135173647147e-07,5.262764318797866e-07,1.2597705462348154e-06,1.0443097177587157e-06,6.897020764361355e-07,7.873967319014788e-07,8.577718808332512e-07,7.657094578813473e-07,1.9446684304981564e-06,7.427877782831563e-07,7.987267923042411e-07,7.321454701427827e-07,6.649912441118693e-07,1.1519885850472155e-06,1.3421247572989395e-06,7.319734999768177e-07,8.444266574895498e-07,1.5827092109329958e-06,5.341770689549111e-07,5.289867127096121e-07,6.830593428237445e-07,8.703971220650087e-07,1.5307859225883264e-06,5.028332183853443e-07,8.917252779293885e-07,4.073308252320166e-07,4.927279993083006e-07,7.043710852184745e-07,1.2992087554211392e-06,7.986858174585082e-07,7.484509055697335e-07,1.0792029068401622e-06,9.931701712017617e-07,7.353630392620339e-07,6.267100686584488e-07,3.7954555436707655e-07,7.191035214798587e-07,1.0813741301395024e-06,5.955713176196369e-07,6.31002620114713e-07,5.396285925452132e-07,1.0708724652257622e-06,4.7003430970586754e-07,4.252608751655878e-07
Prob contr bag 0,0.0784204139717467,0.07273001210438773,0.03812932037838136,0.03791702114788193,0.05093649208000144,0.04327027438046899,0.11063976940947823,0.018120659445007233,0.025345125984586575,0.02687500450140965,0.022700924203450264,0.05712189242061254,0.04698803223243262,0.10789758668287866,0.01223573084673452,0.04240799912823532,0.034543058002761654,0.026987257617910453,0.01571846346921228,0.011968789287288405,0.035215916147628465,0.01697520831070695,0.05575158751207518,0.021875437424681343,0.011226769395360416,0.020714618270062757,0.021598714847253214,0.019924875790926597,0.042867286725150666,0.010289520363893528,0.018990098971671747,0.018959919018595887,0.01895276702111576,0.010022213905362289,0.02287952815211654,0.009515060056682375,0.02011584399968131,0.012972556386477038,0.015039169625189721,0.010672289221560608,0.010683796608725036,0.012518364997683468,0.005654315040591937,0.016220358047177554,0.009602571018716177,0.009600844418606442,0.008585734058100022,0.011703561195433736,0.008865369094588401,0.007237663725830817,0.009616418128439733,0.014608807585258617,0.012174224162201487,0.005436286857706562,0.00790361133523349,0.007953507018495634,0.007945135173648022,0.0052627643187984465,0.012597705462349541,0.010443097177588307,0.006897020764362115,0.007873967319015655,0.008577718808333457,0.0076570945788143165,0.019446684304983704,0.007427877782832381,0.00798726792304329,0.007321454701428633,0.006649912441119426,0.011519885850473423,0.013421247572990872,0.007319734999768983,0.008444266574896428,0.0158270921093317,0.0053417706895496995,0.005289867127096704,0.006830593428238197,0.008703971220651046,0.01530785922588495,0.005028332183853997,0.008917252779294867,0.004073308252320614,0.004927279993083548,0.007043710852185521,0.012992087554212823,0.007986858174585961,0.00748450905569816,0.010792029068402811,0.00993170171201871,0.007353630392621149,0.006267100686585178,0.0037954555436711833,0.007191035214799378,0.010813741301396215,0.0059557131761970245,0.006310026201147825,0.005396285925452726,0.010708724652258802,0.004700343097059193,0.004252608751656346
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,13,13,14,14,14,15,15,15,15,15,15,15,15,16,17,17,17
Rewards bag 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rewards bag 2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11
Rewards bag 3,0,1,1,1,1,1,2,2,3,3,4,5,5,5,5,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,17,17
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9
Rewards bag 5,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rewards bag 6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,9,9,9,9,9,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13
Rewards bag 7,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rewards bag 8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15
Rewards bag 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6,7,7,7,7,7,7
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
