auc_roc,0.5304651162790697,0.5212292358803986,0.5789700996677741,0.5543189368770763,0.5451495016611295,0.7095681063122924,0.8370431893687706,0.8694019933554817,0.8852159468438537,0.8880730897009967,0.8874086378737541,0.8872757475083056,0.8895348837209303,0.8741860465116279,0.8503986710963456,0.8751162790697675,0.8934883720930233,0.8906312292358805,0.8797009966777409,0.8932890365448505,0.9006976744186046,0.9056146179401993,0.8807641196013289,0.8964784053156146,0.8979401993355481,0.8806644518272425,0.8975747508305647,0.901295681063123,0.905813953488372,0.9001993355481728,0.8993355481727575,0.8945847176079734,0.8752159468438538,0.8910299003322258,0.8889036544850498,0.8407641196013288,0.8227906976744186,0.804451827242525,0.8011295681063123,0.7909634551495016,0.7996345514950166,0.7834883720930232,0.7935880398671096,0.798139534883721,0.7995348837209302,0.8019601328903655,0.8130232558139536,0.8061794019933555,0.7919933554817276,0.7826910299003322,0.7777076411960133,0.7816279069767442,0.7767774086378737,0.7818272425249169,0.7795681063122923,0.7893023255813953,0.8003322259136212,0.8035880398671097,0.7978737541528238,0.79,0.7831893687707641,0.7794352159468438,0.7851495016611296,0.7940199335548173,0.7928239202657807,0.7959800664451828,0.8028571428571429,0.8077076411960133,0.8145182724252492,0.8082724252491693,0.8153820598006645,0.8080730897009967,0.8038870431893688,0.8067109634551495,0.8065116279069767,0.8018936877076412,0.799468438538206,0.8046511627906976,0.8130897009966778,0.8187043189368771,0.8104983388704319,0.8174086378737541,0.8235548172757474,0.8351495016611296,0.8396013289036545,0.8377408637873754,0.8368106312292359,0.8841528239202658,0.8800996677740864,0.8803986710963455,0.8787375415282392,0.8805980066445183,0.8827242524916944,0.8775747508305648,0.8535215946843854,0.853421926910299,0.8906976744186047,0.8928239202657808,0.8756478405315615,0.8779734219269103,0.872358803986711
auc_pr,0.14613301904936965,0.14520457123822028,0.16263063378648018,0.15328904842084917,0.15117986275430204,0.23365262301210174,0.3907677469323815,0.48566965393408285,0.48543187216356154,0.4728878147370586,0.4553066265636008,0.44647572222425935,0.44829493734591125,0.47406359731080056,0.4416933493585724,0.48567305121831167,0.5826227439128306,0.5629179251369651,0.5153200438835548,0.5679427091921343,0.6880598107267069,0.6813036013328333,0.4851400799636105,0.5619316134704455,0.5518722850615924,0.47566775632666897,0.5885549577758582,0.6182711677399755,0.6686070000914326,0.6628503429308344,0.6505031976725949,0.6204464003085175,0.5508906323960336,0.6170166684525885,0.5967953673240057,0.44846996269158973,0.4094083583602865,0.3807901524528217,0.3657781766041084,0.34165920705233493,0.35291192909229363,0.3211350113103482,0.32863323153646623,0.33003394161079797,0.3268751351013689,0.3283140966767716,0.33867324988989395,0.3278913798730353,0.32846042774517314,0.31234199868655466,0.30749270024231884,0.30745996529335085,0.3014849313706643,0.3055762068312238,0.30092850877812416,0.3236503652037419,0.3744407157572931,0.3760253602891409,0.3683114565326394,0.3582831001199015,0.35070517984999655,0.3457794823462115,0.3497827290551387,0.36664285167826804,0.3623386584400079,0.36404514559815276,0.3775283157320981,0.3883493925431881,0.4175669694326329,0.4091070762555791,0.4200026462198984,0.4121239160785001,0.40749390556742393,0.4080087653457359,0.4055618732452306,0.3887988389057395,0.38249063932377764,0.38680513524955745,0.4445405952548193,0.4518294410162721,0.43916670385938417,0.45735336556358736,0.47495342111336064,0.5159959598450335,0.5237634323175492,0.5168474665618679,0.5125083968815194,0.5941122160858566,0.5831390151015053,0.5794513901003729,0.5735181697902929,0.5744099952768852,0.5749317956957929,0.5673095490530969,0.5092140356472483,0.5036791130873504,0.5884177350763168,0.587705787620798,0.5559836688648915,0.5573794687211093,0.5455214439617668
auc_roc_bag,0.36,0.43999999999999995,0.48,0.32000000000000006,0.36,0.6799999999999999,0.72,0.44,0.4,0.44,0.48000000000000004,0.44,0.44,0.6,0.76,0.52,0.44,0.44,0.44,0.4,0.44,0.44,0.39999999999999997,0.39999999999999997,0.4,0.39999999999999997,0.36,0.4,0.44,0.44,0.39999999999999997,0.43999999999999995,0.48,0.48,0.4,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.48,0.48,0.48,0.48,0.44,0.48,0.48,0.44,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995,0.48
auc_pr_bag,0.39269841269841266,0.4193650793650794,0.4334523809523809,0.3815873015873016,0.39269841269841266,0.5414285714285714,0.5730952380952381,0.4151190476190476,0.40678571428571425,0.4151190476190476,0.4317857142857143,0.4151190476190476,0.4151190476190476,0.503452380952381,0.6014285714285714,0.4501190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.40678571428571425,0.4151190476190476,0.4151190476190476,0.401031746031746,0.401031746031746,0.40678571428571425,0.401031746031746,0.39269841269841266,0.40678571428571425,0.4151190476190476,0.4151190476190476,0.401031746031746,0.4193650793650794,0.4393650793650794,0.4393650793650794,0.4050793650793651,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4151190476190476,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4151190476190476,0.4334523809523809,0.4334523809523809,0.4151190476190476,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4334523809523809,0.4193650793650794,0.42507936507936506,0.4193650793650794,0.4193650793650794,0.4334523809523809
Date,2024-06-21
Time,90.22037196159363
seed,44
Number of anomalous bags,5
Number of anomalies,70
Rewards bXagX 0,4.857336979216412e-06,2.7315314643559527e-06,6.848474513657862e-06,5.392061717805868e-06,8.170534601105365e-06,8.283531477497844e-06,4.331111094547659e-06,3.355798518802375e-06,2.484367490770105e-06,1.8874793529292892e-06,9.17554824426699e-07,1.0814478674049646e-06,3.973222926524326e-06,1.809940962869711e-06,4.148978681943322e-06,2.7768810177044634e-06,3.332634272404208e-06,1.486370338819674e-06,2.1605430242638653e-06,3.871537074049114e-06,9.78509803233159e-07,4.419202835601963e-06,1.5198736425925541e-06,9.706479706862663e-07,1.5290265053221165e-06,2.010941360236488e-06,1.5337753749216683e-06,1.576140774511381e-06,1.3852498273731365e-06,9.578051692785309e-07,1.2480722689281261e-06,1.4485044050375007e-06,2.0113838536810968e-06,9.347078327366397e-07,3.0254421182758053e-06,1.0158737742139663e-06,7.691755036770393e-07,5.433752649252894e-07,6.76111418254388e-07,6.784484266288137e-07,7.666671070654768e-07,6.671870595599687e-07,4.715097234222952e-07,5.346153858825223e-07,3.6038519713210136e-07,1.1436397558091181e-06,7.459847194050466e-07,2.1161648657799336e-06,5.832647905478178e-07,3.2466590477934313e-07,1.0197152721984224e-06,3.80163531887442e-07,5.179630200130979e-07,3.642047731646202e-07,1.2975331554447816e-06,7.753065442511832e-07,3.2939456311378924e-07,3.018868159851874e-07,3.372003251992671e-07,3.313326096558237e-07,4.38184149877467e-07,4.731886823322715e-07,7.271964871310983e-07,3.31984079137753e-07,2.5576799103347817e-07,8.851361028105761e-07,5.934727409037314e-07,6.090985121403169e-07,3.0751212711648224e-07,4.0479755454745994e-07,3.4810034444376345e-07,2.407691192366866e-07,2.5206476915638296e-07,2.523205926325874e-07,2.7949535162733563e-07,2.50585756348875e-07,3.4221815344185476e-07,1.210971086556138e-06,3.96593852971878e-07,3.0341346650219526e-07,6.047257878792244e-07,5.243238484375926e-07,1.4256374049336534e-06,2.5076343808237097e-07,3.126122560765342e-07,3.2070153084858037e-07,2.3641649849597944e-06,2.981463220266183e-07,2.6362399671045044e-07,2.874425259582097e-07,2.570005761152289e-07,2.5421532703144446e-07,1.9169510843998999e-07,1.7884525030985818e-06,2.5170746566424185e-07,1.7716780115823867e-06,2.9557591233975465e-07,1.2629811025742624e-06,2.3177678763284388e-07,2.2810926065434122e-07
Prob contr bag 0,0.048573369792169474,0.027315314643562533,0.06848474513658616,0.05392061717806462,0.08170534601106265,0.08283531477498755,0.04331111094548136,0.033557985188027446,0.024843674907703787,0.01887479352929497,0.009175548244268,0.010814478674050837,0.03973222926524764,0.018099409628699104,0.04148978681943778,0.027768810177047694,0.03332634272404575,0.014863703388198377,0.021605430242641034,0.03871537074049541,0.009785098032332669,0.044192028356024496,0.015198736425927215,0.009706479706863731,0.015290265053222849,0.020109413602367093,0.015337753749218372,0.015761407745115547,0.013852498273732892,0.009578051692786364,0.012480722689282636,0.014485044050376601,0.020113838536813183,0.009347078327367427,0.030254421182761386,0.010158737742140782,0.00769175503677124,0.005433752649253492,0.006761114182544625,0.0067844842662888845,0.007666671070655612,0.006671870595600422,0.004715097234223471,0.005346153858825812,0.0036038519713214104,0.011436397558092441,0.0074598471940512875,0.02116164865780167,0.00583264790547882,0.0032466590477937887,0.010197152721985348,0.0038016353188748387,0.0051796302001315495,0.0036420477316466034,0.012975331554449245,0.007753065442512686,0.0032939456311382553,0.0030188681598522066,0.003372003251993042,0.003313326096558602,0.004381841498775152,0.004731886823323236,0.0072719648713117846,0.0033198407913778956,0.0025576799103350636,0.008851361028106736,0.005934727409037968,0.006090985121403839,0.003075121271165161,0.004047975545475045,0.003481003444438018,0.0024076911923671313,0.002520647691564107,0.002523205926326152,0.002794953516273664,0.002505857563489026,0.0034221815344189243,0.012109710865562714,0.003965938529719217,0.0030341346650222868,0.00604725787879291,0.005243238484376503,0.014256374049338104,0.002507634380823986,0.0031261225607656863,0.003207015308486157,0.023641649849600547,0.002981463220266511,0.002636239967104795,0.0028744252595824136,0.002570005761152572,0.0025421532703147243,0.001916951084400111,0.017884525030987787,0.0025170746566426957,0.01771678011582582,0.002955759123397872,0.012629811025744014,0.002317767876328694,0.0022810926065436636
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
