auc_roc,0.4730902777777778,0.49530052681992337,0.516672653256705,0.5105064655172413,0.5068546455938698,0.4872186302681992,0.4980543582375479,0.4990720785440613,0.49619851532567055,0.49182830459770116,0.4932052203065134,0.48691930076628354,0.48296815134099624,0.4880567528735633,0.4927262931034483,0.4932650862068966,0.49464200191570884,0.4923072318007663,0.495120929118774,0.48877514367816094,0.4937440134099617,0.4917085727969348,0.4922473659003832,0.4912895114942529,0.4923072318007663,0.49260656130268204,0.4933848180076629,0.4954801245210728,0.4955998563218391,0.49248682950191575,0.49320522030651337,0.49494133141762453,0.4915289750957854,0.4933848180076629,0.49817409003831414,0.49883261494252873,0.5031429597701149,0.4996707375478928,0.4997306034482759,0.5015265804597702,0.49823395593869735,0.4984135536398468,0.5070941091954023,0.5032028256704981,0.5049988026819924,0.5067349137931034,0.5052382662835249,0.506974377394636,0.5068546455938696,0.5085308908045977,0.5074533045977012,0.5063158524904214,0.5064954501915708,0.506974377394636,0.5073335727969349,0.5085907567049809,0.5051784003831418,0.5069145114942528,0.5066750478927203,0.5067947796934866,0.507393438697318,0.5079920977011494,0.5467852011494253,0.5475634578544062,0.5473838601532567,0.513679358237548,0.5134398946360154,0.5169121168582376,0.5293043582375478,0.5275682471264368,0.5269097222222222,0.5272090517241379,0.5282267720306514,0.5263110632183908,0.526789990421456,0.5278077107279693,0.5278675766283525,0.5273886494252874,0.5277478448275862,0.5541487068965517,0.5556453544061302,0.556363745210728,0.5556453544061303,0.5570821360153256,0.555106561302682,0.5556453544061302,0.555525622605364,0.5562440134099617,0.5560045498084291,0.5519935344827587,0.5531908524904214,0.5530711206896551,0.5520534003831418,0.5522329980842913,0.548760775862069,0.551754070881226,0.5504370210727968,0.5508560823754788,0.5481621168582375,0.5479825191570881
auc_pr,0.0618060532407486,0.06460550498201,0.06768106969062626,0.06670005600222362,0.06641578049041502,0.0648154668360503,0.0662908213858212,0.06647323430094089,0.06595645275945447,0.06519109334804513,0.06548312380225145,0.06448433097933776,0.06403721579151583,0.06476079827661198,0.06527956334637552,0.06543575784868158,0.0656325279501001,0.0651629657616757,0.06570519111765888,0.06448278789201412,0.0651219864138063,0.06487404531729292,0.06498347842086032,0.0648928979926516,0.06511556952728129,0.06516377582123623,0.06529274720146279,0.06551701802658293,0.06547240751085907,0.065116087814382,0.06520122898969594,0.0654087792613039,0.06494464662844683,0.06518330917961093,0.06604150893654595,0.06619063497628044,0.0667454221467199,0.06621003517499889,0.06624009770506142,0.0665274264917615,0.06605962940610827,0.0661352414304443,0.06811392424039495,0.06747804004215222,0.06762359418578848,0.06800623704965722,0.06762830330087599,0.06782919494737896,0.06786908402479902,0.06811471595584818,0.06786309980161269,0.06767171393332225,0.06769456383388825,0.06776231367240414,0.06778879427281578,0.06791501058756205,0.06648890458691702,0.06673556315780454,0.06680114088178363,0.06679348189279358,0.06686356852777298,0.06702532117320209,0.07252951113309183,0.07268030931038,0.0727750612324814,0.06801247022434785,0.06794986077333949,0.06831319028642102,0.07188264156935255,0.07109625098642731,0.07112217131291182,0.07115337382069285,0.07124715422338462,0.07095943972226121,0.07107031769329494,0.0712388979457382,0.07137104989689236,0.07150220323158019,0.07168976436467547,0.07808418746324977,0.07844622721933503,0.07878448825907952,0.07882021717032539,0.07955062037904578,0.07921055355788413,0.07941683299366983,0.07960929886812318,0.07957903307262013,0.07980620902385553,0.07904590957505003,0.07976476936641558,0.07965544746053956,0.07951306323321897,0.0792971532179367,0.07847273074389938,0.0790304703510489,0.07874442212228445,0.07900609240911619,0.07828050261380431,0.07814644193085277
auc_roc_bag,0.625,0.625,0.75,0.75,0.75,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.75,0.6875,0.6875,0.6875,0.6875,0.75,0.75,0.75,0.75,0.75,0.75,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.625,0.625,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
auc_pr_bag,0.225,0.225,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.29166666666666663,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.24583333333333335,0.21666666666666667,0.21666666666666667,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663
Date,2024-05-22
Time,129.54845905303955
seed,0
Number of anomalous bags,2
Number of anomalies,36
Rewards bag 0,2.6905855740597773e-06,1.8590412195777769e-06,2.051409170785579e-06,7.07164116489779e-07,1.8636428684925534e-06,1.0299978755590967e-06,6.290524616183914e-07,1.3920609827240634e-06,6.217149611900294e-07,8.493650767785229e-07,6.729528740828185e-07,6.715690413063734e-07,5.171628717296814e-07,2.2844800477885936e-07,3.75324409718078e-07,2.4851843307229054e-07,5.172327588451153e-07,5.419809668635245e-07,8.007019757195405e-07,6.821907980465167e-07,4.1857877058262676e-07,5.166014741262106e-07,6.039444446530534e-07,4.0133036772731285e-07,5.388838066506617e-07,1.8682560639800888e-07,1.787023586917982e-07,4.091801780770532e-07,3.760482013430498e-07,2.603922648287e-07,2.9764601308854645e-07,4.4332671645070743e-07,1.0559834393042803e-07,5.283606340652774e-07,2.733006306195518e-07,1.4384150730332285e-07,2.5403983617031456e-07,1.5493012287463885e-07,1.4486468906805386e-07,3.2246199559393953e-07,1.8999087352692224e-07,1.9124649505355273e-06,2.208741409308022e-07,3.4803652622951653e-07,1.6281638468522334e-06,4.798064912585713e-07,1.4103071940478805e-07,1.4626821903957166e-07,2.5725421399149006e-07,3.436381975074884e-07,1.4731737222087895e-07,3.6856631485316064e-07,3.577633685975977e-07,1.735581415765252e-07,6.016041814098224e-08,4.374352200092381e-07,1.6342505914450506e-07,4.4605254817751844e-07,2.802033038283007e-07,2.566339571712073e-07,7.442776716776861e-07,3.981971157962518e-06,1.7091488092794922e-07,1.4884338974242767e-07,5.225337043044183e-06,1.5720476218659646e-07,1.860414315439837e-07,6.87560421642196e-07,3.9294674592909263e-07,3.613309452398695e-07,1.977924681903431e-07,5.200182090405291e-07,2.9356984383473383e-07,2.8130835930503636e-07,7.893645621645297e-08,1.4443506904500325e-07,4.7301761976924687e-07,6.222045767430286e-07,3.070501953428055e-06,1.8926512717982619e-07,6.904738304006049e-07,1.8574696862329485e-07,3.4139069243533447e-07,2.63161849472624e-07,1.4678978772308627e-07,2.445354218319652e-07,4.900973068620031e-07,1.1552741824554319e-07,3.630075815582005e-07,6.534036519996521e-07,4.0887503008046227e-07,1.9030370042960932e-07,2.7197125379413374e-07,9.536920530617334e-07,2.4419535648489885e-07,3.214929759426168e-07,2.966288465911194e-07,1.77113150909111e-07,1.908172641424273e-07
Prob contr bag 0,0.026905855740600736,0.018590412195779817,0.020514091707858048,0.007071641164898568,0.018636428684927587,0.0102999787555921,0.006290524616184607,0.013920609827242168,0.006217149611900979,0.008493650767786165,0.006729528740828926,0.006715690413064473,0.005171628717297383,0.002284480047788845,0.0037532440971811934,0.002485184330723179,0.005172327588451722,0.005419809668635842,0.008007019757196287,0.006821907980465919,0.0041857877058267285,0.0051660147412626745,0.006039444446531199,0.004013303677273571,0.00538883806650721,0.0018682560639802946,0.001787023586918179,0.0040918017807709825,0.003760482013430912,0.002603922648287287,0.0029764601308857924,0.004433267164507562,0.0010559834393043966,0.005283606340653356,0.002733006306195819,0.001438415073033387,0.002540398361703425,0.0015493012287465591,0.001448646890680698,0.0032246199559397503,0.0018999087352694316,0.019124649505357378,0.0022087414093082654,0.0034803652622955486,0.016281638468524127,0.004798064912586241,0.0014103071940480359,0.0014626821903958778,0.002572542139915184,0.0034363819750752624,0.0014731737222089516,0.0036856631485320123,0.0035776336859763714,0.0017355814157654433,0.0006016041814098887,0.004374352200092863,0.0016342505914452305,0.004460525481775676,0.0028020330382833155,0.002566339571712356,0.0074427767167776805,0.03981971157962957,0.0017091488092796803,0.0014884338974244407,0.05225337043044759,0.0015720476218661378,0.0018604143154400418,0.006875604216422717,0.003929467459291359,0.003613309452399093,0.001977924681903649,0.005200182090405864,0.0029356984383476616,0.0028130835930506733,0.0007893645621646166,0.0014443506904501917,0.00473017619769299,0.006222045767430971,0.030705019534283933,0.0018926512717984704,0.006904738304006809,0.001857469686233153,0.0034139069243537207,0.00263161849472653,0.0014678978772310243,0.0024453542183199214,0.004900973068620571,0.001155274182455559,0.003630075815582405,0.006534036519997241,0.004088750300805073,0.0019030370042963027,0.002719712537941637,0.009536920530618385,0.0024419535648492574,0.003214929759426522,0.0029662884659115204,0.0017711315090913051,0.0019081726414244833
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
