auc_roc,0.4565067219299644,0.4864232956055051,0.42890164195759606,0.44659652478877737,0.45956214464105427,0.49920293320580267,0.5848876135820181,0.5653860460173229,0.5612944364737765,0.4878580158350603,0.49683830171635057,0.5236197460013816,0.4936234656464212,0.5065093788192784,0.5121419841649397,0.48950528720973485,0.5233009192837027,0.4712790265157554,0.4578085976938201,0.60840108401084,0.5799723683511344,0.534008183219087,0.49322493224932246,0.5579467559381476,0.5231946437111431,0.5383654816940326,0.5438386736808544,0.5481694032626601,0.5352569211966629,0.5411020776874436,0.5353366278760827,0.5062436898878793,0.5185716563047983,0.4859716244221266,0.5511451192943302,0.5159147669908072,0.5580264626175674,0.5320686540198736,0.4817206015197407,0.44093735054997607,0.5620915032679739,0.44077793719113667,0.48100324140496314,0.5171103671821031,0.5117700196609809,0.49338434560816197,0.4813486370157819,0.4498910675381264,0.5024443381688719,0.5053137786279824,0.5238322971465008,0.5237525904670811,0.5111589351187629,0.5840639778946809,0.5680429353313141,0.5440512248259737,0.5464689941017057,0.5318029650884745,0.5082363568733727,0.5090865614538498,0.5457782028800681,0.6781444285031086,0.6540995802114884,0.6376800042510229,0.5795472660608959,0.5395079440990489,0.5993410914501301,0.5838779956427017,0.5425633668101386,0.5316701206227749,0.5369573303576173,0.5136829799670546,0.5298900047824007,0.7475423773845582,0.6357404750518093,0.5710186513629841,0.5710452202561241,0.5463627185291461,0.5011158935118762,0.5075987034380147,0.5393219618470694,0.5854455603379564,0.5687602954460917,0.5212019767256496,0.5125405175620383,0.5661565439183803,0.6902067059886285,0.6259896912694616,0.5684148998352729,0.5253998618417558,0.5312184494393963,0.7086986556140071,0.5980657845794144,0.5598065784579415,0.7105584781338009,0.6802965088474414,0.6182847122588874,0.6228014240926723,0.5629417078484511,0.5962590998459004
auc_pr,0.07987773625915101,0.09461281490512273,0.08659229779201236,0.10106570687199984,0.10249120481084295,0.10864620521791044,0.11333179368071478,0.12148032714361648,0.13671415805662843,0.13206593427584198,0.14469167779922287,0.14641885785573,0.14060503300009075,0.14154846047703964,0.1312862314559677,0.14064179909782798,0.12250366081494798,0.12390338041331163,0.1343792279912066,0.1552604283923071,0.1638119739578132,0.16616435778652427,0.15684477755785034,0.180604810475532,0.10231812045987948,0.11533073647159478,0.1278825863447811,0.1447686760265266,0.16484444285842492,0.16531147482076988,0.17515565619960824,0.1465030479022018,0.14915788501529856,0.14334223633656734,0.16325771706854708,0.15924542274495385,0.140555299391535,0.14329224322000123,0.13416922903424547,0.1380473899387422,0.15509608177625056,0.1509306485464105,0.13779146219051627,0.14847634828772982,0.14846136449685465,0.14157178252386032,0.1416095377081753,0.11207298204391491,0.11571305078185062,0.11898441335535703,0.12434313900055945,0.1723044865459487,0.16993557208743323,0.1932553402611281,0.1773544027759933,0.17687701552149457,0.18539701317378798,0.1826370894067686,0.17523205536032513,0.17313649901497394,0.1668871141838367,0.21763701257470167,0.24373343620483112,0.23013739043820042,0.2505610976001592,0.24873640615298573,0.23435347238433216,0.21238253667005863,0.1698591472580458,0.21336995874734702,0.23209576403884513,0.2060716347512873,0.27939290172699177,0.3141581058202281,0.2883707674187058,0.22859862894163555,0.2607125693981042,0.2565010829892751,0.24101027108656287,0.23642154416611516,0.23460376324517154,0.18831221539711362,0.22132947001531977,0.23297311794983955,0.21212818034311937,0.21987673694959,0.25302669907943376,0.2726928421575254,0.24354137369015855,0.2451940523964239,0.2305072097386924,0.343800590736167,0.2917869048057189,0.262573175927422,0.34061436962573954,0.32919777108047327,0.2858499228259813,0.2888599328053457,0.2622439579988658,0.2612885289586245
auc_roc_bag,0.12499999999999997,0.29166666666666663,0.25,0.25,0.25,0.25,0.6666666666666667,0.5625,0.375,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5833333333333333,0.5,0.4375,0.375,0.375,0.375,0.5,0.375,0.375,0.5,0.5,0.5,0.5833333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375,0.4375,0.375,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.375,0.5,0.5,0.5,0.7500000000000001,0.4375,0.6458333333333334,0.5833333333333334,0.5,0.5,0.5,0.8333333333333334,0.5833333333333333,0.8333333333333334,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.7083333333333334,0.6666666666666667,0.7291666666666666,0.5833333333333333,0.8958333333333334,0.8125,0.75,0.9166666666666667,0.75,0.5833333333333333,0.6666666666666667,0.5833333333333333,0.5,0.9583333333333334,0.9166666666666667,0.75,0.6666666666666667,0.5,0.875,0.75,0.5,0.5,0.5,0.9166666666666667,1.0,0.6666666666666667,1.0,0.8333333333333334,0.6666666666666667,0.5,0.5,0.5
auc_pr_bag,0.25163690476190476,0.4860119047619047,0.4770833333333333,0.4770833333333333,0.4770833333333333,0.4770833333333333,0.4547619047619047,0.5375,0.5916666666666667,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7222222222222222,0.7,0.6072916666666667,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.7,0.31418650793650793,0.5064484126984127,0.7,0.7,0.7,0.7222222222222222,0.7,0.7,0.7,0.7,0.7,0.7,0.6273809523809524,0.5916666666666667,0.6072916666666667,0.5916666666666667,0.7,0.7024305555555557,0.6273809523809524,0.7,0.7,0.7,0.7,0.5916666666666667,0.7,0.7,0.7,0.6708333333333334,0.6072916666666667,0.6785714285714286,0.6517857142857143,0.7,0.7,0.7,0.8333333333333333,0.7222222222222222,0.7520833333333333,0.7098214285714286,0.7339285714285715,0.7857142857142857,0.7,0.7,0.7339285714285715,0.7,0.6494047619047619,0.75,0.7586805555555556,0.7222222222222222,0.85,0.7901785714285714,0.7857142857142857,0.8708333333333333,0.7857142857142857,0.7222222222222222,0.75,0.7222222222222222,0.7,0.94375,0.9,0.7857142857142857,0.75,0.7,0.7875,0.7857142857142857,0.7,0.7,0.7,0.9,1.0,0.75,1.0,0.8333333333333333,0.75,0.7,0.7,0.7
Date,2024-05-18
Time,63428.0049097538
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,4.1268753290119466e-06,2.6218900432076362e-05,1.2587916871572822e-05,2.019682321596113e-05,2.0582251032969233e-05,1.5419820851270015e-05,4.306352025567334e-06,2.1586031383785934e-05,2.3485783905718386e-05,1.3685939617782695e-05,2.491025323156358e-06,1.4380539365641102e-05,1.9206641985555268e-05,2.4479300852493346e-05,1.5409778298087895e-05,1.7945328888334564e-05,2.7708328095639907e-06,2.8099723341567083e-06,3.824478862068701e-06
Rewards bag 1,5.271320487289495e-06,2.476972811045448e-05,7.525683843071454e-06,1.2199408609661919e-05,1.1310631346367149e-05
Rewards bag 2,8.188528987948926e-06,1.9179130591684267e-05,4.648356965069592e-06,2.985486941254713e-06,1.0054365165350368e-05
Rewards bag 3,8.706824534610374e-06,2.1093538929534042e-05,1.1692724575315177e-05,1.2331395202746531e-05,2.2826027740418308e-05,2.0585703644743082e-05,2.273210222070094e-06,1.798044400819947e-05,1.1207234058658259e-06,1.947314198154148e-05
Rewards bag 4,8.540977613460458e-06,1.8396707996634194e-05,2.386586952149822e-05,1.719434037214534e-05,1.847724209642076e-05,1.8503795346454375e-05,1.6396905466365308e-06,1.74963020128367e-05,2.359764365276232e-05,1.572223841938241e-06
Rewards bag 5,2.5765092197379934e-05,9.531223801917984e-06,1.2172833453228058e-05,2.0911923087529215e-05,1.3917684564054292e-05,1.816133064367757e-05,2.144482850793959e-05,2.255532514221099e-05,5.50133357146453e-06,1.3136505098446276e-05,2.5089802703297044e-06,9.501754123742078e-06
Rewards bag 6,3.197376252951717e-05,5.797419654695087e-06,1.5938850772510698e-05,8.044393559866924e-06,2.257488827962892e-05,2.609680229770549e-05,1.3893546662644026e-05,3.8067053738512866e-06,2.1532398211581504e-05,1.114049024850802e-05,1.9149865896859903e-05,1.8098694391296255e-05,2.6374022080666538e-06,2.1552222258254346e-06
Rewards bag 7,2.7522516152805824e-05,7.882208732216456e-06,2.0337236196244484e-05,1.8278581557259997e-05,1.1841188181440227e-05,1.5083399917813296e-05,2.445767722198113e-05,5.118218376937408e-06,5.173068035378345e-06
Rewards bag 8,1.807922657504964e-05,1.1793784271187852e-05,1.6682838233746402e-05,1.3687660871031773e-05,5.5274570782991995e-06,1.1757167112922487e-05
Rewards bag 9,2.906224481297764e-05,1.5017080544054088e-05,2.8504610313881847e-05,2.4871586448494963e-05,1.303942943309581e-05,1.9251794734944957e-05,2.7928985475214118e-06,1.570447788561127e-05,9.939556637126065e-06
Prob contr bag 0,0.04126875329012401,0.2621890043207925,0.1258791687157421,0.20196823215963353,0.205822510329715,0.15419820851271712,0.043063520255678084,0.2158603138378831,0.23485783905720972,0.136859396177842,0.024910253231566325,0.14380539365642686,0.19206641985557382,0.24479300852496041,0.1540977829808959,0.1794532888833654,0.02770832809564296,0.02809972334157018,0.03824478862069123
Align contr bag 0,9.678852111810135e-216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3878414278420546e-217,2.3878414278420546e-217,0.0,0.0,0.0,2.079267177188286e-198,2.079267177188286e-198,1.6848790038331371e-217,1.6848790038331371e-217,0.0
Prob contr bag 1,0.05271320487290075,0.2476972811045721,0.07525683843072282,0.12199408609663262,0.11310631346368394
Align contr bag 1,2.069825779615021e-260,0.0,0.0,0.0,0.0
Prob contr bag 2,0.08188528987949828,0.19179130591686377,0.04648356965070104,0.029854869412550417,0.10054365165351475
Align contr bag 2,9.31587770831061e-248,0.0,0.0,0.0,0.0
Prob contr bag 3,0.08706824534611333,0.21093538929536365,0.11692724575316465,0.1233139520274789,0.22826027740420823,0.20585703644745348,0.022732102220703442,0.17980444008201452,0.011207234058659494,0.19473141981543626
Align contr bag 3,6.994747816960796e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 4,0.085409776134614,0.1839670799663622,0.2386586952150085,0.17194340372147235,0.18477242096422797,0.18503795346456414,0.016396905466367115,0.17496302012838627,0.23597643652764919,0.01572223841938414
Align contr bag 4,7.302587376798473e-242,0.0,1.7169373100195635e-211,1.7169373100195635e-211,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 5,0.2576509219738277,0.09531223801919034,0.121728334532294,0.20911923087531517,0.13917684564055824,0.18161330643679569,0.2144482850794195,0.22555325142213475,0.055013335714651355,0.13136505098447723,0.02508980270329981,0.09501754123743124
Align contr bag 5,1.0275648729370046e-229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 6,0.31973762529520694,0.057974196546957256,0.15938850772512453,0.0804439355986781,0.22574888279631405,0.26096802297708366,0.13893546662645556,0.03806705373851706,0.21532398211583875,0.11140490248509248,0.19149865896862012,0.18098694391298248,0.02637402208066944,0.02155222225825672
Align contr bag 6,7.323504681446652e-205,0.0,0.0,0.0,0.0,0.0,1.6547560313838898e-242,1.6547560313838898e-242,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 7,0.27522516152808857,0.07882208732217325,0.20337236196246722,0.1827858155726201,0.11841188181441531,0.15083399917814957,0.24457677221983823,0.05118218376937972,0.051730680353789145
Align contr bag 7,1.1374155168452046e-239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 8,0.18079226575051632,0.1179378427118915,0.1668283823374824,0.1368766087103328,0.055274570782998085,0.11757167112923782
Align contr bag 8,9.596374851971474e-288,0.0,0.0,0.0,0.0,0.0
Prob contr bag 9,0.2906224481298084,0.15017080544055741,0.28504610313884987,0.248715864484977,0.13039429433097247,0.19251794734947075,0.027928985475217195,0.15704477885612997,0.0993955663712716
Align contr bag 9,4.948924513483596e-226,0.0,0.0,0.0,0.0,5.35057807e-315,5.35057807e-315,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
