auc_roc,0.3428395302056973,0.3456297449873468,0.34770618389462077,0.3504315099604179,0.3299915644669393,0.33978976056063853,0.33940042826552463,0.3545194990591136,0.3567257153980923,0.3728181169294659,0.3737914476672507,0.37411589124651223,0.38002076438907273,0.36834079553565635,0.3693790149892934,0.38410875348776846,0.3892349620401013,0.3914411783790799,0.3970864966582312,0.4035753682434625,0.4083771332165337,0.4083771332165337,0.39857893712283443,0.39754071766919735,0.4042891441178379,0.40338070209590554,0.4031211472324963,0.40454869898124723,0.40000648887158524,0.4018882616313023,0.38105898384270975,0.3798260982415158,0.381318538706119,0.37749010447083253,0.37813899162935566,0.3778794367659464,0.37885276750373115,0.37878787878787873,0.37976120952566345,0.35516838621763674,0.35490883135422757,0.3515346181299072,0.3538706119005905,0.35899682045292325,0.3602297060541172,0.3645772500162222,0.3637336967101421,0.36503147102718836,0.36412302900525595,0.34433197067030047,0.3423853091947311,0.33738887807410295,0.3384919862435922,0.3417364220362079,0.34193108818376494,0.34108753487768484,0.33148400493154245,0.3346635520083058,0.33304133411199793,0.33401466484978265,0.3345337745766011,0.3386866523911492,0.3397897605606386,0.3425150866264357,0.3397248718447862,0.3386866523911492,0.34043864771916166,0.33940042826552463,0.3395950944130816,0.34043864771916166,0.34095775744598017,0.34413730452274355,0.3480955161897346,0.34848484848484845,0.3505612873921225,0.35296216987865814,0.35302705859451045,0.3607488157809357,0.3567257153980923,0.3606839270650834,0.35244306015183957,0.35575238466030756,0.35555771851275064,0.35464927649081823,0.35549282979689834,0.3573097138407631,0.3593212640321848,0.3512101745506457,0.34965284537019015,0.35146972941405497,0.3542599441957044,0.3553630523651937,0.35743949127246777,0.35893193173707094,0.3600350399065603,0.3611381480760496,0.3615923690870158,0.34945817922263317,0.34887418077996235,0.3485497372007008
auc_pr,0.045958955081327885,0.0462394773059736,0.046418208814086835,0.046841239335437934,0.044706609822068345,0.04538806785644776,0.045443566694431836,0.04655759075060542,0.04674321178693719,0.04813409003628262,0.04814023546128081,0.04818257401558182,0.04868979413383734,0.04777977063991866,0.047881998748439916,0.04914177444381407,0.04977060763148779,0.05005024817054865,0.05064635521340067,0.051330588273131805,0.05193167422432483,0.05195952716584866,0.05120968425872108,0.051232460699922114,0.051453201237565985,0.051350044402686645,0.05147033289395994,0.05153833190439201,0.0508776384277059,0.05239355858187887,0.05212649647231162,0.05203744497120367,0.05141512820820748,0.05107759097811824,0.05114643214749697,0.051098943164390086,0.0515442371700844,0.051644572005403115,0.05120050040202228,0.04957015154686593,0.049635289859072285,0.04937219445590771,0.049845026120461954,0.05020666783258759,0.05048703580863461,0.05075927723231598,0.050650124512509484,0.05088318050354939,0.05067555703720444,0.04959419565643168,0.04920928488082015,0.04956383962980799,0.04985655361536227,0.05021457306184529,0.05034024774376244,0.05030183390098442,0.049398937234486275,0.04942298351608117,0.04907370428581198,0.049473386165140354,0.049540645211638805,0.049852043150125494,0.0502198802319517,0.0506059254522339,0.05018272104987345,0.050031996505715604,0.050338005847195624,0.05017817552228861,0.05033259927036521,0.050436822425157526,0.05057236939276437,0.050804913481854244,0.051279356041295694,0.0513113357032591,0.051415480734914754,0.051722186979771004,0.05173253291126083,0.05245482717341584,0.05223081911738979,0.052434813415640776,0.051915581089251886,0.05211957141467015,0.052061084802348945,0.05202609843172806,0.05194884942858759,0.05218461036396197,0.052056545321110495,0.05138076448679798,0.05125937101159066,0.05138120759939641,0.05180501896962636,0.05188654125046014,0.05366870263294593,0.053619437358647645,0.05320463785913946,0.053275888639275744,0.053422282484704875,0.05266970393431195,0.05263070599568059,0.05267565926936051
auc_roc_bag,0.0,0.0,0.0,0.08333333333333334,0.0,0.0,0.04166666666666666,0.08333333333333334,0.125,0.08333333333333334,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.125,0.08333333333333334,0.125,0.125,0.16666666666666669,0.16666666666666669,0.125,0.08333333333333331,0.08333333333333331,0.125,0.125,0.08333333333333331,0.08333333333333331,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.125,0.08333333333333334,0.08333333333333334,0.125,0.125,0.125,0.125,0.125,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.20833333333333334,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
auc_pr_bag,0.23154761904761906,0.23154761904761906,0.23154761904761906,0.23869047619047618,0.23154761904761906,0.23154761904761906,0.23452380952380952,0.23869047619047618,0.24494047619047618,0.23869047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.23869047619047618,0.23869047619047618,0.23869047619047618,0.23869047619047618,0.23869047619047618,0.24494047619047618,0.23869047619047618,0.24494047619047618,0.24494047619047618,0.25535714285714284,0.25535714285714284,0.24494047619047618,0.24196428571428572,0.24196428571428572,0.24613095238095237,0.24613095238095237,0.24196428571428572,0.24196428571428572,0.2523809523809524,0.2523809523809524,0.2523809523809524,0.24613095238095237,0.23869047619047618,0.23869047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.24494047619047618,0.25535714285714284,0.25535714285714284,0.25535714285714284,0.2761904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.2761904761904762,0.2761904761904762,0.2761904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762,0.4636904761904762
Date,2024-05-16
Time,174.8217408657074
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
Rewards bag 0,2.1172665846420336e-06,3.966025580993054e-06,4.655461176430141e-06,7.827428640380826e-06,4.60531075751704e-06,3.3322848083197048e-06,5.031244510425862e-07,2.2709300571388814e-06,3.073715132146671e-06,2.47537940381895e-06
Rewards bag 1,1.6858149563797023e-06,4.691144222586783e-06,4.65496294088083e-06,5.890662304312546e-06,4.3427370594381445e-06,5.0022533938457406e-06,1.498183618808976e-06,3.459312230265313e-07,2.850998498080301e-06,1.9609213571380973e-06
Rewards bag 2,2.200601529001418e-06,4.5257977268713855e-06,4.589399353113846e-06,4.799310558936614e-06,4.636731009886895e-06,5.090147807708252e-06,6.278885543660297e-07,2.116080125860725e-06,1.876670668309699e-06,2.044908101869233e-06
Rewards bag 3,2.869837000485121e-06,4.9116682503876045e-06,4.239420598015896e-06,5.6709234122010975e-06,3.936715219356851e-06,5.696702140078777e-06,3.622366470514718e-07,4.301317969300839e-06,5.188835845607816e-07,3.213341654481893e-06,2.075247596042952e-06
Rewards bag 4,2.4530760374572683e-06,4.151179748387562e-06,3.1747976734825356e-06,8.547128895194314e-06,3.5315681452693075e-06,2.7456199855437354e-06,6.830994449358417e-07,3.105811167482931e-06,5.549899199243279e-07
Rewards bag 5,3.5802852428878344e-06,4.539656653091545e-06,3.2597955610290308e-06,5.38389832432433e-06,3.346190391068878e-06,4.852134010636206e-06,6.509667296829045e-07,2.547996292623186e-06,1.1156754368774963e-06
Rewards bag 6,4.375744906738795e-06,4.305743339873444e-06,4.705482437747776e-06,5.605708387922651e-06,4.2337824195082866e-06,3.937396719260934e-06,1.508777167397445e-06,4.323070471865388e-06,6.552404280178047e-07,2.799591905274477e-06,1.494064006812717e-06
Rewards bag 7,3.535955709854913e-06,4.296638495051811e-06,4.012531096504871e-06,4.694987648021434e-06,3.640793089952346e-06,4.200007015585656e-06,3.5245592499745065e-07,3.3178550330965176e-06,7.690687850516996e-07
Rewards bag 8,3.7939667080565458e-06,3.60327465703069e-06,3.4573333710612497e-06,5.818062195040136e-06,2.479076117279754e-06,2.7062127962445844e-06,1.778595175736124e-06,9.886173735878074e-07,1.367315158843773e-06
Rewards bag 9,4.004901319821578e-06,3.5282763198735573e-06,8.803101391845564e-06,4.461725191682931e-06,3.906162097665902e-06,3.0779004018952747e-06,1.1124643403160983e-06,1.9355256357550247e-06,5.0445364808653635e-06,1.599043947367184e-06,1.8343827467188426e-06
Prob contr bag 0,0.02117266584642267,0.0396602558099349,0.04655461176430654,0.07827428640381688,0.046053107575175466,0.03332284808320072,0.005031244510426416,0.022709300571391314,0.030737151321470098,0.024753794038192226
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 1,0.01685814956379888,0.046911442225873,0.04654962940881342,0.05890662304313195,0.04342737059438623,0.05002253393846291,0.014981836188091409,0.003459312230265694,0.02850998498080615,0.019609213571383132
Align contr bag 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 2,0.022006015290016605,0.045257977268718844,0.04589399353114351,0.04799310558937142,0.04636731009887406,0.05090147807708812,0.006278885543660988,0.02116080125860958,0.018766706683099058,0.02044908101869458
Align contr bag 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 3,0.02869837000485437,0.04911668250388145,0.042394205980163635,0.05670923412201722,0.03936715219357284,0.05696702140079404,0.003622366470515117,0.043013179693013125,0.005188835845608388,0.03213341654482247,0.020752475960431806
Align contr bag 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 4,0.024530760374575383,0.04151179748388019,0.031747976734828855,0.08547128895195255,0.035315681452696965,0.02745619985544038,0.006830994449359169,0.03105811167483273,0.005549899199243891
Align contr bag 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 5,0.03580285242888229,0.04539656653092045,0.0325979556102939,0.05383898324324923,0.03346190391069247,0.0485213401063674,0.006509667296829762,0.025479962926234664,0.011156754368776192
Align contr bag 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 6,0.04375744906739277,0.04305743339873918,0.04705482437748294,0.05605708387923269,0.042337824195087526,0.03937396719261368,0.01508777167397611,0.04323070471865864,0.0065524042801787695,0.027995919052747852,0.014940640068128815
Align contr bag 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 7,0.03535955709855303,0.042966384950522844,0.04012531096505313,0.04694987648021951,0.03640793089952747,0.04200007015586118,0.0035245592499748945,0.03317855033096883,0.0076906878505178435
Align contr bag 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 8,0.03793966708056964,0.036032746570310865,0.03457333371061631,0.05818062195040777,0.024790761172800272,0.027062127962448824,0.017785951757363198,0.009886173735879163,0.013673151588439236
Align contr bag 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prob contr bag 9,0.04004901319822019,0.03528276319873946,0.08803101391846534,0.04461725191683422,0.03906162097666332,0.030779004018956137,0.011124643403162209,0.019355256357552378,0.05044536480865919,0.015990439473673602,0.018343827467190446
Align contr bag 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,50
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
