auc_roc,0.3775067750677507,0.670650406504065,0.6676693766937669,0.6315718157181571,0.6417073170731706,0.6511111111111112,0.6325474254742547,0.6260975609756098,0.5953929539295393,0.6008943089430895,0.5738211382113821,0.5836856368563685,0.581680216802168,0.5975609756097561,0.6054471544715447,0.5657181571815718,0.5482926829268293,0.5536585365853658,0.5569376693766938,0.5617073170731707,0.5660433604336044,0.5635230352303523,0.6364769647696477,0.6334146341463415,0.6353116531165311,0.6116260162601626,0.6275880758807588,0.6307588075880759,0.6369105691056911,0.6089430894308943,0.6172357723577236,0.6151761517615176,0.6197018970189702,0.6249593495934959,0.6344986449864498,0.6423577235772358,0.6623848238482385,0.6636856368563686,0.6669376693766937,0.6697831978319783,0.6651490514905148,0.686829268292683,0.680650406504065,0.6894308943089431,0.6847967479674797,0.6888346883468834,0.6915447154471545,0.692059620596206,0.693089430894309,0.6898373983739837,0.6926016260162602,0.6939024390243902,0.6947967479674797,0.6956368563685636,0.6995934959349593,0.7013821138211382,0.6991869918699187,0.7206775067750677,0.7216260162601625,0.7230352303523035,0.7375880758807587,0.7358807588075881,0.7365040650406504,0.7365311653116531,0.7315176151761518,0.7347154471544715,0.7270731707317073,0.7226016260162602,0.7224390243902439,0.7236585365853659,0.7248780487804878,0.725230352303523,0.725609756097561,0.727669376693767,0.7297018970189701,0.7277235772357723,0.7214905149051491,0.7238753387533876,0.7272357723577236,0.736639566395664,0.7365582655826559,0.7334959349593496,0.7332249322493225,0.7350948509485096,0.7346070460704607,0.736639566395664,0.7347967479674797,0.7226016260162601,0.7248780487804878,0.7234417344173442,0.7291327913279132,0.7300271002710028,0.7317615176151762,0.7307859078590785,0.7280487804878049,0.7279132791327914,0.7301897018970189,0.7362872628726287,0.7396747967479675,0.7386720867208673,0.7389972899728996
auc_pr,0.14193594449321956,0.2491599836769816,0.2541818823580958,0.23313806583466906,0.2387155467278066,0.2431149979432392,0.2231137200464262,0.2226298039936174,0.20615820284582287,0.21186257449644014,0.20074136852753985,0.2053761950596134,0.2048196255215891,0.20889129606424797,0.21271074863630335,0.19556820984635126,0.18628537564016817,0.18804178563676732,0.18874906744820946,0.190757090950801,0.19249296949776856,0.19186404473717977,0.23070426604716643,0.22800839782775442,0.22797217051725654,0.21711942468921505,0.2213866284772087,0.2226334960744734,0.22490022258545955,0.21138452690261095,0.21375435400732345,0.2130817940966934,0.21555429269938703,0.22217644084163823,0.22894934309704296,0.23311177090494417,0.23989602833058332,0.24117091792128864,0.24209190128104435,0.24356760633435626,0.2464105242971294,0.2606984052132311,0.25761432714861865,0.2638312568644216,0.2608933391945421,0.26300221694585446,0.2633620422738508,0.26076932828279836,0.26127204913760194,0.25885188096181067,0.26043018781007277,0.2610756424990489,0.2612760808917131,0.26177990153566083,0.26442568348063505,0.2663913521875224,0.26501952425512,0.2801382607049495,0.28061928013607296,0.2815770853302765,0.2955166918884659,0.29185343307066647,0.2928201679951481,0.2914744896312739,0.28672925372771313,0.2918708427849874,0.2830906401790547,0.2787419533272921,0.27908423326354576,0.2789089049367185,0.279275088731076,0.27942773944974925,0.2790633068742958,0.2816986882653006,0.28505269923797094,0.281530635823994,0.2782667492818801,0.27935644959847933,0.2843190697895608,0.2912176872766604,0.2906567245526246,0.2860755336359464,0.2851994466308291,0.2886197407824183,0.2893621134760584,0.2934519866487403,0.29101511147989223,0.28544689821117036,0.28845915994569177,0.2878061171677685,0.29204252265893726,0.29317801227256063,0.2947366192015769,0.2934985506085501,0.2915575338467919,0.2900977815223803,0.29205443669069325,0.29715943484448765,0.29802173564540513,0.2965918264141409,0.3004854997235871
auc_roc_bag,0.5238095238095238,0.04761904761904762,0.14285714285714288,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.2380952380952381,0.2380952380952381,0.2857142857142857,0.2857142857142857,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.380952380952381,0.380952380952381,0.4285714285714286,0.4761904761904762,0.4761904761904762,0.4761904761904762,0.4761904761904762,0.5238095238095238,0.5238095238095238,0.4285714285714286,0.4761904761904762,0.4761904761904762,0.4761904761904762,0.523809523809524,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.380952380952381,0.380952380952381,0.380952380952381,0.33333333333333337,0.33333333333333337,0.380952380952381,0.380952380952381,0.380952380952381,0.33333333333333337,0.380952380952381,0.2380952380952381,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.28571428571428575,0.1904761904761905,0.1904761904761905,0.28571428571428575,0.28571428571428575,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2380952380952381,0.2857142857142857,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.380952380952381,0.42857142857142855,0.380952380952381,0.380952380952381,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
auc_pr_bag,0.6433106575963718,0.48639455782312924,0.5137755102040816,0.5352040816326531,0.5352040816326531,0.5352040816326531,0.6328231292517006,0.6423469387755102,0.7018707482993196,0.7018707482993196,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7387755102040816,0.7387755102040816,0.7134353741496597,0.7266156462585034,0.7266156462585034,0.7266156462585034,0.7266156462585034,0.7861394557823127,0.7861394557823127,0.74328231292517,0.7659013605442175,0.7659013605442175,0.7659013605442175,0.7446428571428572,0.7134353741496597,0.7134353741496597,0.7134353741496597,0.7134353741496597,0.6062925170068026,0.6062925170068026,0.6062925170068026,0.5860544217687074,0.5860544217687074,0.6062925170068026,0.6062925170068026,0.6062925170068026,0.5860544217687074,0.6062925170068026,0.5494897959183673,0.572108843537415,0.572108843537415,0.572108843537415,0.572108843537415,0.572108843537415,0.5352040816326531,0.5352040816326531,0.572108843537415,0.572108843537415,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5352040816326531,0.5352040816326531,0.5352040816326531,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.5494897959183673,0.6566326530612245,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7161564625850341,0.7387755102040816,0.7804421768707483,0.7387755102040816,0.7387755102040816,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483,0.7804421768707483
Date,2024-06-04
Time,69.19629526138306
seed,4
Number of anomalous bags,7
Number of anomalies,90
Rewards bXagX 0,1.5904706928993123e-05,3.995555322509868e-06,3.944934842585978e-06,8.313335692387733e-07,1.2686155334956942e-06,3.7010003818324426e-06,3.0219932560675527e-06,2.4361954658912168e-06,8.575695140160243e-07,2.664699547549721e-06,7.43376848961741e-07,2.406572837686194e-06,2.378104518669451e-06,2.2156953459212904e-06,2.5040266872319265e-06,2.3328833725785374e-06,1.1836324862125082e-06,1.5960309531854623e-06,6.460359525378724e-07,2.284373049757776e-06,1.0796940531639597e-06,5.272173321550709e-06,1.5479738307104635e-06,5.454848755409447e-07,1.3854683031083658e-06,2.698133812805493e-06,7.299879150175166e-07,4.783315590342549e-07,1.5398343142295339e-06,6.535410077654778e-07,1.2636515096311408e-06,1.2904323758102041e-06,2.406827862615723e-06,1.3537640409300029e-06,8.162646200015251e-07,1.7448941481035531e-06,8.437898640051782e-07,8.313104113190818e-07,8.602904910291968e-07,1.962752987666697e-06,1.7896514900278174e-06,6.627854992244874e-07,5.992237981714093e-07,9.156174868264138e-07,2.527310974895176e-07,6.258051693259605e-07,6.304954074082974e-07,3.428976634315124e-07,3.1408889647235475e-07,1.0762231127984129e-07,1.5337377988667512e-07,6.395976679126739e-07,7.58601755636391e-07,2.418144307977591e-07,7.858418147325682e-07,5.451678365954395e-07,2.493782337632283e-06,6.297445920157653e-08,2.5840508772180735e-07,1.8502052474775116e-06,1.0381270741330935e-06,8.91924760624091e-08,9.019762950410866e-07,9.645313437604305e-07,6.649583802790301e-07,1.2401803843290647e-06,7.463531064371651e-07,3.4443855143024537e-07,4.10249572258386e-07,3.225870389787019e-07,1.0381937535606548e-07,6.246191867994474e-07,2.566413802242532e-07,3.9089234101728535e-07,7.3129629586875e-07,8.390132423753519e-07,3.083842820335749e-07,6.745807290983156e-07,1.7039657269187356e-06,5.610038660385525e-07,5.922491485938991e-07,8.022500096518374e-07,3.1289509620919496e-07,1.5088794308335482e-06,1.883705417605569e-06,5.969825268287351e-07,1.3146706003838806e-06,3.7444318031827195e-07,3.9504569306473807e-07,1.6820466444232452e-06,5.65857742451039e-07,2.0585326853484157e-07,2.32134213298732e-07,2.6619353026473424e-07,8.412935682312555e-07,1.4831536074158663e-07,8.384379009257088e-07,1.4391239601983652e-06,4.969548442572614e-07,1.6528208983241339e-07
Prob contr bag 0,0.15904706928994874,0.03995555322510308,0.03944934842586413,0.008313335692388648,0.01268615533495834,0.0370100038183285,0.030219932560678855,0.02436195465891485,0.008575695140161188,0.026646995475500142,0.007433768489618229,0.024065728376864593,0.02378104518669713,0.022156953459215343,0.025040266872322022,0.023328833725787944,0.011836324862126385,0.01596030953185638,0.006460359525379436,0.022843730497580275,0.010796940531640787,0.05272173321551289,0.01547973830710634,0.005454848755410048,0.013854683031085184,0.0269813381280579,0.00729987915017597,0.004783315590343076,0.015398343142297035,0.006535410077655498,0.012636515096312799,0.012904323758103462,0.024068278626159883,0.01353764040930152,0.00816264620001615,0.017448941481037452,0.008437898640052711,0.008313104113191734,0.008602904910292915,0.01962752987666913,0.017896514900280144,0.006627854992245604,0.005992237981714753,0.009156174868265147,0.002527310974895455,0.006258051693260294,0.006304954074083669,0.0034289766343155014,0.0031408889647238933,0.0010762231127985314,0.0015337377988669202,0.006395976679127443,0.0075860175563647455,0.002418144307977857,0.007858418147326547,0.005451678365954995,0.024937823376325576,0.0006297445920158347,0.002584050877218358,0.018502052474777153,0.010381270741332079,0.0008919247606241892,0.00901976295041186,0.009645313437605368,0.006649583802791034,0.012401803843292012,0.007463531064372473,0.003444385514302833,0.004102495722584312,0.0032258703897873743,0.001038193753560769,0.006246191867995162,0.0025664138022428147,0.003908923410173284,0.007312962958688306,0.008390132423754443,0.0030838428203360884,0.006745807290983899,0.017039657269189233,0.005610038660386144,0.005922491485939643,0.008022500096519258,0.0031289509620922944,0.015088794308337143,0.018837054176057764,0.005969825268288009,0.013146706003840254,0.003744431803183132,0.0039504569306478155,0.016820466444234305,0.005658577424511013,0.0020585326853486425,0.0023213421329875755,0.0026619353026476355,0.008412935682313482,0.0014831536074160297,0.008384379009258012,0.014391239601985236,0.004969548442573162,0.001652820898324316
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9
Rewards bag 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7
Rewards bag 2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,7,8,8,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 4,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
Rewards bag 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12
Rewards bag 6,0,0,0,0,0,0,0,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,12,13,13,14,14,14,14,14,14,15,16,16,16,16,16,16,17,17
Rewards bag 7,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 8,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
