auc_roc,0.35944700460829493,0.7504761904761905,0.7536098310291859,0.7733333333333333,0.7525652841781875,0.7287250384024577,0.7388018433179724,0.744700460829493,0.7453149001536098,0.7153917050691244,0.7298310291858678,0.7262672811059908,0.744147465437788,0.715084485407066,0.7170506912442396,0.6829493087557604,0.672442396313364,0.6685099846390169,0.643563748079877,0.6471889400921659,0.6396313364055299,0.6455913978494623,0.6494623655913979,0.6388940092165899,0.6413517665130568,0.6333640552995391,0.6878033794162827,0.685468509984639,0.6793241167434715,0.6826420890937019,0.6912442396313364,0.6962826420890936,0.6945007680491552,0.6988018433179723,0.6955453149001536,0.6992933947772657,0.7042703533026113,0.7065437788018433,0.6975729646697388,0.6996006144393241,0.7027956989247311,0.6968970814132105,0.6892165898617512,0.6816589861751152,0.676804915514593,0.679815668202765,0.674347158218126,0.6792012288786482,0.6704147465437788,0.6731797235023042,0.6766205837173579,0.707342549923195,0.7085714285714285,0.7110906298003072,0.7089400921658986,0.7093087557603687,0.7106605222734256,0.7099231950844854,0.7102918586789555,0.7123195084485408,0.715084485407066,0.7091244239631337,0.7018125960061444,0.7021812596006144,0.6933333333333334,0.6844239631336406,0.6805529953917051,0.6814132104454685,0.7113978494623656,0.7119508448540707,0.714162826420891,0.7155145929339478,0.7169892473118279,0.7294623655913979,0.7326574500768049,0.7292165898617512,0.7299539170506912,0.7254070660522274,0.7268202764976959,0.7266359447004609,0.7274961597542243,0.7255913978494625,0.7247926267281106,0.7439016897081413,0.7440860215053764,0.7431029185867895,0.7423655913978495,0.7430414746543779,0.7451305683563749,0.7454992319508449,0.7461136712749616,0.7466666666666667,0.7470353302611368,0.746973886328725,0.7448233486943164,0.7489400921658986,0.7482642089093703,0.7469124423963134,0.7474039938556069,0.7472811059907835,0.7477112135176651
auc_pr,0.05165288676334548,0.1505337711374355,0.15348301452887037,0.1600170884993341,0.14588496641633483,0.13340051407440198,0.13892736065199876,0.1437759718587115,0.14369988536264164,0.11700028142913677,0.12674488974493947,0.12731597003442408,0.13992326402836433,0.12743216364484658,0.12826270638181894,0.11336415471802523,0.10750467804991017,0.10694091605093103,0.09766637746979082,0.0997110028604431,0.0979951010603814,0.09809603804455748,0.09842091393241392,0.09434187761486075,0.09458674606562255,0.0928244798772465,0.10824941650359389,0.10742654010656515,0.10632996577160175,0.1070771221611164,0.11008496965416957,0.11226769206968297,0.10964380853853792,0.11154326632031243,0.11180148848675571,0.11359431888896195,0.11547703153747012,0.1157409447589965,0.11240287684129287,0.11335697048456614,0.11407720117065684,0.11340063871315087,0.10821241803023192,0.10413345871626004,0.1018420613090004,0.1029082570183247,0.1007847626393352,0.10221526772658944,0.10016422435477211,0.10089036888507635,0.10170944328594717,0.11452905699980308,0.11491046690543448,0.1166984209523547,0.11611351892913063,0.11614202084711377,0.11732120199987514,0.11602331021146348,0.11609783807974465,0.1171048827196056,0.11804926981514614,0.11600956485895539,0.11227378324169494,0.11209444303445268,0.10915416506779402,0.10481153355669129,0.10350096648494583,0.10361222823806496,0.11460002595046068,0.11488480952575184,0.11612540042009997,0.1166098034890459,0.11781079095287036,0.12886100339682044,0.1297347896184267,0.12829187688465038,0.12915508731969683,0.12600529932102253,0.12676864089528497,0.126211664989946,0.12641606781697803,0.12495381615649176,0.12403675979618511,0.1314510077027446,0.13216804925882789,0.13149328138516336,0.1308167163632999,0.13196790696808677,0.1333129091123288,0.13350636281825667,0.1336157716703198,0.13341670932409846,0.13303054753977223,0.13261163272000506,0.13210111864713392,0.13508548895223826,0.1341830103292452,0.13284447460526652,0.13338732106527257,0.13311752206634955,0.13330492627172083
auc_roc_bag,0.6666666666666667,0.7083333333333333,0.7083333333333333,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.7916666666666667,0.75,0.75,0.75,0.7916666666666667,0.7916666666666667,0.75,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001,0.8125000000000001
auc_pr_bag,0.6077380952380953,0.4797619047619047,0.4797619047619047,0.7958333333333334,0.7958333333333334,0.7714285714285715,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.6916666666666667,0.7958333333333334,0.7714285714285715,0.7958333333333334,0.7958333333333334,0.7958333333333334,0.7714285714285715,0.8354166666666667,0.8354166666666667,0.8354166666666667,0.73125,0.73125,0.706845238095238,0.706845238095238,0.6889880952380952,0.6889880952380952,0.6889880952380952,0.7931547619047619,0.7931547619047619,0.6889880952380952,0.706845238095238,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.73125,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875,0.66875
Date,2024-06-21
Time,102.90573120117188
seed,2
Number of anomalous bags,4
Number of anomalies,35
Rewards bXagX 0,1.5995301838922744e-05,1.429303012839545e-06,4.4742417037025135e-06,2.068101441124625e-06,2.6532071433939576e-06,7.528056875998333e-07,8.018047713154372e-07,5.864441378905736e-07,4.823155836931602e-06,5.479991897703438e-06,2.1002111496834073e-06,2.045310159835953e-06,1.3919798574971544e-06,1.2369087377376378e-07,1.5175999172637653e-06,2.0585228681821513e-06,1.8044599434106923e-06,1.7811457093707678e-06,4.968661250313398e-07,6.245069507791676e-07,1.0328292926072875e-06,6.615666346856706e-07,9.087092074315061e-07,6.548400441331641e-07,8.072362464000161e-07,4.2296320015013855e-06,4.164397133799387e-07,5.883974945655518e-07,3.2505342115899606e-07,1.7460919980095322e-06,5.351008871822688e-07,9.310379734733101e-07,7.236245330847871e-07,7.194170964233218e-07,3.590575585856395e-07,3.085050737662818e-07,6.355930851418533e-07,6.778675476577425e-07,2.949859753141628e-07,3.648764794426337e-07,5.839695636352441e-07,7.967969586135826e-07,6.631123367381091e-07,6.685043792156111e-07,6.733047993468755e-07,7.536990217291879e-07,8.241159874889337e-07,5.113594410088921e-07,2.296110425119413e-07,3.069820913273907e-07,3.3225377666089328e-06,3.9108285746128924e-07,8.961158554569139e-07,3.6490316438370845e-07,1.2221477370690446e-07,5.528870183032969e-07,3.291777337032885e-07,3.8501221183953745e-07,5.946662135328017e-07,7.433954651732423e-07,6.359556691200128e-07,9.179511819658332e-07,1.6392753935916604e-07,5.09266272915573e-07,5.555123201825146e-07,3.2337339801341224e-07,1.7681914041342293e-07,2.6462938353292876e-06,1.147983676976025e-07,2.5563660312276683e-07,9.525252218111734e-08,1.2255152253060437e-07,2.4801079428373607e-06,4.407027167848613e-07,2.384574149387181e-07,1.4716666740357316e-07,4.78702244175817e-07,2.0240458622837326e-07,3.7609165506587253e-07,3.4175970192172954e-07,9.92294318703472e-07,5.43440433725049e-07,1.665856361049603e-06,2.5510114634042824e-07,2.4879446847408413e-07,1.3890279504508577e-07,3.920504930519515e-07,1.3886967203707836e-07,3.922844322739068e-07,1.1931183833061623e-07,4.475229036355911e-07,4.0947252782146365e-07,2.9004805653472043e-07,3.9615232985148367e-07,1.294137159845378e-06,4.757442748997115e-07,3.6935701712366136e-07,1.6759950465325682e-07,1.803285467779559e-07,4.2856907793776496e-08
Prob contr bag 0,0.15995301838924506,0.014293030128397022,0.044742417037030066,0.020681014411248526,0.026532071433942497,0.007528056875999161,0.008018047713155256,0.005864441378906383,0.04823155836932133,0.05479991897704042,0.021002111496836385,0.020453101598361785,0.013919798574973077,0.001236908737737774,0.015175999172639324,0.02058522868182378,0.01804459943410891,0.01781145709370964,0.004968661250313945,0.006245069507792364,0.010328292926074012,0.006615666346857434,0.009087092074316062,0.006548400441332362,0.00807236246400105,0.04229632001501851,0.004164397133799846,0.005883974945656166,0.0032505342115903184,0.017460919980097245,0.005351008871823277,0.009310379734734127,0.007236245330848668,0.00719417096423401,0.0035905755858567905,0.0030850507376631578,0.006355930851419233,0.0067786754765781715,0.002949859753141953,0.003648764794426739,0.005839695636353084,0.007967969586136704,0.006631123367381821,0.006685043792156848,0.006733047993469497,0.007536990217292709,0.008241159874890245,0.005113594410089484,0.002296110425119666,0.003069820913274245,0.03322537766609299,0.003910828574613323,0.008961158554570126,0.0036490316438374864,0.0012221477370691792,0.005528870183033578,0.0032917773370332477,0.0038501221183957985,0.005946662135328671,0.007433954651733242,0.006359556691200828,0.009179511819659343,0.001639275393591841,0.005092662729156291,0.005555123201825757,0.0032337339801344787,0.001768191404134424,0.02646293835329579,0.0011479836769761516,0.00255636603122795,0.0009525252218112783,0.0012255152253061786,0.024801079428376338,0.004407027167849098,0.0023845741493874434,0.0014716666740358937,0.0047870224417586975,0.0020240458622839555,0.0037609165506591394,0.003417597019217672,0.009922943187035812,0.0054344043372510885,0.016658563610497865,0.002551011463404563,0.002487944684741115,0.0013890279504510108,0.003920504930519947,0.0013886967203709365,0.0039228443227395,0.0011931183833062938,0.004475229036356404,0.004094725278215088,0.0029004805653475236,0.003961523298515273,0.012941371598455206,0.004757442748997639,0.0036935701712370204,0.0016759950465327527,0.0018032854677797576,0.0004285690779378122
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
