auc_roc,0.323857994041708,0.3375744786494538,0.339622641509434,0.3406777557100298,0.34613952333664355,0.3534632571996027,0.3664659880834161,0.3770481628599802,0.3547666335650447,0.3583974677259186,0.3615628103277061,0.361686941410129,0.36680734856007946,0.3733552631578948,0.3721449851042701,0.37509309831181725,0.3739759185700099,0.37689299900695133,0.37810327706057595,0.37198982125124136,0.3744103773584906,0.3779481132075472,0.380554865938431,0.5755027308838133,0.5728028798411122,0.7291459781529296,0.7306045183714003,0.702892254220457,0.7447864945382324,0.7225670307845086,0.7243669314796425,0.7063058589870903,0.7077023336643495,0.6994165839126117,0.6963443396226414,0.6962512413108242,0.7188430983118173,0.7203326713008937,0.74121772591857,0.7616372889771598,0.7618545183714002,0.7564858490566038,0.7662301390268124,0.7664473684210525,0.767688679245283,0.7729021847070506,0.768712760675273,0.7686817279046674,0.7651439920556107,0.769240317775571,0.7720022343594837,0.7778363952333665,0.7782398212512412,0.7829568023833168,0.7877979145978152,0.7909632571996028,0.7938803376365442,0.7858118172790467,0.7853773584905661,0.7756330685203575,0.7725297914597815,0.7782398212512414,0.7765019860973187,0.7704505958291956,0.7686506951340615,0.7706367924528301,0.7694575471698113,0.7661991062562066,0.7660439424031777,0.7627544687189672,0.765485352532274,0.767936941410129,0.7712884806355511,0.773367676266137,0.782801638530288,0.7810327706057596,0.7825223435948362,0.7836395233366436,0.7842912115193644,0.7852842601787487,0.7839498510427011,0.7871772591857001,0.7854704568023834,0.7854704568023834,0.7869910625620655,0.7869600297914597,0.7884185700099304,0.7855014895729889,0.7887288977159881,0.7866497020854021,0.7671611221449851,0.7726228897715989,0.7670680238331677,0.7703885302879842,0.7756641012909632,0.7775260675273089,0.776222691161867,0.7747641509433961,0.7772157398212513,0.767812810327706,0.7694885799404172
auc_pr,0.12285099288741794,0.12550818189831295,0.1259890154447103,0.12670535794061613,0.12795781881468676,0.12981061769061675,0.13333220641135896,0.13511924440548922,0.13075006937869768,0.13183731634723692,0.13201201661775452,0.1332007920161311,0.13507732912163437,0.13688097553092754,0.1354075510310755,0.13600616863658294,0.1339325212023789,0.13456604123732885,0.13503873791483267,0.14494166643213885,0.16616354953902818,0.16685269203333342,0.16616606411445234,0.2542599237551416,0.2532733551069388,0.36021891113911325,0.3618334215702407,0.3235391014976383,0.35557444482125167,0.3361674775177735,0.3416911585155141,0.3174293392488964,0.3195397518390702,0.3115711171400208,0.30061035926988,0.2990420376950126,0.31630948384956337,0.3154825760315928,0.3280272213642402,0.3527479624031038,0.3539736928870264,0.3369331513153435,0.3630991167684383,0.3574390370836189,0.3587080951326775,0.36473167412208646,0.34925063661194333,0.3582881947554488,0.34945479838569893,0.3687266687933979,0.37950825844088554,0.39341446203606995,0.3959927095660328,0.4007624376520903,0.41713163832684,0.4097011531994198,0.4244506378011973,0.4066858194653591,0.41599325105810514,0.39127458438115154,0.383339685278317,0.387704667822004,0.3760250210838297,0.3668711475332698,0.36051009237470805,0.36229578407670693,0.3595902501385864,0.3553948747277879,0.35210415055781463,0.35050879767141624,0.352696117815295,0.35537764889678414,0.36409140351531494,0.36733014414798243,0.38302944748752255,0.3786384439076295,0.3803280723558557,0.37998336009287137,0.3791873592345776,0.38310211041151637,0.3779767226035686,0.3860972015454627,0.3905259159401072,0.38947364615827845,0.3934428488609098,0.39328522260866217,0.3928426937726028,0.3902780049898681,0.39409370187447484,0.39317343391827925,0.37021613822837107,0.3749489023556231,0.3724693131736672,0.3774739828202399,0.3867205970345932,0.3847869944226341,0.3851939316703772,0.38457411625508786,0.39076198573405785,0.3869283206192895,0.38224666179736566
auc_roc_bag,0.6666666666666667,0.5833333333333334,0.5833333333333334,0.5416666666666667,0.625,0.625,0.5833333333333334,0.625,0.625,0.625,0.5833333333333334,0.5833333333333334,0.625,0.5416666666666667,0.5,0.5,0.5,0.5416666666666667,0.5,0.5833333333333334,0.625,0.6666666666666667,0.625,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666667,0.75,0.6666666666666666,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75,0.5833333333333333,0.625,0.5,0.5,0.5,0.5,0.45833333333333337,0.41666666666666663,0.41666666666666663,0.5416666666666667,0.5833333333333334,0.5416666666666667,0.45833333333333337,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5833333333333334,0.5833333333333334,0.625,0.5833333333333334,0.625,0.625,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.5416666666666667,0.5416666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.625,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.6666666666666667,0.6666666666666667,0.6666666666666667
auc_pr_bag,0.7796626984126983,0.5852182539682539,0.5852182539682539,0.558829365079365,0.7102182539682539,0.7102182539682539,0.5852182539682539,0.5996031746031746,0.5996031746031746,0.5996031746031746,0.5732142857142857,0.5732142857142857,0.5996031746031746,0.5738756613756614,0.5474867724867724,0.5474867724867724,0.5474867724867724,0.6724867724867724,0.5474867724867724,0.683829365079365,0.7532738095238095,0.7796626984126983,0.7532738095238095,0.8518849206349206,0.8518849206349206,0.7878968253968254,0.7878968253968254,0.8740079365079364,0.7796626984126983,0.8740079365079364,0.8128968253968253,0.8365079365079364,0.7878968253968254,0.7878968253968254,0.8740079365079364,0.8740079365079364,0.7378968253968253,0.7642857142857142,0.7148148148148148,0.7102843915343915,0.7102843915343915,0.7102843915343915,0.6408399470899471,0.6241732804232805,0.6241732804232805,0.6724867724867724,0.7419312169312169,0.6724867724867724,0.5197089947089947,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.6988756613756614,0.5974867724867724,0.7224867724867724,0.5974867724867724,0.7224867724867724,0.7224867724867724,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.6724867724867724,0.7419312169312169,0.7419312169312169,0.7419312169312169,0.7419312169312169,0.7419312169312169,0.7532738095238095,0.683829365079365,0.683829365079365,0.683829365079365,0.683829365079365,0.683829365079365,0.683829365079365,0.683829365079365,0.683829365079365,0.683829365079365,0.7102182539682539,0.558829365079365,0.558829365079365,0.5852182539682539,0.5852182539682539,0.5852182539682539,0.608829365079365,0.608829365079365,0.6442460317460318,0.6442460317460318,0.6442460317460318,0.6442460317460318,0.6298611111111111,0.6298611111111111,0.6442460317460318,0.6442460317460318,0.6298611111111111,0.6298611111111111,0.6298611111111111
Date,2024-06-09
Time,70.29773545265198
seed,0
Number of anomalous bags,6
Number of anomalies,76
Rewards bXagX 0,1.6497456649833075e-06,2.0813789860863948e-07,4.242612630399835e-07,2.08766079400191e-06,8.39318308530225e-07,2.789114587590253e-06,1.1900485168198388e-06,1.9549142642476197e-06,5.273399458679932e-07,2.236254331560378e-06,1.4671394531171495e-06,1.0679635455632612e-06,1.112090253821285e-06,1.0373996719955153e-06,1.1147752453163014e-06,6.761227298432764e-07,8.25301837661397e-07,1.8211528726575844e-07,3.05011008174025e-06,1.154649744461169e-06,1.1961925887261928e-06,6.184720379805169e-07,1.0491696786689962e-05,1.3884021178250902e-06,9.013877502684305e-06,4.3231045367111224e-07,3.033812434712517e-06,4.7334088579895925e-06,2.393381006275206e-06,6.143506892093275e-07,2.0554466237185542e-06,9.057374453943645e-07,1.6951808795238595e-06,2.318677154404515e-06,1.2739927298893486e-06,4.649060766279765e-06,6.539364675044507e-07,3.334723647600575e-06,3.1425470073285403e-06,1.055360491398464e-06,1.3724119231442731e-06,2.5094751480899912e-06,9.982668356770846e-07,1.1839928978819161e-07,1.918508294290705e-06,1.413356837146578e-06,1.4687362181941136e-06,1.5079281742683656e-06,1.092958403225665e-06,8.08231692909217e-07,1.0606755597901981e-06,9.566171630718042e-07,7.806550030611558e-07,1.2335039586457266e-06,1.0703977851529524e-06,1.6871119709608752e-06,1.0226345131678676e-06,1.00424350608094e-06,8.593430435069753e-07,9.379463786105697e-07,7.354129162161937e-07,1.174873119398263e-06,7.668653058432824e-07,5.343618703861672e-07,2.599208552238031e-07,7.647387169901212e-07,6.658925686586925e-07,6.254892273922709e-07,9.93332789408323e-07,6.77762133206082e-07,6.355990479966633e-07,7.963995205052165e-07,9.092104495689743e-07,1.0011842606373903e-06,5.81099891092896e-07,5.706875696369649e-07,5.565887007896176e-07,7.905825785054004e-07,4.3815241319055267e-07,7.76240052348989e-07,4.939069731844885e-07,1.316324120490728e-06,4.408044196056071e-07,4.266222814765553e-07,6.239477796961102e-07,2.5531815493146933e-07,6.657082683332177e-07,5.277866478498435e-07,1.568406767635719e-06,2.3848852653224485e-06,9.249032928187989e-07,1.1052334478343233e-06,7.536698369771718e-07,6.529976829616765e-07,7.523524154546957e-07,6.431087872409763e-07,9.076455513726371e-07,6.359695308709547e-07,1.3457363255220269e-06,6.119450529511877e-07
Prob contr bag 0,0.01649745664983489,0.002081378986086624,0.004242612630400302,0.020876607940021396,0.008393183085303174,0.0278911458759056,0.011900485168199698,0.01954914264247835,0.005273399458680513,0.022362543315606245,0.01467139453117311,0.01067963545563379,0.011120902538214076,0.010373996719956296,0.01114775245316424,0.006761227298433509,0.008253018376614879,0.001821152872657785,0.030501100817405858,0.011546497444612962,0.011961925887263246,0.006184720379805849,0.10491696786691117,0.013884021178252432,0.09013877502685298,0.004323104536711598,0.03033812434712851,0.04733408857990114,0.023933810062754694,0.006143506892093952,0.020554466237187805,0.009057374453944642,0.016951808795240463,0.0231867715440477,0.01273992729889489,0.04649060766280277,0.006539364675045228,0.03334723647600942,0.031425470073288865,0.010553604913985803,0.013724119231444242,0.025094751480902677,0.009982668356771945,0.0011839928978820465,0.01918508294290916,0.014133568371467335,0.014687362181942753,0.015079281742685316,0.010929584032257854,0.00808231692909306,0.01060675559790315,0.009566171630719097,0.007806550030612418,0.012335039586458624,0.010703977851530704,0.01687111970961061,0.010226345131679802,0.010042435060810507,0.008593430435070699,0.00937946378610673,0.007354129162162747,0.011748731193983925,0.007668653058433669,0.005343618703862261,0.002599208552238317,0.007647387169902054,0.006658925686587659,0.006254892273923398,0.009933327894084324,0.006777621332061567,0.006355990479967333,0.007963995205053042,0.009092104495690744,0.010011842606375006,0.0058109989109295995,0.0057068756963702776,0.005565887007896789,0.007905825785054875,0.004381524131906009,0.007762400523490745,0.004939069731845429,0.01316324120490873,0.004408044196056556,0.004266222814766023,0.0062394777969617884,0.0025531815493149744,0.006657082683332911,0.005277866478499016,0.015684067676358916,0.02384885265322711,0.009249032928189007,0.011052334478344451,0.007536698369772548,0.006529976829617485,0.007523524154547786,0.0064310878724104705,0.00907645551372737,0.006359695308710247,0.013457363255221752,0.006119450529512551
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,6,7,7,8,9,9,9,10,10,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,14,14,14,15,15,16,16,16,17,17,17,17,18,18
Rewards bag 1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Rewards bag 3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,5,6,7,7,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,17,17,17
Rewards bag 4,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Rewards bag 5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,5,6,6,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,11,11,11,12,12,12,12,13,13,13,13,14,15,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18
Rewards bag 6,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Rewards bag 7,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14
Rewards bag 8,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,7,7,7,7,7,7,7
Rewards bag 9,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
