auc_roc,0.48015197170182106,0.4675750032752522,0.4636010306126905,0.472597056640028,0.48115638237477626,0.47967160137997295,0.474169177693349,0.4931219703917201,0.4895846980217477,0.49351500065505044,0.5016376260972095,0.5102842918904756,0.512205773177868,0.5031224070920128,0.5032970872090485,0.5025983667409056,0.5094108913052972,0.5101096117734399,0.5362242892702738,0.5443905847416918,0.5343028079828814,0.5286693742084807,0.5299794750862483,0.5332983973099261,0.530197825232543,0.5266168828333115,0.5253504519848028,0.5252194418970261,0.5321629765491942,0.5311148958469801,0.5338661076902921,0.5276212935062666,0.5299358050569893,0.5305035154373553,0.5338661076902921,0.5339534477488099,0.5328180269880781,0.5384951307917376,0.5384951307917376,0.5315079261103104,0.5346521682169526,0.5349141883925062,0.5318572863443819,0.5375780601773004,0.5332110572514083,0.5324249967247477,0.5315952661688282,0.5301978252325429,0.5309838857592034,0.5308528756714267,0.543779204332067,0.5565745229049304,0.5550897419101272,0.5678413904537315,0.5710293025896327,0.5698065417703829,0.5739551945499803,0.5749159351936765,0.5684964408926154,0.5701122319751954,0.5690641512729813,0.5700248919166775,0.5690641512729814,0.5693698414777937,0.5691078213022402,0.5698938818289008,0.5705926022970434,0.5715096729114808,0.5720337132625879,0.5791082580025328,0.5789335778854973,0.5784532075636489,0.5767500764225512,0.5764007161884798,0.5768810865103279,0.5766190663347743,0.5782785274466133,0.5762697061007029,0.5766627363640333,0.5765753963055155,0.5779728372418009,0.579457618236604,0.5781038473295776,0.5797196384121577,0.576837416481069,0.5762697061007032,0.5739988645792391,0.5735621642866501,0.57356216428665,0.5752216253984889,0.5757893357788549,0.575221625398489,0.5745229049303463,0.5743045547840517,0.5754836455740425,0.5961395694135114,0.59701296999869,0.5979737106423861,0.5989781213153412,0.5998515219005197
auc_pr,0.10116920869590078,0.09944839636240338,0.09832618259622217,0.09833078063470355,0.09706122605694474,0.09852529778615382,0.09896719969067963,0.10300169924236817,0.10304740750416136,0.10298443781946329,0.10414279516705127,0.10567093281386908,0.10705485443147547,0.10541120648943827,0.10567515824986076,0.10570971903713866,0.10684779196480047,0.10560824520072895,0.11410633976703888,0.11456380756981913,0.11181709468462964,0.11062773172956944,0.10833274478734889,0.1088553240109071,0.10806885421095479,0.10742503847304491,0.10721040220157567,0.10716446598441424,0.10888702358989233,0.10770295559693743,0.11242281735324988,0.11171144090024762,0.11184112084733311,0.11201865723136714,0.11245749290234552,0.11295110150819263,0.11204194109146753,0.11337657815515317,0.11344718636082685,0.11267996098214872,0.11316617661878195,0.11528372298373316,0.11300823995607079,0.11426747960722063,0.11262336861105124,0.11236604752375716,0.1120581675720986,0.11194409536152469,0.11217831694998173,0.11246905686723647,0.11759249766629096,0.1273377538341737,0.12514041962844016,0.12906508526211838,0.13074264017508383,0.13099203553997696,0.132363450393382,0.1335169655308359,0.13148407568258816,0.1316177191733279,0.13220745492593822,0.13243822632548613,0.13208909637596689,0.13247627283280392,0.13251156422432842,0.13278784308729674,0.1329016932209472,0.13348443340203459,0.13341983211938502,0.1357638403477744,0.1348306167465137,0.1335661183409347,0.13299074218900203,0.132886725726447,0.1328064974526268,0.13155666286727818,0.13261805563700166,0.1322883282774455,0.13461894728544468,0.13444229303163727,0.1346675448242434,0.13549427445574835,0.13457961646319377,0.135364120126548,0.13491073875175805,0.13478592213144402,0.134069611246085,0.13339839740222809,0.1335272183367755,0.13431317709274304,0.13405298214967737,0.13416686459140328,0.13432405558383403,0.13834385204955285,0.13836191027733846,0.1459524913450409,0.14671464839409712,0.14667421553701795,0.1468091622935261,0.1467779388728191
auc_roc_bag,0.64,0.6,0.72,0.72,0.8,0.8,0.76,0.76,0.76,0.76,0.76,0.76,0.68,0.76,0.68,0.72,0.72,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.64,0.6,0.64,0.64,0.64,0.68,0.68,0.68,0.68,0.68,0.68,0.72,0.72,0.72,0.68,0.64,0.64,0.72,0.68,0.68,0.68,0.68,0.72,0.84,0.84,0.84,0.64,0.72,0.72,0.8,0.76,0.76,0.76,0.7200000000000002,0.76,0.76,0.8,0.8,0.76,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.88,0.88,0.88,0.88,0.88
auc_pr_bag,0.7226984126984126,0.7084126984126984,0.7563095238095239,0.8126984126984127,0.8463095238095237,0.8463095238095237,0.8267857142857142,0.8267857142857142,0.8267857142857142,0.8267857142857142,0.8267857142857142,0.8267857142857142,0.7367857142857142,0.8267857142857142,0.7367857142857142,0.7684523809523809,0.7684523809523809,0.7026984126984126,0.7026984126984126,0.7026984126984126,0.7026984126984126,0.7026984126984126,0.7026984126984126,0.7026984126984126,0.7226984126984126,0.7026984126984126,0.7226984126984126,0.7226984126984126,0.7226984126984126,0.7367857142857142,0.7367857142857142,0.7367857142857142,0.7367857142857142,0.7367857142857142,0.7367857142857142,0.7684523809523809,0.7684523809523809,0.7684523809523809,0.7367857142857142,0.7167857142857144,0.7167857142857144,0.7563095238095239,0.7422222222222221,0.7422222222222221,0.7422222222222221,0.7422222222222221,0.7563095238095239,0.8647619047619046,0.8647619047619046,0.8647619047619046,0.7226984126984126,0.7738888888888888,0.7738888888888888,0.8163095238095237,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.7911111111111111,0.8022222222222222,0.8022222222222222,0.8605555555555555,0.8605555555555555,0.8022222222222222,0.874642857142857,0.874642857142857,0.874642857142857,0.874642857142857,0.874642857142857,0.874642857142857,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8022222222222222,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379,0.8930952380952379
Date,2024-05-23
Time,139.3768870830536
seed,1
Number of anomalous bags,5
Number of anomalies,51
Rewards bag 0,2.4736471251333006e-06,1.2418038873180407e-06,1.97925914008267e-06,1.2051036526499158e-05,9.080749499271409e-07,2.612723837614348e-06,1.8960048434140753e-06,1.4918769045559445e-06,2.156812123841645e-06,1.5807436476906783e-06,1.1218310212527315e-06,6.887853335005881e-07,1.0922820724957731e-06,1.920583270638701e-06,1.094794654746456e-06,8.066763539187406e-07,7.325167855630058e-07,3.7425922330104618e-06,1.1851829201011046e-06,9.624752636719149e-07,5.951474576170016e-07,4.5816962451250167e-07,5.642231071706806e-07,6.015003844940889e-07,6.864338314654997e-07,4.03794987912623e-07,1.0330143039072614e-06,3.1432567921620355e-07,2.1595352013036955e-07,2.4696801189013234e-07,3.5381068559202834e-07,5.858700997576282e-07,2.119241369030876e-07,5.623428442499435e-07,6.187061349864746e-07,6.25140986001574e-07,4.6656236601307567e-07,6.782946906748308e-07,5.0786099244249e-07,4.5319477673469865e-07,1.239903270039425e-07,4.6723138542836243e-07,8.558579034271099e-07,3.529355333416831e-07,3.3681967023698567e-07,4.669023726665063e-07,5.268467286059024e-07,2.6581871450323347e-07,6.326342185899427e-07,4.381078749333431e-06,1.9837173382148857e-06,9.834577303268948e-07,3.847543093742002e-06,3.935668230064739e-07,4.5233830566997286e-07,1.9182291947668432e-07,4.037029477637049e-07,1.688372263170911e-07,2.6745714410675765e-07,3.467090354449332e-07,2.6511988785532037e-07,3.3185728751717477e-07,5.020393336217026e-07,3.0683826947973594e-07,2.4134131032302957e-07,2.014454020109243e-07,2.0990682438280275e-07,2.8679265737969855e-07,3.0019914698984628e-06,3.4332463585795217e-07,3.365997273740332e-07,1.7500136248254504e-07,1.3764124091576594e-06,1.8666271524588615e-07,2.572253943619174e-07,6.852385134653003e-07,2.660162615602391e-07,8.077164955725467e-08,1.228963887971151e-07,2.2758386675672976e-07,9.197739601150906e-08,2.40309369507235e-07,1.7523454858186417e-07,9.341917888798859e-08,1.6876883830441765e-07,1.5118535385861572e-07,6.71297107388747e-07,1.6469117567295391e-07,3.032333173807227e-07,2.466417996104592e-07,1.895014960234395e-07,1.4986563540819966e-07,1.3708499933079238e-06,2.6926756073170916e-07,2.652808127462794e-06,3.003698160617992e-07,1.2091616347650487e-07,3.176215234828639e-07,2.40652455811149e-07
Prob contr bag 0,0.02473647125133573,0.012418038873181774,0.01979259140082888,0.12051036526500486,0.009080749499272409,0.026127238376146358,0.01896004843414284,0.014918769045561088,0.021568121238418825,0.015807436476908524,0.01121831021252855,0.00688785333500664,0.010922820724958935,0.019205832706389123,0.010947946547465765,0.008066763539188294,0.007325167855630865,0.03742592233010874,0.011851829201012352,0.009624752636720208,0.005951474576170671,0.004581696245125521,0.0056422310717074275,0.006015003844941552,0.006864338314655753,0.004037949879126675,0.010330143039073751,0.003143256792162382,0.0021595352013039333,0.0024696801189015953,0.003538106855920673,0.005858700997576928,0.0021192413690311095,0.005623428442500055,0.006187061349865427,0.006251409860016428,0.004665623660131271,0.006782946906749055,0.005078609924425459,0.004531947767347486,0.0012399032700395616,0.004672313854284139,0.008558579034272042,0.00352935533341722,0.0033681967023702275,0.004669023726665577,0.005268467286059605,0.0026581871450326276,0.006326342185900124,0.04381078749333914,0.019837173382151043,0.009834577303270031,0.03847543093742426,0.0039356682300651724,0.004523383056700227,0.0019182291947670543,0.004037029477637494,0.0016883722631710967,0.002674571441067871,0.0034670903544497134,0.0026511988785534956,0.0033185728751721133,0.005020393336217579,0.0030683826947976974,0.0024134131032305614,0.002014454020109465,0.0020990682438282587,0.002867926573797301,0.030019914698987932,0.0034332463585798998,0.0033659972737407023,0.0017500136248256432,0.01376412409157811,0.0018666271524590671,0.0025722539436194574,0.006852385134653758,0.002660162615602684,0.0008077164955726357,0.0012289638879712864,0.002275838667567548,0.0009197739601151919,0.0024030936950726147,0.0017523454858188348,0.0009341917888799887,0.0016876883830443624,0.0015118535385863238,0.006712971073888209,0.0016469117567297206,0.0030323331738075607,0.002466417996104864,0.0018950149602346036,0.0014986563540821615,0.013708499933080749,0.002692675607317388,0.02652808127463086,0.003003698160618323,0.0012091616347651819,0.0031762152348289887,0.0024065245581117553
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
