auc_roc,0.3299456120943953,0.3402700958702065,0.3465846238938053,0.3445566002949852,0.3475064528023598,0.3430355825958702,0.3372741519174042,0.33842643805309736,0.3311439896755162,0.3314205383480826,0.33077525811209435,0.3328493731563422,0.335430494100295,0.4089463495575221,0.40659568584070793,0.4244330752212389,0.4069644174041298,0.406595685840708,0.42600018436578174,0.42793602507374634,0.4491380899705014,0.44425239675516226,0.4465569690265486,0.452963679941003,0.45950866519174033,0.46287334070796454,0.46043049410029496,0.449552912979351,0.4527332227138643,0.4449898598820059,0.44651087758112096,0.45181139380530977,0.4507973820058997,0.4473405235988201,0.44711006637168144,0.4484467182890855,0.450751290560472,0.44669524336283184,0.4476631637168141,0.44835453539823006,0.4472022492625368,0.4486771755162242,0.4486310840707965,0.45844856194690264,0.4601539454277286,0.4609375,0.4643482669616519,0.4632881637168142,0.4645787241887905,0.46296552359882,0.4600156710914454,0.4584485619469027,0.4566509955752212,0.4582641961651917,0.4562822640117994,0.45236449115044247,0.45531434365781714,0.45287149705014745,0.4522262168141593,0.44697179203539816,0.44448285398230086,0.4459577802359882,0.44932245575221236,0.4481701696165192,0.44978337020648973,0.45148875368731567,0.45194966814159293,0.4525488569321534,0.45287149705014745,0.4488154498525073,0.4497833702064896,0.45125829646017696,0.4477092551622419,0.4501060103244838,0.45130438790560473,0.4494146386430678,0.4498294616519174,0.4501060103244837,0.44798580383480824,0.45978521386430676,0.4579415560471976,0.46116795722713866,0.4635186209439528,0.4938467920353982,0.49490689528023596,0.4941233407079646,0.49214140855457233,0.4959669985250737,0.5002074115044248,0.4994238569321534,0.4983176622418879,0.4959669985250738,0.49559826696165193,0.501866703539823,0.5024198008849557,0.5032955383480826,0.5061992994100295,0.5063836651917404,0.5039869100294985,0.5052313790560472,0.5048626474926252
auc_pr,0.06714405721443856,0.06747935331799573,0.06801675560926236,0.06764985700435307,0.06802942090304474,0.06763929171817223,0.06662322558787696,0.06660960225064716,0.06595362553780183,0.06598212464799767,0.06602515235283161,0.06635930058192427,0.066685525266442,0.0759078009708979,0.0755170410130104,0.07762315059737944,0.07481498670363436,0.07419355724609801,0.07698261662583368,0.07730144079538907,0.0809356739587811,0.07988528579379411,0.08018016091810223,0.08125963109513468,0.0822664266515539,0.08311397918186281,0.08290614961348872,0.08074465491061456,0.08126740203690466,0.08005487604707032,0.07996421085681799,0.08077138850256327,0.08042662359454142,0.07972624631341224,0.0796482834652743,0.07982245196031393,0.08011206859169638,0.07935435551967981,0.0795899764787771,0.07967406389007536,0.07966978136590687,0.07998281527474393,0.08006865476201411,0.0821983327440843,0.08219924838133347,0.08250097781858144,0.08307961222896215,0.08288712015449079,0.08349618340083516,0.08313479530294443,0.08271636778270675,0.08250040978397907,0.08216695914164274,0.0824707462387278,0.0821602037138946,0.08146518459713378,0.08186887083867021,0.08127339863769299,0.08112250034334892,0.08020515154816135,0.07958428543766682,0.07982388731666185,0.08059404149436732,0.08030724956030955,0.08058504188365911,0.08088789402751326,0.08118071105944809,0.08135208763919669,0.08131416155882734,0.08060696724872013,0.08067849713971129,0.08088833579155183,0.08031365263023382,0.08055143561945814,0.08073915683836626,0.08038843292148949,0.08049303990413029,0.08062779770865798,0.08047252426085705,0.08188184661739065,0.08161186033587334,0.08207991252863939,0.08250150833018952,0.08824928985729336,0.08855653745555411,0.08844118177251004,0.08821251732140117,0.08908103981501814,0.08994699349252049,0.08985496347081225,0.08962959691360511,0.08941383125331742,0.08931408808089664,0.09077305136915977,0.09101117904185956,0.09133210228591374,0.09210789672585523,0.09220548952788586,0.0915641567091268,0.0918172288163408,0.09147081662238332
auc_roc_bag,0.375,0.4166666666666667,0.33333333333333337,0.33333333333333337,0.4166666666666667,0.375,0.375,0.3333333333333333,0.375,0.375,0.41666666666666663,0.4583333333333333,0.4583333333333333,0.5833333333333334,0.5833333333333334,0.45833333333333337,0.4583333333333333,0.41666666666666663,0.5833333333333334,0.45833333333333337,0.5,0.5416666666666666,0.5416666666666666,0.5,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.41666666666666663,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.5,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.5,0.5,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.4375,0.4375,0.39583333333333337,0.39583333333333337,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.35416666666666663,0.35416666666666663,0.35416666666666663,0.35416666666666663,0.5,0.5,0.41666666666666663,0.41666666666666663,0.5,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5625,0.6041666666666666,0.6041666666666666,0.625,0.625,0.625,0.5833333333333333,0.5625
auc_pr_bag,0.490922619047619,0.51875,0.48125,0.48125,0.51875,0.49583333333333335,0.490922619047619,0.48080357142857144,0.490922619047619,0.490922619047619,0.5035714285714286,0.518154761904762,0.518154761904762,0.5654761904761905,0.5654761904761905,0.5143353174603175,0.5162698412698412,0.5016865079365079,0.5654761904761905,0.5143353174603175,0.5289186507936507,0.5461805555555556,0.5461805555555556,0.5289186507936507,0.5461805555555556,0.5461805555555556,0.5461805555555556,0.5016865079365079,0.5461805555555556,0.5461805555555556,0.5461805555555556,0.5598214285714286,0.5461805555555556,0.5289186507936507,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5279761904761905,0.5279761904761905,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.5143353174603175,0.45183531746031746,0.45183531746031746,0.43918650793650793,0.43918650793650793,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.45183531746031746,0.42906746031746035,0.42906746031746035,0.42906746031746035,0.42906746031746035,0.5289186507936507,0.5289186507936507,0.5016865079365079,0.5016865079365079,0.5289186507936507,0.5461805555555556,0.5461805555555556,0.5461805555555556,0.5461805555555556,0.5461805555555556,0.5065972222222223,0.5315972222222223,0.5315972222222223,0.5940972222222223,0.5940972222222223,0.5940972222222223,0.5690972222222223,0.5065972222222223
Date,2024-05-28
Time,118.3015205860138
seed,1
Number of anomalous bags,4
Number of anomalies,48
Rewards bag 0,3.918748453017514e-06,1.6454928748131528e-06,2.5313551869509587e-06,1.793547382300781e-06,1.8374999898393657e-06,1.3010810549397149e-06,1.1913119247216318e-06,1.3234456375026575e-06,6.107258090835421e-07,9.670057241448666e-07,4.481391205577474e-07,6.678471864100612e-07,1.0404159653449402e-05,9.242873387899471e-07,5.297974382399747e-06,1.429236612912665e-06,9.284443029832214e-07,7.544353051602662e-07,1.3836757083360787e-06,4.04384039706192e-06,7.815116846725742e-07,3.000685882010582e-07,7.829255643725408e-07,4.999505886833881e-07,1.0391630571954131e-06,1.2163729562029405e-06,8.281907777821734e-07,6.636402251436797e-07,9.07198831748419e-07,5.119033387607789e-07,5.65040820251791e-07,6.609667537232239e-07,6.473061493470385e-07,5.442245246624225e-07,1.8303891553288064e-06,3.4814708790397185e-07,5.646228298545205e-07,5.410813766461074e-07,5.331510968935814e-07,5.286578490647441e-07,2.1943181672275535e-06,7.113395250830289e-07,2.01438776459665e-06,6.785075374464457e-07,4.860487338689262e-07,2.3390616864258413e-07,4.244705430777123e-07,1.0682522911841505e-06,5.666876881145911e-07,3.130301655430131e-07,6.787873335818798e-07,2.750303616603242e-07,3.050819985327078e-07,3.564163844517279e-07,4.696170010601479e-07,2.3557539584577674e-07,4.206948276373856e-07,4.398722124445547e-07,5.082137613670205e-07,4.728717854384353e-07,3.107211233121096e-07,1.5056419117783402e-06,3.955203669707141e-07,1.3054872171668755e-07,2.6343861341347075e-07,1.2387755362822159e-07,1.0011184690963988e-07,3.2371851834971853e-07,4.393519292759339e-07,6.777900125533804e-07,2.9543871576664725e-07,3.945023765666419e-07,1.0475924504658392e-06,3.084024041701896e-07,1.9892356872206656e-07,2.1752607390207994e-07,1.1454624761178757e-07,3.998071053906115e-07,4.4395201428347645e-06,1.2802737080051448e-07,2.677221661213945e-07,2.804943542502096e-07,1.6866944071093132e-06,1.0497367219068426e-06,2.0370239301358863e-07,2.6817135443894204e-07,2.790242818023824e-07,3.292910983133202e-07,3.113088885260865e-07,2.2722245320252886e-07,3.1642149175156977e-07,5.504344957811716e-07,4.266532050811842e-06,1.1594018919954765e-07,2.2102827865641254e-07,2.510523388555863e-07,2.0982790970673926e-07,3.0898585333223836e-07,2.3587312371178138e-07,3.089100801820693e-07
Prob contr bag 0,0.03918748453017946,0.01645492874813334,0.025313551869512375,0.017935473823009786,0.01837499989839568,0.013010810549398582,0.01191311924721763,0.013234456375028033,0.006107258090836094,0.009670057241449731,0.004481391205577967,0.006678471864101347,0.10404159653450548,0.009242873387900488,0.052979743824003306,0.014292366129128223,0.009284443029833236,0.007544353051603493,0.01383675708336231,0.040438403970623656,0.007815116846726602,0.003000685882010913,0.00782925564372627,0.004999505886834431,0.010391630571955275,0.012163729562030745,0.008281907777822646,0.0066364022514375275,0.009071988317485189,0.005119033387608353,0.0056504082025185315,0.006609667537232968,0.006473061493471098,0.005442245246624824,0.01830389155329008,0.003481470879040102,0.005646228298545827,0.00541081376646167,0.005331510968936401,0.005286578490648024,0.02194318167227795,0.007113395250831073,0.020143877645968717,0.006785075374465204,0.004860487338689797,0.002339061686426099,0.00424470543077759,0.010682522911842681,0.005666876881146535,0.0031303016554304753,0.006787873335819546,0.002750303616603545,0.003050819985327414,0.0035641638445176715,0.004696170010601996,0.002355753958458027,0.0042069482763743195,0.0043987221244460315,0.005082137613670765,0.004728717854384874,0.003107211233121438,0.01505641911778506,0.003955203669707577,0.0013054872171670193,0.0026343861341349977,0.0012387755362823524,0.001001118469096509,0.003237185183497542,0.004393519292759823,0.00677790012553455,0.0029543871576667977,0.0039450237656668535,0.010475924504659546,0.0030840240417022357,0.0019892356872208846,0.002175260739021039,0.0011454624761180019,0.003998071053906555,0.044395201428352536,0.0012802737080052859,0.00267722166121424,0.0028049435425024053,0.01686694407109499,0.010497367219069582,0.0020370239301361107,0.0026817135443897157,0.002790242818024131,0.0032929109831335646,0.0031130888852612076,0.002272224532025539,0.003164214917516046,0.005504344957812323,0.04266532050812312,0.0011594018919956041,0.002210282786564369,0.0025105233885561397,0.0020982790970676237,0.003089858533322724,0.0023587312371180736,0.003089100801821033
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
