auc_roc,0.5134996582365003,0.5151515151515151,0.5195944406470723,0.5251765778081567,0.527341079972659,0.5300751879699248,0.5336067441330599,0.5348029163818637,0.5471064023695603,0.5834472544998861,0.588630667578036,0.5815105946684894,0.5840738209159262,0.6039530644793802,0.6062884483937115,0.6081111870585555,0.6185349737981317,0.628673957621326,0.6337434495329232,0.634028252449305,0.6297562087035771,0.6445089997721577,0.654021417179312,0.6330599225336067,0.6360788334472545,0.6383572567783093,0.6390977443609023,0.643028024606972,0.6369332421964001,0.6407496012759171,0.6397243107769424,0.6443381180223285,0.6484962406015038,0.6473570289359765,0.6503189792663477,0.6531670084301664,0.6368193210298474,0.6506607427660058,0.6715083162451583,0.6767486899065847,0.6836409204830257,0.6827295511506039,0.6843244474823421,0.6985645933014355,0.7457849168375483,0.75,0.7335953520164046,0.7316017316017316,0.7205513784461154,0.7313738892686261,0.7337662337662338,0.7293233082706767,0.7276714513556618,0.732114376851219,0.7346206425153794,0.7323991797676008,0.7298359535201641,0.7317156527682843,0.7367851446798815,0.7511392116655274,0.736557302346776,0.7534745955798587,0.7534176349965824,0.7541011619958988,0.7595693779904306,0.7615629984051036,0.7561517429938482,0.7577466393255867,0.7578035999088631,0.757177033492823,0.7733538391433129,0.7685691501480975,0.7699362041467305,0.7699362041467305,0.7713032581453633,0.7719867851446799,0.7727842333105491,0.7740943267259057,0.7731259968102073,0.7739804055593529,0.7745500113921167,0.7770562770562771,0.7804739120528594,0.7807587149692413,0.7997835497835498,0.8218842560947823,0.8224538619275462,0.8208020050125313,0.8215424925951241,0.8224538619275461,0.8221690590111643,0.8197197539302802,0.8204032809295967,0.8181818181818182,0.817384370015949,0.8182387787650945,0.8196627933470039,0.8186375028480292,0.8185805422647529,0.8187514240145819,0.8245044429254956
auc_pr,0.07402953085052547,0.07423430720077485,0.07506701602403479,0.07601953045418908,0.0763731970813987,0.07694429199278485,0.07761723132342638,0.07774299432218737,0.0801629075200404,0.08795758690063597,0.0890979087166541,0.08800814228296874,0.08877450907506607,0.0933102191824166,0.09397733328980158,0.09468871973090853,0.09752568896167527,0.10172933107957294,0.10363224117489118,0.10379462647802812,0.10332149083818504,0.10757580206388742,0.11032708771017904,0.10834480590787027,0.11231844514948042,0.11355950805640336,0.11347963080754286,0.11510939773707946,0.11352901896322184,0.11554654305939392,0.11542057023388042,0.11773106043632159,0.1207017023435547,0.1242149137716799,0.1255431395071428,0.1272162010511817,0.1206606583783425,0.1319054937103147,0.14822552499587435,0.15868215097716415,0.16266827148577237,0.16089311261844416,0.16180225797196723,0.1806962908208305,0.20340495380989743,0.20618412717066914,0.20074248789129526,0.19828272950624262,0.18891832559725696,0.20286884360825205,0.2030119702913962,0.1990948092456998,0.20063217847292508,0.20080718134334627,0.2018885418081024,0.20176928547983874,0.19905567465195748,0.19974058297040684,0.2032818303236973,0.2120457652568795,0.20202421297322398,0.2066305973900537,0.20327875869383452,0.203564573436534,0.20551944031525154,0.2062981788374153,0.20471390068014944,0.2054850598451902,0.20618091862269625,0.2058057128165565,0.22943105940148545,0.24097035755633595,0.2426000082508798,0.249899376058328,0.25124465454826284,0.2522619809295031,0.26240406233185487,0.2663308821980548,0.2564326829547281,0.2564118149170521,0.2557939844270662,0.25705564090915534,0.2624576368874867,0.2575277704040491,0.2876825898626817,0.2994585797412744,0.29528845984366486,0.2946493413077484,0.2937373889510354,0.2926379444052516,0.2888688664283841,0.2947835106988764,0.2983084800892178,0.30221275352776183,0.29711787321434896,0.29725691639051105,0.29691047698901996,0.2927865784653186,0.2915444006455043,0.2887834730495431,0.3001813974356444
auc_roc_bag,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.875,0.625,0.625,0.625,0.6875,0.6875,0.6875,0.75,0.75,0.75,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.6625,0.6625,0.6625,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.5982142857142857,0.5982142857142857,0.5982142857142857,0.6130952380952381,0.6130952380952381,0.6130952380952381,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6625,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-01
Time,74.83251643180847
seed,26
Number of anomalous bags,2
Number of anomalies,38
Rewards bag 0,8.289511078217764e-07,9.671083963733605e-07,3.8433727279817256e-07,1.854036055859498e-07,2.9638848364844133e-07,5.81296695106815e-07,9.655957433570075e-07,1.4607743970030735e-06,3.258032361594199e-06,4.5106647973024173e-07,1.1934387584825175e-06,5.748271195576631e-07,1.3607597562536752e-06,3.6430326845543145e-07,2.96203987316168e-07,8.751459432249195e-07,1.3161041343715355e-06,5.869283145338622e-07,3.4187099340542303e-07,5.587136902095004e-07,1.0175287426132524e-06,5.460501384370774e-07,6.076625618305622e-07,1.6933096248711746e-06,4.0337218989688136e-07,8.484054033470289e-07,6.219418048313575e-07,1.1381278609132068e-06,4.5873916247616833e-07,8.037751470598504e-07,3.612088581581508e-07,2.058710320790682e-06,2.231174212545883e-06,1.2959955258887647e-06,9.613527508171182e-07,1.1240398250803928e-06,2.636021865913548e-06,3.7281112748478295e-06,2.4255382808393215e-07,4.873712588885102e-07,6.537085044278451e-06,3.1707020731436985e-07,6.621896486217472e-06,1.366672826622719e-06,5.430491588454983e-07,5.557947058346002e-07,7.134664291531141e-07,6.152825353863459e-06,2.7937126755283685e-06,1.850442623617257e-06,1.1793728192617758e-06,3.4163764344317294e-07,1.508784738302919e-06,1.0340428583505088e-06,9.366532976110341e-07,5.011182368754021e-07,3.773496778842671e-07,4.124899928980163e-07,1.5422042912248411e-06,6.854246518849552e-07,1.6443488216070057e-06,4.834068220274811e-07,3.1689719586770354e-07,3.8880795215403446e-07,1.0488610636739135e-06,5.228211869981082e-07,3.4498592826345337e-07,2.0192034983668204e-07,6.32195881525646e-07,9.655860330929963e-06,7.172493836517429e-07,2.797374180890322e-07,3.5584221437745016e-06,2.197060549419729e-07,1.6799665968531382e-07,2.5605994579579893e-07,2.724866800254126e-07,2.1563723766397813e-06,1.2116958253130974e-06,2.0232646458701784e-07,2.0876823438371425e-06,2.5256164595721785e-06,2.606024263981823e-06,4.513473373157188e-06,1.6682874018936275e-06,2.324516918923355e-06,2.405755879711881e-07,8.081579253171726e-07,8.961048341269316e-07,1.2974111719142038e-06,1.949744097984163e-06,2.808803401918105e-06,1.4450657110968002e-06,1.3851921871069909e-06,5.47406690573914e-07,9.667032652006688e-07,2.585974394993023e-07,2.4599573792349727e-06,7.703380748016589e-07,7.018992086417844e-07
Prob contr bag 0,0.008289511078218677,0.009671083963734669,0.003843372727982149,0.0018540360558597022,0.0029638848364847395,0.005812966951068791,0.009655957433571139,0.014607743970032344,0.03258032361594558,0.004510664797302914,0.011934387584826489,0.005748271195577264,0.013607597562538251,0.003643032684554716,0.0029620398731620063,0.008751459432250159,0.013161041343716805,0.005869283145339268,0.003418709934054607,0.005587136902095619,0.010175287426133644,0.005460501384371375,0.006076625618306291,0.01693309624871361,0.004033721898969258,0.008484054033471224,0.00621941804831426,0.011381278609133322,0.004587391624762189,0.008037751470599389,0.003612088581581906,0.020587103207909088,0.022311742125461286,0.012959955258889074,0.00961352750817224,0.011240398250805167,0.026360218659138384,0.0372811127484824,0.0024255382808395887,0.004873712588885639,0.06537085044279171,0.0031707020731440477,0.06621896486218201,0.013666728266228695,0.005430491588455581,0.005557947058346615,0.007134664291531927,0.061528253538641366,0.027937126755286763,0.01850442623617461,0.011793728192619058,0.003416376434432106,0.015087847383030852,0.010340428583506226,0.009366532976111373,0.005011182368754573,0.0037734967788430867,0.004124899928980618,0.01542204291225011,0.006854246518850307,0.016443488216071868,0.0048340682202753435,0.0031689719586773845,0.003888079521540773,0.010488610636740291,0.005228211869981658,0.0034498592826349137,0.0020192034983670427,0.006321958815257157,0.09655860330931026,0.007172493836518219,0.00279737418089063,0.035584221437748934,0.002197060549419971,0.0016799665968533232,0.0025605994579582713,0.002724866800254426,0.02156372376640019,0.012116958253132309,0.0020232646458704013,0.020876823438373725,0.025256164595724565,0.0260602426398211,0.04513473373157685,0.016682874018938112,0.02324516918923611,0.002405755879712146,0.008081579253172617,0.008961048341270303,0.012974111719143467,0.019497440979843777,0.028088034019184145,0.014450657110969593,0.013851921871071433,0.005474066905739743,0.009667032652007752,0.0025859743949933076,0.024599573792352437,0.007703380748017437,0.007018992086418617
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
