auc_roc,0.16633266533066138,0.09819639278557113,0.10220440881763526,0.10420841683366733,0.15430861723446898,0.16232464929859725,0.1002004008016032,0.1002004008016032,0.12625250501002006,0.12825651302605212,0.15230460921843691,0.15230460921843691,0.13426853707414832,0.13627254509018039,0.13627254509018039,0.1062124248496994,0.1062124248496994,0.12224448897795592,0.12024048096192386,0.14228456913827658,0.14228456913827658,0.16232464929859725,0.16232464929859725,0.16232464929859725,0.16232464929859725,0.17234468937875747,0.17234468937875747,0.17434869739478953,0.1763527054108216,0.19238476953907813,0.1943887775551102,0.19038076152304606,0.19238476953907813,0.19238476953907813,0.22044088176352705,0.22044088176352705,0.22244488977955912,0.22845691382765532,0.23647294589178358,0.23647294589178358,0.2404809619238477,0.2545090180360722,0.25651302605210424,0.2585170340681363,0.2585170340681363,0.2705410821643287,0.2705410821643287,0.24849699398797598,0.24849699398797598,0.24849699398797598,0.2545090180360722,0.2665330661322646,0.2665330661322646,0.2605210420841684,0.2705410821643287,0.27454909819639284,0.27454909819639284,0.27454909819639284,0.2765531062124249,0.282565130260521,0.282565130260521,0.2885771543086172,0.2925851703406813,0.2925851703406813,0.2925851703406813,0.2925851703406813,0.2925851703406813,0.2925851703406813,0.2985971943887775,0.2985971943887775,0.2985971943887775,0.30260521042084165,0.30861723446893785,0.3106212424849699,0.3046092184368737,0.3046092184368737,0.3046092184368737,0.3046092184368737,0.3066132264529058,0.30861723446893785,0.30861723446893785,0.312625250501002,0.312625250501002,0.312625250501002,0.312625250501002,0.312625250501002,0.312625250501002,0.312625250501002,0.312625250501002,0.312625250501002,0.312625250501002,0.31462925851703405,0.31462925851703405,0.31462925851703405,0.3186372745490982,0.3226452905811623,0.3226452905811623,0.3226452905811623,0.32064128256513025,0.32064128256513025,0.32064128256513025
auc_pr,0.001199040767386091,0.0011086474501108647,0.0011135857461024498,0.0011160714285714285,0.001182033096926714,0.0011933174224343676,0.0011111111111111111,0.0011111111111111111,0.0011441647597254005,0.0011467889908256881,0.0011792452830188679,0.0011792452830188679,0.0011547344110854503,0.0011574074074074073,0.0011574074074074073,0.0011185682326621924,0.0011185682326621924,0.0011389521640091116,0.0011363636363636363,0.0011655011655011655,0.0011655011655011655,0.0011933174224343676,0.0011933174224343676,0.0011933174224343676,0.0011933174224343676,0.0012077294685990338,0.0012077294685990338,0.0012106537530266344,0.0012135922330097086,0.0012376237623762376,0.0012406947890818859,0.0012345679012345679,0.0012376237623762376,0.0012376237623762376,0.001282051282051282,0.001282051282051282,0.0012853470437017994,0.0012953367875647669,0.0013089005235602095,0.0013089005235602095,0.0013157894736842105,0.0013404825737265416,0.0013440860215053765,0.0013477088948787063,0.0013477088948787063,0.0013698630136986301,0.0013698630136986301,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532,0.0013404825737265416,0.0013623978201634877,0.0013623978201634877,0.0013513513513513514,0.0013698630136986301,0.0013774104683195593,0.0013774104683195593,0.0013774104683195593,0.0013812154696132596,0.001392757660167131,0.001392757660167131,0.0014044943820224719,0.0014124293785310734,0.0014124293785310734,0.0014124293785310734,0.0014124293785310734,0.0014124293785310734,0.0014124293785310734,0.0014245014245014246,0.0014245014245014246,0.0014245014245014246,0.0014326647564469914,0.001445086705202312,0.0014492753623188406,0.0014367816091954023,0.0014367816091954023,0.0014367816091954023,0.0014367816091954023,0.001440922190201729,0.001445086705202312,0.001445086705202312,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014534883720930232,0.0014577259475218659,0.0014577259475218659,0.0014577259475218659,0.001466275659824047,0.0014749262536873156,0.0014749262536873156,0.0014749262536873156,0.0014705882352941176,0.0014705882352941176,0.0014705882352941176
auc_roc_bag,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.11111111111111116,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.5555555555555556,0.5555555555555556,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
auc_pr_bag,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0625,0.0625,0.07142857142857142,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.125,0.1,0.1,0.1,0.1,0.1,0.08333333333333333,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.125,0.1,0.1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Date,2024-05-30
Time,78.23832559585571
seed,14
Number of anomalous bags,1
Number of anomalies,1
Rewards bag 0,5.524895629969108e-07,3.431714442425768e-07,2.76788560689247e-07,9.891019947163315e-07,2.930027464860755e-07,3.429072744047554e-07,1.0521953979512449e-06,3.8479343041655883e-07,1.0794125306750052e-07,1.8766475085195411e-06,9.980476355110954e-07,2.7472349192219227e-07,9.632232491076584e-07,2.6219032105730696e-07,2.425822622116753e-07,3.386444622368697e-07,1.6681952512026302e-06,1.8725296642122898e-07,4.0051762283547973e-07,8.591420391423493e-07,2.3795927041588039e-07,3.8671217009947135e-07,3.0544841166670665e-07,2.7656986948337803e-07,6.062835353236463e-07,3.8515297018968414e-07,7.676824340881605e-07,8.170532684670785e-08,2.6679039988876265e-07,1.4135092321688397e-07,1.535962334582082e-07,5.419780912743902e-07,1.355239832154981e-07,7.721890000926796e-08,2.1137456314259707e-07,5.414886912894622e-08,1.245593135346511e-07,8.849831445641154e-08,9.041174381255407e-08,8.753587734155447e-08,3.9659722608243996e-07,1.066517441835541e-07,3.2000797414450777e-07,1.3090381972684522e-07,2.8528017547480167e-08,4.906561736412715e-07,2.5007074842305206e-07,7.903966317138882e-07,1.5893783714934597e-07,6.422661682327856e-07,4.29450740455984e-08,2.6315923693861104e-07,3.191584458830132e-07,4.5215092571930835e-08,1.9943797738997848e-07,2.5046520860204225e-07,1.0898293137173489e-07,1.8658949527142897e-08,1.083543571887074e-07,3.1630183506615055e-07,4.2846511550576226e-08,9.066360092310089e-08,1.1172314235952556e-07,6.615388744295249e-07,1.2383138592086247e-07,1.198496896551548e-07,5.24962826811097e-08,1.4807012620976849e-07,5.9235183019404317e-08,6.080948400432062e-07,6.392403630178745e-07,1.4786034420802876e-08,3.659445547783447e-08,1.5954234205641137e-07,3.2274786980469634e-07,1.3397210251047693e-06,1.4905144768998425e-08,3.148655332182057e-08,5.2719786730514224e-08,3.427299264732078e-08,5.3378928149041735e-08,1.0480762888678988e-07,8.593661016495363e-08,2.528320002794811e-07,8.768792003771115e-07,4.272080765495597e-07,8.154399041339773e-08,1.5789425497630436e-07,1.1075372198214254e-07,8.17172957421034e-08,1.525235390196304e-07,1.632991070383283e-08,9.85564702010453e-08,1.3509324062434375e-07,2.5267738806366687e-07,5.068781876671336e-07,2.9855126385295083e-08,1.3112712097631452e-07,3.744430542586599e-08,2.2547666272391556e-08
Prob contr bag 0,0.005524895629969716,0.003431714442426146,0.002767885606892775,0.009891019947164405,0.002930027464861078,0.0034290727440479314,0.010521953979513608,0.003847934304166012,0.0010794125306751241,0.01876647508519748,0.009980476355112053,0.002747234919222225,0.009632232491077645,0.0026219032105733583,0.0024258226221170204,0.00338644462236907,0.01668195251202814,0.001872529664212496,0.004005176228355238,0.008591420391424439,0.002379592704159066,0.0038671217009951394,0.003054484116667403,0.002765698694834085,0.0060628353532371304,0.003851529701897266,0.0076768243408824495,0.0008170532684671685,0.0026679039988879204,0.0014135092321689955,0.0015359623345822513,0.005419780912744499,0.0013552398321551304,0.0007721890000927647,0.0021137456314262036,0.0005414886912895218,0.0012455931353466483,0.0008849831445642129,0.0009041174381256402,0.0008753587734156411,0.0039659722608248365,0.0010665174418356585,0.00320007974144543,0.0013090381972685964,0.0002852801754748331,0.004906561736413254,0.002500707484230796,0.007903966317139752,0.0015893783714936347,0.006422661682328563,0.0004294507404560313,0.0026315923693864002,0.0031915844588304835,0.0004521509257193581,0.0019943797739000045,0.0025046520860206984,0.001089829313717469,0.00018658949527144953,0.0010835435718871934,0.003163018350661854,0.00042846511550580945,0.0009066360092311088,0.0011172314235953786,0.006615388744295978,0.001238313859208761,0.00119849689655168,0.0005249628268111548,0.001480701262097848,0.0005923518301941084,0.006080948400432731,0.006392403630179448,0.00014786034420804505,0.00036594455477838506,0.0015954234205642895,0.003227478698047319,0.013397210251049169,0.00014905144769000066,0.0003148655332182404,0.0005271978673052003,0.0003427299264732455,0.0005337892814904761,0.0010480762888680141,0.000859366101649631,0.0025283200027950894,0.00876879200377208,0.004272080765496068,0.0008154399041340671,0.0015789425497632174,0.0011075372198215475,0.000817172957421124,0.0015252353901964721,0.00016329910703834628,0.0009855647020105616,0.0013509324062435863,0.002526773880636947,0.005068781876671894,0.0002985512638529837,0.0013112712097632896,0.0003744430542587012,0.0002254766627239404
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
