auc_roc,0.5354115395132623,0.5426123416279282,0.5371433779965363,0.5613891167623735,0.5833561206817974,0.5799835931091057,0.5707775043295962,0.6095159967186218,0.5989426670312643,0.606963813690639,0.6298423115486282,0.6385926533588552,0.6355847233615897,0.6250113936742321,0.6226415094339623,0.6218211648892535,0.6211831191322578,0.6154407073192963,0.6264697839759366,0.6346732294230244,0.6453377085042384,0.654543797283748,0.7131528575334974,0.706043204812688,0.7014857351198615,0.7053140096618358,0.699024701485735,0.7013034363321484,0.6992981496673047,0.70020964360587,0.701576884513718,0.6993892990611612,0.7023060796645701,0.7043113663294138,0.7120590648072189,0.7119679154133626,0.7145200984413453,0.7137909032904931,0.7147023972290585,0.7255491750979856,0.7259137726734117,0.7247288305532767,0.7256403244918421,0.7265518184304075,0.7281013581259684,0.726642967824264,0.725093428128703,0.7272810135812597,0.7270987147935466,0.7313827363048035,0.7325676784249384,0.7313827363048035,0.7272810135812597,0.7242730835839941,0.7253668763102725,0.7255491750979856,0.7243642329778507,0.7243642329778507,0.7230881414638592,0.723726187220855,0.7201713608604503,0.7189864187403153,0.7497949138638228,0.7540789353750798,0.7500683620453924,0.7492480175006836,0.7515267523470969,0.7495214656822532,0.745875489927992,0.7482453741682618,0.7472427308358399,0.7456931911402789,0.7440525020508614,0.7442348008385744,0.7477896271989791,0.7472427308358399,0.7488834199252574,0.7481542247744053,0.7435056056877222,0.7425941117491568,0.7435056056877222,0.7430498587184395,0.7425029623553003,0.7396773311457479,0.7412268708413088,0.7462400875034181,0.744508249020144,0.7468781332604137,0.7467869838665573,0.7477896271989791,0.7448728465955701,0.7462400875034181,0.7485188223498314,0.7450551453832832,0.7451462947771397,0.7476073284112661,0.7459666393218485,0.7461489381095616,0.7465135356849877,0.7433233069000091,0.7435056056877223
auc_pr,0.0453285697470474,0.04564271144237484,0.04513346372165328,0.04861849091404232,0.05605390788783403,0.05780847040104022,0.058413238745899355,0.06188347152242636,0.06052215798751008,0.0642164447196766,0.0640464644376215,0.06913818784147514,0.06875924532074311,0.06785578156760727,0.06779566251126468,0.07002996211424256,0.07318009100091033,0.07295342626016178,0.07444582537865603,0.07224981360375393,0.07050654176179222,0.07282349411367951,0.08983863909190778,0.08716580545818645,0.08445465428843058,0.08940227664506357,0.08689963668128964,0.09296995630920826,0.09148866144421924,0.09075209633135342,0.09260369423330582,0.09257201850240816,0.13009696140695126,0.13107485991163736,0.13099388189968042,0.13407646270076146,0.13950276322560487,0.13487555719477837,0.13505975689961683,0.13729085805771155,0.10319465473473718,0.100131720226698,0.09999415300029205,0.0980651930870218,0.09801281234401465,0.09701804911112852,0.09629657628413554,0.09748506301756056,0.09693930419789856,0.10068566290146819,0.10089912275601703,0.0974943853782131,0.09454007343680555,0.09287577637374606,0.09339452019707685,0.0935832190478632,0.09277848716786799,0.09100436879990598,0.09072442175470585,0.09077749004866807,0.08842662113229902,0.0885876389341865,0.09572265788267692,0.09623884348512345,0.09475542843650979,0.09681550762279405,0.09748498161030059,0.09707844137634865,0.09582866000656402,0.09669922566475694,0.09609291960533518,0.14772469575371075,0.1474307374773743,0.1512322692315146,0.14977970401177304,0.1493193761139196,0.15290306803376197,0.1529376914011062,0.15185335552526139,0.14971310594544837,0.1501859440751415,0.1496854563985738,0.14965099236719837,0.15075453558394114,0.1509988761605989,0.1509509358725485,0.15134668301392082,0.15256173739756232,0.15239732231944347,0.1554204257757978,0.1516907941631406,0.152956850737303,0.15396479357363416,0.15275370460204812,0.15297349732681695,0.15353037394428096,0.15266956020046557,0.15516332745171407,0.15498226405754342,0.15418030119221773,0.15361150042012273
auc_roc_bag,0.375,0.375,0.1875,0.25,0.3125,0.375,0.375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.375,0.375,0.375,0.375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5,0.4375,0.5625,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.875
auc_pr_bag,0.1611111111111111,0.14930555555555555,0.11944444444444444,0.12777777777777777,0.14027777777777778,0.1611111111111111,0.1611111111111111,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.18154761904761904,0.18154761904761904,0.1701388888888889,0.1964285714285714,0.18154761904761904,0.1964285714285714,0.1964285714285714,0.1964285714285714,0.1964285714285714,0.1964285714285714,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.2232142857142857,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.41666666666666663,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.3333333333333333,0.41666666666666663
Date,2024-06-01
Time,69.93907594680786
seed,4
Number of anomalous bags,2
Number of anomalies,23
Rewards bag 0,3.4776025656029374e-06,2.3767163079577486e-06,6.479877374633803e-06,3.448227621648308e-06,3.73633109917587e-06,2.5374555734832733e-06,3.76371195273971e-06,1.4228740088166021e-06,1.523213066411579e-06,1.901768534971805e-06,1.796440669607913e-06,8.96612550959233e-07,1.3531766660539842e-06,1.3684307188706518e-06,7.044264056100891e-07,7.775987192013004e-07,1.1800854327463087e-06,1.3615431222315523e-06,1.126664173001869e-06,8.377515377571142e-07,2.1191645611107073e-06,5.621902625079538e-06,8.232103245315173e-07,9.060841043617319e-07,1.0420737225977803e-06,9.307397394146318e-07,1.3678232723338936e-06,5.299999228410969e-07,7.732184617110905e-07,4.767632425888638e-07,5.64372199830012e-07,6.941520069718086e-07,2.7555905478269653e-07,1.1306163267497766e-06,5.743499046878309e-07,7.667199248654329e-07,7.393418774695409e-07,5.346594475950126e-07,7.894455763633585e-07,5.940823781855878e-07,6.432471401265065e-07,3.807410598426311e-07,8.485169490650225e-07,5.445926705315468e-07,4.098044299068816e-07,3.414947182735801e-07,4.450638997908612e-07,7.18137627542642e-07,6.16293331849466e-07,2.4637843386339386e-07,4.992459065161982e-07,4.88943407135167e-07,4.733038386161512e-07,4.771243588689578e-07,4.419732174210699e-07,3.3166555040203663e-07,2.8562853901493546e-07,3.0055226977656076e-07,3.9992583533570874e-07,2.7329284904959187e-07,1.9994486693118135e-07,5.010911232254167e-06,4.869447049026615e-07,3.1046113523599214e-07,2.919137775997768e-07,3.947853015663101e-07,5.245126086423152e-07,3.5747909813021597e-07,5.41615578897197e-07,3.652559832994946e-07,1.9775250951132896e-06,6.925020249305126e-07,4.509622300816542e-07,8.543439335937781e-07,3.769097990905773e-07,4.6282030535732943e-07,3.9399554555761756e-07,2.502125640106827e-07,3.5068232020523e-07,3.5147996796443315e-07,2.601193974620271e-07,2.7138798426545503e-07,3.1694862788865825e-07,2.3348870142448483e-07,4.207227230341303e-07,3.431244695622771e-07,2.955990877668611e-07,2.848656466697857e-07,3.77452054985594e-07,2.3033045281465712e-07,3.7233621905580015e-07,2.9671775283555827e-07,2.5353597705427305e-07,2.7065830594879174e-07,3.138792073874801e-07,2.65674543559278e-07,1.5600524402682899e-07,3.518661031423689e-07,2.26028557078052e-07,3.5467821118444615e-07
Prob contr bag 0,0.0347760256560332,0.023767163079580104,0.06479877374634517,0.034482276216486876,0.037363310991762815,0.02537455573483553,0.037637119527401244,0.014228740088167588,0.01523213066411747,0.019017685349720145,0.017964406696081108,0.008966125509593317,0.013531766660541332,0.013684307188708025,0.0070442640561016664,0.007775987192013861,0.011800854327464387,0.013615431222317023,0.01126664173001993,0.008377515377572064,0.021191645611109408,0.05621902625080157,0.00823210324531608,0.009060841043618317,0.01042073722597895,0.009307397394147343,0.013678232723340442,0.005299999228411552,0.007732184617111757,0.004767632425889163,0.005643721998300742,0.00694152006971885,0.002755590547827269,0.01130616326749901,0.005743499046878942,0.007667199248655173,0.007393418774696223,0.005346594475950715,0.007894455763634454,0.005940823781856531,0.006432471401265774,0.0038074105984267303,0.00848516949065116,0.005445926705316067,0.004098044299069267,0.003414947182736177,0.004450638997909102,0.00718137627542721,0.006162933318495339,0.00246378433863421,0.004992459065162532,0.004889434071352209,0.004733038386162033,0.004771243588690103,0.004419732174211185,0.0033166555040207314,0.002856285390149669,0.0030055226977659384,0.003999258353357528,0.0027329284904962195,0.0019994486693120338,0.05010911232254719,0.004869447049027151,0.003104611352360263,0.002919137775998089,0.003947853015663536,0.005245126086423729,0.0035747909813025535,0.005416155788972567,0.0036525598329953486,0.019775250951135075,0.006925020249305888,0.004509622300817038,0.008543439335938721,0.003769097990906188,0.004628203053573804,0.00393995545557661,0.0025021256401071027,0.0035068232020526863,0.0035147996796447184,0.0026011939746205573,0.0027138798426548493,0.0031694862788869313,0.0023348870142451054,0.0042072272303417665,0.003431244695623149,0.0029559908776689366,0.0028486564666981708,0.0037745205498563557,0.002303304528146825,0.0037233621905584115,0.0029671775283559095,0.0025353597705430097,0.0027065830594882154,0.0031387920738751465,0.0026567454355930727,0.0015600524402684618,0.0035186610314240766,0.002260285570780769,0.003546782111844852
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
