auc_roc,0.5682023486901535,0.5769700834263245,0.5805834528933524,0.5600722673893406,0.5659174238801212,0.5939741750358679,0.5978532334342952,0.5846750624368988,0.5823369998405866,0.5793612838089166,0.5922737658749135,0.5890854986981242,0.5693713799883097,0.5767575322812052,0.5743131941123333,0.570487273500186,0.5666082151017588,0.5645889792231256,0.5607630586109782,0.5580530315107073,0.557521653647909,0.6266007758116797,0.6281949094000744,0.6356341994792497,0.6299484563473086,0.6292576651256708,0.6329241723789787,0.6634252617035975,0.6818109357564164,0.6744779212498008,0.6642223284977947,0.677400499495191,0.6948296933949731,0.6996120941601573,0.6962644136245284,0.7019501567564695,0.6976991338540837,0.7023221212604283,0.7014187788936713,0.6943514533184547,0.6946171422498538,0.687656092247197,0.6878155056060364,0.6846803762155269,0.6896753281258302,0.6986024762208407,0.7014187788936713,0.7029597746957862,0.7054572506509379,0.7029066369095064,0.6993464052287581,0.7014719166799511,0.7023752590467082,0.7049790105744195,0.7021627079015887,0.6988150273659599,0.6982305117168819,0.699718369732717,0.7033848769860247,0.6981242361443223,0.6998246453052765,0.6989744407247994,0.6950422445400924,0.7120463361496361,0.7106116159200808,0.7083266911100483,0.7099208246984431,0.7093894468356449,0.7093894468356449,0.7160316701206229,0.7157659811892236,0.7111961315691588,0.7105053403475211,0.7109835804240395,0.7128434029438333,0.7176789414952973,0.7174132525638982,0.719273075083692,0.7191667995111324,0.7230458579095596,0.72591529836867,0.7263935384451883,0.7268186407354269,0.7299006323396567,0.7329294861576067,0.7323449705085286,0.7308039747064137,0.7328763483713268,0.7326637972262076,0.7333545884478453,0.7320792815771295,0.7300069079122163,0.7347893086774004,0.7355332376853181,0.7338328285243636,0.7322918327222487,0.7331951750890058,0.7318135926457303,0.7325043838673682,0.7315479037143313,0.7333014506615655
auc_pr,0.08956592646479669,0.0919351515297224,0.09784272640687991,0.09367154968693078,0.0983284208843713,0.10272314680351813,0.10678270581232885,0.10270328911018836,0.10306648748909543,0.1030232384865144,0.10577087140520207,0.10435141583237995,0.09929615668655284,0.10066764876476444,0.10014938295626209,0.09988796331572024,0.09966486104827683,0.09945519001551112,0.09826789643070122,0.09774640274168078,0.09777509448015254,0.11590137270304302,0.11629632768188407,0.11925305831463685,0.11800146773873499,0.12134005731136364,0.1259411753585982,0.14116745772797407,0.1487224700916177,0.14703734172520747,0.14271996030509396,0.14941667341558487,0.15617913189200253,0.1566994046598155,0.15357449146582805,0.1579570029856917,0.1535850962277887,0.15445525384781925,0.15204796449629,0.1478042499590378,0.1481643536212667,0.14551601382213664,0.1451598799839904,0.1450085594050038,0.14588950797674638,0.1472143154909921,0.14709914735807939,0.1459232081037423,0.1521502405048562,0.15013280102640877,0.14846555698935773,0.14858274118255654,0.15395218620025966,0.15241729012240635,0.15109806091062594,0.14723335817153788,0.1444298978557486,0.14683328706678014,0.14678665263251137,0.14552760949922317,0.14850214634274755,0.1465719888181172,0.14456202330674264,0.16135266809199691,0.15816828354940482,0.15497313093411075,0.15818053940872526,0.15735854753532527,0.15725286936661403,0.16449929640611136,0.1641824740095792,0.16237615329947128,0.16049178994250443,0.16381045183235596,0.169440595643561,0.17391803548906182,0.17317091580409988,0.17856440152767242,0.17575505342949096,0.17981565492954432,0.180286473559257,0.18006384097487574,0.17956010425537933,0.18394593615326998,0.18697839561586263,0.1867941143882509,0.18384604029810567,0.18752426290462712,0.187133734092303,0.18525624669852223,0.1846511632768696,0.18366041655164148,0.18923834840261725,0.18767581708096723,0.1868116829388568,0.1874833203911255,0.1941023117719221,0.19254724222517605,0.19177375939558466,0.1893239447863492,0.18889549819347384
auc_roc_bag,0.5625,0.6875,0.6875,0.6875,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.84375,0.84375,0.90625,0.90625,0.75,0.75,0.8125,0.8125,0.75,0.75,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.84375,0.875,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
auc_pr_bag,0.2232142857142857,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2875,0.2875,0.2875,0.2875,0.2875,0.2875,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5833333333333333,0.5833333333333333,0.6666666666666666,0.6666666666666666,0.29166666666666663,0.29166666666666663,0.3333333333333333,0.3333333333333333,0.29166666666666663,0.29166666666666663,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.41666666666666663,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663
Date,2024-05-30
Time,84.77239513397217
seed,19
Number of anomalous bags,2
Number of anomalies,41
Rewards bag 0,4.09003634752331e-06,4.076202911022411e-06,1.9057630219561785e-06,3.3781427022254234e-06,2.944916281558414e-06,2.1702174841659925e-06,1.7737670597023518e-06,1.4459039503766727e-06,1.3533598072275243e-06,1.645538492926553e-06,1.2214671089176958e-06,8.189199749180052e-07,5.997902007796172e-07,4.866777430634418e-07,1.0665202488414237e-06,1.2468595638435466e-06,6.147208147012125e-07,5.636624788185816e-07,6.168810924669464e-07,4.531149542126367e-07,7.78093380025088e-06,8.177563381595125e-07,9.597399510537687e-07,6.449820578977237e-07,4.456260905956282e-06,1.4503653411918272e-06,4.4614249352749085e-06,2.072226481804872e-06,9.452827632335571e-07,7.084435181842904e-07,1.4842167946345095e-06,1.4015859617532957e-06,8.900242846654955e-07,4.252897240228922e-07,1.4577860801933113e-06,8.102604900428883e-07,7.534533707561815e-07,4.5556152676811416e-07,4.742818723333748e-07,5.339656207905615e-07,4.6256052577634946e-07,5.358214827389628e-07,4.971539565268836e-07,6.263254849999568e-07,6.630102254370584e-07,4.1550442767445417e-07,4.7528212179724866e-07,5.479124087688304e-07,3.369245037766735e-07,4.128378570190017e-07,3.885556876496977e-07,4.204035597689587e-07,4.347972714993133e-07,3.0895905335629815e-07,4.2047708407852533e-07,4.80095044123482e-07,4.432049399622617e-07,3.178847157144572e-07,2.773947937735977e-07,9.651681947310607e-07,2.700136221242344e-07,2.858104329296458e-07,3.7999945172341673e-06,4.794436710235836e-07,2.884046044146852e-07,5.701324613913444e-07,3.2055259152861984e-07,3.5055433659101176e-07,7.539262802869354e-07,4.078212157883278e-07,2.1045920180766204e-07,2.606051256294357e-07,2.1246469565181983e-06,5.438653729195641e-07,7.239105836332284e-07,2.6267866102020166e-07,8.430193229866985e-07,2.7337503465964413e-07,4.355330816904252e-07,2.720591933511092e-07,2.0374337628780344e-07,2.751983753312748e-07,6.661511637026404e-07,4.5706332783451315e-07,2.1262667630682117e-07,4.6648397581628687e-07,3.4099916369951303e-07,2.1403385248526567e-07,2.9889123494505745e-07,1.935545151459528e-07,2.1512612426657526e-07,9.118623272136935e-07,2.864227540527366e-07,1.456888637550756e-07,2.1246993036003798e-07,1.5414131338617378e-07,2.2071988844230718e-07,1.916602393469352e-07,2.237391351716238e-07,2.0284981196023228e-07
Prob contr bag 0,0.04090036347523761,0.040762029110228595,0.019057630219563883,0.033781427022257955,0.029449162815587387,0.021702174841662314,0.01773767059702547,0.014459039503768319,0.013533598072276734,0.016455384929267344,0.012214671089178303,0.008189199749180955,0.005997902007796832,0.004866777430634954,0.010665202488415413,0.012468595638436839,0.0061472081470128025,0.005636624788186437,0.006168810924670144,0.004531149542126866,0.07780933800251737,0.008177563381596026,0.009597399510538743,0.006449820578977947,0.04456260905956773,0.01450365341191987,0.044614249352754,0.020722264818051003,0.009452827632336612,0.007084435181843684,0.01484216794634673,0.014015859617534501,0.008900242846655936,0.0042528972402293905,0.014577860801934718,0.008102604900429775,0.007534533707562644,0.004555615267681643,0.00474281872333427,0.005339656207906203,0.004625605257764004,0.005358214827390218,0.004971539565269384,0.006263254850000257,0.0066301022543713145,0.004155044276744999,0.00475282121797301,0.0054791240876889075,0.003369245037767106,0.0041283785701904715,0.0038855568764974047,0.00420403559769005,0.004347972714993612,0.0030895905335633217,0.004204770840785716,0.004800950441235349,0.004432049399623105,0.003178847157144922,0.002773947937736283,0.00965168194731167,0.0027001362212426415,0.0028581043292967728,0.03799994517234586,0.004794436710236364,0.0028840460441471693,0.005701324613914072,0.0032055259152865513,0.0035055433659105036,0.007539262802870184,0.004078212157883727,0.0021045920180768523,0.0026060512562946438,0.021246469565184323,0.005438653729196241,0.007239105836333081,0.002626786610202306,0.008430193229867914,0.0027337503465967423,0.0043553308169047315,0.0027205919335113915,0.0020374337628782588,0.002751983753313051,0.006661511637027137,0.004570633278345635,0.002126266763068446,0.004664839758163382,0.0034099916369955056,0.0021403385248528924,0.002988912349450904,0.0019355451514597411,0.0021512612426659895,0.00911862327213794,0.0028642275405276816,0.0014568886375509163,0.0021246993036006137,0.0015414131338619076,0.002207198884423315,0.001916602393469563,0.0022373913517164845,0.0020284981196025463
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
