auc_roc,0.4536991062562066,0.4814424031777557,0.5088753723932472,0.5097132571996027,0.5501799900695135,0.5738269612711023,0.5806541708043694,0.6039908142999008,0.6220829195630586,0.6395543694141014,0.6509744289970208,0.631578947368421,0.6383130585898709,0.6490814299900695,0.6697492552135055,0.6944203078450845,0.6877482621648461,0.7064920556107249,0.7544376861966235,0.7585029791459781,0.7644923038728898,0.7674404170804369,0.8451775074478649,0.8594836146971201,0.9069637537239325,0.91115317775571,0.9153736345580933,0.9523957298907647,0.9746772591857,0.9794873386295928,0.9789908142999006,0.9846698113207547,0.9888592353525323,0.9891074975173784,0.9884558093346574,0.9879592850049652,0.9923349056603773,0.9924900695134062,0.9929555610724926,0.9935451837140019,0.9935451837140019,0.9930796921549156,0.9938555114200596,0.9934520854021848,0.9934520854021847,0.9937934458788481,0.9938244786494539,0.9934831181727904,0.9942279046673288,0.9937934458788481,0.9935141509433962,0.9931107249255213,0.9937624131082423,0.9933900198609731,0.9935762164846077,0.9934520854021847,0.9942589374379345,0.9942589374379345,0.9942899702085403,0.9942589374379345,0.9941348063555114,0.9941348063555114,0.9938865441906652,0.9937624131082422,0.9936693147964251,0.9941968718967229,0.9941037735849056,0.9941348063555114,0.9943830685203575,0.9942899702085403,0.9945382323733863,0.9942899702085403,0.9942279046673287,0.9948485600794439,0.9951588877855015,0.9947554617676266,0.9948795928500497,0.9947864945382324,0.9948175273088381,0.9943520357497517,0.9942279046673287,0.993917576961271,0.993545183714002,0.993545183714002,0.9930176266137041,0.9899453823237339,0.9894798907646475,0.9887040714995035,0.9936072492552135,0.9866869414101291,0.9874937934458788,0.988890268123138,0.9907832671300894,0.9923969712015889,0.9932348560079444,0.9937934458788481,0.9941037735849056,0.995345084409136,0.9972070506454817,0.9945071996027806,0.9936072492552135
auc_pr,0.14116761380681064,0.15028401613734785,0.1591359182646534,0.1549757287196148,0.17126794356716335,0.1860278495673513,0.20300782148505273,0.21841097197671872,0.24955970079834847,0.30930047389976373,0.3185142577479635,0.2943631943425135,0.29423136623870716,0.3033224953160499,0.35498260952714933,0.42065408661383447,0.384121495940193,0.40467289298167297,0.4772192294216978,0.48748053268110153,0.504448558290016,0.5084485744257772,0.6636500098200465,0.6989696432627405,0.7754911306103152,0.8128698756516287,0.8456085337680247,0.8871598204125559,0.9100394439588462,0.9284460052530975,0.93743940578098,0.9441412614074408,0.9522149536678568,0.9556986639398629,0.956239392766903,0.9582323573948617,0.964768609878004,0.9680192480254117,0.967762184335402,0.9722960907290455,0.9723772017774085,0.9724654526769313,0.9743821202608404,0.9726549051407457,0.9735031312536168,0.975564345698999,0.9757561773028495,0.9748283277610005,0.9752938729934847,0.9749271564212043,0.9743624724263812,0.9739542198734998,0.9751060222158496,0.9745578403203611,0.9758506456390346,0.9752869268909449,0.9774736998487777,0.9763098432275389,0.9765203830178749,0.9766916859122595,0.9760190442961315,0.9761414745174313,0.9752510792060402,0.9745697031354869,0.9743721274526308,0.9754803177257226,0.9750164423741801,0.9749256397070977,0.9761945371364257,0.9757429922219837,0.975848179488792,0.9747426940626135,0.974734578965811,0.9783362249945808,0.9797476280524221,0.9792957325892749,0.9796890802801931,0.9788456524455544,0.9796704366892441,0.9783797054661107,0.9783931791409666,0.9776708592955239,0.9770737898567258,0.9773864227433318,0.97733518075137,0.9647398102259902,0.9634061501445763,0.9600118937873717,0.9755333579939051,0.9652002709773964,0.9673541628235927,0.9694747601917592,0.9726164467057739,0.9755223790378099,0.9772830886941705,0.9782735558692474,0.9795707217174064,0.9820068529489142,0.9881618162795311,0.9789722954099862,0.9765005793178264
auc_roc_bag,0.5416666666666667,0.5416666666666667,0.5,0.5416666666666666,0.6250000000000001,0.75,0.625,0.625,0.75,0.6666666666666666,0.5416666666666666,0.41666666666666663,0.4583333333333333,0.5833333333333333,0.8333333333333333,0.75,0.625,0.625,0.6666666666666666,0.7083333333333333,0.6666666666666666,0.625,0.75,0.7916666666666666,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.875,0.875,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.875,0.875,0.875,0.875
auc_pr_bag,0.7366732804232804,0.6724867724867724,0.6571097883597883,0.6834986772486772,0.7683201058201058,0.878042328042328,0.8015542328042328,0.7765542328042327,0.8740079365079364,0.8128968253968253,0.7216269841269841,0.6077380952380952,0.5156746031746031,0.593452380952381,0.9037698412698412,0.7692460317460318,0.6982142857142857,0.6982142857142857,0.6232142857142857,0.7482142857142857,0.7246031746031746,0.6982142857142857,0.7692460317460318,0.7880952380952381,0.9061507936507937,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9436507936507936,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.8575396825396825,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.8873015873015873,0.8873015873015873,0.8873015873015873,0.8662698412698413,0.9061507936507937,0.9061507936507937,0.9061507936507937,0.9061507936507937
Date,2024-05-29
Time,104.9015371799469
seed,6
Number of anomalous bags,6
Number of anomalies,76
Rewards bag 0,1.7352904887904892e-06,1.8624968374422901e-06,9.601035283871087e-07,2.2971685426657317e-06,1.216382688817438e-06,2.6809085597205034e-06,1.4725094164317036e-06,1.8871273478088789e-06,2.0556302566744643e-06,7.649446009232349e-07,2.25122837933323e-06,8.316468138495095e-07,6.302332919369929e-07,1.7623688272574575e-06,3.925286113327725e-06,1.8684169499056486e-06,9.941983883381119e-07,1.5653905992569974e-06,9.901865882930274e-07,8.459190430229955e-07,7.992944238788773e-07,3.299985465021067e-06,2.3629487513184532e-06,2.672027529590369e-06,9.582198548713064e-07,1.4456377457839792e-06,1.3620038471141245e-06,2.893128284842703e-06,1.1097538061137913e-06,1.4531296529094407e-06,1.022292022532243e-06,8.382338837625149e-07,1.2375941029421918e-06,5.375460675575228e-07,4.902077268445708e-07,8.927117874463548e-07,6.313813505645678e-07,1.058680852290203e-06,5.319146510373729e-07,2.76073175193434e-07,2.4016132966906937e-07,3.577224774099725e-07,4.0860870669350216e-07,4.443651446870923e-07,1.9141118906842561e-07,8.271925837462879e-08,2.886926255740721e-07,6.978024519802359e-07,1.5862900309898644e-07,1.0179891485149254e-07,2.1941670674338833e-07,2.9233847470442754e-07,1.7915630466643023e-07,3.5419178114295134e-07,2.3794600890050127e-07,2.870816914504458e-07,2.640005855601541e-07,3.1671289999865085e-07,1.0256293234664128e-07,6.946052028221282e-08,1.3855330293626185e-07,5.975135816288299e-08,7.174718493364816e-08,5.800823913060551e-08,1.6735703444580456e-07,5.3170014618408495e-08,1.1309505991819955e-07,5.3821806250889546e-08,5.6303517288928054e-08,1.4806044077748294e-07,9.836250332099259e-08,6.508555578473447e-08,3.3020753887123914e-07,6.34896987101998e-08,2.456615028643349e-07,7.534143951844048e-08,7.198214028603738e-08,5.456890797225331e-08,1.5777485336692148e-07,1.9422937542793094e-07,1.2001053464238588e-07,1.1606413502401459e-07,4.02753958480405e-08,3.0964958374779075e-07,5.955376133850749e-07,2.473262890189153e-07,2.2085391261949488e-07,5.910959377577251e-07,3.783659004547062e-07,4.125175783301362e-07,2.464163165445424e-07,4.123375214836137e-07,3.4356089026512553e-07,3.2581123616678837e-07,2.785364153454228e-07,4.5078981658506445e-07,5.197379687234169e-07,2.619978975663198e-07,2.8171379338294285e-07,3.9490396889749146e-07
Prob contr bag 0,0.017352904887906802,0.01862496837442495,0.009601035283872144,0.02297168542665985,0.01216382688817572,0.026809085597207988,0.014725094164318657,0.018871273478090866,0.02055630256674691,0.007649446009233191,0.022512283793334777,0.00831646813849601,0.006302332919370623,0.017623688272576515,0.03925286113328157,0.018684169499058545,0.009941983883382214,0.015653905992571698,0.009901865882931364,0.008459190430230887,0.007992944238789653,0.0329998546502143,0.023629487513187133,0.026720275295906634,0.00958219854871412,0.014456377457841384,0.013620038471142744,0.028931282848430214,0.011097538061139136,0.014531296529096007,0.010222920225323555,0.008382338837626072,0.012375941029423281,0.0053754606755758196,0.004902077268446248,0.008927117874464532,0.0063138135056463734,0.010586808522903196,0.005319146510374315,0.002760731751934644,0.002401613296690958,0.003577224774100119,0.0040860870669354715,0.004443651446871412,0.001914111890684467,0.000827192583746379,0.002886926255741039,0.006978024519803127,0.001586290030990039,0.0010179891485150375,0.002194167067434125,0.0029233847470445974,0.0017915630466644997,0.0035419178114299036,0.002379460089005275,0.0028708169145047744,0.0026400058556018315,0.0031671289999868576,0.0010256293234665258,0.0006946052028222047,0.001385533029362771,0.0005975135816288957,0.0007174718493365606,0.000580082391306119,0.0016735703444582298,0.0005317001461841435,0.00113095059918212,0.0005382180625089547,0.0005630351728893425,0.0014806044077749923,0.0009836250332100342,0.0006508555578474165,0.003302075388712755,0.000634896987102068,0.0024566150286436197,0.0007534143951844878,0.000719821402860453,0.0005456890797225932,0.0015777485336693885,0.0019422937542795233,0.001200105346423991,0.0011606413502402736,0.00040275395848044936,0.0030964958374782485,0.005955376133851404,0.0024732628901894256,0.002208539126195192,0.005910959377577902,0.0037836590045474787,0.004125175783301817,0.002464163165445695,0.004123375214836591,0.0034356089026516337,0.0032581123616682427,0.002785364153454535,0.004507898165851141,0.005197379687234742,0.0026199789756634864,0.0028171379338297387,0.0039490396889753495
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
