auc_roc,0.7304318488529014,0.7543859649122806,0.7290823211875843,0.7159244264507423,0.7317813765182186,0.7439271255060729,0.7415654520917678,0.7034412955465587,0.7314439946018894,0.7466261808367072,0.7672064777327936,0.771255060728745,0.7908232118758434,0.7904858299595141,0.7948717948717948,0.8114035087719298,0.815114709851552,0.8184885290148449,0.8306342780026991,0.8414304993252362,0.8556005398110661,0.8674089068825912,0.869770580296896,0.879217273954116,0.8815789473684211,0.8765182186234818,0.8529014844804319,0.8495276653171391,0.8441295546558705,0.8522267206477732,0.8559379217273955,0.8579622132253711,0.858974358974359,0.8653846153846154,0.8657219973009447,0.8232118758434548,0.8296221322537112,0.8309716599190283,0.8272604588394062,0.8252361673414306,0.8309716599190283,0.8299595141700404,0.8292847503373819,0.8319838056680161,0.8377192982456141,0.8417678812415654,0.8437921727395412,0.8464912280701755,0.8478407557354926,0.8464912280701753,0.851889338731444,0.8532388663967612,0.8542510121457491,0.844804318488529,0.8461538461538461,0.842442645074224,0.8454790823211875,0.840080971659919,0.8417678812415655,0.8437921727395411,0.8498650472334683,0.8515519568151146,0.8505398110661267,0.8535762483130903,0.8522267206477733,0.8525641025641025,0.8545883940620783,0.8529014844804319,0.8535762483130904,0.8545883940620783,0.8512145748987854,0.8549257759784075,0.8505398110661269,0.8505398110661269,0.8505398110661269,0.8478407557354926,0.8481781376518219,0.849527665317139,0.8515519568151146,0.8532388663967612,0.8545883940620783,0.8572874493927125,0.8593117408906882,0.8572874493927126,0.8576248313090418,0.8586369770580298,0.8596491228070176,0.8606612685560053,0.8633603238866396,0.8680836707152497,0.8687584345479082,0.8680836707152497,0.8694331983805668,0.869770580296896,0.8717948717948718,0.8731443994601891,0.8765182186234818,0.8771929824561404,0.8788798920377867,0.8775303643724697,0.8798920377867747
auc_pr,0.04982563617661585,0.06603963054561118,0.06502174852747988,0.06522675907262467,0.0681067389307372,0.057105734080381707,0.05689447874360016,0.05593104173733916,0.058694607362667774,0.060074840381215876,0.0843379099296394,0.07099561150673553,0.07380223050578673,0.07379898465009549,0.07530476894259483,0.09423619442142118,0.08334303669855815,0.08078792227085564,0.09482141533622307,0.10240956038368683,0.1425241063570506,0.161771682642826,0.16493649687166137,0.16631554487575623,0.1640104921293616,0.1634540142914527,0.1615948197546483,0.16429030994917843,0.1639329183583842,0.16817143199788998,0.40628904853133463,0.4060272069748593,0.4058371457267101,0.40011988442800167,0.40656829712641435,0.4038680169472607,0.4047234971057841,0.3984797957572703,0.412794518312948,0.4126989133736798,0.41308929617600587,0.3931157512024609,0.3888614729797893,0.38549914599720236,0.3861439698712086,0.3901334864775155,0.39448867762368833,0.39492852392583894,0.395011698910004,0.3904175394497975,0.3910301688146759,0.40685744938042556,0.4065253776838956,0.4059184113156956,0.4059999488812169,0.4059115001470012,0.4150808309627071,0.41239947841387936,0.41272770322145,0.4244196349459507,0.42515583826994596,0.4253625365404241,0.42456793528887654,0.42500020400149824,0.4249030085330395,0.4248531233454095,0.42515041785064667,0.42510735334264743,0.42515568864797476,0.42515041785064667,0.4247569691804421,0.4254201582561677,0.42520119498668424,0.42486188876446435,0.3550803124128288,0.35489205418124853,0.3548496064778988,0.35507618019717796,0.35551156546135415,0.35571124420353034,0.35580949798341105,0.35617657782107354,0.3565082236625891,0.46887176832829003,0.46880287526768755,0.4687889019433822,0.46895602704868405,0.46912705257811116,0.46953542876312393,0.47035820258239286,0.47019472351692526,0.47035820258239286,0.4700506209492845,0.4701803200473769,0.47036467936793536,0.470124562423769,0.470635538090781,0.4708911527941378,0.47097315170673054,0.4710248085248085,0.5200560587073745
auc_roc_bag,0.5625,0.625,0.6875,0.8125,0.8125,0.75,0.6875,0.6875,0.6875,0.6875,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75,0.75,0.6875,0.6875,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.19583333333333333,0.21666666666666667,0.2583333333333333,0.3333333333333333,0.3333333333333333,0.2875,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.2583333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2875,0.29166666666666663,0.29166666666666663,0.24583333333333335,0.24583333333333335,0.29166666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-05-30
Time,76.35996627807617
seed,1
Number of anomalous bags,2
Number of anomalies,6
Rewards bag 0,3.341895024844473e-06,1.6448467589935789e-06,8.198763995540221e-07,1.6106869637509922e-06,2.1407572984097194e-06,8.730726081103057e-07,8.975726513355851e-07,2.3159458649084124e-06,1.2145743789681923e-06,3.93956179712074e-06,1.2708200591464033e-06,1.4857565521716713e-06,3.077113405640232e-07,1.3160064931955796e-06,2.250362158543456e-06,5.135762371277517e-07,2.9958074432926694e-07,3.059511892721107e-06,2.031064813942947e-06,2.6460735818386695e-06,1.4884951549296428e-06,5.360720480545581e-07,9.430209584756295e-07,5.116273025922971e-07,3.6368288437624734e-07,9.49942632799056e-07,9.932730984310306e-07,5.651895062705322e-07,7.879324546531683e-07,6.618558659055163e-07,1.2057217071743546e-06,8.187420342870747e-07,6.588645501764679e-07,4.3469753902192234e-07,4.5291465819230285e-07,7.306189331169345e-07,8.511615932708737e-07,2.792474341453002e-07,3.749592584795974e-07,6.594367762883402e-07,5.328872004682083e-07,2.529938077446648e-07,2.924048558492014e-07,5.246943127424829e-07,7.490370303054955e-07,8.678345870726337e-07,3.298460134813315e-07,2.5097309089816543e-07,3.52566899286844e-07,5.620716135468491e-07,1.1359228800881707e-07,3.228627910407596e-07,2.9963967543952046e-07,1.887119530907035e-07,8.459649096806531e-07,1.1205648432198738e-06,6.024421663682624e-07,8.37018887929357e-07,4.372634966211967e-07,7.42732321663551e-07,6.767828464511016e-07,7.259011331275756e-07,8.475065420244327e-07,1.5858961296414943e-07,2.7078301647988586e-07,3.672900550492131e-07,2.0025487071985637e-07,5.208205347985361e-07,2.8304762528382793e-07,1.7420581014073287e-07,4.1906236525140515e-07,5.493549786376586e-07,4.1453482709785224e-07,4.852952135402111e-07,2.0423251805159997e-07,3.756270775616648e-07,6.540391982482303e-07,4.2119687788131103e-07,2.1186495565305033e-07,2.951030405148165e-07,2.20068949800456e-07,3.1850047492454554e-07,5.485576499172241e-07,2.69462100030304e-07,2.1032082063353885e-07,2.86106871702157e-07,5.128972628160864e-07,3.09449509706319e-07,1.3448923509013818e-06,2.714318455870831e-07,2.535283657553773e-07,2.5875508356425685e-07,2.5020073105508886e-07,3.6419917306056064e-07,2.397478049319197e-07,2.211952626933266e-07,3.8607481933146286e-07,2.9999810396618506e-07,2.3617431729956725e-07,9.589204961953466e-07
Prob contr bag 0,0.03341895024844841,0.0164484675899376,0.008198763995541125,0.016106869637511696,0.02140757298409955,0.008730726081104019,0.00897572651335684,0.023159458649086674,0.012145743789683262,0.03939561797121174,0.012708200591465433,0.014857565521718349,0.003077113405640571,0.013160064931957245,0.02250362158543704,0.005135762371278082,0.0029958074432929996,0.03059511892721444,0.020310648139431706,0.02646073581838961,0.014884951549298068,0.005360720480546172,0.009430209584757333,0.005116273025923535,0.003636828843762874,0.009499426327991606,0.0099327309843114,0.005651895062705944,0.00787932454653255,0.0066185586590558915,0.012057217071744872,0.008187420342871649,0.006588645501765404,0.004346975390219702,0.004529146581923527,0.00730618933117015,0.008511615932709675,0.0027924743414533097,0.0037495925847963866,0.006594367762884128,0.00532887200468267,0.0025299380774469267,0.002924048558492336,0.005246943127425407,0.00749037030305578,0.008678345870727293,0.003298460134813678,0.002509730908981931,0.0035256689928688284,0.0056207161354691094,0.0011359228800882958,0.0032286279104079513,0.0029963967543955345,0.001887119530907243,0.008459649096807463,0.011205648432199972,0.0060244216636832874,0.008370188879294492,0.004372634966212449,0.007427323216636328,0.0067678284645117616,0.007259011331276556,0.00847506542024526,0.001585896129641669,0.002707830164799157,0.0036729005504925354,0.002002548707198784,0.005208205347985935,0.002830476252838591,0.0017420581014075205,0.004190623652514513,0.005493549786377191,0.004145348270978979,0.0048529521354026455,0.0020423251805162246,0.003756270775617062,0.006540391982483023,0.004211968778813574,0.0021186495565307367,0.00295103040514849,0.0022006894980048024,0.0031850047492458064,0.005485576499172845,0.0026946210003033367,0.00210320820633562,0.002861068717021885,0.005128972628161429,0.003094495097063531,0.013448923509015298,0.0027143184558711298,0.002535283657554052,0.0025875508356428536,0.0025020073105511643,0.003641991730606008,0.002397478049319461,0.0022119526269335095,0.003860748193315054,0.002999981039662181,0.0023617431729959326,0.009589204961954522
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
