auc_roc,0.4879528454724071,0.4946744338354417,0.49705284202543865,0.5093585191823791,0.49774223570369863,0.5062562476302092,0.4961910999276137,0.4933990555306608,0.5077384440384682,0.5029471579745614,0.5014649615663024,0.5138395780910688,0.5162179862810659,0.5170452586949777,0.5051876874289063,0.5068767019406432,0.48812519389197206,0.4901589052428389,0.49181345007066285,0.4927096618524008,0.4945365550997897,0.4995691289510875,0.5029126882906484,0.5746785701975112,0.5758160697666402,0.6446520285408982,0.651028920064803,0.6353107442004757,0.628175519630485,0.6189721140257143,0.6235910516700562,0.6232808245148392,0.6331391541139568,0.6343111233669987,0.6354141532522147,0.6504774051221951,0.649546723656544,0.652063010582193,0.6555099789734928,0.6437213470752474,0.6458239977939403,0.6448243769604634,0.6445830891730724,0.6465823308400263,0.648960739030023,0.6469614973630692,0.6437558167591604,0.6422736203509014,0.6365171831374307,0.6371031677639517,0.6365516528213436,0.6363793044017787,0.6397918031091655,0.6405846058391644,0.6344145324187377,0.6372410464996037,0.6394815759539486,0.6438247561269864,0.650063768915239,0.6471683154665471,0.6491330874495881,0.6453069525352452,0.6422736203509014,0.6443073317017682,0.6482368756678503,0.649305435869153,0.6523042983695839,0.651856192478715,0.651132329116542,0.6513391472200201,0.6529592223639309,0.6546827065595809,0.6564751301230568,0.6578194477956638,0.6580607355830548,0.6524077074213229,0.65237323773741,0.649925890179587,0.650167177966978,0.6469614973630693,0.6479955878804592,0.651718313743063,0.6572679328530558,0.6558202061287098,0.6596808107269656,0.6577505084278378,0.6575781600082727,0.6618868704973976,0.6616800523939195,0.6624728551239184,0.6636103546930474,0.6541656613008859,0.6413774085691634,0.6479266485126332,0.6342077143152597,0.6383785460687327,0.6396883940574266,0.6392058184826445,0.6418255144600324,0.6358277894591706,0.6251077177622282
auc_pr,0.1786298181794283,0.1820502943017252,0.1838154007863513,0.18757174405624968,0.17431737464857588,0.1770763173661578,0.1712928437040638,0.16866023040453157,0.17443475694458005,0.17243952523520706,0.17083259243386228,0.20306808529168774,0.2042933820239911,0.2039231741933863,0.20218573111774474,0.20291890280799013,0.1975124476360617,0.18882737783424977,0.19023533222115996,0.19068955588130237,0.19138025208303197,0.19415911337767094,0.1956076776524407,0.22154005691103135,0.22235085246736258,0.24904976606599982,0.24988064043437452,0.23871796227381248,0.2330996805289196,0.2299154942110884,0.2315624525683499,0.24756182108061398,0.2622353753331622,0.26242576634988596,0.25426573451401374,0.2593883764944021,0.27318836161964466,0.27399907506836835,0.2754041881513677,0.26301915832898976,0.2639668658106596,0.2643824817870841,0.26242594491639293,0.2634991988731703,0.26098568686728035,0.25821593955021843,0.2574798964216738,0.25672146460007866,0.26129706619338444,0.261200001409622,0.2592484455809655,0.26403113033812486,0.2668624834609754,0.26302746756591366,0.26003696580651875,0.2606411424134141,0.2610668881661618,0.263139739864394,0.2678798779826267,0.2677746973488745,0.2699681353002656,0.2662138705366024,0.26349475220984503,0.26498269909322303,0.2668453823793884,0.2674714174828159,0.2688456145927254,0.26896334178277986,0.2713029425543318,0.271317747242154,0.26934525625767025,0.27023520234096793,0.2691667536668315,0.2699289481270126,0.2696508381039934,0.2690738749520917,0.26829163013532215,0.26773582201601087,0.26775587087339514,0.2658277559351948,0.268412288338718,0.27004269123150443,0.2739995391763121,0.2723389899048176,0.2747208931543974,0.27320831202427626,0.27117662982076807,0.2726467469049447,0.27138835268877043,0.27144641340614795,0.2728829655826836,0.27006285979810735,0.26649285664335776,0.2688048410518932,0.263996139109212,0.2665279264150934,0.28393233505023696,0.2824634341741186,0.2831597358553605,0.2821979121158917,0.2806931010434234
auc_roc_bag,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.5833333333333334,0.5833333333333334,0.5416666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.625,0.625,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.625,0.625,0.625,0.625,0.625,0.625,0.7083333333333334,0.7083333333333334,0.7916666666666666,0.75,0.75,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.75,0.75,0.75,0.7916666666666666,0.75,0.75,0.75,0.75,0.75,0.8333333333333333,0.7916666666666666,0.7916666666666666,0.75,0.75,0.75,0.75,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.75,0.75,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.75,0.75,0.75,0.7916666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.75,0.75,0.7916666666666666,0.75,0.75,0.7083333333333334,0.75,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666667
auc_pr_bag,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.6071428571428571,0.5654761904761905,0.5654761904761905,0.5425595238095238,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6494047619047619,0.6494047619047619,0.7714285714285715,0.7464285714285714,0.7464285714285714,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.6672619047619047,0.7931547619047619,0.7931547619047619,0.7931547619047619,0.7931547619047619,0.7931547619047619,0.7931547619047619,0.7931547619047619,0.7535714285714286,0.7535714285714286,0.7535714285714286,0.7714285714285715,0.7535714285714286,0.7535714285714286,0.7535714285714286,0.7535714285714286,0.7535714285714286,0.8110119047619048,0.7714285714285715,0.7714285714285715,0.7535714285714286,0.7535714285714286,0.7535714285714286,0.7535714285714286,0.7285714285714286,0.7285714285714286,0.7535714285714286,0.7285714285714286,0.7285714285714286,0.7535714285714286,0.7535714285714286,0.7399305555555555,0.7399305555555555,0.7399305555555555,0.7535714285714286,0.7535714285714286,0.7535714285714286,0.7714285714285715,0.7714285714285715,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7464285714285714,0.7464285714285714,0.7464285714285714,0.7714285714285715,0.7535714285714286,0.7535714285714286,0.7285714285714286,0.7535714285714286,0.7535714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7535714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.6702380952380953,0.6452380952380953
Date,2024-05-31
Time,107.96229267120361
seed,4
Number of anomalous bags,4
Number of anomalies,67
Rewards bag 0,1.0358371820413453e-06,1.3029402855539049e-06,1.1525939664897107e-06,2.488904519241214e-06,1.1555686449301504e-06,2.0775140560008963e-06,6.722894885184254e-07,1.353965240819198e-06,9.970637382801203e-07,7.190520203211104e-07,4.277011451160682e-06,7.537004580042464e-07,1.557509436941274e-06,8.479693546896861e-07,3.5456780090158334e-07,2.3212931216891596e-06,2.281818365363353e-06,5.833841960929342e-07,1.4580854133465995e-07,4.4256540985789307e-07,1.1944276289876917e-06,5.332430333914844e-07,9.217803221970842e-06,3.9629273149970186e-07,1.1136423672398462e-05,3.387272123334286e-06,3.3148098653360325e-06,3.0648512234498726e-06,2.45633714662202e-06,2.634068607014049e-07,1.3173294108127622e-06,3.958849065354759e-06,6.536204345133362e-07,7.129090872024327e-07,9.630094539393943e-07,1.1418249167260673e-06,5.166656840803394e-07,2.864096674908034e-07,1.425641470452534e-06,1.517917487108386e-07,2.2450685081749804e-07,1.0213116443757556e-06,6.530657417670542e-07,9.468323243889008e-07,7.20139820866498e-07,7.634141298248523e-07,9.123179261294369e-07,3.259229370254598e-06,9.371338356451476e-07,7.497039532870435e-07,3.144092899057926e-06,4.126493343964239e-07,1.6719867593613241e-06,7.658058721356182e-07,1.1165005565712978e-06,1.032432955233418e-06,2.4951620373988737e-07,3.6965606043856174e-06,1.986966474848042e-06,8.604161038021808e-07,1.0930659042927993e-06,1.1308222824934928e-06,4.3646792748788467e-07,6.707035163631184e-07,3.8530743669285756e-07,6.310837033777538e-07,7.094123650175025e-07,1.551455452887507e-06,1.7169289765262087e-06,4.973849932939227e-06,2.42014187974147e-07,8.037998790465383e-07,1.1703663233703234e-07,7.040680521485682e-07,1.0304698640382246e-06,9.157027665679235e-07,1.8332357393125484e-06,4.622713058960277e-07,5.714215031379758e-07,8.952155156045729e-07,1.3049168199048753e-06,3.9557414493894615e-06,1.2088741430163648e-06,8.718545553364721e-07,2.2275028039656806e-06,2.385801361357159e-07,2.0502493144442698e-07,4.70748451103756e-07,3.2548061209216234e-07,3.044859560904308e-07,2.6729192889116687e-07,1.1424726666747234e-06,3.7341140112700143e-07,8.806909828943705e-07,3.189644774785993e-07,9.033888712529941e-07,2.132595318193135e-06,2.013017994961663e-07,6.153913321598483e-07,4.037970383643587e-07
Prob contr bag 0,0.010358371820414594,0.013029402855540483,0.011525939664898377,0.024889045192414878,0.011555686449302776,0.02077514056001125,0.006722894885184995,0.013539652408193471,0.009970637382802301,0.007190520203211897,0.042770114511611536,0.007537004580043295,0.015575094369414457,0.008479693546897794,0.003545678009016224,0.023212931216894155,0.022818183653636043,0.005833841960929984,0.00145808541334676,0.004425654098579418,0.011944276289878233,0.005332430333915432,0.09217803221971857,0.003962927314997455,0.11136423672399688,0.033872721233346594,0.033148098653363975,0.0306485122345021,0.024563371466222905,0.002634068607014339,0.013173294108129074,0.03958849065355195,0.006536204345134081,0.007129090872025113,0.009630094539395003,0.01141824916726193,0.005166656840803962,0.0028640966749083493,0.01425641470452691,0.0015179174871085533,0.002245068508175228,0.01021311644375868,0.006530657417671261,0.009468323243890051,0.007201398208665773,0.007634141298249364,0.009123179261295373,0.03259229370254957,0.009371338356452508,0.007497039532871261,0.03144092899058272,0.004126493343964694,0.016719867593615084,0.007658058721357025,0.011165005565714207,0.010324329552335317,0.0024951620373991484,0.03696560604386025,0.01986966474848261,0.008604161038022756,0.010930659042929197,0.011308222824936173,0.004364679274879327,0.006707035163631922,0.003853074366929,0.0063108370337782325,0.0070941236501758055,0.015514554528876779,0.017169289765263978,0.04973849932939775,0.0024201418797417363,0.008037998790466268,0.0011703663233704523,0.007040680521486458,0.010304698640383381,0.009157027665680243,0.018332357393127503,0.004622713058960786,0.005714215031380387,0.008952155156046715,0.01304916819905019,0.03955741449389897,0.01208874143016498,0.00871854555336568,0.02227502803965926,0.0023858013613574213,0.0020502493144444957,0.004707484511038079,0.003254806120921982,0.0030448595609046435,0.002672919288911963,0.011424726666748491,0.0037341140112704253,0.008806909828944675,0.0031896447747863446,0.009033888712530936,0.0213259531819337,0.0020130179949618848,0.006153913321599161,0.004037970383644032
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
