auc_roc,0.5424641148325359,0.5439593301435406,0.5473484848484849,0.584280303030303,0.5769537480063796,0.5668361244019139,0.5743122009569378,0.5907595693779905,0.5849282296650717,0.5753588516746412,0.5816885964912281,0.5933014354066986,0.5978867623604465,0.6493720095693779,0.6511662679425838,0.654555422647528,0.6630283094098883,0.6662679425837321,0.6917364433811802,0.6953249601275917,0.702701355661882,0.6950259170653907,0.6895434609250399,0.6819677033492824,0.6839114832535885,0.6906897926634769,0.6908393141945773,0.6906399521531101,0.7003588516746411,0.7019537480063796,0.7044956140350878,0.707585725677831,0.7101774322169059,0.7058911483253588,0.7088815789473684,0.7083333333333333,0.743122009569378,0.7436204146730462,0.7453648325358851,0.7492523923444976,0.7491527113237639,0.7509469696969697,0.7506479266347688,0.7497507974481659,0.7555322966507176,0.7546351674641147,0.7579246411483254,0.7589214513556618,0.7605163476874003,0.7612639553429026,0.7616626794258372,0.7594696969696969,0.7597687400318979,0.7588716108452951,0.7623106060606061,0.76460326953748,0.7673444976076554,0.7647527910685805,0.7669457735247209,0.7691885964912281,0.7693879585326954,0.7709330143540669,0.7684908293460925,0.7698365231259967,0.7703847687400318,0.7672946570972886,0.768092105263158,0.7669956140350878,0.7695873205741627,0.7699362041467305,0.7698863636363636,0.7701854066985646,0.7717304625199363,0.7729764752791068,0.7749202551834131,0.7785586124401914,0.7807017543859649,0.7764653110047848,0.7784589314194578,0.7785087719298246,0.7787081339712919,0.7794059011164274,0.7806519138755981,0.7785087719298245,0.7743221690590111,0.7743720095693779,0.7741726475279107,0.7749700956937798,0.7756678628389154,0.7770135566188198,0.7766148325358851,0.7776116427432217,0.7756678628389154,0.7867324561403509,0.7870314992025519,0.7847886762360445,0.7856359649122807,0.782944577352472,0.783243620414673,0.7841905901116427,0.7960526315789473
auc_pr,0.10558039428678061,0.10691010129357892,0.10772312737329881,0.11936973974302605,0.1137992406946763,0.1137610681287041,0.12491270887087147,0.12993473478606898,0.128883156249812,0.1278119919544653,0.12957854270992183,0.13105472074398763,0.1314696194262554,0.14512455948619096,0.14762466362329493,0.172835113449904,0.19670716443114936,0.20698931987970293,0.21447995292654448,0.21870753935884785,0.2384540471052582,0.2360493010650176,0.23417842495189026,0.23073517241307315,0.23122328420733937,0.23299745603684424,0.22681297843462106,0.21940617510395938,0.22804922168801378,0.23259543565742463,0.24983821032494674,0.2516717536268923,0.2527422572668283,0.2524208473382923,0.2565425148065682,0.2676232062428924,0.27890671433813347,0.27908110920192025,0.28134928675931736,0.2856154710111016,0.28515049764014777,0.28555381151183445,0.2783154097759767,0.27471034079388085,0.2792249922317602,0.2799178927285029,0.2815937902057466,0.2818268157489342,0.28295040511433966,0.2836846654027074,0.28543493319942653,0.28426929238729337,0.28452635850275176,0.28497758600813694,0.2891590428261471,0.2927834381171064,0.2937945843615245,0.29036117138069145,0.29317219917629506,0.3022953204959418,0.3023485712206887,0.3027490075029677,0.301474089458866,0.3017864701286337,0.30302588869453984,0.3014033915031171,0.298258684892054,0.29340452869376427,0.2945303113727702,0.29472989041047176,0.2955270172343864,0.29574960478519674,0.2987010097389104,0.29865465463855506,0.3056706135829922,0.3139538645195933,0.31824742068453077,0.31527482484092845,0.31653530465761043,0.3156633203737068,0.3158114558064397,0.3150146166949241,0.31861046048940056,0.31862298104498604,0.31812337153096903,0.31803420194641163,0.3182889903528862,0.3184744887700284,0.3089468289204261,0.30978369424657104,0.3079379433050641,0.3104499152118288,0.30821524512194365,0.31873812804824475,0.31874245191008044,0.31872517477408985,0.31843339252501707,0.3162938821429914,0.31648638816306857,0.3167778800067504,0.33682738711570775
auc_roc_bag,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7142857142857142,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9523809523809524,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8571428571428572,0.8571428571428572,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8095238095238095,0.8571428571428572,0.9047619047619049,0.9047619047619049,0.8571428571428572,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095
auc_pr_bag,0.711111111111111,0.711111111111111,0.711111111111111,0.40555555555555556,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.37777777777777777,0.40555555555555556,0.40555555555555556,0.40555555555555556,0.40555555555555556,0.40555555555555556,0.37777777777777777,0.42777777777777776,0.6555555555555556,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6777777777777778,0.5916666666666667,0.6222222222222222,0.6222222222222222,0.6555555555555556,0.6555555555555556,0.6777777777777778,0.6777777777777778,0.9027777777777777,0.8500000000000001,0.8166666666666667,0.8166666666666667,0.7936507936507937,0.7936507936507937,0.7936507936507937,0.7936507936507937,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6777777777777778,0.6777777777777778,0.711111111111111,0.711111111111111,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.711111111111111,0.711111111111111,0.711111111111111,0.711111111111111,0.711111111111111,0.4611111111111111,0.711111111111111,0.7638888888888888,0.7638888888888888,0.711111111111111,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6547619047619047,0.6777777777777778,0.42777777777777776,0.42777777777777776,0.42777777777777776,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.4611111111111111
Date,2024-06-21
Time,74.61317181587219
seed,19
Number of anomalous bags,3
Number of anomalies,44
Rewards bXagX 0,6.334253443302628e-07,7.598310866081347e-07,3.7327606169915926e-06,7.69543101458208e-07,1.1570916515061666e-06,8.735696893645899e-07,8.47469712291892e-07,8.764127522157503e-07,7.511873945152498e-07,5.089474933330989e-07,4.686044811689753e-07,1.7502046110922801e-07,2.9372028822790665e-06,9.55816404045102e-07,5.348851236839375e-07,6.366034040704248e-07,5.993580591751986e-07,1.3934565249263878e-06,2.4046438303154974e-07,4.110083524622942e-07,4.477549380983252e-07,9.768230472525767e-07,7.387587480647176e-07,2.3489627925306498e-07,4.4724479528699933e-07,5.982242164147081e-07,6.193302463402043e-07,1.9706733478548905e-06,9.772157306480554e-08,1.95342035074517e-06,2.0727305484754642e-07,1.489358088412913e-07,5.393964496225978e-07,7.933870430824289e-07,2.9154520148375523e-07,2.2105029558027777e-06,5.258394037314942e-08,4.149709088880971e-07,4.649727512048515e-07,6.981670635256349e-07,1.9632892674299862e-07,9.587380070802224e-07,4.787522931407826e-07,6.763886177367201e-07,4.4094449842128035e-07,3.8713309315128395e-07,5.3986768822707304e-08,1.4826104629413665e-07,1.6480741066779848e-07,1.0808597290994319e-07,3.404000851450796e-07,2.7928008789911626e-08,9.756900750345227e-07,3.8264943590687177e-07,5.687883847834817e-07,3.022739661287668e-07,2.947236505092144e-07,7.251505802566756e-07,6.153116127430848e-07,1.9164746743954274e-08,1.2020209893125544e-07,2.4542480690684904e-07,1.1586319032426271e-07,1.1796986558034366e-07,1.5519578350606586e-07,1.2990537670929802e-06,4.890034144779338e-07,1.9700614899772664e-07,2.256264001923738e-08,5.497556893152232e-07,2.5880536594194214e-08,9.99044752105975e-08,9.147173572393393e-08,6.131291855806685e-07,1.1125681708078419e-06,3.0839403236911444e-07,3.090950978711121e-07,5.694468815848171e-07,2.1302758625479828e-07,1.5477848609655847e-08,2.3744049404868288e-07,1.3556764248560384e-07,9.390210642369465e-07,2.633646598385415e-07,2.759166025994212e-07,1.5223618088026e-07,4.750158107000265e-08,3.998127510441524e-08,2.8490910354868015e-07,4.0111835014980654e-07,2.771343165836044e-07,3.670848141550946e-07,1.6972489497389596e-06,3.0947143340798077e-08,2.9002817828064284e-07,2.6479161334642473e-07,2.525584949060132e-07,2.4813244398919054e-08,5.986668305669127e-08,1.6670758024023315e-06
Prob contr bag 0,0.006334253443303325,0.007598310866082184,0.037327606169920036,0.007695431014582928,0.01157091651506294,0.00873569689364686,0.008474697122919853,0.008764127522158468,0.007511873945153326,0.005089474933331549,0.004686044811690269,0.0017502046110924728,0.0293720288227939,0.009558164040452073,0.005348851236839964,0.0063660340407049485,0.005993580591752646,0.013934565249265412,0.002404643830315762,0.004110083524623395,0.004477549380983745,0.009768230472526843,0.00738758748064799,0.0023489627925309085,0.004472447952870486,0.005982242164147739,0.0061933024634027245,0.019706733478551074,0.000977215730648163,0.019534203507453853,0.0020727305484756924,0.001489358088413077,0.005393964496226572,0.007933870430825163,0.0029154520148378734,0.02210502955803021,0.0005258394037315522,0.004149709088881428,0.0046497275120490275,0.0069816706352571175,0.0019632892674302026,0.009587380070803281,0.004787522931408353,0.006763886177367946,0.004409444984213289,0.003871330931513266,0.0005398676882271325,0.0014826104629415298,0.0016480741066781663,0.001080859729099551,0.0034040008514511708,0.000279280087899147,0.009756900750346301,0.003826494359069139,0.005687883847835444,0.003022739661288001,0.0029472365050924685,0.007251505802567554,0.0061531161274315255,0.00019164746743956384,0.0012020209893126867,0.0024542480690687607,0.0011586319032427547,0.0011796986558035665,0.0015519578350608296,0.012990537670931232,0.004890034144779876,0.0019700614899774834,0.00022562640019239865,0.005497556893152838,0.00025880536594197065,0.000999044752106085,0.0009147173572394401,0.00613129185580736,0.011125681708079644,0.003083940323691484,0.0030909509787114616,0.0056944688158487985,0.0021302758625482174,0.0001547784860965755,0.00237440494048709,0.0013556764248561877,0.009390210642370498,0.002633646598385705,0.0027591660259945155,0.0015223618088027677,0.0004750158107000788,0.00039981275104419644,0.002849091035487115,0.004011183501498507,0.0027713431658363493,0.0036708481415513505,0.016972489497391465,0.00030947143340801485,0.0029002817828067476,0.002647916133464539,0.00252558494906041,0.00024813244398921787,0.0005986668305669787,0.01667075802402515
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
