auc_roc,0.6552456255948459,0.6846035580935647,0.6796251555750787,0.6945603631305366,0.6289625887693097,0.5983600556409693,0.5004758767113258,0.5213412402079216,0.5678307343143715,0.5774214803426312,0.6009224687019548,0.5971154550113479,0.6056080240134709,0.6216414085950656,0.6359177099348415,0.6437513727212827,0.6551724137931034,0.6889230543963687,0.7215755179734973,0.7360714547185006,0.7347536422871367,0.7415623398491836,0.7581814188447178,0.7884911047660883,0.7957390731385899,0.7960319203455597,0.7973497327769236,0.799253239622227,0.7866608097225273,0.7799253239622228,0.778314664323889,0.7787539351343435,0.7789003587378285,0.7885643165678307,0.7915660004392708,0.7892232227835128,0.7915660004392708,0.8083315030382898,0.8179222490665495,0.8212167801449595,0.81733655465261,0.8095761036679112,0.8158723186177612,0.8225345925763233,0.8215828391536717,0.8250237938355663,0.8201918149205653,0.8245845230251115,0.8237059814042023,0.8196793323083682,0.8265612416721575,0.8212167801449592,0.8261951826634453,0.8223881689728385,0.8291968665348854,0.8177758254630646,0.8430338970642067,0.8479390877809502,0.8510139834541329,0.8405446958049638,0.836298411303902,0.8373233765282964,0.843912438685116,0.846548063547844,0.8515264660663298,0.8518925250750421,0.8523317958854967,0.8505747126436781,0.8496961710227688,0.8512336188593602,0.8543817263342852,0.8589208580423164,0.8538692437220881,0.8583351636283769,0.851380042462845,0.842741049857237,0.8451570393147375,0.8443517094955707,0.8494765356175416,0.8505015008419357,0.8466212753495863,0.851380042462845,0.8442052858920859,0.8468409107548136,0.8498425946262537,0.8491104766088293,0.826121970861703,0.8226810161798083,0.8298557727505673,0.8333699392342045,0.8368108939160993,0.8368841057178417,0.8340288454498865,0.8319789150010982,0.8394465187788271,0.8362251995021598,0.8484515703931473,0.8491836884105718,0.8477926641774653,0.8469873343582985,0.84523025111648
auc_pr,0.09024014752278171,0.09834931640586844,0.0980945569215932,0.10186798575934794,0.11437644967733146,0.10581965921014702,0.11326045617790122,0.11564933630517506,0.11914067924897152,0.11827852082260146,0.1237844437761845,0.1230583624362967,0.12326197539003772,0.12944798262772322,0.12789262602657467,0.1265281500911153,0.12938705359503078,0.13217351907258162,0.17825172185469798,0.18492324637393898,0.1779708274973473,0.168793382925023,0.18667835647084785,0.19795352423318463,0.26297398024058816,0.26726102013832204,0.26995815404459766,0.29106587822779717,0.3066954969630925,0.3008069045091487,0.30473273868389933,0.2950071006715524,0.3017129366065956,0.3178581095485242,0.3141092341105919,0.32180620187917564,0.31732413929786585,0.33130826395709606,0.3415705313565115,0.3464162474472161,0.33843765782346563,0.3385755561806856,0.3407838240242318,0.3580477994587375,0.3595784656646531,0.3639807525597303,0.3617783126333785,0.3656361501817249,0.390867008083453,0.3895287357410276,0.39120746501514436,0.39315748622642166,0.393680076788913,0.396989974448691,0.39622856070050366,0.3929652796639019,0.42017203833080147,0.4228600071933581,0.4196502493233379,0.41404881700191126,0.4131466822689087,0.41228916499542,0.4184475004038261,0.4237808461700729,0.4278423592135736,0.42345656390954567,0.42222795697658577,0.4198879975523065,0.4195806356461861,0.42033168044507774,0.43053369033519673,0.4270588901550728,0.42470105744756276,0.4286025589905027,0.42337467411950447,0.41942220141157416,0.4223722535999125,0.42184026886009446,0.42672239210279256,0.42787856860146845,0.425023870646946,0.42826706281038507,0.4246900616346439,0.42776018280085293,0.431814483640693,0.4298526720720248,0.4235435802072768,0.421031343897104,0.4324664921901456,0.42701348818092305,0.4303734951372634,0.43467399262575745,0.4303701081101554,0.4346296836207294,0.4419256100167189,0.45493588186683437,0.4892603041596408,0.49044937712563974,0.48657962564497453,0.4839609846382451,0.4830038310632503
auc_roc_bag,0.6666666666666666,0.7142857142857142,0.7142857142857142,0.7142857142857142,0.7619047619047619,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.9523809523809524,1.0,1.0,1.0,1.0,0.9523809523809524,0.9047619047619048,0.9047619047619048,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9047619047619048,0.9047619047619048,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.5823412698412698,0.6378968253968254,0.6378968253968254,0.6378968253968254,0.7767857142857142,0.7638888888888888,0.7537037037037037,0.7537037037037037,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7537037037037037,0.7537037037037037,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7537037037037037,0.7537037037037037,0.7537037037037037,0.7537037037037037,0.7537037037037037,0.7537037037037037,0.7537037037037037,0.7936507936507937,0.7936507936507937,0.7936507936507937,0.7936507936507937,0.8166666666666667,0.8166666666666667,0.7936507936507937,0.7936507936507937,0.7936507936507937,0.8166666666666667,0.9027777777777777,1.0,1.0,1.0,1.0,0.9027777777777777,0.8500000000000001,0.85,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.85,0.8500000000000001,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,1.0,1.0,1.0,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,0.9027777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-25
Time,86.6937825679779
seed,3
Number of anomalous bags,3
Number of anomalies,29
Rewards bXagX 0,3.221289882097188e-06,3.120491819710141e-06,1.9603737526800476e-06,1.1584475269283003e-05,1.9942670564284386e-06,1.0015943993507822e-05,5.4366490208156895e-06,2.781244504822941e-06,2.2512114161879092e-06,3.5435905371697155e-06,1.4838861223889232e-06,7.860976603411609e-07,2.959625217654482e-06,2.5664037829396014e-06,2.2146328350909033e-06,1.4891452739257408e-06,1.983284400719287e-06,5.401553571964852e-06,2.111139682372414e-06,1.184262286912646e-06,8.624367225046351e-07,2.188072455123168e-06,6.709031395930349e-06,1.7109899352383492e-06,2.1233637199001606e-06,1.2685197441540358e-06,2.5663902184929507e-06,1.6891639331862013e-06,1.423378524325997e-06,1.1750956760905664e-06,1.1818443710674585e-06,4.1076343473804476e-07,3.3568899140479773e-06,7.863527036013081e-07,1.4938042009279364e-06,9.680745314904024e-07,1.7747214009079639e-06,1.3575860338773648e-06,1.0643912008746881e-06,7.999940664701531e-07,1.8910549121478664e-06,1.1440212081385266e-06,5.04941776082696e-06,9.874944203722788e-07,1.4153515533741782e-06,7.349984455427216e-07,1.1828024635460344e-06,2.816629180835855e-06,7.002056313019051e-07,7.906106903947052e-07,6.345413826505807e-07,6.679224044219405e-07,9.385704473534297e-07,1.0366028342917828e-06,8.052562513959142e-07,4.222733493895633e-06,1.0465713795249278e-06,9.122830612737005e-07,1.1866665762509016e-06,6.281482463339324e-07,5.507289126807205e-07,9.713340567852233e-07,5.645806990358814e-07,7.054638783709552e-07,4.783071744867366e-07,7.038831587775848e-07,9.522141732812888e-07,5.707130378004981e-07,7.150085652767614e-07,3.7180651338255787e-07,6.506801040348042e-07,6.655988122124545e-07,6.702382355872426e-07,7.193401127607826e-07,6.818706584384733e-07,6.258619982305466e-07,5.476685067313103e-07,5.437578172363776e-07,4.435833560211718e-07,6.131228166725475e-07,5.96672061065468e-07,3.8495061111210874e-07,4.1523876428890745e-07,3.8389907299074893e-07,7.608619143604793e-07,3.2392778505832753e-06,4.3143189353397055e-07,1.0414372443056757e-06,6.296147473922624e-07,3.5267746765153115e-07,3.3736242843913504e-07,4.304054386516756e-07,3.88786233135461e-07,5.932938515883499e-07,2.2172811409446363e-06,2.305530589574736e-06,4.1857371107389344e-07,4.180156740472839e-07,5.29700330194375e-07,2.9817788937549776e-07
Prob contr bag 0,0.03221289882097543,0.031204918197104848,0.019603737526802636,0.11584475269284279,0.019942670564286582,0.10015943993508925,0.054366490208162886,0.027812445048232475,0.02251211416188157,0.035435905371701056,0.014838861223890866,0.007860976603412475,0.029596252176548078,0.025664037829398842,0.022146328350911473,0.014891452739259048,0.019832844007195056,0.05401553571965447,0.021111396823726463,0.011842622869127765,0.008624367225047301,0.021880724551234087,0.06709031395931088,0.017109899352385376,0.021233637199003945,0.012685197441541755,0.025663902184932332,0.016891639331863873,0.014233785243261536,0.011750956760906959,0.011818443710675886,0.0041076343473809,0.03356889914048347,0.007863527036013947,0.014938042009281009,0.00968074531490509,0.017747214009081594,0.013575860338775142,0.010643912008748055,0.007999940664702412,0.018910549121480748,0.011440212081386526,0.05049417760827517,0.009874944203723875,0.014153515533743341,0.0073499844554280255,0.011828024635461646,0.02816629180836165,0.007002056313019821,0.007906106903947923,0.006345413826506506,0.006679224044220141,0.00938570447353533,0.01036602834291897,0.008052562513960028,0.04222733493896098,0.010465713795250431,0.00912283061273801,0.011866665762510322,0.006281482463340016,0.005507289126807812,0.009713340567853302,0.005645806990359436,0.0070546387837103295,0.004783071744867893,0.007038831587776623,0.009522141732813936,0.00570713037800561,0.007150085652768401,0.0037180651338259885,0.006506801040348759,0.006655988122125278,0.006702382355873164,0.007193401127608618,0.006818706584385484,0.006258619982306156,0.005476685067313706,0.005437578172364376,0.004435833560212207,0.00613122816672615,0.005966720610655337,0.0038495061111215112,0.004152387642889532,0.003838990729907912,0.007608619143605631,0.03239277850583632,0.0043143189353401805,0.010414372443057903,0.006296147473923318,0.0035267746765157,0.003373624284391722,0.00430405438651723,0.0038878623313550386,0.005932938515884152,0.022172811409448805,0.0230553058957499,0.004185737110739395,0.004180156740473299,0.005297003301944334,0.002981778893755306
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rewards bag 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rewards bag 2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Rewards bag 4,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
Rewards bag 5,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,13,13,13,14,14,14,14,15,15,15,15
Rewards bag 6,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,12,13,13
Rewards bag 8,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11
Rewards bag 9,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
