auc_roc,0.5682023486901535,0.5720814070885808,0.6293108029119506,0.6525320155162336,0.6807481800308199,0.6679419735373824,0.6829268292682927,0.67771932621287,0.6859556830862426,0.6907380838514268,0.6978585472129232,0.7016313300387906,0.7103990647749615,0.7291567033317392,0.7392528827249056,0.7838354854136776,0.7737393060205111,0.7688506296827674,0.7430256655507732,0.7562038365481694,0.7801689781603698,0.7776183644189383,0.7805409426643285,0.7793719113661725,0.7826664541155215,0.7784154312131356,0.7826133163292417,0.8193315266485999,0.8188001487858017,0.8184281842818428,0.8341569690206705,0.8353791381051066,0.8320845953557575,0.8330410755087942,0.8417025346724055,0.8437217705510389,0.8400552632977311,0.8339975556618311,0.8418088102449652,0.8386736808544556,0.8415962590998459,0.84037409001541,0.844253148413837,0.8442531484138371,0.8446251129177959,0.847600828949466,0.8530740209362878,0.8539773633030449,0.8541899144481642,0.8507890961262554,0.8472820022317871,0.8589723152133482,0.8582283862054307,0.8610978266645412,0.8583346617779903,0.8685371167437166,0.8732663797226208,0.8748073755247356,0.8735852064402996,0.8708751793400287,0.8690684946065147,0.8661459163611244,0.8654019873532068,0.8633827514745736,0.8621074446038578,0.8625856846803762,0.8655614007120463,0.8690684946065148,0.8702906636909506,0.8658270896434455,0.8679526010946385,0.8685902545299962,0.8671555343004411,0.8676337743769594,0.8683245655985972,0.8685902545299963,0.8725755885009829,0.8717253839205058,0.8718316594930655,0.8718316594930655,0.8706626281949094,0.8727350018598226,0.8705032148360698,0.8729475530049419,0.8740103087305382,0.8737446197991392,0.8776236781975664,0.8785270205643233,0.8786332961368829,0.8785270205643233,0.8759764068228917,0.8762952335405707,0.8766671980445294,0.8768797491896487,0.8781019182740847,0.8778362293426856,0.8752324778149743,0.8750199266698548,0.8752324778149743,0.8766140602582496,0.8769328869759285
auc_pr,0.08956592646479669,0.10304963112782756,0.10798028181600194,0.11089737980444381,0.12655034989420105,0.12418515690258321,0.12459539118263849,0.12130333877604987,0.13305106206961456,0.1319946013554462,0.13832758017745536,0.14396652341076321,0.15659586638501266,0.15861345725941361,0.17150286951842647,0.20181435884154095,0.18808839021897938,0.18319651037099027,0.1686177956658047,0.19124348777106537,0.22871157406259437,0.2288753776286846,0.22933869777704052,0.2215731688103353,0.2248820849007131,0.22797089888739996,0.257237377526998,0.3065929685741281,0.31167869458101527,0.3073163299532186,0.3255755570949437,0.3192175468881493,0.3169102996745187,0.3238568144096581,0.33310376730375524,0.328911986878176,0.31480870802514865,0.3086008549134145,0.3075564240143912,0.2984811196611052,0.2987962149565354,0.2969688920002139,0.2965447373721468,0.2957525346140531,0.30002936061859575,0.3005699809278731,0.3267215738684774,0.32410746752828046,0.3184841329557237,0.30893092811459016,0.30817220488833635,0.3433347099458974,0.3412515494724226,0.34218058603780904,0.3365628175236894,0.34600673039416024,0.3558018578139545,0.35960709180235406,0.3591004023259711,0.35581665484088043,0.35699105808954146,0.3596623379317059,0.3591200071505948,0.3688874661663493,0.3621731184951397,0.3597222211095314,0.3590121533766638,0.3607938222377595,0.37984685898885096,0.3635489411609361,0.36003638586210807,0.36208576412650817,0.3636697698614197,0.3799853166876965,0.3960716607921957,0.3938359542047448,0.3886401925069853,0.38508923671861206,0.3842259770140202,0.3808534366918274,0.38043375626329623,0.3776510402990856,0.3741770885666205,0.37874445519963923,0.3815247573503746,0.37893095532391263,0.3849621275542951,0.3891755542889072,0.3912302127513398,0.3876749675848115,0.3846140945779049,0.3852066092720988,0.3887965289020722,0.3936150175584927,0.39468558486191374,0.39764540546959887,0.3983860292140229,0.39570895824097235,0.3949535263783723,0.39220248041202976,0.3932609625122804
auc_roc_bag,0.5625,0.9375,0.875,0.75,0.8125,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.9375,0.875,0.8125,0.8125,0.875,0.8125,0.8125,0.875,0.8125,0.875,0.9375,0.9375,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.9375,0.9375
auc_pr_bag,0.2232142857142857,0.7916666666666666,0.41666666666666663,0.29166666666666663,0.3333333333333333,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.7916666666666666,0.41666666666666663,0.3333333333333333,0.6625,0.7083333333333333,0.3333333333333333,0.3333333333333333,0.7083333333333333,0.6625,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7083333333333333,0.7916666666666666,0.7083333333333333,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,0.7916666666666666,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.7916666666666666,0.7916666666666666,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.7916666666666666,0.7916666666666666,0.7916666666666666
Date,2024-06-21
Time,71.26670169830322
seed,19
Number of anomalous bags,2
Number of anomalies,41
Rewards bXagX 0,1.2756019511470323e-05,3.857744800420883e-06,4.128256978757729e-06,3.0351778112909946e-06,4.1360957422905e-06,2.3866195363221633e-06,1.8195903579147096e-06,3.3579186134629574e-06,1.686512590752186e-06,1.7659761128477483e-06,1.055665105342044e-06,2.0052068437059543e-06,6.396531534660072e-06,1.9547792016248754e-06,8.372569491474949e-06,1.3821217699192035e-06,1.311056478189714e-06,1.4639416963678752e-06,2.297026466927043e-06,2.49909771051243e-06,1.483895922599198e-06,1.362291376672725e-06,1.0446318902982881e-06,1.0094969287530876e-06,2.0724570741666474e-06,4.135450862878395e-06,1.5489106298361687e-06,1.6008845399194758e-06,1.1201321458508932e-06,1.5482767425274093e-06,1.197478439552874e-06,1.157423781263665e-06,8.152406616846665e-07,1.9810239815667915e-06,8.586805107142214e-07,8.583648807280073e-07,4.3578609815871983e-07,9.8934248543219e-07,5.956867542687986e-07,9.912351220560783e-07,1.0451631134913177e-06,5.68975790387497e-07,6.760379704569192e-07,1.0194347479708877e-06,6.579650206305395e-07,1.4455795266305117e-06,6.966856318692811e-07,7.971345686410884e-07,5.763620079965667e-07,5.951693351652487e-07,2.9416295562343016e-06,5.262050660718346e-07,4.543354577336619e-07,2.084816202671425e-06,1.1105634181893604e-06,8.410971520504181e-07,1.1047520789222992e-06,5.919734208596584e-07,4.687610512642194e-07,3.4422295375845094e-07,4.6453866607552705e-07,3.284974281484059e-07,1.1187342600846315e-06,7.052820294924562e-07,3.116704749096977e-07,5.086100206257327e-07,7.597935678765324e-07,4.464209287065052e-07,5.142787244964852e-07,4.3670888584670687e-07,4.884716803738905e-07,3.6220638661655574e-07,1.5055485466657034e-07,3.966596525763552e-07,1.1852543400905672e-06,1.8033115769260628e-06,3.8501738166019454e-07,5.723139871212751e-07,3.0756159318379185e-07,3.106968215472854e-07,4.932660237529014e-07,3.3761964262261755e-07,4.768819601967527e-07,4.586827063846848e-07,2.890140383821169e-07,1.980647105319615e-06,3.558659456422675e-07,5.320445068618335e-07,3.267064629222434e-07,3.0660207685297437e-07,3.9682818452954596e-07,3.9689028273761346e-07,2.963172799464919e-07,1.137874509727629e-06,3.082634863518029e-07,6.795652667377751e-07,2.756939218662081e-07,7.238261888936034e-07,5.230582571062064e-07,2.985683409096585e-07
Prob contr bag 0,0.12756019511471728,0.03857744800421308,0.04128256978758184,0.03035177811291329,0.04136095742290956,0.023866195363224263,0.0181959035791491,0.033579186134633274,0.016865125907523718,0.017659761128479428,0.010556651053421602,0.02005206843706175,0.06396531534660777,0.019547792016250908,0.0837256949147587,0.013821217699193557,0.013110564781898582,0.014639416963680365,0.02297026466927296,0.02499097710512705,0.014838959225993615,0.013622913766728749,0.010446318902984033,0.010094969287531988,0.020724570741668755,0.0413545086287885,0.015489106298363392,0.01600884539919652,0.011201321458510166,0.015482767425275799,0.011974784395530059,0.011574237812637925,0.008152406616847564,0.019810239815670098,0.00858680510714316,0.008583648807281019,0.004357860981587678,0.009893424854322989,0.005956867542688642,0.009912351220561874,0.010451631134914329,0.005689757903875596,0.006760379704569937,0.01019434747971,0.00657965020630612,0.014455795266306708,0.006966856318693579,0.007971345686411762,0.0057636200799663015,0.0059516933516531425,0.029416295562346255,0.005262050660718926,0.004543354577337119,0.020848162026716546,0.011105634181894827,0.008410971520505107,0.01104752078922421,0.005919734208597236,0.0046876105126427104,0.0034422295375848883,0.004645386660755782,0.003284974281484421,0.011187342600847546,0.007052820294925339,0.0031167047490973207,0.005086100206257887,0.0075979356787661614,0.0044642092870655434,0.005142787244965418,0.0043670888584675495,0.004884716803739444,0.0036220638661659563,0.0015055485466658693,0.003966596525763989,0.011852543400906976,0.018033115769262614,0.0038501738166023696,0.005723139871213381,0.003075615931838257,0.003106968215473196,0.004932660237529558,0.0033761964262265473,0.0047688196019680515,0.004586827063847353,0.0028901403838214874,0.01980647105319833,0.003558659456423067,0.005320445068618921,0.0032670646292227937,0.003066020768530081,0.003968281845295896,0.003968902827376572,0.0029631727994652453,0.011378745097277543,0.0030826348635183683,0.0067956526673785,0.002756939218662385,0.0072382618889368314,0.00523058257106264,0.0029856834090969137
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
