auc_roc,0.3177696980854197,0.3542433726067747,0.37193943298969073,0.4112435567010309,0.4428847569955817,0.4261551914580265,0.46288199558173787,0.5606130338733432,0.6264037187039764,0.6460327687776141,0.6801822533136966,0.6813788659793815,0.6993050441826214,0.7130430780559646,0.7178525405007363,0.7765095729013256,0.7631167157584683,0.7928249263622975,0.7834591310751104,0.7970821060382915,0.8031572164948454,0.806355854197349,0.8125920471281296,0.8225331369661267,0.8265832106038291,0.8372836892488955,0.8412187039764358,0.8502393225331369,0.8469946612665684,0.8527936303387335,0.8559692562592047,0.8561993740795286,0.8593980117820323,0.8651509572901326,0.8646216863033873,0.8648057805596465,0.8544734904270986,0.8598582474226805,0.8562914212076582,0.8577181516936672,0.8547036082474225,0.8533459131075112,0.8558311855670103,0.8592369293078057,0.8597892120765832,0.8619753313696613,0.8618602724594993,0.8631029086892489,0.8610778718703977,0.8630798969072164,0.8642765095729014,0.867014911634757,0.8682115243004418,0.9016936671575847,0.902982326951399,0.9058127761413843,0.9074696244477173,0.907630706921944,0.9090344256259204,0.9159149484536082,0.9160069955817378,0.9145342415316642,0.9149714653902797,0.9166053019145803,0.9160069955817378,0.9189064801178203,0.9195047864506627,0.9199650220913107,0.9201261045655376,0.920954528718704,0.9315399484536082,0.9331507731958762,0.9339331737849779,0.9328516200294551,0.9565537555228277,0.955081001472754,0.9500184094256259,0.9486377025036817,0.9578194035346097,0.9583026509572901,0.9647919734904271,0.9635953608247422,0.9639175257731958,0.980002761413844,0.9786910898379971,0.979151325478645,0.982418998527246,0.9818206921944035,0.9818437039764358,0.9827871870397643,0.9865150957290133,0.9868142488954346,0.9861929307805596,0.9861238954344624,0.9862619661266567,0.986215942562592,0.9862619661266568,0.9868372606774669,0.9874355670103092,0.992935382916053,0.992820324005891
auc_pr,0.15947354721359516,0.16760007909143312,0.17425979501401698,0.18745978800189309,0.21183008627743555,0.2011041556112599,0.21670599110523076,0.28558128417766604,0.3556677242229288,0.3891366714497911,0.4478952906319952,0.44768065399303003,0.47838994550129327,0.506626375039372,0.5135650050178551,0.6022247119609303,0.5931982227130256,0.6457488202055676,0.6429747285097122,0.664654270546975,0.6681554616852552,0.6706788161926148,0.6748438168893577,0.6867765825215459,0.6919542808728939,0.7219278305217441,0.7362276396226033,0.7541652178743922,0.7526833953896959,0.7649928276629908,0.7675682796304002,0.7669485973596363,0.7692625296392109,0.7799058451797221,0.7790834447387169,0.777914130040439,0.7697468131439678,0.7845196907605062,0.7805713189624913,0.7823815361688508,0.7813640643749787,0.7795315326995125,0.7823242658177606,0.7852813704117324,0.7854980771534864,0.7868490315404234,0.7859933791495447,0.7836465605581991,0.7816485687875963,0.7845570471876947,0.7856780083497579,0.7890529695751987,0.7887615113635653,0.8283488151935653,0.829856937522724,0.8320334898842113,0.835925406481883,0.8314477541207951,0.8333085741665359,0.8459828013833566,0.8466647018138908,0.8450740873747229,0.8523853279636081,0.8545898742589251,0.853195635236509,0.8614039896816835,0.8614032273610415,0.8615810078832863,0.8600638457726848,0.8610802660908868,0.8766346098211094,0.8815799393732997,0.88124939764375,0.8793890185455273,0.9021590206956733,0.9001624692592435,0.8960848210083278,0.8944728948776572,0.9089122554878022,0.9095705864907703,0.919564202388012,0.9182835618606036,0.9182191328920637,0.9439014217318276,0.9403881681974274,0.9408237955335931,0.9474916510682267,0.9482634998813134,0.9481706650869162,0.9510996678861181,0.9595937949570243,0.9613319137901906,0.9598636871746256,0.9594714512758696,0.9602989034745949,0.9585798316285089,0.9586558707413936,0.959930855956267,0.9610021998954035,0.9732343938007102,0.9733534989235111
auc_roc_bag,0.09523809523809525,0.09523809523809525,0.0,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.380952380952381,0.6190476190476191,0.7142857142857143,0.6666666666666667,0.7142857142857144,0.6666666666666667,0.6190476190476191,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9047619047619048,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.49829931972789115,0.49829931972789115,0.4804421768707483,0.5277210884353741,0.5277210884353741,0.5277210884353741,0.6062925170068026,0.8401360544217686,0.8903061224489794,0.8581632653061224,0.8743197278911563,0.8326530612244896,0.7731292517006803,0.9326530612244897,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9547619047619047,0.9662698412698412,0.9662698412698412,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,1.0,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-24
Time,87.52096390724182
seed,59
Number of anomalous bags,7
Number of anomalies,112
Rewards bXagX 0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 1,0.5599999999999999,0.19999999999999996,0.0,0.0,0.0,0.0,0.07999999999999996,0.0,0.0,0.07999999999999996,0.0,0.040000000000000036,0.0,0.0,0.040000000000000036,0.0,0.0,0.040000000000000036,0.07999999999999996,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 2,0.52,0.15999999999999992,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 3,0.96,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 4,0.07999999999999996,0.08000000000000007,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 5,0.28,0.0,0.12,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 6,0.56,0.31999999999999995,0.28,0.12,0.11999999999999988,0.0,0.12,0.0,0.0,0.0,0.040000000000000036,0.0,0.040000000000000036,0.0,0.040000000000000036
Rewards bXagX 7,0.07999999999999996,0.040000000000000036,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.0
Rewards bXagX 8,0.52,0.040000000000000036,0.040000000000000036,0.07999999999999996,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 9,0.07999999999999996,0.040000000000000036,0.0,0.0,0.0,0.0
Rewards bag 0,0
Rewards bag 1,0
Rewards bag 2,0
Rewards bag 3,0
Rewards bag 4,0
Rewards bag 5,0
Rewards bag 6,0
Rewards bag 7,0
Rewards bag 8,0
Rewards bag 9,0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
