auc_roc,0.39288690476190474,0.40375000000000005,0.4626488095238095,0.5122619047619047,0.5519345238095239,0.5787797619047619,0.6269047619047619,0.654077380952381,0.7129166666666666,0.7261904761904763,0.7418750000000001,0.7668154761904763,0.772172619047619,0.7847916666666666,0.7930952380952381,0.8002678571428571,0.8060714285714285,0.8055059523809525,0.8048511904761905,0.8040178571428572,0.8635714285714287,0.8645833333333334,0.8859821428571429,0.8888095238095238,0.886904761904762,0.9233630952380952,0.9441964285714286,0.9474702380952382,0.9577380952380952,0.9632738095238095,0.9422916666666666,0.9436904761904762,0.9492559523809523,0.9648511904761905,0.9711011904761905,0.9801190476190476,0.9802380952380952,0.9802678571428571,0.976875,0.9757738095238095,0.9762202380952381,0.981845238095238,0.9804166666666667,0.9805059523809524,0.9831845238095238,0.9784821428571429,0.9817857142857143,0.9859523809523809,0.9854464285714286,0.9801190476190476,0.9806250000000001,0.9830059523809525,0.9820833333333334,0.9805357142857143,0.9820238095238095,0.9805059523809524,0.9788690476190476,0.9770833333333333,0.9749702380952382,0.975654761904762,0.9748511904761905,0.9763690476190476,0.9732738095238096,0.9726488095238096,0.9725297619047619,0.9720833333333334,0.9716369047619047,0.9729166666666667,0.9716964285714286,0.9724107142857142,0.9710416666666667,0.971845238095238,0.971279761904762,0.9724404761904762,0.9827083333333333,0.9797916666666666,0.9792857142857143,0.9788392857142857,0.9772321428571429,0.9772619047619048,0.9778571428571428,0.9788690476190476,0.9795535714285715,0.9808035714285714,0.9794345238095237,0.9797619047619048,0.9795535714285715,0.9782440476190476,0.9788095238095238,0.9827976190476191,0.9822321428571428,0.9826190476190476,0.9833630952380952,0.9845833333333334,0.9880952380952381,0.99125,0.9940476190476191,0.9955952380952382,0.9963690476190475,0.9963690476190477,0.9972916666666667
auc_pr,0.1313200575635583,0.13505920413278122,0.19167438194979275,0.20885656992917528,0.23263504388271566,0.24345387859881737,0.26974275091280064,0.2913941177748266,0.34221788018832733,0.3500282316134264,0.38435201266887764,0.49688273557207513,0.4769030538429432,0.5013559337019735,0.5092394747769378,0.5201929354840117,0.543714347456682,0.5403756889430116,0.5302824293834933,0.5522340181603315,0.6630891624476363,0.6709047470869962,0.7483305786698782,0.7523601275876884,0.7522455444698396,0.7611009819395347,0.7755150188208367,0.7936148484681371,0.812110726912567,0.8379777591974384,0.7756557029928043,0.7803302642331807,0.7965390075708594,0.8518461654887022,0.880912509316049,0.9121820142105286,0.9144355839779378,0.9156219067701167,0.9090120913032714,0.9095201431127827,0.9147856742454117,0.926732463408317,0.9228000984497754,0.9279873796365371,0.936503362554699,0.924730429739479,0.9356891160636531,0.9455371511449182,0.9443557055501435,0.9279594461088189,0.9286253974113049,0.9360654708530292,0.9328358270717887,0.9296922144050241,0.9340525399228023,0.9313132904896008,0.9257172913093861,0.9220624258510457,0.9161088643130381,0.9178771978989748,0.9145102854848557,0.9188916460238881,0.9112255345856349,0.9105933347866744,0.9118311829854002,0.9104248908256706,0.9093077655823475,0.9126945333756673,0.9086062471927816,0.9102035762302568,0.9071119336583022,0.9101303848360014,0.908362666428704,0.9124267906097997,0.942615942104061,0.9356711739046892,0.9340914940766366,0.9329477190954021,0.9300329148370181,0.9298640351097329,0.9302853377724583,0.932258044711535,0.9333886895080428,0.9361868518722147,0.9325276811221808,0.9336831217717935,0.933654806535846,0.9301514482341627,0.9316913313923401,0.943483990906518,0.9416987378186383,0.9434601247520534,0.9452325272257968,0.9477479712131982,0.9565736018095257,0.9652406321975693,0.9743461646953804,0.9804543717880834,0.9840188554542277,0.9837088482084551,0.9878935234238149
auc_roc_bag,0.29166666666666663,0.20833333333333334,0.25,0.45833333333333337,0.6666666666666667,0.625,0.625,0.625,0.5416666666666667,0.5416666666666667,0.5,0.7083333333333334,0.8333333333333334,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.875,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9166666666666667,0.9583333333333334,0.875,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.875,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666666666666,0.7916666666666666,0.75,0.75,0.75,0.75,0.75,0.75,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
auc_pr_bag,0.5693783068783068,0.4352843915343916,0.442228835978836,0.5197089947089947,0.6298611111111111,0.6185185185185186,0.6185185185185186,0.6185185185185186,0.5738756613756614,0.558829365079365,0.5310515873015873,0.7548611111111111,0.9104166666666667,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,0.9409722222222221,1.0,1.0,1.0,0.9742063492063491,0.9742063492063491,0.9742063492063491,1.0,1.0,1.0,1.0,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9409722222222221,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9553571428571428,0.9742063492063491,0.9061507936507937,0.9436507936507936,0.8575396825396825,0.9436507936507936,0.9061507936507937,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.7880952380952381,0.7880952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.6630952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.7880952380952381,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825,0.8575396825396825
Date,2024-06-21
Time,104.7328712940216
seed,37
Number of anomalous bags,6
Number of anomalies,80
Rewards bXagX 0,2.3255498434722565e-06,2.124645051590236e-06,3.704595676452071e-06,3.0863550236969974e-06,1.714894607314487e-06,1.3728678025125503e-06,2.2317645144431873e-06,2.16432323532203e-06,2.369365390036653e-06,2.1913680940901497e-06,2.6016522899020787e-06,3.613258284144639e-06,2.2727418487287952e-06,2.389029108818007e-06,1.2124283070010528e-06,1.8414137574458943e-06,1.1708378276699365e-06,1.4678163242271368e-06,4.458156615148638e-06,2.7960764957463883e-06,1.0055974169698389e-06,3.102894964094916e-06,4.248229011650705e-07,1.4838792100937025e-06,3.052033790242175e-06,3.236669642887584e-06,1.213353758445309e-06,1.500309334580913e-06,1.355394971317384e-06,3.025274694398265e-06,3.0660184046243775e-07,1.1817728799006798e-06,2.4895731083567984e-06,1.518775194391688e-06,1.9064003210249535e-06,2.660670226359688e-06,1.8657678366864279e-06,4.546640821072072e-06,8.119174301822773e-07,1.5077982055909634e-06,1.441116213958958e-06,1.247809073155077e-06,9.281437624456485e-07,4.081112161547586e-07,9.145344793535089e-07,2.090614541182328e-07,5.18565364518133e-07,1.9614253626074212e-07,8.057976281781977e-07,4.2944388892023013e-07,4.407509610958552e-07,2.528325420770369e-07,5.991310391162908e-07,2.8267695752121316e-07,5.374022449051608e-07,1.9647905814536093e-07,3.433528164031531e-07,2.3754212164604724e-07,1.2073086237695687e-07,1.4698526497616063e-07,2.3307707667481553e-07,4.1938644899744194e-07,2.4886783476140375e-07,4.6004735177841393e-07,3.3794638572078485e-07,3.147938841515815e-07,2.089640440017591e-07,9.467037707526268e-08,7.661265032586797e-08,3.727446577661804e-07,1.4207355975656974e-07,2.794676066391799e-07,3.144351272002947e-07,8.726136418717197e-07,2.744256197323145e-07,9.215612200292085e-08,1.5912652990447407e-07,2.7864518190269954e-07,1.587504456325278e-07,3.143638460730585e-07,2.5833837237878095e-07,2.5222840098339805e-07,2.447593465668488e-07,1.8921431710601938e-07,1.0307879631056722e-07,9.858993909356125e-08,1.5520390933327412e-07,8.579755476913459e-08,3.0701142955705925e-07,4.914153235348402e-08,7.168124870796098e-08,8.525656672440854e-08,6.41212996865577e-08,5.401807604962328e-07,3.2091896487258353e-07,2.983028733010513e-07,3.546693377186309e-07,2.9219738318721135e-07,4.1431078025331434e-07,5.386292104722067e-07
Prob contr bag 0,0.023255498434725127,0.021246450515904697,0.03704595676452479,0.03086355023697337,0.017148946073146758,0.013728678025127014,0.02231764514443433,0.021643232353222682,0.02369365390036914,0.02191368094090391,0.026016522899023654,0.03613258284145037,0.022727418487290457,0.023890291088182698,0.012124283070011864,0.018414137574460972,0.011708378276700654,0.014678163242272986,0.04458156615149129,0.027960764957466962,0.010055974169699496,0.031028949640952576,0.004248229011651173,0.014838792100938658,0.030520337902425112,0.032366696428879405,0.012133537584454427,0.015003093345810783,0.013553949713175332,0.030252746943985984,0.0030660184046247155,0.011817728799008099,0.024895731083570724,0.015187751943918552,0.019064003210251635,0.026606702263599808,0.018657678366866333,0.04546640821072573,0.008119174301823667,0.015077982055911295,0.014411162139591168,0.012478090731552144,0.009281437624457507,0.004081112161548036,0.009145344793536096,0.002090614541182558,0.005185653645181901,0.001961425362607637,0.008057976281782864,0.004294438889202774,0.004407509610959037,0.002528325420770647,0.005991310391163567,0.002826769575212443,0.0053740224490522,0.0019647905814538257,0.0034335281640319095,0.002375421216460734,0.0012073086237697017,0.0014698526497617683,0.002330770766748412,0.004193864489974881,0.0024886783476143117,0.004600473517784646,0.0033794638572082207,0.0031479388415161617,0.002089640440017821,0.0009467037707527311,0.0007661265032587641,0.0037274465776622146,0.001420735597565854,0.002794676066392107,0.0031443512720032932,0.008726136418718158,0.002744256197323447,0.00092156122002931,0.001591265299044916,0.0027864518190273023,0.0015875044563254527,0.003143638460730931,0.002583383723788094,0.0025222840098342585,0.0024475934656687575,0.0018921431710604022,0.0010307879631057857,0.000985899390935721,0.0015520390933329122,0.0008579755476914403,0.0030701142955709307,0.0004914153235348943,0.0007168124870796888,0.0008525656672441793,0.0006412129968656477,0.005401807604962922,0.0032091896487261885,0.0029830287330108412,0.0035466933771867,0.002921973831872435,0.0041431078025335995,0.00538629210472266
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,6,7,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15
Rewards bag 1,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Rewards bag 2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11
Rewards bag 3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,6
Rewards bag 5,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16
Rewards bag 7,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,15,15,15,15,15,15,15
Rewards bag 8,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,12,13,13,13,13,14,15,15,15,16,16,16,16,16,17,18,18,18,18,19,19,19,19,19,19,20,20,21,21,21
Rewards bag 9,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
