auc_roc,0.3177696980854197,0.4024300441826215,0.4589930044182622,0.5110916789396172,0.5238632179675995,0.5459315169366715,0.5500506259204713,0.5991807805596465,0.6870627761413843,0.7124447717231223,0.7242728276877761,0.7278396539027983,0.7195784241531664,0.7160806332842415,0.7416006995581738,0.7862665684830634,0.7857372974963182,0.8112113402061856,0.8740335051546392,0.8759664948453608,0.8817654639175259,0.8807069219440353,0.9127623343151694,0.9289166053019146,0.9302512886597938,0.935543998527246,0.9313098306332843,0.9346465390279823,0.9254188144329897,0.9321612665684831,0.927328792341679,0.9285484167893961,0.9264773564064801,0.9267995213549337,0.9250276141384388,0.9305734536082474,0.9299981590574374,0.9311027245949927,0.9304583946980854,0.9297680412371134,0.9296069587628866,0.9297450294550809,0.9293768409425626,0.9296069587628866,0.9317010309278351,0.9293308173784978,0.9294228645066274,0.9343243740795287,0.9380062592047129,0.937154823269514,0.9327825846833578,0.934163291605302,0.9384895066273933,0.9381213181148749,0.9358201399116347,0.9416651325478644,0.9453930412371134,0.9449788291605302,0.9449558173784978,0.9487067378497791,0.9476251840942562,0.9596603460972017,0.9596833578792342,0.9590390279823269,0.9585327687776141,0.960534793814433,0.9605808173784978,0.9611331001472754,0.9652982326951398,0.9643317378497791,0.9639405375552283,0.9629970544919,0.9641016200294551,0.9634803019145803,0.9632962076583211,0.9622146539027983,0.9632731958762888,0.9657124447717231,0.9652522091310751,0.966402798232695,0.9668860456553755,0.9667939985272459,0.9783229013254786,0.9789902430044183,0.9784149484536082,0.9837076583210603,0.9816365979381443,0.9815445508100147,0.9818437039764359,0.9833854933726068,0.9844670471281296,0.9855716126656848,0.9843980117820323,0.9846741531664212,0.9842139175257731,0.9837076583210603,0.9837306701030928,0.9836846465390281,0.9827181516936672,0.9815445508100147,0.9802328792341679
auc_pr,0.15947354721359516,0.17846466821411688,0.21559691246014484,0.23971423192674968,0.2440326568989415,0.2528979656168765,0.24387709856085807,0.3063409009773601,0.38467779598121543,0.4078512283085243,0.4454834508102108,0.44643077064116515,0.4398493132110688,0.4310671841835355,0.4751204966626286,0.5230841841407342,0.5237758612449434,0.5800189983790832,0.6726459493247647,0.6769726328905161,0.6975406449620395,0.6966109758449686,0.75205558685057,0.7884904524550107,0.7955934020329603,0.8167531499149626,0.8095483472532736,0.8086775330414983,0.7931384163290922,0.8153270156578448,0.7951584927834191,0.7992689701357477,0.7940268204293797,0.8139229967464159,0.809905346433005,0.8286182383510671,0.8221580914976082,0.8233295901800878,0.8202750195315468,0.8206796497629559,0.8203946887043798,0.8206546420914294,0.8196710722714416,0.8196123799769347,0.8240992998318311,0.8160326633105771,0.8159563499954453,0.8250344363484465,0.8349379226239322,0.8334581889874293,0.8209145931326686,0.8272004197454884,0.8391137907173463,0.8378776294373614,0.8316526037939913,0.8478512560520217,0.8584369899273135,0.8550683065566806,0.8575259368816098,0.8669449617176592,0.865039822375231,0.8859109288757834,0.886038427442891,0.8837534862858767,0.8817065956447478,0.8892734775660242,0.8891943183748579,0.8948704101917716,0.9047796987543644,0.903040447698739,0.9019378963801709,0.9014931459253892,0.9031813830222204,0.9017177209186404,0.9014534021445362,0.8993532296798203,0.90120032964006,0.9073339436102946,0.9070496897739557,0.909808772801126,0.9104494352705921,0.9102323424662883,0.928468980251656,0.9304803850405663,0.9299694648921506,0.9488177890827149,0.9436670590141156,0.9433049488104307,0.9453712638650388,0.9523212931414191,0.9548489258318987,0.9580292161314161,0.9552974232895787,0.9559300038715987,0.9543970223020727,0.9532178599194427,0.9529601936172392,0.9528746035585836,0.9502254044089794,0.9472600151671604,0.9451072096930262
auc_roc_bag,0.09523809523809525,0.33333333333333337,0.33333333333333337,0.5714285714285715,0.6190476190476191,0.5714285714285715,0.5714285714285715,0.6190476190476191,0.7142857142857144,0.6666666666666667,0.7142857142857144,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.7619047619047619,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9047619047619049,0.9047619047619049,0.8571428571428572,0.9047619047619049,0.9047619047619049,0.8571428571428572,0.8571428571428572,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.49829931972789115,0.5651360544217686,0.5651360544217686,0.665986394557823,0.6774943310657596,0.665986394557823,0.665986394557823,0.7731292517006803,0.799234693877551,0.7846371882086167,0.799234693877551,0.7684807256235826,0.7684807256235826,0.7684807256235826,0.9018140589569159,0.9018140589569159,0.8903061224489794,0.9018140589569159,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9587585034013604,0.9587585034013604,0.9325680272108843,0.9587585034013604,0.9587585034013604,0.9325680272108843,0.9325680272108843,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-24
Time,85.40971779823303
seed,59
Number of anomalous bags,7
Number of anomalies,112
Rewards bXagX 0,3.27450242263928e-06,1.6976993933493878e-06,2.582915837589812e-06,1.1338444159266273e-06,1.0195608865966781e-06,5.694194344595968e-07,3.3159881435292905e-06,3.7602346549282636e-06,2.31958447904278e-06,1.1930436545212478e-06,1.622988260704492e-06,4.762435919020429e-07,5.4370416674592e-07,2.5183159208480344e-06,1.1640278458489664e-06,4.608139757730785e-07,2.290170469936333e-06,2.4287131398911613e-06,1.4722177627089668e-07,2.7127553126684964e-06,1.8523068924636288e-07,1.4612990005945388e-06,1.7638355218842886e-06,1.5775483862007795e-06,1.0458982758285554e-06,3.7764798786595026e-07,7.659906197878005e-07,4.7060734825176426e-07,1.0720165348679006e-06,3.3992975680658296e-07,7.076903535761244e-07,1.755200473598454e-07,1.1017508875030385e-06,4.3072361502972415e-07,6.589940366137569e-07,7.403622623061433e-07,3.5531366055911227e-07,6.831306770682948e-07,3.057151386560506e-07,8.116267617802369e-08,1.6889304766128925e-07,2.5468159250429494e-07,5.2798767956205975e-08,3.672179668939792e-07,5.234997079176837e-07,2.9852715739390056e-08,8.209782991193534e-07,3.7010272671347687e-07,2.111089532049272e-07,7.862594937709089e-07,7.950603939229164e-07,4.221727653519098e-07,1.0292603181915162e-07,3.325356574329811e-07,8.401659315291899e-07,5.535804218415146e-07,4.411913041716051e-07,6.826226835991513e-07,4.106568336082869e-07,3.6812590786887256e-07,6.032139369318402e-07,3.3608333685107613e-08,1.0990126607161086e-07,1.831308308902592e-07,4.50889445589228e-07,2.864112857007439e-07,5.44187839798455e-07,5.221392847004413e-07,1.228118815178801e-07,8.656559361963848e-08,4.307580482616578e-07,3.2254575597731635e-07,2.0975951690521576e-07,4.442276094095645e-07,3.2733683532917164e-07,1.502612040060238e-07,3.114725006216631e-07,5.5827471931384666e-08,1.9546786841966159e-07,7.724367978984299e-08,2.3368638648701656e-07,5.177468653646784e-07,1.4862125072809658e-07,6.124316303047748e-07,4.089857129616067e-07,1.5797776309796203e-07,3.048355134644977e-08,2.2137396198550338e-07,5.6764847275908e-07,2.175050435945223e-07,2.6162265072155297e-07,5.591791968974173e-07,6.418478644038023e-08,2.6961514606195016e-07,4.465977088960185e-07,9.026497433545114e-08,3.152951984060432e-08,1.192302410113811e-07,1.1773550802139849e-07,8.00718206758466e-08
Prob contr bag 0,0.032745024226396406,0.01697699393349575,0.025829158375900965,0.01133844415926752,0.010195608865967903,0.005694194344596595,0.03315988143529656,0.03760234654928678,0.023195844790430357,0.011930436545213792,0.01622988260704671,0.004762435919020954,0.005437041667459799,0.025183159208483116,0.011640278458490947,0.0046081397577312925,0.022901704699365852,0.024287131398914287,0.001472217762709129,0.02712755312668795,0.0018523068924638328,0.014612990005946997,0.01763835521884483,0.015775483862009533,0.010458982758286705,0.003776479878659919,0.007659906197878848,0.004706073482518161,0.010720165348680187,0.003399297568066204,0.007076903535762023,0.0017552004735986472,0.011017508875031598,0.004307236150297716,0.006589940366138295,0.007403622623062248,0.003553136605591514,0.0068313067706837,0.0030571513865608425,0.0008116267617803263,0.0016889304766130786,0.00254681592504323,0.0005279876795621179,0.003672179668940196,0.005234997079177414,0.00029852715739393343,0.008209782991194438,0.0037010272671351764,0.0021110895320495047,0.007862594937709955,0.00795060393923004,0.004221727653519563,0.0010292603181916297,0.0033253565743301774,0.008401659315292824,0.005535804218415756,0.004411913041716536,0.006826226835992265,0.0041065683360833214,0.0036812590786891313,0.006032139369319066,0.0003360833368511131,0.0010990126607162297,0.0018313083089027938,0.004508894455892777,0.0028641128570077545,0.00544187839798515,0.005221392847004988,0.0012281188151789361,0.0008656559361964802,0.004307580482617052,0.0032254575597735185,0.0020975951690523887,0.004442276094096134,0.003273368353292077,0.0015026120400604035,0.003114725006216974,0.0005582747193139081,0.001954678684196831,0.000772436797898515,0.002336863864870423,0.005177468653647354,0.0014862125072811294,0.006124316303048422,0.004089857129616518,0.0015797776309797943,0.0003048355134645313,0.0022137396198552775,0.0056764847275914245,0.0021750504359454624,0.002616226507215818,0.005591791968974789,0.000641847864403873,0.0026961514606197987,0.004465977088960677,0.0009026497433546108,0.0003152951984060779,0.0011923024101139423,0.0011773550802141146,0.0008007182067585541
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,11,11,11
Rewards bag 1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
Rewards bag 4,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13
Rewards bag 5,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,11
Rewards bag 6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
Rewards bag 8,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Rewards bag 9,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,9,9,9,9,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
