auc_roc,0.4437333333333333,0.4428235294117647,0.45581176470588236,0.39749019607843133,0.3936313725490196,0.4696156862745098,0.5171764705882353,0.5165490196078432,0.5466980392156862,0.5636078431372549,0.5602196078431372,0.5615058823529412,0.6921411764705881,0.7674980392156863,0.7335843137254903,0.7491450980392157,0.7887372549019607,0.8055529411764706,0.8187294117647059,0.8069960784313727,0.8238745098039216,0.9125019607843138,0.8920470588235293,0.8503843137254902,0.8763921568627452,0.8646274509803922,0.8364235294117647,0.848156862745098,0.8328470588235295,0.8337882352941176,0.8543686274509805,0.8540235294117647,0.8730039215686275,0.8931450980392157,0.8749803921568626,0.8912313725490195,0.905756862745098,0.8854588235294117,0.9024627450980393,0.9180862745098038,0.9287215686274509,0.9210352941176471,0.9189333333333334,0.9297882352941176,0.9362196078431373,0.929129411764706,0.9320156862745097,0.9301960784313725,0.9313882352941177,0.9296,0.9271529411764705,0.9185568627450981,0.9184941176470588,0.9183999999999999,0.9162980392156862,0.9220392156862744,0.9224470588235294,0.9308549019607841,0.9312627450980392,0.9294745098039215,0.9319529411764707,0.935121568627451,0.9314509803921568,0.9300705882352941,0.9315450980392156,0.9302588235294117,0.929035294117647,0.928407843137255,0.9264941176470588,0.9291294117647058,0.9282509803921568,0.9281254901960783,0.9228549019607842,0.9228549019607842,0.9224156862745098,0.9240156862745098,0.9109647058823529,0.9136941176470588,0.9229490196078431,0.9187450980392157,0.9224470588235294,0.9184941176470589,0.9201254901960784,0.916705882352941,0.9141960784313725,0.9243607843137254,0.9202509803921569,0.9245803921568628,0.9226666666666666,0.9214745098039215,0.9226352941176471,0.9320156862745098,0.9250196078431373,0.9253960784313726,0.9300705882352941,0.9276862745098039,0.9305725490196078,0.9292235294117647,0.9274666666666667,0.934086274509804,0.9328941176470589
auc_pr,0.13275926368147067,0.13174268280387347,0.13452109619551503,0.11889312558096007,0.11823880387467407,0.13915810727968678,0.1551676908299462,0.15629557177666867,0.18611641175824922,0.19093468495222155,0.17815514096309382,0.17590994335050736,0.263243524611127,0.3956197629803221,0.40536780314393406,0.41940776637256005,0.5375486293897548,0.5491668617116845,0.5088287053836468,0.575391117313883,0.5706749397658513,0.6514240800474358,0.5668703380198611,0.4270361769507866,0.5055046167984831,0.5064116897335286,0.4270472741024383,0.46040529670373515,0.4322390919541373,0.4413842828591039,0.5040277735509026,0.5328762974827742,0.6264487181631845,0.6896673146097723,0.6117104991855536,0.7063170666245981,0.7498912731030137,0.6540014053291948,0.7310110696067984,0.7744058411635786,0.8326414478171985,0.7959034956647475,0.7933813244922128,0.8346604403463243,0.8582695521177373,0.8274573937581954,0.8478593656415767,0.8445837175496367,0.8599992919390782,0.858917097875274,0.85859501947702,0.8479817487524013,0.848484000783847,0.8434263706086739,0.8423365527577635,0.8552200373840284,0.8538967871076351,0.871496798726394,0.8673893800544472,0.8573567526921176,0.864013607573432,0.8675180709029148,0.8565201011073613,0.8589704328635902,0.8654210552546625,0.8596525268484297,0.8580068415916471,0.8550152438182587,0.8526206366743682,0.8616250129355163,0.8582675858794935,0.8573692912029364,0.852942681557421,0.852477395346136,0.8501109818173413,0.8525869228170521,0.8394587412279456,0.8409126024693683,0.8524710160331431,0.8455172655296199,0.8540710127968604,0.8491910576648466,0.8511063980577643,0.8467302581275351,0.8458096658011163,0.859757023566069,0.8542863991633415,0.8593802077870084,0.8589373713662726,0.8572703479771043,0.8594924732289091,0.8714700859264328,0.8585237775226519,0.8593129474885983,0.8673249328127228,0.8644302546943894,0.8683122122490562,0.8669920747442493,0.8640291054668633,0.8726453068833324,0.8688376622402554
auc_roc_bag,0.6000000000000001,0.8400000000000001,0.8,0.72,0.8,0.8800000000000001,0.8800000000000001,0.7200000000000001,0.52,0.6,0.64,0.6799999999999999,0.64,0.64,0.4,0.44,0.48000000000000004,0.56,0.64,0.48000000000000004,0.64,0.88,0.9600000000000001,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.9600000000000001,0.9600000000000001,0.92,0.9600000000000001,0.9600000000000001,0.92,0.9600000000000001,0.9600000000000001,0.92,0.88,0.88,0.88,0.92,0.92,0.92,0.88,0.88,0.88,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001
auc_pr_bag,0.508888888888889,0.8347619047619046,0.8463095238095237,0.5730952380952381,0.8463095238095237,0.8599999999999999,0.8599999999999999,0.7046428571428571,0.4501190476190476,0.503452380952381,0.5351190476190476,0.6851190476190476,0.5351190476190476,0.5351190476190476,0.40678571428571425,0.4151190476190476,0.4317857142857143,0.4834523809523809,0.5351190476190476,0.4317857142857143,0.5351190476190476,0.919642857142857,0.9633333333333334,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9183333333333332,0.9633333333333334,0.9633333333333334,0.9183333333333332,0.9633333333333334,0.9633333333333334,0.9183333333333332,0.9633333333333334,0.9633333333333334,0.9380952380952381,0.919642857142857,0.919642857142857,0.919642857142857,0.9380952380952381,0.9183333333333332,0.9183333333333332,0.919642857142857,0.919642857142857,0.919642857142857,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.8605555555555555,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.874642857142857,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554,0.9055555555555554
Date,2024-06-20
Time,92.06147122383118
seed,46
Number of anomalous bags,5
Number of anomalies,75
Rewards bXagX 0,7.473233196906845e-06,3.841039608172632e-06,8.153227170863373e-06,3.0254319137144582e-06,4.3395632156947085e-06,2.4687462422046584e-06,1.993089059859911e-06,8.711038517179965e-06,1.7526753003786057e-06,2.74364545285152e-06,1.9921247997573235e-06,6.25183222410387e-06,4.679050152840501e-06,3.2503215681983687e-06,1.2366580938782684e-06,4.938011483362141e-06,1.3501179742435488e-06,1.4017957241539112e-06,2.854512844615646e-06,1.134788052196007e-06,4.416289344613443e-06,3.9102807128044695e-06,3.1912934674398557e-06,2.452194411659112e-06,1.4990095662896257e-06,1.9385258557241086e-06,7.274943792820162e-07,1.0489714900559569e-06,3.954710736067893e-07,1.2806462080376925e-06,1.1602189492680569e-06,1.3674004447088128e-06,1.1541193834489128e-06,1.241065958344348e-06,1.5565307214472431e-06,7.831449102589812e-07,1.0837958340055458e-06,1.3824914625951716e-06,1.0139537564323433e-06,1.0862235231033545e-06,7.577640343480516e-07,5.13476923039676e-07,1.4064550312653045e-06,9.433497958200119e-07,8.792119265984306e-07,1.1319396306173639e-06,4.272835481981905e-07,8.114837788493366e-07,8.348777036590879e-07,5.378851101041659e-07,5.700004677352063e-07,4.2952536773701765e-07,7.13766013873663e-07,4.800631582014767e-07,8.61928410015249e-07,8.047532424480228e-07,8.296997031468498e-07,7.644725713657116e-07,6.04816975164358e-07,4.444332601802056e-07,3.9313946337098174e-07,4.524702551193963e-07,3.628030335110962e-07,5.134904575321188e-07,5.001383549653652e-07,3.4525151277998e-07,4.750520223324563e-07,3.2469950986476834e-07,5.755544621544104e-07,4.0676311438513867e-07,3.127836234367553e-07,3.617977904786593e-07,2.865734728492435e-07,3.7343984201484997e-07,2.5935588174328205e-07,4.259721952596321e-07,2.853443745501687e-07,5.371147879499734e-07,7.061505947332682e-07,6.439952905900015e-07,4.4842021934041946e-07,2.5470492710604874e-07,1.9538422602444542e-07,2.591621607823369e-07,6.945058055999257e-07,6.959666121254561e-07,6.176373735683077e-07,5.162332195861981e-07,6.203988522892332e-07,3.67349118610751e-07,6.468852531926449e-07,6.573831442340756e-07,4.6863849549766403e-07,7.877783079765214e-07,4.1639678204896287e-07,4.4118975435054326e-07,3.328293653848795e-07,3.5730267808725194e-07,7.654357465942012e-07,5.583731618640348e-07
Prob contr bag 0,0.07473233196907668,0.038410396081730545,0.08153227170864272,0.030254319137147916,0.043395632156951865,0.024687462422049302,0.019930890598601307,0.08711038517180925,0.017526753003787986,0.027436454528518225,0.019921247997575428,0.06251832224104559,0.04679050152841016,0.03250321568198727,0.012366580938784047,0.049380114833626844,0.013501179742436975,0.014017957241540657,0.028545128446159602,0.011347880521961319,0.044162893446139294,0.039102807128049005,0.03191293467440207,0.024521944116593822,0.014990095662897907,0.01938525855724322,0.007274943792820963,0.010489714900560724,0.003954710736068329,0.012806462080378335,0.011602189492681847,0.013674004447089634,0.0115411938344904,0.012410659583444847,0.015565307214474145,0.007831449102590675,0.010837958340056651,0.013824914625953238,0.01013953756432455,0.010862235231034741,0.00757764034348135,0.005134769230397325,0.014064550312654595,0.009433497958201158,0.008792119265985275,0.011319396306174885,0.004272835481982376,0.00811483778849426,0.008348777036591799,0.005378851101042251,0.005700004677352691,0.00429525367737065,0.007137660138737416,0.004800631582015296,0.008619284100153439,0.008047532424481115,0.008296997031469413,0.007644725713657958,0.006048169751644247,0.004444332601802546,0.0039313946337102505,0.004524702551194461,0.003628030335111362,0.005134904575321754,0.005001383549654203,0.0034525151278001803,0.004750520223325086,0.003246995098648041,0.005755544621544738,0.0040676311438518345,0.0031278362343678976,0.003617977904786992,0.0028657347284927505,0.003734398420148911,0.002593558817433106,0.00425972195259679,0.002853443745502001,0.005371147879500326,0.00706150594733346,0.006439952905900725,0.004484202193404689,0.002547049271060768,0.0019538422602446695,0.0025916216078236544,0.006945058056000021,0.006959666121255328,0.006176373735683758,0.00516233219586255,0.006203988522893015,0.0036734911861079143,0.006468852531927162,0.006573831442341481,0.004686384954977156,0.007877783079766082,0.0041639678204900875,0.004411897543505919,0.003328293653849162,0.0035730267808729128,0.007654357465942855,0.005583731618640963
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,5,5,6,7,7,7,7,7,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,15,16,16,17,17,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Rewards bag 1,0,1,2,2,3,3,3,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
Rewards bag 2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3
Rewards bag 4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4
Rewards bag 5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8
Rewards bag 6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,11,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,17
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
Rewards bag 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,3,3,3,4,5,6,6,6,6,6,6,7,7,7,8,8,9,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15,16,16
Rewards bag 9,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,10,11,11,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14,14,14,14,14,14,15,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
