auc_roc,0.4508733624454148,0.3765335828654606,0.4407361197754211,0.44811811187357037,0.4471823663963401,0.5970056144728635,0.6127573300062383,0.6458723227282179,0.652734456227906,0.6229465585360782,0.61608442503639,0.6159804533166978,0.6106259097525474,0.6327199001871491,0.6301206071948431,0.6436369307548346,0.6583489290912872,0.6666666666666666,0.6802869619463506,0.6807548346849657,0.6888646288209607,0.6874090247452693,0.7102828030775629,0.6931274693283427,0.683873986275733,0.6897483884383447,0.6742046163443542,0.66380744437513,0.667238511124974,0.677063838635891,0.6842378872946558,0.6889166146808069,0.6924516531503431,0.6801310043668122,0.689852360158037,0.6950509461426492,0.6994697442295694,0.701809107922645,0.7062798918694115,0.7116864212934081,0.7137138698274069,0.7178727386150966,0.7084113121231025,0.6987939280515699,0.6978581825743398,0.7003535038469536,0.6969224370971095,0.7035246412975671,0.7067477646080267,0.7113745061343314,0.7164691203992514,0.7760449157829071,0.7830630068621336,0.7857142857142857,0.7903930131004366,0.7784882511956748,0.7756290289041381,0.7703784570596798,0.7744853399875234,0.778176336036598,0.779423996672905,0.7829590351424413,0.7745373258473696,0.766635475150759,0.7723019338739863,0.7673632771886048,0.7663755458515285,0.757278020378457,0.8258993553753378,0.8294863797047203,0.8317217716781036,0.8372842586816386,0.8418590143480973,0.8393117072156373,0.8342170929507173,0.8408192971511749,0.8427947598253275,0.8347369515491786,0.8930131004366813,0.88391557496361,0.8884903306300687,0.8872946558536078,0.8855271366188397,0.885631108338532,0.8872946558536078,0.8893221043876066,0.8937928883343731,0.8977438136826783,0.9021106259097526,0.8994593470576003,0.9016427531711374,0.9019546683302142,0.9020066541900604,0.9365252651278851,0.9391765439800375,0.9391765439800375,0.9308068205448118,0.9282595134123519,0.9321584529008111,0.9301829902266583,0.9332501559575794
auc_pr,0.07264603134423075,0.06528753915961419,0.07257023024128219,0.07242976373865367,0.07323130403550321,0.1095163697316726,0.11612194267446772,0.12292685573644153,0.12300408074375337,0.11861667944638632,0.11636779267645697,0.11655906401279004,0.11493320619231323,0.12257464097363273,0.12144993683416805,0.12502391770791005,0.12934206332160905,0.13303276021068589,0.1381313964305815,0.1381310838054285,0.1400696131936335,0.1379127030515727,0.17802714399278322,0.1738740342425565,0.16955489979288982,0.17315424349837533,0.16598030343553238,0.16367742621388123,0.1635365985888877,0.17382857091835144,0.17949825226837016,0.21110545754003796,0.22344076040475108,0.2204892969426084,0.21584245521489784,0.21970983222497417,0.22808933104048953,0.22109730901982966,0.22207628339115013,0.22068283097738148,0.2187322923591309,0.22395365202734632,0.21928288593710982,0.21597158367627592,0.21270827351321134,0.21105544557865952,0.1990117409477085,0.21615815525433543,0.21864421558388208,0.22028962972108831,0.22479211919101455,0.3135569924716415,0.32007428358873424,0.31965048145734515,0.3229151890470418,0.3148000552684049,0.3107049414005409,0.30686590418215937,0.31034097681836903,0.31367925400937935,0.3138216527914661,0.3190545800483577,0.31601017197590686,0.30925094790609164,0.31329050660128077,0.30963127560281806,0.3067230337700348,0.30286153284323114,0.42611273746540024,0.4176516718124119,0.4169186266759505,0.440421924600616,0.4487887399288731,0.44614751396539026,0.4338483546546678,0.4419529968996946,0.43726134372457387,0.4239654977226428,0.5631518654249053,0.5520511472027018,0.5661074724900741,0.5578359828458356,0.5504828908403527,0.5459531010178401,0.5449211351644492,0.5484955956392797,0.560650927338731,0.574437709096087,0.5929919215561297,0.5861849744219048,0.5870577813869416,0.5823884213979054,0.5742731962586977,0.6673525512675306,0.6763320680997247,0.6759959878079664,0.7215980989468159,0.7180188986133266,0.7321772107662263,0.7264800581263643,0.7310822825416865
auc_roc_bag,0.5416666666666667,0.4166666666666667,0.5416666666666667,0.5416666666666667,0.5,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.625,0.625,0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7083333333333333,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7916666666666667,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7916666666666667,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.7916666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.875,0.875,0.875,0.8333333333333334,0.8333333333333334,0.875,0.8333333333333334,0.8333333333333334
auc_pr_bag,0.37797619047619047,0.32683531746031746,0.3723214285714286,0.3744047619047619,0.3514880952380952,0.3952380952380953,0.39017857142857143,0.4380952380952381,0.4380952380952381,0.3952380952380953,0.42023809523809524,0.42023809523809524,0.42023809523809524,0.4380952380952381,0.4380952380952381,0.4380952380952381,0.4380952380952381,0.41309523809523807,0.4547619047619047,0.4547619047619047,0.4547619047619047,0.4547619047619047,0.4380952380952381,0.4625,0.4625,0.4625,0.4625,0.4380952380952381,0.4380952380952381,0.4625,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.4797619047619047,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.54375,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.5041666666666667,0.54375,0.54375,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.54375,0.5791666666666666,0.5791666666666666,0.54375,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.5791666666666666,0.7666666666666666,0.8354166666666667,0.8354166666666667,0.5791666666666666,0.5791666666666666,0.7666666666666666,0.5791666666666666,0.5791666666666666
Date,2024-06-23
Time,88.9634063243866
seed,51
Number of anomalous bags,4
Number of anomalies,42
Rewards bXagX 0,6.438979250374835e-06,3.513658614905604e-06,3.46370508729184e-06,1.5390704753147794e-06,7.26767550440297e-06,3.6359627973828555e-06,3.2151669173463152e-06,1.5062113294687398e-06,2.0389061323182107e-06,1.4096018809229799e-06,1.1504459030828718e-06,8.76305079954331e-07,9.934727155231702e-07,6.914970225073585e-07,6.484454375331233e-07,1.3355292497272804e-06,1.0244284686376922e-06,2.0826104416387203e-06,8.581427373918673e-07,6.17034111213588e-07,5.754856603497083e-07,4.564621042890744e-06,7.151377902885053e-07,5.083680089890376e-07,8.424090092696796e-07,5.266951828024439e-07,2.717444819654427e-07,3.304910626620176e-07,7.291596168010508e-07,1.0287322706423438e-06,8.655589763173907e-07,1.0188655031912552e-06,4.682002795735361e-07,4.106260663258974e-07,7.297831823135151e-07,4.165078466455517e-07,4.4171848452227053e-07,3.3821043318075063e-07,8.049691293845506e-07,3.9318792714951215e-07,5.939692862430935e-07,5.744606139071384e-07,4.434286747543329e-07,4.357036096655131e-07,3.872888427826796e-07,2.9923941102695445e-07,5.360855951905544e-07,1.2908657215580715e-06,3.563681070991006e-07,3.8190223813677424e-07,3.81918749513369e-06,7.882125183011943e-07,3.771763533437807e-07,3.405786550830127e-07,5.303993767320823e-07,3.215512993972227e-07,4.6336164233397574e-07,3.206664286335441e-07,4.604893202813737e-07,4.811212676402469e-07,6.919161303670643e-07,5.008698718030461e-07,3.4506036128899174e-07,3.0114451756097905e-07,3.7793805064356846e-07,3.0987095064918486e-07,3.562808359477618e-07,5.235776838836669e-06,3.7091337933768547e-07,2.520844460392741e-07,3.7239185734625624e-07,6.93059161422887e-07,4.0576613152424373e-07,4.4189384337866027e-07,3.7553152840991144e-07,2.527671026606846e-07,4.365009420295116e-07,3.685512166213843e-06,5.237841104682192e-07,5.128522217593261e-07,3.842329160932314e-07,3.3844491987929284e-07,1.9388709599523353e-07,2.1896032462951058e-07,2.555523300556345e-07,3.889010708358296e-07,4.6633486109264155e-07,4.0486039026189054e-07,3.9644989880655476e-07,2.7521758550553634e-07,2.628677857247659e-07,2.444461549966107e-07,4.2029812057117446e-06,4.666084938847208e-07,2.1708993375857062e-07,2.701548887370859e-06,4.3382964034955804e-07,4.7488828524671016e-07,3.6675383220329733e-07,3.291919229437005e-07
Prob contr bag 0,0.06438979250375544,0.03513658614905991,0.034637050872922216,0.015390704753149489,0.0726767550440377,0.03635962797383256,0.03215166917346669,0.015062113294689056,0.020389061323184354,0.014096018809231352,0.011504459030829986,0.008763050799544276,0.009934727155232796,0.006914970225074347,0.006484454375331947,0.013355292497274273,0.010244284686378051,0.020826104416389497,0.008581427373919618,0.006170341112136559,0.005754856603497716,0.04564621042891247,0.00715137790288584,0.005083680089890935,0.008424090092697723,0.005266951828025019,0.0027174448196547268,0.00330491062662054,0.0072915961680113115,0.010287322706424571,0.00865558976317486,0.010188655031913674,0.004682002795735877,0.004106260663259426,0.007297831823135955,0.004165078466455975,0.004417184845223192,0.003382104331807879,0.008049691293846393,0.0039318792714955544,0.005939692862431589,0.005744606139072017,0.004434286747543818,0.0043570360966556105,0.003872888427827223,0.002992394110269874,0.005360855951906135,0.012908657215582136,0.0035636810709913985,0.003819022381368163,0.038191874951341104,0.007882125183012812,0.0037717635334382224,0.0034057865508305024,0.005303993767321407,0.003215512993972581,0.0046336164233402675,0.003206664286335794,0.004604893202814244,0.004811212676402999,0.006919161303671405,0.005008698718031013,0.0034506036128902975,0.003011445175610122,0.0037793805064361007,0.00309870950649219,0.0035628083594780105,0.05235776838837245,0.003709133793377263,0.002520844460393019,0.0037239185734629725,0.006930591614229633,0.0040576613152428845,0.0044189384337870894,0.003755315284099528,0.0025276710266071245,0.0043650094202955965,0.03685512166214249,0.0052378411046827686,0.005128522217593826,0.0038423291609327374,0.003384449198793301,0.001938870959952549,0.002189603246295347,0.0025555233005566265,0.0038890107083587246,0.004663348610926929,0.004048603902619351,0.003964498988065984,0.0027521758550556664,0.0026286778572479487,0.002444461549966376,0.04202981205712207,0.004666084938847722,0.0021708993375859453,0.027015488873711566,0.004338296403496058,0.0047488828524676245,0.003667538322033377,0.003291919229437368
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
