auc_roc,0.4806349206349206,0.48913308913308906,0.49357753357753353,0.5130158730158729,0.5136507936507937,0.4996825396825397,0.5076923076923077,0.537973137973138,0.538998778998779,0.5447619047619048,0.5546275946275947,0.5233699633699633,0.5274725274725275,0.5158974358974359,0.4936752136752137,0.5012942612942612,0.5028571428571429,0.4998778998778998,0.4905494505494505,0.4979731379731379,0.4983638583638584,0.5032478632478632,0.507985347985348,0.5178021978021978,0.5199023199023198,0.5132600732600733,0.5137973137973137,0.5057387057387057,0.6031746031746031,0.6062026862026861,0.6089377289377289,0.6132844932844933,0.6126984126984126,0.6161660561660561,0.6104029304029304,0.6046398046398047,0.6053235653235652,0.6092307692307692,0.6045909645909645,0.6068864468864469,0.6081562881562882,0.6108913308913309,0.6121123321123322,0.6064468864468865,0.6108424908424908,0.6117704517704518,0.601025641025641,0.6018070818070819,0.6012698412698413,0.6006349206349206,0.6021489621489622,0.6047863247863248,0.6077167277167277,0.6011233211233211,0.6016605616605616,0.6020024420024419,0.5993162393162393,0.6004395604395605,0.5994627594627594,0.6003418803418803,0.5972161172161172,0.5984859584859585,0.5984859584859585,0.591941391941392,0.5856410256410256,0.5858852258852258,0.5877899877899878,0.5885225885225885,0.5886691086691087,0.5911599511599511,0.5893528693528693,0.5913064713064713,0.5938949938949939,0.5902808302808302,0.5888156288156288,0.5888156288156288,0.5907203907203907,0.5920879120879121,0.5931135531135531,0.5927228327228327,0.5889621489621489,0.6546031746031745,0.6552869352869353,0.6558241758241758,0.6543589743589744,0.6508913308913309,0.6526495726495727,0.6543101343101343,0.6533333333333333,0.6561660561660562,0.6562637362637361,0.6554822954822955,0.6516727716727717,0.6522100122100123,0.6548962148962149,0.6559218559218559,0.6536752136752136,0.6502075702075703,0.6507936507936508,0.6514285714285714,0.6525518925518925
auc_pr,0.09259741348429798,0.09256919234132113,0.09265741943006725,0.09588955994054502,0.10068272133253414,0.09800308102012614,0.09929560252746705,0.10853476142182387,0.10895348845442034,0.11049566852418162,0.11283713632084859,0.10673538246021555,0.10721037299616619,0.10562171694171738,0.10191176216811557,0.10317571741952543,0.10360119615052663,0.10239177126226567,0.1002890155910747,0.10201465258738354,0.09772848395352134,0.0986380341029546,0.09927033297047863,0.1009149224338024,0.1012732389535327,0.10024764985757503,0.10058124077392656,0.09947684572848033,0.12884050962157736,0.1298703929816215,0.13049757009136512,0.12972973698968826,0.13047037257171035,0.13222424407303204,0.13006998118767235,0.12833926465091772,0.12937307805646076,0.13033589355694528,0.12881198814333084,0.12925697009223974,0.12859465283491764,0.12897679154280625,0.1303735013036259,0.126907646808986,0.128959446563845,0.13034672320287694,0.12416123400915034,0.12802356246662772,0.1273964186225583,0.1275994058062451,0.12808700453062635,0.12856456593583845,0.1302816175648171,0.12526667862453084,0.12635486797582232,0.12625052553290392,0.12585008666142128,0.12590792238242793,0.12486936899604927,0.1257008209276647,0.12252535894391868,0.12297011645360717,0.12310263698133232,0.11912422706809417,0.11635098447997361,0.11664915923395715,0.11700948701616125,0.11769355968009823,0.1203332964865017,0.12110586365775484,0.11992196410299799,0.12049799296454633,0.12117420259761143,0.12002958095702938,0.11929425373135862,0.11938679367125923,0.12054947135823349,0.12087091791739957,0.12099686490476375,0.12123220125644675,0.11874189678754118,0.13964425725785448,0.1397309315376209,0.1399931984706009,0.13913560009684628,0.137928192837904,0.13854097537483762,0.13913894807878158,0.13873802831631143,0.1405596348833458,0.14041779188951448,0.13894222584792587,0.13646047003506542,0.13654061833263703,0.1371302768116646,0.1370723677246178,0.13645143871975784,0.134913773092136,0.1352392157688085,0.13551090315247652,0.13743272074157137
auc_roc_bag,0.625,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.75,0.7083333333333334,0.7083333333333334,0.625,0.625,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.625,0.7083333333333334,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7083333333333333,0.7083333333333333,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7291666666666666,0.7708333333333334,0.7708333333333334,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.6875,0.6875,0.6875,0.6875,0.6875,0.7708333333333334,0.7291666666666666,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7291666666666667
auc_pr_bag,0.5827380952380953,0.7285714285714286,0.7285714285714286,0.7464285714285714,0.6422619047619047,0.6422619047619047,0.7464285714285714,0.6422619047619047,0.6422619047619047,0.5776785714285715,0.5776785714285715,0.6005952380952381,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6422619047619047,0.6107638888888889,0.6494047619047619,0.6357638888888889,0.6244047619047619,0.6244047619047619,0.6244047619047619,0.4547619047619047,0.4547619047619047,0.4797619047619047,0.4797619047619047,0.6047619047619047,0.6047619047619047,0.6047619047619047,0.6047619047619047,0.6047619047619047,0.6047619047619047,0.6047619047619047,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6047619047619047,0.6291666666666667,0.6291666666666667,0.6047619047619047,0.6047619047619047,0.6047619047619047,0.6047619047619047,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.5869047619047619,0.5869047619047619,0.5869047619047619,0.5869047619047619,0.5869047619047619,0.6291666666666667,0.6047619047619047,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.5875
Date,2024-06-24
Time,100.84053874015808
seed,5
Number of anomalous bags,4
Number of anomalies,45
Rewards bXagX 0,3.3254933265278247e-06,4.2165635015134846e-07,8.913799403066983e-07,1.874104951484412e-07,1.608976553533225e-06,1.1695610587817407e-06,2.649900712885717e-06,1.7711970141342282e-07,9.423293726550461e-07,1.0226245019274327e-06,1.97641062739123e-06,8.818984192337875e-07,1.1360065843160246e-06,1.1530095368240336e-06,3.3325427237000197e-07,3.4246907629432585e-07,9.00579343459587e-07,5.737341878218217e-07,1.022511677292187e-06,7.174941755871575e-07,8.0675105919066e-07,4.4404937159942627e-07,2.01982444366165e-07,1.3925951911058472e-07,4.362353208755144e-07,1.0297766888082558e-06,1.0222086740651504e-06,5.990289527266137e-06,3.666245774832958e-07,2.3169257092692018e-07,9.351212487882575e-07,3.6726996634718717e-07,6.822605807974725e-07,9.627976628368214e-07,5.667866013527709e-07,3.6497150183516857e-07,4.0102314844659406e-07,6.870582296469324e-07,3.214603358493029e-07,2.4395101947090156e-07,2.248439509329275e-07,1.323355248511014e-06,5.592907079839136e-07,1.5701787100036792e-06,3.6647316195887343e-07,1.3737529648139819e-06,3.493485822632892e-07,3.8260483328320717e-07,1.6297701697413503e-07,1.6489390197874681e-07,1.2635566441597462e-07,1.0964731338628069e-06,1.0758199826747462e-06,6.246827466105673e-07,4.7119651462586867e-07,6.409261950807963e-07,2.505871842829212e-07,1.9668145246213804e-07,7.743089648807103e-07,5.460717013701974e-07,2.997795402502532e-07,1.7996926122456202e-07,5.686861867852591e-07,7.549255035555789e-07,2.5816529624144486e-07,6.913211061180162e-08,6.016394215889826e-07,3.023411959122426e-08,1.6130737020085718e-07,1.147190651593971e-06,1.0836744184861714e-07,3.667445414302059e-07,4.2447556980630736e-07,2.4963420105598415e-07,2.1010087044158844e-07,7.493728231160086e-07,2.4238357083414885e-07,1.3902552768478653e-07,4.1911419343551656e-07,3.656498769886763e-07,4.235091834253742e-06,1.0589824921978155e-07,1.1248839257070682e-07,3.2526329046756003e-07,3.5796019469605083e-07,3.080640704327173e-06,1.9055817395239786e-07,2.384255154710126e-07,1.1915702246906323e-06,6.440571870674699e-08,3.025721683979816e-07,4.6502113849034294e-07,5.1366658621612317e-08,2.497698832433051e-07,8.621075711295044e-07,1.991705055599377e-07,4.2273610626152226e-07,1.4208763128559776e-07,2.639447860549101e-07,4.410646265114783e-07
Prob contr bag 0,0.03325493326528191,0.004216563501513949,0.008913799403067964,0.0018741049514846184,0.016089765535334023,0.011695610587818695,0.026499007128860087,0.0017711970141344232,0.009423293726551499,0.010226245019275453,0.019764106273914478,0.008818984192338846,0.011360065843161496,0.011530095368241604,0.003332542723700387,0.0034246907629436356,0.009005793434596862,0.005737341878218849,0.010225116772922996,0.0071749417558723645,0.008067510591907488,0.0044404937159947516,0.0020198244436618724,0.0013925951911060005,0.004362353208755624,0.010297766888083692,0.01022208674065263,0.05990289527266796,0.003666245774833362,0.002316925709269457,0.009351212487883604,0.0036726996634722764,0.006822605807975476,0.009627976628369275,0.0056678660135283335,0.0036497150183520876,0.004010231484466382,0.00687058229647008,0.0032146033584933833,0.0024395101947092845,0.0022484395093295226,0.013233552485111596,0.005592907079839752,0.01570178710003852,0.003664731619589138,0.013737529648141332,0.0034934858226332768,0.003826048332832493,0.0016297701697415296,0.0016489390197876497,0.0012635566441598853,0.010964731338629276,0.010758199826748647,0.006246827466106361,0.0047119651462592055,0.006409261950808668,0.002505871842829488,0.001966814524621597,0.007743089648807956,0.005460717013702576,0.0029977954025028624,0.0017996926122458184,0.005686861867853217,0.0075492550355566205,0.002581652962414733,0.0006913211061180923,0.006016394215890488,0.0003023411959122759,0.0016130737020087495,0.011471906515940973,0.0010836744184862907,0.0036674454143024626,0.004244755698063541,0.0024963420105601165,0.002101008704416116,0.0074937282311609114,0.0024238357083417555,0.0013902552768480184,0.004191141934355627,0.0036564987698871655,0.042350918342542086,0.0010589824921979321,0.001124883925707192,0.0032526329046759584,0.0035796019469609025,0.03080640704327512,0.0019055817395241884,0.0023842551547103887,0.011915702246907635,0.0006440571870675409,0.0030257216839801497,0.004650211384903942,0.0005136665862161797,0.0024976988324333263,0.008621075711295993,0.0019917050555995964,0.0042273610626156885,0.001420876312856134,0.002639447860549392,0.004410646265115269
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,9,9,9,9,9
Rewards bag 1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7
Rewards bag 2,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rewards bag 4,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12
Rewards bag 5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9
Rewards bag 6,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rewards bag 7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,11
Rewards bag 8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,11,12,12,12,13,14,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17
Rewards bag 9,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
