auc_roc,0.4879528454724071,0.47326876012546965,0.4765778497811175,0.4855399675984971,0.4975009479163076,0.4889869359897969,0.48853883009892796,0.5078763227741201,0.5140119265106339,0.5171141980628038,0.511288821481507,0.5164248043845437,0.4983282203302195,0.49474337320326767,0.488917996621971,0.49181345007066285,0.5756781910309883,0.5691634207714316,0.5603047120057909,0.5653717555410017,0.559615318327531,0.558925924649271,0.5693702388749096,0.5719899348522973,0.5717831167488193,0.5769535693357692,0.5614766812588328,0.5590638033849229,0.5594085002240529,0.5588914549653579,0.559787666747096,0.561407741891007,0.5516183516597153,0.5531350177518872,0.5549619109992762,0.5566853951949261,0.5785047051118541,0.580814173934025,0.581469097928372,0.582434249077936,0.5789528110027231,0.5774361449105512,0.578814932267071,0.5792285684740272,0.5780565992209851,0.580262658991417,0.603770983420082,0.6164902967839785,0.6168694633070214,0.6207990072731033,0.6224190824170143,0.6405156664713385,0.6374478646030816,0.6364482437696046,0.6430319533969874,0.6663334597221743,0.6663334597221743,0.6723656544069491,0.6747095929130329,0.671986487883906,0.670814518630864,0.6798800454999829,0.6810520147530247,0.6808451966495468,0.6782255006721588,0.6877736031160594,0.6909792837199683,0.6882561786908414,0.6867739822825825,0.6877046637482335,0.6888076936334494,0.6898762538347524,0.6893936782599704,0.6896349660473613,0.6894281479438833,0.6899451932025783,0.6917720864499673,0.6940815552721382,0.6931853434904002,0.6910826927717073,0.6902898900417083,0.6816724690634587,0.6783633794078109,0.6790527730860708,0.6815690600117198,0.6789838337182448,0.6799489848678089,0.6810520147530247,0.6804660301265036,0.6771224707869429,0.675192168487815,0.6770880011030299,0.676433077108683,0.6773982282582467,0.6775705766778118,0.6786391368791148,0.6787425459308538,0.6820171659025887,0.6803281513908518,0.6801902726551998,0.6781910309882458
auc_pr,0.1786298181794283,0.16614566217531113,0.16897172180201614,0.17289763935549557,0.17121751990849554,0.16675896796671896,0.16737141877633968,0.18831336893857684,0.1900551147900851,0.19203138055379662,0.19023217437195972,0.1911497206384029,0.18632273011019018,0.18495068654337588,0.18525728420560034,0.18585052305140187,0.20429955759948126,0.20225617993239745,0.19939008093001903,0.20154466989242514,0.19903167258045207,0.19793075455258838,0.20136891340590032,0.20261310001512572,0.2023060544585587,0.20418582118581044,0.1980455154359717,0.1932964950401745,0.18403522980863782,0.18418237548663952,0.18514429563463924,0.1850770601771172,0.18332832490215437,0.1837450141009787,0.18411412306355554,0.18534430913441496,0.18941087596572023,0.190275636361262,0.19079405676276506,0.1919463384244262,0.19005504930853495,0.18933512572959904,0.18916514806287066,0.1891966235073803,0.1890142714890849,0.18960280797335993,0.19722483452178152,0.2037350516108984,0.2040233022760819,0.2058849610906599,0.2066215873571366,0.2153180338922963,0.2144966018057606,0.21415311979844795,0.22398621294267512,0.2330037725906568,0.2330037725906568,0.24410783745819856,0.24515284150133124,0.24935170400544748,0.24751962322568827,0.2507339503063975,0.2511667482844729,0.2515927288176468,0.25018102150029264,0.2556615235594395,0.25787013617598736,0.25645114718515966,0.2534168445061733,0.2528653751913859,0.253654783570701,0.25505329848693464,0.2556709981448266,0.25463806685396695,0.2549765065862487,0.25518199967495464,0.256071439548594,0.2589546024270041,0.2593065892145174,0.2575723626741667,0.25591279824236235,0.251761968177231,0.24970275737117034,0.24980084291862054,0.2512311165152095,0.25032345171746617,0.2543856642684634,0.255246707925615,0.2544648362311418,0.25208996765220343,0.25078695678505675,0.2511208637023297,0.25030441007447757,0.2504408228333062,0.24804016949091612,0.24835326270779384,0.24843067460809987,0.2536116677841887,0.251244671319496,0.25157312288916,0.24950362302320678
auc_roc_bag,0.5833333333333334,0.625,0.5416666666666667,0.5416666666666667,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.625,0.625,0.625,0.625,0.5833333333333333,0.5833333333333333,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
auc_pr_bag,0.5654761904761905,0.5776785714285715,0.5425595238095238,0.5425595238095238,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.5654761904761905,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5827380952380953,0.5827380952380953,0.5827380952380953,0.5827380952380953,0.5827380952380953,0.5827380952380953,0.5827380952380953,0.5827380952380953,0.6244047619047619,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.7113095238095238,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6850198412698413,0.6850198412698413,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.6976686507936508,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286,0.7285714285714286
Date,2024-06-25
Time,68.63578772544861
seed,4
Number of anomalous bags,4
Number of anomalies,67
Rewards bXagX 0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 1,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 2,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 3,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 4,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 5,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 6,0.11999999999999988,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 7,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 8,0.0,0.0,0.0,0.0,0.0
Rewards bXagX 9,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0
Rewards bag 1,0
Rewards bag 2,0
Rewards bag 3,0
Rewards bag 4,0
Rewards bag 5,0
Rewards bag 6,0
Rewards bag 7,0
Rewards bag 8,0
Rewards bag 9,0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
