auc_roc,0.323857994041708,0.5841298411122146,0.4928003972194638,0.44864076464746777,0.44392378351539225,0.4512475173783515,0.4622641509433962,0.47383937437934454,0.48414225422045676,0.49230387288977157,0.566627358490566,0.5674342105263158,0.6319823733862959,0.6273895233366436,0.6082733366434955,0.6093284508440914,0.5745096822244289,0.5711891757696127,0.5777370903674279,0.5888778550148956,0.5968843098311817,0.6114386792452828,0.6154108738828202,0.6159694637537241,0.617769364448858,0.5938741310824229,0.5981876861966237,0.5931914101290963,0.59865317775571,0.5982187189672293,0.6041459781529295,0.6076216484607746,0.6108800893743793,0.6155970705064547,0.6198485600794439,0.6248758689175771,0.6310513902681232,0.6243172790466732,0.6270791956305859,0.6292825223435948,0.6348373882820258,0.6323857994041707,0.6326650943396227,0.6336581429990069,0.6372889771598809,0.629406653426018,0.6335960774577954,0.6343718967229394,0.6341546673286992,0.6312996524329691,0.6236345580933466,0.6771971201588879,0.6798038728897716,0.6696871896722939,0.6720456802383317,0.6746214001986097,0.6804245283018869,0.6816658391261172,0.6827519860973188,0.6827519860973189,0.7167018371400199,0.718098311817279,0.7176328202581926,0.7191223932472691,0.7195568520357497,0.7171983614697122,0.7206740317775572,0.722349801390268,0.7214188182720954,0.7363766137040715,0.7384558093346574,0.7393867924528302,0.7350422045680238,0.7470829195630586,0.7473932472691163,0.7463381330685204,0.7358490566037735,0.7353525322740814,0.7374317279046674,0.7338008937437934,0.7299217974180735,0.7316596325719961,0.73243545183714,0.7342663853028798,0.7433900198609731,0.7450037239324727,0.7470518867924528,0.7509309831181729,0.7513654419066536,0.7523584905660377,0.7542825223435948,0.7564858490566038,0.7591546673286992,0.7690541211519364,0.769364448857994,0.7691472194637538,0.7729642502482622,0.7726539225422047,0.7731504468718967,0.7736469712015889,0.7737711022840119
auc_pr,0.12285099288741794,0.22894334421662044,0.18540705458162016,0.16063314889223346,0.14878471645906893,0.15044403320115612,0.1541791783594179,0.15797010983720317,0.1599413410152465,0.1615182668682818,0.20522863378921014,0.20367050700428024,0.23813207358084648,0.23817780240385383,0.2205292791179297,0.22217015609782576,0.20206794203942233,0.2005265596594778,0.2019891827627446,0.20589290057119125,0.21198293379185373,0.22342976786298177,0.22450434294002525,0.2230924259296513,0.22358902391441887,0.20464614714641666,0.20676542653436836,0.2021154378748477,0.20571194602969733,0.20580434041419204,0.2092225439571275,0.21092615419418084,0.21286876442852887,0.21460341523450843,0.21552891429486792,0.22906704110077097,0.23255068376155325,0.23177072181428143,0.23352523366051786,0.23454029214115307,0.23853208285371988,0.23396601492556285,0.23064005906964832,0.23081217469436568,0.2311580239913982,0.22693486709588676,0.23014477646348114,0.23125694375740768,0.22938174953111176,0.22898530282452997,0.2241808034083865,0.25321027219524567,0.25946308904689985,0.24849730308819099,0.2482791291025592,0.24971267136194153,0.2529915739296822,0.25263427599413524,0.253300021607109,0.255789644136974,0.28434586967704156,0.2862697168922514,0.28713046725173297,0.2866539991430381,0.28396357623730784,0.2815973473614114,0.2845643357264544,0.28552217864983603,0.2848532658962978,0.28884615173703776,0.29303384093206114,0.2931869763868386,0.29056202797322433,0.30127894729576526,0.3010353669315261,0.300479258325569,0.2981734222282018,0.29814533769693585,0.30342612682523307,0.30095818148959314,0.29645282694364705,0.2989379036679563,0.2995780836930515,0.30679133837818534,0.31703728401452386,0.3164872732153201,0.32257756119502057,0.32659051877001954,0.3240501051029033,0.3241498719814643,0.3248996822640597,0.3262250847665633,0.3298511410485437,0.34370149859927773,0.34389828153957475,0.3454770581504624,0.35313155095861287,0.35304878676130363,0.3526075297910739,0.3525709914426535,0.3529732276736216
auc_roc_bag,0.6666666666666667,0.6666666666666666,0.5833333333333334,0.625,0.49999999999999994,0.5416666666666666,0.5416666666666666,0.41666666666666663,0.375,0.4583333333333333,0.41666666666666663,0.4583333333333333,0.5,0.5,0.41666666666666663,0.41666666666666663,0.4583333333333333,0.4583333333333333,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5,0.6666666666666666,0.625,0.5833333333333334,0.5416666666666666,0.5,0.5,0.5416666666666667,0.5416666666666667,0.4583333333333333,0.41666666666666663,0.41666666666666663,0.375,0.375,0.5,0.5,0.5,0.5,0.5,0.5416666666666666,0.5,0.4583333333333333,0.4583333333333333,0.41666666666666663,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.41666666666666663,0.5416666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.45833333333333337,0.5,0.5,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.625,0.5833333333333334,0.625,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
auc_pr_bag,0.7796626984126983,0.6232142857142857,0.7648148148148147,0.8134259259259259,0.7249338624338624,0.7735449735449735,0.7735449735449735,0.6818783068783069,0.669973544973545,0.635515873015873,0.510515873015873,0.5271825396825397,0.5535714285714285,0.5535714285714285,0.510515873015873,0.510515873015873,0.5271825396825397,0.5271825396825397,0.5698412698412698,0.5698412698412698,0.5698412698412698,0.531547619047619,0.6232142857142857,0.5996031746031746,0.5852182539682539,0.5698412698412698,0.5434523809523809,0.5434523809523809,0.558829365079365,0.558829365079365,0.5156746031746031,0.5017857142857143,0.5017857142857143,0.485515873015873,0.485515873015873,0.531547619047619,0.531547619047619,0.531547619047619,0.531547619047619,0.531547619047619,0.5454365079365079,0.531547619047619,0.5156746031746031,0.5156746031746031,0.5017857142857143,0.5156746031746031,0.5156746031746031,0.5156746031746031,0.5156746031746031,0.5156746031746031,0.5017857142857143,0.5454365079365079,0.5310515873015873,0.5310515873015873,0.5310515873015873,0.5310515873015873,0.5310515873015873,0.5310515873015873,0.5310515873015873,0.5310515873015873,0.5171626984126984,0.5171626984126984,0.5171626984126984,0.5171626984126984,0.5171626984126984,0.5171626984126984,0.5171626984126984,0.5171626984126984,0.531547619047619,0.531547619047619,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5454365079365079,0.5732142857142857,0.5732142857142857,0.5732142857142857,0.5732142857142857,0.5732142857142857,0.5732142857142857,0.5732142857142857,0.5732142857142857,0.5996031746031746,0.5732142857142857,0.6982142857142857,0.5732142857142857,0.7246031746031746,0.7246031746031746,0.7246031746031746,0.7246031746031746,0.7246031746031746
Date,2024-06-20
Time,69.85657858848572
seed,0
Number of anomalous bags,6
Number of anomalies,76
Rewards bXagX 0,1.6842820640716605e-05,3.4505994287847164e-06,2.800308209802407e-06,3.7741129650581873e-06,7.613207913246862e-07,4.998514553276045e-06,2.096967399360185e-06,1.162367308799742e-06,2.343691660560787e-06,7.882945916542609e-06,5.694814857307157e-07,3.62714169653428e-06,7.605404773420239e-07,1.8991599765081292e-06,4.095537390336629e-07,1.8759616248615973e-06,5.127424129285673e-07,2.6609347191020277e-06,8.561784386421343e-07,1.6458637819043284e-06,4.4114626119188216e-06,1.070900484702908e-06,1.0315989793798557e-06,7.724179069229481e-08,1.5204256104393067e-06,1.211816521302171e-06,9.186084206050486e-07,3.5795319194258e-07,4.536931487640562e-07,1.7228416448106522e-06,7.401718936955813e-07,1.8802073733648253e-07,5.083411365062897e-07,6.650479408787614e-07,3.1036557396448403e-06,6.719656330022252e-07,5.682889504363455e-07,6.417041044668433e-07,2.528500110152175e-07,3.260680339512619e-07,1.004742685921923e-06,1.1406162888147588e-06,1.5919178056685794e-07,6.055650084348199e-07,8.765271809811316e-07,1.0524767644581043e-06,4.955319837464301e-07,8.796430115445177e-07,8.956828288045954e-08,5.998692048817795e-07,2.9350724722386034e-06,7.407038141325683e-07,8.834142158882281e-07,8.040773698428877e-07,6.095420482376654e-07,3.2919213051060644e-07,3.3544559498493855e-07,5.92809993394547e-08,4.516188570198533e-07,3.7658805688773343e-06,5.361580215089435e-07,1.9495439440879415e-07,5.820027213752858e-07,5.452264003707529e-07,4.5316433134964133e-07,1.8650523904579688e-07,1.0914639166680458e-06,4.383216352529908e-07,1.7592744748351387e-06,1.963125205754578e-07,1.8132100043920213e-07,7.608986832638695e-07,2.958264333375836e-06,2.7247350819887404e-07,1.0869156569124796e-07,1.234362252348828e-07,1.0104246826939215e-07,1.828910048972121e-07,3.696136053181384e-07,3.4979913898836057e-07,4.121423328606241e-07,6.723123846088478e-08,1.4276832592732544e-06,1.350887957545626e-06,2.0042971801966687e-07,5.112013014620381e-07,3.872670445340578e-07,9.874171472103324e-07,1.8582471387441575e-07,1.6240047290359994e-07,3.2823850917196375e-07,1.1288404895709022e-06,2.696210294895746e-06,6.958047707063112e-07,7.414398586984069e-07,7.295699765642013e-07,1.0749114117896671e-07,4.086053969329922e-07,1.936296029563311e-07,1.2105890558758453e-07
Prob contr bag 0,0.1684282064071846,0.03450599428785096,0.028003082098027154,0.03774112965058603,0.007613207913247701,0.04998514553276595,0.020969673993604162,0.0116236730879987,0.02343691660561045,0.07882945916543477,0.005694814857307784,0.036271416965346796,0.007605404773421077,0.018991599765083383,0.00409553739033708,0.01875961624861804,0.005127424129286237,0.02660934719102321,0.008561784386422286,0.016458637819045097,0.044114626119193076,0.01070900484703026,0.010315989793799694,0.0007724179069230333,0.01520425610439474,0.012118165213023046,0.009186084206051498,0.003579531919426194,0.004536931487641061,0.01722841644810842,0.007401718936956628,0.0018802073733650323,0.005083411365063457,0.006650479408788346,0.031036557396451822,0.0067196563300229925,0.005682889504364081,0.006417041044669139,0.0025285001101524535,0.0032606803395129782,0.010047426859220337,0.011406162888148844,0.0015919178056687548,0.006055650084348866,0.008765271809812281,0.010524767644582203,0.004955319837464847,0.008796430115446147,0.0008956828288046941,0.005998692048818455,0.029350724722389268,0.007407038141326499,0.008834142158883253,0.008040773698429763,0.006095420482377325,0.003291921305106427,0.003354455949849755,0.0005928099933946123,0.00451618857019903,0.03765880568877749,0.005361580215090025,0.0019495439440881564,0.0058200272137534995,0.00545226400370813,0.004531643313496913,0.0018650523904581741,0.01091463916668166,0.004383216352530391,0.017592744748353324,0.0019631252057547943,0.001813210004392221,0.007608986832639533,0.029582643333761618,0.0027247350819890404,0.0010869156569125993,0.001234362252348964,0.0010104246826940328,0.0018289100489723225,0.0036961360531817915,0.0034979913898839908,0.004121423328606695,0.0006723123846089219,0.014276832592734115,0.013508879575457747,0.0020042971801968895,0.005112013014620944,0.0038726704453410045,0.009874171472104412,0.001858247138744362,0.0016240047290361783,0.0032823850917199993,0.011288404895710265,0.026962102948960426,0.006958047707063879,0.007414398586984886,0.0072956997656428175,0.0010749114117897854,0.004086053969330372,0.0019362960295635243,0.0012105890558759785
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,8,8,8,8,9,9,9,9
Rewards bag 1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,9,9,9,9,9,9
Rewards bag 2,0,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 3,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
Rewards bag 5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 7,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,5,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
Rewards bag 9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
