auc_roc,0.5424641148325359,0.5456539074960127,0.5447069377990431,0.5452053429027113,0.5694278309409888,0.5777511961722488,0.5814393939393939,0.6063596491228069,0.6323763955342903,0.6398524720893142,0.6504685007974482,0.6518640350877193,0.6422946570972886,0.64478668261563,0.6495215311004785,0.6509669059011165,0.6504186602870814,0.6413975279106858,0.653359250398724,0.6572966507177034,0.661682615629984,0.6618819776714513,0.6647228867623605,0.6612838915470494,0.6618321371610845,0.665121610845295,0.667165071770335,0.666317783094099,0.6604366028708135,0.6692583732057416,0.6731957735247209,0.676335725677831,0.6690091706539074,0.6720992822966507,0.6793261562998405,0.6824162679425837,0.6787779106858054,0.6805721690590112,0.6815689792663477,0.6771331738437002,0.6796750398724083,0.6797248803827751,0.6843102073365231,0.6859051036682615,0.6864533492822966,0.6877492025518341,0.6874501594896333,0.6885964912280703,0.6850079744816587,0.6872507974481658,0.6825159489633175,0.6851574960127592,0.6824162679425838,0.6838616427432218,0.6869517543859649,0.6874501594896331,0.6878488835725678,0.6921351674641149,0.6961722488038278,0.6997109250398724,0.7012061403508771,0.7024023125996811,0.7023026315789475,0.7459130781499203,0.7476574960127592,0.7424242424242424,0.7702352472089314,0.7702850877192982,0.7716307814992025,0.7709828548644339,0.7718799840510366,0.7736244019138756,0.774372009569378,0.7735745614035088,0.7703349282296651,0.7708831738437002,0.7695873205741627,0.7693879585326954,0.7662978468899522,0.7668959330143541,0.7676933811802233,0.7687898724082934,0.7695374800637959,0.7687898724082934,0.7696371610845295,0.7674441786283892,0.7679425837320574,0.7686901913875598,0.7817484051036682,0.7818480861244019,0.7833433014354068,0.7814992025518341,0.786134370015949,0.78643341307815,0.7875299043062202,0.787828947368421,0.7886762360446571,0.789872408293461,0.7897228867623605,0.791267942583732,0.7916666666666666
auc_pr,0.10558039428678061,0.10789560363988089,0.10773154344612793,0.10831191393796397,0.12126966370139855,0.12727929398484888,0.15692375193095257,0.16230742996893632,0.1674941895368916,0.1698684698268031,0.1718117021026456,0.1961055214185276,0.19373358151375666,0.1935761933854228,0.19423502991793173,0.1942591893312609,0.19710685024359548,0.1949972131965327,0.19901295088815202,0.20078191695143713,0.2023011787555293,0.2035763297516893,0.20822243633192056,0.2019344599713183,0.20268718787103607,0.20276216390396729,0.20300204271468025,0.20303632950533038,0.2017504942839307,0.20609765670986274,0.20895420027028927,0.20944485972684962,0.1983191956699697,0.19902840936259955,0.22033466542031674,0.22294313934652174,0.22196977586551508,0.2225426336129847,0.22315205312211603,0.22003804863464985,0.22025999026363122,0.22013260001407442,0.2218677178463043,0.2235627687591379,0.22388001575400593,0.223300670066727,0.2244253516105289,0.22529753297227617,0.2285302825092239,0.2282784738847122,0.22749562860749245,0.2331790879665712,0.23138052316799754,0.257630490299003,0.29570228298117673,0.29576831204621934,0.2996353410981091,0.30044527900034523,0.30143632276765553,0.3029449065297374,0.30356761754297423,0.30153188927273855,0.30107339094281393,0.3204916644717229,0.3209428273880377,0.3181648359623176,0.3307402211151865,0.33049252106480664,0.3309465294310757,0.33060010758378056,0.3307834683106163,0.3318654449956148,0.3320250822966873,0.3311622923331549,0.3256281524643694,0.32575609259311056,0.3254343692996476,0.32499979569976056,0.32356603752433555,0.3238986425843328,0.32484777409618115,0.32649391432786584,0.32665342317736584,0.3242792175680632,0.3245393269902381,0.31740895393726,0.31752283210064425,0.3179576324371519,0.33412648802061884,0.3338705165025543,0.3341443789033016,0.3325324171019051,0.3388940766198892,0.33856194074183704,0.3308359961395546,0.3306972977319568,0.33135441048343833,0.369376795851355,0.3685182760743113,0.36490314463756635,0.36500468865733554
auc_roc_bag,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.7619047619047619,0.7142857142857142,0.7142857142857142,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.7142857142857142,0.7142857142857142,0.6666666666666667,0.6666666666666667,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7142857142857142,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095
auc_pr_bag,0.711111111111111,0.711111111111111,0.711111111111111,0.711111111111111,0.40555555555555556,0.3722222222222222,0.3722222222222222,0.34444444444444444,0.34444444444444444,0.3138888888888889,0.3138888888888889,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3138888888888889,0.3138888888888889,0.3138888888888889,0.34444444444444444,0.34444444444444444,0.3722222222222222,0.3722222222222222,0.3492063492063492,0.3492063492063492,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.3722222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6777777777777778,0.6222222222222222,0.6222222222222222,0.6777777777777778,0.6777777777777778,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8166666666666667,0.7936507936507937,0.7936507936507937,0.7936507936507937,0.7936507936507937
Date,2024-06-04
Time,82.3026168346405
seed,19
Number of anomalous bags,3
Number of anomalies,44
Rewards bXagX 0,1.2142887326662822e-06,6.011971661580523e-07,8.210605063193347e-07,4.225386959221535e-06,1.0797264738568924e-06,9.059619150615792e-07,1.3001348120259888e-06,1.3937305001595596e-06,4.339155324305221e-07,5.282123169546781e-07,9.795009622775113e-07,6.211001678268843e-07,7.97523718612558e-07,1.4941484858718303e-07,3.059046684366744e-07,9.078278216054184e-07,5.890595770298451e-07,8.253825270972589e-07,1.8678541267708087e-07,3.053945815423196e-07,3.7932632120197664e-07,3.63259663022629e-07,8.800916533450377e-07,3.1307424956249726e-07,1.500437545010653e-07,1.947103020159848e-07,8.588411367015812e-07,3.268468952389358e-07,5.90186810156569e-07,6.554209390248511e-07,8.550995699969088e-08,7.617720080828717e-07,1.5330327449726514e-07,6.589876798572635e-07,3.955908552826289e-07,3.0215228048975466e-07,6.124751270867857e-08,1.1044599389678492e-07,6.208427829216749e-07,3.199832788188597e-07,1.7437394076880166e-07,6.676188286949216e-07,9.184357964667435e-07,4.960035595359972e-07,2.801432734573112e-07,5.691790475101161e-07,5.658675481793246e-08,7.217766761722199e-07,5.670290035102481e-07,2.2656816799505136e-07,7.539171544219271e-07,1.593066624753244e-07,3.4932564188664787e-07,2.540826315968794e-07,7.832881228919051e-08,4.860510949893397e-07,8.923762041063002e-08,1.1110268154870589e-07,1.7207625636819446e-07,1.1690440649712209e-07,5.986868375969548e-07,1.577740344179134e-07,2.1883618620942265e-06,7.34926789846483e-08,2.1141504840907632e-07,1.7973065427442753e-06,3.01394312030031e-07,2.537505686505594e-07,2.493319102674391e-07,3.747124767997502e-07,3.0097455159955477e-07,8.400216497588345e-08,1.6493536826939793e-07,5.255314002969255e-07,2.5380692235742688e-08,1.3197167557572657e-07,2.0156013597407807e-07,1.5820381504280565e-07,1.4289404207655434e-07,1.135160938403646e-07,3.3298194418777865e-07,2.198781312803548e-08,3.262541120441343e-07,2.2280680162523968e-07,1.5304026309271715e-07,1.234846699416808e-07,6.482412606973432e-08,2.0624784316421064e-06,6.962175896640539e-08,9.710116311197719e-08,2.0430052420011468e-07,1.3322807417568964e-06,8.049601666227426e-08,3.267355014527416e-07,8.02624962380351e-08,3.638271729025905e-08,3.572529285844786e-07,1.0344872669661931e-07,5.000466351596524e-07,1.8717330368250462e-07
Prob contr bag 0,0.012142887326664159,0.006011971661581185,0.008210605063194251,0.04225386959222,0.010797264738570114,0.00905961915061679,0.01300134812026132,0.013937305001597131,0.0043391553243056985,0.005282123169547363,0.009795009622776192,0.006211001678269527,0.007975237186126458,0.001494148485871995,0.0030590466843670805,0.009078278216055185,0.0058905957702991,0.008253825270973498,0.0018678541267710144,0.0030539458154235327,0.0037932632120201842,0.00363259663022669,0.008800916533451346,0.0031307424956253174,0.0015004375450108182,0.0019471030201600624,0.008588411367016758,0.0032684689523897184,0.005901868101566341,0.006554209390249233,0.000855099569997003,0.007617720080829556,0.0015330327449728203,0.006589876798573361,0.003955908552826725,0.0030215228048978793,0.0006124751270868531,0.0011044599389679708,0.0062084278292174324,0.0031998327881889495,0.0017437394076882087,0.006676188286949951,0.009184357964668446,0.0049600355953605185,0.0028014327345734207,0.005691790475101787,0.0005658675481793869,0.007217766761722994,0.005670290035103106,0.002265681679950763,0.007539171544220101,0.0015930666247534195,0.0034932564188668636,0.002540826315969074,0.0007832881228919914,0.004860510949893932,0.0008923762041063985,0.0011110268154871812,0.0017207625636821342,0.0011690440649713496,0.0059868683759702074,0.0015777403441793077,0.021883618620944675,0.0007349267898465639,0.002114150484090996,0.017973065427444732,0.003013943120300642,0.0025375056865058736,0.0024933191026746656,0.003747124767997915,0.003009745515995879,0.000840021649758927,0.0016493536826941609,0.005255314002969833,0.0002538069223574548,0.0013197167557574112,0.0020156013597410027,0.0015820381504282309,0.0014289404207657008,0.001135160938403771,0.0033298194418781533,0.00021987813128037902,0.0032625411204417025,0.002228068016252642,0.00153040263092734,0.001234846699416944,0.0006482412606974146,0.020624784316423336,0.0006962175896641305,0.0009710116311198788,0.0020430052420013717,0.013322807417570432,0.0008049601666228312,0.0032673550145277757,0.0008026249623804394,0.0003638271729026306,0.0035725292858451796,0.001034487266966307,0.005000466351597075,0.0018717330368252523
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
Rewards bag 1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 2,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12
Rewards bag 3,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14
Rewards bag 4,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,8,8,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Rewards bag 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,11,11,12,12,12,12,12,12,12
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13
Rewards bag 8,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Rewards bag 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
