auc_roc,0.3177696980854197,0.34547588365243004,0.5317332474226805,0.5586570324005891,0.5911266568483063,0.6113540132547864,0.7145388438880707,0.7699051914580265,0.7913981958762887,0.7961386229749631,0.8087951030927836,0.8335327687776142,0.838871502209131,0.844095176730486,0.8973674521354934,0.9160530191458026,0.9167663843888071,0.9165132547864506,0.9178479381443299,0.9225423416789397,0.9244062960235642,0.9319081369661266,0.9480393961708394,0.9470498895434463,0.9536542709867453,0.9523656111929308,0.9504326215022091,0.9545977540500736,0.9561855670103093,0.963526325478645,0.9666099042709868,0.9665638807069219,0.9684968703976436,0.9749401693667158,0.9787141016200295,0.9789212076583211,0.9795885493372607,0.9800948085419735,0.980071796759941,0.9813834683357879,0.9798877025036818,0.9814985272459499,0.9815905743740796,0.9847201767304861,0.9840758468335788,0.98667617820324,0.9867222017673049,0.9839377761413843,0.9832934462444771,0.9844670471281296,0.9847431885125184,0.9850883652430044,0.9858017304860089,0.9856176362297496,0.9849502945508101,0.9858017304860088,0.9856636597938144,0.9858477540500736,0.9861469072164948,0.9864690721649485,0.9855255891016199,0.9853875184094256,0.9890924153166422,0.9888162739322532,0.9895066273932254,0.9901969808541974,0.9911174521354935,0.9911174521354935,0.9910944403534611,0.9912785346097202,0.9910254050073638,0.9908643225331368,0.989713733431517,0.9891614506627393,0.9896677098674522,0.9895756627393224,0.9896216863033873,0.9898748159057438,0.9897827687776142,0.9911174521354934,0.9901279455081002,0.9898748159057438,0.9898287923416791,0.9920379234167894,0.9916237113402062,0.9915086524300442,0.9914166053019147,0.9913475699558174,0.9915316642120766,0.991554675994109,0.9925441826215022,0.9917617820324007,0.9919458762886598,0.9919688880706923,0.9921299705449189,0.9918078055964654,0.9914626288659794,0.9924751472754051,0.9927743004418261,0.9924981590574374,0.9938328424153167
auc_pr,0.15947354721359516,0.16933901313504293,0.2513816076147798,0.2730542547559897,0.30393451178620295,0.3146190213474138,0.3982941788261565,0.47604091431309103,0.5232038283368218,0.5349178359365523,0.5534197004974485,0.5884843197907562,0.5998533290505728,0.5988809895292688,0.6439874840820305,0.699590634429237,0.7057156872095027,0.7061103201480123,0.724008755420891,0.7349136479940773,0.7443155119461354,0.7662338097964123,0.8015455466344027,0.7975939853547023,0.8516956155150256,0.8494682989396897,0.8476158699536269,0.8664153937185699,0.8680505383235252,0.8850553085694733,0.8963992383451247,0.9037875951479434,0.9087813415836394,0.9237914477127025,0.9306544441934801,0.9310611515189068,0.9329639863906385,0.9337022661896626,0.9334385980046076,0.9360352609554371,0.9306075777804019,0.9355263227433801,0.9372641679029289,0.9490422747034797,0.9474712873208568,0.953335133128387,0.9531409360772638,0.9447623766809918,0.9363003660666216,0.9386655348305162,0.9414940270777258,0.9418664206212561,0.9439611036172145,0.9418968145300117,0.9403829767319615,0.94321920294164,0.9431648694017715,0.94359628845385,0.9460352910966578,0.9475272049904216,0.9454297191441954,0.9447655452108706,0.9543232329753454,0.9536959801359082,0.956478814937121,0.9586210621596805,0.9622432386037726,0.9622432386037726,0.9619429782569102,0.9622690752607599,0.9614847145852883,0.9604825492148461,0.9574680952801231,0.9562835908268853,0.9575112722868341,0.9576296964620107,0.9575611135331091,0.9581516755311467,0.9578718975149351,0.9632335730328836,0.960301648127728,0.9595535166915807,0.9594110007701956,0.9658193606131638,0.9646807143379383,0.9647335564390529,0.964194808315701,0.9640244888376845,0.9644165335209551,0.9647414600087261,0.9675859174870679,0.9647122070509504,0.9679540407232103,0.9662953979028571,0.967069046949393,0.9654195801462446,0.9642905080193391,0.9697859365874107,0.9703705733536164,0.9708601708861079,0.974305005573578
auc_roc_bag,0.09523809523809525,0.14285714285714285,0.33333333333333337,0.1904761904761905,0.4761904761904762,0.4761904761904762,0.4761904761904762,0.6666666666666667,0.6666666666666667,0.8095238095238095,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.7142857142857143,0.6190476190476191,0.8571428571428572,0.8095238095238095,0.8095238095238095,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9047619047619049,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
auc_pr_bag,0.49829931972789115,0.6054421768707483,0.6599489795918367,0.5277210884353741,0.6318027210884353,0.6318027210884353,0.6318027210884353,0.8326530612244896,0.8326530612244896,0.9280045351473922,0.8837868480725624,0.8858276643990928,0.8441609977324263,0.8441609977324263,0.8099773242630384,0.9325680272108843,0.91797052154195,0.91797052154195,0.9325680272108843,0.9325680272108843,0.9325680272108843,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9587585034013604,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,0.9808673469387754,1.0,1.0,1.0,1.0,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9808673469387754,0.9808673469387754,0.9808673469387754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Date,2024-06-04
Time,71.5522084236145
seed,59
Number of anomalous bags,7
Number of anomalies,112
Rewards bXagX 0,3.0251449431692394e-06,4.766536681046977e-06,2.526449456999852e-06,2.53615974955562e-06,1.5365146532150074e-06,3.6743365918050065e-06,2.048942109422672e-06,1.2151382080243337e-06,3.6586414992064e-06,1.1486089619753835e-06,2.0573540215199753e-06,8.736204113872194e-07,2.569475791930801e-06,2.7594225085963604e-06,2.1192191942247716e-06,1.922315561300339e-06,6.449098577245981e-07,1.4216966611527613e-06,4.737287014649633e-07,1.4953977222052997e-06,1.0554691604338505e-06,2.1376044813402804e-06,6.403627751121179e-07,1.5513805629334683e-06,4.524703428534438e-07,5.913033196940396e-07,1.373987621157447e-06,1.5640912463248674e-06,1.643607394582657e-06,6.030451566539209e-07,1.0939322683622194e-06,1.073531761721414e-06,1.2042291783587176e-06,5.306558459583261e-07,1.8283314448427505e-07,1.1985653823086425e-06,4.3967208731595146e-07,2.250880059052225e-07,6.780218370983606e-07,6.772903389668868e-07,4.4622926409066204e-07,4.203661093287542e-07,7.940578296232353e-07,1.1640906101631126e-07,4.813106753203639e-07,4.594421123143939e-07,5.344415898422891e-07,5.940415562216603e-07,2.7543188168771793e-07,5.066991896470932e-07,1.428741373278624e-07,1.4280171394446088e-07,2.121398707281088e-07,1.7386476268289034e-07,3.6329410474258365e-07,8.3179464070081e-08,3.680960302893556e-07,6.955920872789824e-07,2.699440420422964e-07,3.6266981199464957e-07,1.7372721884694372e-07,6.42309380760627e-07,2.1768386868485941e-07,5.875565162459581e-07,4.0243653719248446e-07,2.664163534139261e-07,8.617668752808744e-08,1.4712674846073492e-07,1.4222671173713413e-07,1.3241740840446687e-07,3.507509954971457e-07,1.8762294189605676e-07,1.846337518906849e-07,1.6264828821700473e-07,1.937548368614315e-07,1.1168658586546482e-07,1.7317726724800463e-07,7.324730783458388e-08,6.172712377288778e-07,1.7131235518939803e-07,2.5322813001301105e-07,2.203895466038918e-08,8.41055006792751e-07,1.4652895680164045e-07,2.317453987480255e-07,1.0459069510060712e-07,4.7655798145406144e-08,1.7732476342573922e-07,3.269383803336752e-07,4.7066166116000844e-07,4.596273983271571e-07,6.367251943113715e-07,1.1647599634978521e-07,1.7377669875959246e-07,5.113136598583022e-08,5.057098917646099e-07,2.5975617610474493e-07,1.8073111078332054e-07,2.8831069753024533e-07,3.6699077100520404e-07
Prob contr bag 0,0.030251449431695727,0.04766536681047502,0.0252644945700013,0.025361597495558996,0.015365146532151765,0.03674336591805411,0.02048942109422898,0.012151382080244676,0.03658641499206803,0.0114860896197551,0.020573540215202017,0.008736204113873157,0.02569475791931084,0.027594225085966644,0.021192191942250048,0.01922315561300551,0.006449098577246691,0.014216966611529179,0.004737287014650155,0.014953977222054644,0.010554691604339668,0.02137604481340516,0.006403627751121885,0.015513805629336392,0.004524703428534936,0.005913033196941047,0.013739876211575984,0.015640912463250396,0.01643607394582838,0.006030451566539872,0.010939322683623399,0.010735317617215322,0.012042291783588501,0.005306558459583845,0.0018283314448429519,0.011985653823087746,0.004396720873159999,0.002250880059052473,0.006780218370984352,0.006772903389669614,0.004462292640907112,0.004203661093288005,0.007940578296233227,0.001164090610163241,0.0048131067532041685,0.004594421123144445,0.0053444158984234805,0.005940415562217257,0.0027543188168774827,0.005066991896471491,0.0014287413732787814,0.001428017139444766,0.0021213987072813217,0.0017386476268290948,0.0036329410474262368,0.0008317946407009016,0.0036809603028939613,0.006955920872790591,0.0026994404204232617,0.003626698119946895,0.0017372721884696286,0.006423093807606977,0.002176838686848834,0.005875565162460228,0.004024365371925288,0.0026641635341395544,0.0008617668752809693,0.0014712674846075113,0.001422267117371498,0.0013241740840448145,0.0035075099549718436,0.0018762294189607744,0.0018463375189070525,0.0016264828821702265,0.0019375483686145283,0.0011168658586547713,0.001731772672480237,0.0007324730783459195,0.006172712377289458,0.001713123551894169,0.0025322813001303892,0.00022038954660391608,0.008410550067928436,0.001465289568016566,0.0023174539874805103,0.0010459069510061864,0.0004765579814541139,0.0017732476342575874,0.0032693838033371124,0.004706616611600603,0.004596273983272077,0.006367251943114416,0.0011647599634979804,0.001737766987596116,0.0005113136598583585,0.005057098917646656,0.0025975617610477356,0.0018073111078334043,0.0028831069753027707,0.0036699077100524444
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14
Rewards bag 1,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,12,12,12,13,13,13,13,13,13,13,13
Rewards bag 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Rewards bag 3,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Rewards bag 4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,11,11,12
Rewards bag 5,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
Rewards bag 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Rewards bag 7,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
Rewards bag 8,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Rewards bag 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
