auc_roc,0.4806349206349206,0.4862515262515262,0.4867887667887667,0.47062271062271066,0.48517704517704513,0.49191697191697187,0.4464468864468864,0.5604395604395604,0.5690354090354091,0.5757753357753357,0.5790964590964591,0.5681074481074482,0.5527228327228327,0.5596581196581196,0.5657631257631257,0.5460317460317461,0.5438339438339439,0.5511599511599512,0.5537973137973138,0.5664957264957264,0.6130402930402931,0.6156776556776556,0.614993894993895,0.6144566544566544,0.6234920634920634,0.6178266178266179,0.6213431013431013,0.6264713064713064,0.6293040293040293,0.6384371184371185,0.6451770451770452,0.6305738705738706,0.6662759462759463,0.6911843711843711,0.6918681318681319,0.6885958485958485,0.6897191697191697,0.6905982905982906,0.6945054945054945,0.697094017094017,0.70007326007326,0.6935775335775335,0.6940170940170941,0.7282051282051283,0.7332844932844932,0.7133089133089133,0.7069108669108669,0.7133089133089133,0.7194627594627595,0.7185836385836385,0.7202930402930403,0.7208791208791208,0.724981684981685,0.7276678876678877,0.7280097680097679,0.7298168498168499,0.7393406593406593,0.7332356532356533,0.7336752136752137,0.7307448107448108,0.7311355311355312,0.7353357753357752,0.7341636141636142,0.7356776556776556,0.7375335775335775,0.739145299145299,0.7318681318681318,0.716092796092796,0.7167765567765567,0.7306471306471306,0.7334798534798534,0.7402197802197802,0.7440781440781441,0.747936507936508,0.7514041514041514,0.7508180708180708,0.7532112332112333,0.7522832722832724,0.7536019536019536,0.7531623931623931,0.7532112332112334,0.7545787545787547,0.7514529914529914,0.746080586080586,0.7480830280830281,0.749108669108669,0.745103785103785,0.7478876678876678,0.7505738705738706,0.7503785103785104,0.7511599511599512,0.7487179487179486,0.7503785103785103,0.7528693528693529,0.7557997557997558,0.752087912087912,0.7576068376068376,0.7569719169719169,0.7572649572649572,0.7565811965811966,0.7587301587301587
auc_pr,0.09259741348429798,0.09356782722028029,0.09834888983925384,0.0935769248720857,0.09562161903237362,0.09665918307477908,0.0874151231728708,0.10633565093938505,0.1085873787935181,0.10919054465546339,0.10928529822181864,0.10611181301480284,0.10318204628145575,0.10635606817487203,0.10735225374231998,0.10272486213269702,0.10067142345036247,0.1019582690822955,0.10240488961826318,0.10448945218872807,0.11891740463831213,0.12014105849561382,0.11951252219181076,0.11967954603447797,0.12179210384553715,0.1206335358689385,0.1234445419787415,0.12693652840058925,0.12883064544742187,0.14320483973599274,0.14560888044296671,0.14348692410435848,0.15441704848977683,0.17193245170013377,0.17241431856679668,0.17148275290451326,0.1716882278431488,0.1732160486569717,0.1742466066135458,0.17585346319578252,0.18156026341421477,0.1749112439755893,0.17321341304382976,0.19392693126332217,0.1954654431215574,0.18472722206033843,0.18070157290132866,0.1859907149836247,0.1853858171426848,0.18877763197903458,0.18964147424581734,0.19038018719618294,0.19539444393458352,0.1963014352643056,0.19652721795882927,0.1970614947431375,0.2023287842854531,0.1944556361878407,0.19526899078733415,0.19070442389527037,0.1917465723725072,0.1994492028810926,0.19843904628939626,0.2030852822409607,0.2011987489523121,0.2021287588202007,0.1936146487385328,0.18242179972531097,0.18257796902094686,0.19883056807841396,0.1945968991976454,0.201926377320147,0.20333948788989537,0.2067226189249873,0.20915002469543087,0.2087830947303633,0.21046058843891996,0.21007479027087914,0.21061256869244657,0.21362456964961013,0.21400433373190017,0.21610464830551931,0.21066057342796243,0.2004785678611016,0.2033368677166687,0.20529130270770068,0.19985914598612592,0.20334554184356168,0.20559713087428705,0.2044596534980988,0.20298549222326928,0.19969111667231818,0.20083022002293788,0.20356450864566647,0.20506334986496766,0.1999021206548392,0.20478336194536184,0.20440455009480005,0.20381565863983334,0.20328439811734939,0.2060966036162381
auc_roc_bag,0.625,0.625,0.6666666666666667,0.6666666666666666,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.7083333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,0.625,0.625,0.625,0.5833333333333334,0.5833333333333334,0.45833333333333337,0.5416666666666667,0.41666666666666663,0.41666666666666663,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.49999999999999994,0.4583333333333333,0.5416666666666667,0.49999999999999994,0.49999999999999994,0.45833333333333337,0.45833333333333337,0.5,0.5416666666666667,0.5,0.5,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.5,0.45833333333333337,0.5,0.5,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.5,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5,0.5,0.5,0.5,0.5,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5416666666666667,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666
auc_pr_bag,0.5827380952380953,0.5827380952380953,0.6244047619047619,0.6357638888888889,0.6494047619047619,0.6494047619047619,0.6494047619047619,0.46190476190476193,0.46190476190476193,0.6494047619047619,0.6494047619047619,0.6494047619047619,0.6244047619047619,0.6077380952380953,0.6077380952380953,0.6077380952380953,0.46190476190476193,0.46190476190476193,0.46190476190476193,0.6494047619047619,0.6357638888888889,0.6357638888888889,0.6357638888888889,0.6357638888888889,0.6244047619047619,0.6244047619047619,0.5827380952380953,0.5827380952380953,0.5827380952380953,0.5598214285714286,0.5598214285714286,0.3404761904761905,0.37797619047619047,0.3308531746031746,0.3308531746031746,0.3516865079365079,0.3516865079365079,0.3516865079365079,0.3516865079365079,0.3516865079365079,0.5391865079365079,0.3516865079365079,0.5518353174603174,0.5391865079365079,0.5391865079365079,0.3414186507936508,0.3414186507936508,0.36433531746031744,0.5518353174603174,0.36433531746031744,0.36433531746031744,0.3516865079365079,0.3516865079365079,0.3516865079365079,0.3516865079365079,0.36433531746031744,0.3414186507936508,0.36433531746031744,0.36433531746031744,0.3516865079365079,0.3516865079365079,0.3516865079365079,0.3516865079365079,0.3308531746031746,0.3308531746031746,0.3308531746031746,0.3308531746031746,0.3308531746031746,0.3308531746031746,0.3933531746031746,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.36433531746031744,0.36433531746031744,0.36433531746031744,0.36433531746031744,0.36433531746031744,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.4060019841269841,0.4232638888888889,0.4232638888888889,0.4232638888888889,0.4232638888888889,0.4232638888888889,0.5482638888888889,0.5482638888888889,0.5482638888888889,0.5482638888888889,0.5482638888888889,0.5482638888888889,0.5482638888888889,0.5482638888888889,0.5482638888888889
Date,2024-06-04
Time,68.85206294059753
seed,5
Number of anomalous bags,4
Number of anomalies,45
Rewards bXagX 0,2.2103458516883077e-06,1.3385684959317853e-06,1.4787928474784268e-06,5.476061596055438e-07,3.6212794344408686e-07,2.0874493500625536e-06,5.310105512454212e-06,6.373945266108106e-07,1.5407168430132261e-06,8.955194849521224e-07,8.50692246207006e-07,1.573461921175876e-06,1.6508597281559466e-06,4.0470712750378913e-07,1.0256486044265278e-06,7.92428553971686e-07,4.0407672129062226e-07,5.659059096055994e-07,1.6751075283114035e-06,4.5035105539136265e-06,7.74042704000252e-07,7.717956902052709e-07,6.002364586677585e-07,7.144432981152418e-07,3.62489233836334e-07,1.986662192184529e-06,3.4082820944632246e-06,1.0061331437438356e-06,3.959986232399745e-06,7.839042148250819e-07,4.870538734276596e-06,3.5762399093151005e-06,2.807813717568487e-06,1.0101221612386431e-07,1.0960677256286836e-06,2.065092483918577e-07,1.135976578855908e-06,5.91665315160772e-07,1.8057847332556663e-07,6.240495067623841e-07,1.1742387793505356e-06,6.944519158777047e-07,1.2964161996542976e-06,6.128737550103777e-07,3.045646959503118e-06,7.510943624719484e-07,7.289486857212306e-07,1.104576252569245e-06,1.449713556985662e-06,4.2672792239413464e-07,3.138583936933922e-07,8.002776570866983e-07,2.0110297353621268e-07,1.429736942283321e-07,1.9985487801944837e-07,1.2475929321950763e-06,1.4316130311811659e-06,1.6698539843754524e-07,4.240616929786852e-07,2.584253320795215e-07,1.3924565409116498e-06,4.0583320705727104e-07,2.810692343777321e-07,9.415461915229909e-07,4.58892838281415e-07,6.022337452079851e-07,7.099069871387629e-07,7.46689625521471e-07,2.127634287373745e-06,8.426515435549599e-07,8.491414233993256e-07,3.941784831846534e-07,3.5198809157377655e-07,3.861064266993829e-07,2.118851577042097e-07,3.975409752669781e-07,3.315444640988097e-07,1.3940408475399818e-06,6.574497945037003e-07,1.0466323303723553e-07,1.8095451065263e-07,7.102989922685364e-07,8.701734155907954e-07,3.6123678861037053e-07,2.547744166832508e-07,7.960716564017784e-07,4.7240775745533574e-07,6.511955857565873e-07,2.634209279868916e-07,5.709148492088504e-07,6.449183584378938e-07,4.073434495606264e-07,4.0843278274451305e-07,3.773331624533727e-07,4.1802537826142143e-07,4.688429187290385e-07,2.594120898819725e-07,4.5596181023267525e-07,1.1513849481050566e-07,3.7408113852797334e-07
Prob contr bag 0,0.02210345851688551,0.013385684959319327,0.014787928474785897,0.005476061596056041,0.0036212794344412675,0.020874493500627835,0.05310105512454797,0.0063739452661088075,0.015407168430133959,0.008955194849522211,0.008506922462070996,0.015734619211760493,0.016508597281561285,0.004047071275038337,0.010256486044266407,0.007924285539717732,0.004040767212906668,0.005659059096056618,0.01675107528311588,0.045035105539141224,0.007740427040003372,0.007717956902053559,0.006002364586678246,0.007144432981153205,0.003624892338363739,0.01986662192184748,0.034082820944636,0.010061331437439463,0.03959986232400181,0.007839042148251683,0.04870538734277133,0.03576239909315494,0.028078137175687964,0.0010101221612387544,0.010960677256288043,0.0020650924839188045,0.01135976578856033,0.005916653151608372,0.0018057847332558653,0.006240495067624528,0.01174238779350665,0.006944519158777812,0.012964161996544403,0.006128737550104452,0.030456469595034535,0.007510943624720311,0.007289486857213109,0.011045762525693666,0.014497135569858217,0.004267279223941816,0.0031385839369342675,0.008002776570867865,0.0020110297353623484,0.0014297369422834785,0.0019985487801947037,0.012475929321952137,0.014316130311813235,0.0016698539843756363,0.004240616929787319,0.0025842533207954994,0.013924565409118031,0.004058332070573157,0.0028106923437776305,0.009415461915230947,0.004588928382814656,0.006022337452080514,0.007099069871388411,0.0074668962552155325,0.021276342873739792,0.008426515435550527,0.008491414233994191,0.003941784831846968,0.0035198809157381532,0.003861064266994254,0.0021188515770423303,0.003975409752670219,0.003315444640988462,0.013940408475401353,0.006574497945037726,0.0010466323303724705,0.0018095451065264993,0.007102989922686146,0.008701734155908912,0.0036123678861041033,0.0025477441668327887,0.007960716564018661,0.004724077574553878,0.0065119558575665905,0.002634209279869206,0.005709148492089132,0.006449183584379648,0.004073434495606713,0.00408432782744558,0.0037733316245341423,0.0041802537826146745,0.004688429187290902,0.0025941208988200107,0.004559618102327255,0.0011513849481051834,0.0037408113852801456
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rewards bag 0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11
Rewards bag 1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Rewards bag 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Rewards bag 3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,8,9,9,9,9,9,9,9,9,9,9,9
Rewards bag 4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10
Rewards bag 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7
Rewards bag 6,0,1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12
Rewards bag 7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9
Rewards bag 8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,5,5,5,5,5,5,6,6,6,6,7,7,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10
Rewards bag 9,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
