auc_roc,0.4096187831355718,0.4300050492299924,0.3912522090381217,0.3843095177985357,0.3731380964402929,0.38778086341832874,0.39327190103509213,0.3952284776571573,0.6539383993940924,0.6491416309012875,0.7103004291845493,0.7484221156273668,0.7393966170159051,0.7193259277960111,0.7149709669275436,0.7197677354203484,0.7178742741731886,0.7228603887907094,0.7252587730371117,0.7264579651603131,0.7238702347891945,0.7215349659176975,0.7256374652865438,0.7265841959101237,0.7261423882857864,0.7180005049229992,0.7152865438020701,0.7111209290583187,0.7207144660439283,0.7173062357990406,0.7157283514264074,0.7103635445594547,0.7191365816712951,0.7198308507952537,0.7104897753092654,0.7126988134309519,0.7132668518050997,0.7134561979298157,0.7152865438020702,0.7181267356728098,0.7203988891694018,0.7222292350416561,0.719704620045443,0.7248169654127745,0.7280358495329463,0.7226710426659935,0.7241858116637213,0.7221661196667508,0.7215349659176975,0.7134561979298156,0.7109946983085079,0.7050618530674072,0.7038626609442059,0.7072708911890937,0.7113102751830347,0.7135824286796264,0.7183791971724313,0.7161701590507448,0.7178742741731885,0.7189472355465791,0.7198308507952538,0.7214718505427923,0.7152234284271648,0.7156652360515021,0.7180005049229993,0.7116258520575612,0.7139611209290584,0.7125094673062358,0.7110578136834133,0.7088487755617269,0.7123832365564251,0.7176849280484726,0.7184423125473365,0.7414163090128756,0.7452663468821005,0.7455188083817218,0.7453925776319111,0.7493688462509467,0.74419338550871,0.74419338550871,0.746339308255491,0.7477278465034083,0.7491163847513255,0.7484852310022722,0.7504418076243372,0.7510098459984852,0.7514516536228225,0.7515147689977278,0.7489270386266095,0.7505049229992427,0.7484852310022722,0.7472229235041656,0.74324665488513,0.7429941933855086,0.7489270386266094,0.7502524614996213,0.7522721534965917,0.7836404948245392,0.7836404948245392,0.7850921484473617,0.7822519565766222
auc_pr,0.06777990754122992,0.07000067624325174,0.06565860655612697,0.06555190954994412,0.06340070280566948,0.06476140630460608,0.06592661592800814,0.06618582258768659,0.1002252273977702,0.09917338089804216,0.11906876575828775,0.1403663443287967,0.1342141211796867,0.12279969033582919,0.12009395244622552,0.1216144960620038,0.12073833349585543,0.1218955515915418,0.12321238816846158,0.12088622590608801,0.11848252983806191,0.11716100671249433,0.11838238573256221,0.11831505546568573,0.11826661103990474,0.11538111017620235,0.11412631030975905,0.11302639109705621,0.11590556992156573,0.11443615105792594,0.1139754827383491,0.1116439021768141,0.11561430828390559,0.11572405493049351,0.1118707393767513,0.11335932967116787,0.11348801226433322,0.11377072184300147,0.11457306138529047,0.11475364995045904,0.11592999869516663,0.1161727417362649,0.11531945195471735,0.11691732275095573,0.1185717403183371,0.1163502639425717,0.11732505226570553,0.11615623851699093,0.1159313738923498,0.11571923471387595,0.11498248873963846,0.11307211343805146,0.11321216081146109,0.11398646608119631,0.11593378530479062,0.11670015540328858,0.11824058707263817,0.11734951143474559,0.11803392129815249,0.11709836377951713,0.11774455496055444,0.11805607076642308,0.11625282482727067,0.11638183034390301,0.11751753836139155,0.11376547328311026,0.11469681424787656,0.11421259409291096,0.11400875001055985,0.11305620153185789,0.11413970314220373,0.11644170760200283,0.11666332055854928,0.12543766353615118,0.1269561238452192,0.12702709618224323,0.12698612535445902,0.12911929349901058,0.12642054852534976,0.12663175499958643,0.12775525802341192,0.12850485354705243,0.1289823436093461,0.12859616550243297,0.12999536600890382,0.13020232281843291,0.1302153660532624,0.13024107267146132,0.12890115259474783,0.13005304623903752,0.12852987382675946,0.1282100627234049,0.12602318992487138,0.12597685246235876,0.1305017634975342,0.13085046926590138,0.13187697282724653,0.1451440248120879,0.1451277138778525,0.14680623502100237,0.14529076188203982
auc_roc_bag,0.3125,0.3125,0.3125,0.375,0.3125,0.3125,0.3125,0.3125,0.25,0.25,0.4375,0.5625,0.625,0.5,0.5,0.5,0.5,0.5,0.5625,0.5625,0.375,0.375,0.375,0.4375,0.4375,0.375,0.375,0.375,0.375,0.4375,0.4375,0.375,0.4375,0.4375,0.3125,0.375,0.375,0.375,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5,0.375,0.3125,0.25,0.4375,0.4375,0.4375,0.375,0.375,0.4375,0.4375,0.4375,0.375,0.375,0.3125,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.4375,0.4375,0.4375,0.4375,0.5,0.4375,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5,0.5625,0.5
auc_pr_bag,0.14027777777777778,0.14027777777777778,0.14027777777777778,0.1611111111111111,0.14027777777777778,0.14027777777777778,0.14027777777777778,0.14027777777777778,0.1284722222222222,0.1284722222222222,0.1701388888888889,0.5868055555555556,0.5982142857142857,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.21180555555555555,0.2232142857142857,0.2232142857142857,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1701388888888889,0.1701388888888889,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1611111111111111,0.1701388888888889,0.1701388888888889,0.1611111111111111,0.1701388888888889,0.1701388888888889,0.13680555555555557,0.14821428571428572,0.14821428571428572,0.14821428571428572,0.18154761904761904,0.16309523809523807,0.16309523809523807,0.16309523809523807,0.16309523809523807,0.16309523809523807,0.18333333333333335,0.18333333333333335,0.14821428571428572,0.13988095238095238,0.13392857142857142,0.1607142857142857,0.1607142857142857,0.1607142857142857,0.14930555555555555,0.14930555555555555,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1611111111111111,0.1611111111111111,0.14027777777777778,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.14930555555555555,0.1607142857142857,0.1607142857142857,0.1607142857142857,0.1607142857142857,0.17559523809523808,0.1607142857142857,0.1607142857142857,0.18154761904761904,0.1607142857142857,0.1607142857142857,0.1607142857142857,0.1607142857142857,0.1607142857142857,0.1607142857142857,0.18154761904761904,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.1701388888888889,0.18154761904761904,0.18154761904761904,0.1964285714285714,0.18154761904761904
Date,2024-05-30
Time,106.62619924545288
seed,2
Number of anomalous bags,2
Number of anomalies,34
Rewards bag 0,1.2030125254713958e-06,2.398675945890502e-06,2.0873327904918293e-06,9.49681759744918e-07,1.2089512254501215e-06,1.4273306310773889e-06,4.3590171243733523e-07,8.610968276408762e-06,1.3127922676972464e-06,5.749942486291484e-06,4.621290827406697e-06,1.804126649830889e-06,2.704457195489169e-06,6.744298209348486e-07,9.414189246930896e-07,9.757333865473826e-07,7.355829568825359e-07,2.2450515530256262e-07,4.3510079263745655e-07,1.4258224378149191e-06,8.683337346911944e-07,7.530750028353101e-07,6.045728520660956e-07,1.3015110639716763e-07,1.1097594517720493e-06,7.488089813813431e-07,6.473520198728339e-07,6.170162778745722e-07,2.0930493877678915e-06,3.4599825709131325e-07,2.3680532859927656e-07,1.1143684151509175e-06,4.934582137690144e-07,1.199498831311219e-06,2.836680071061489e-07,1.3095233500735187e-07,1.456576531935965e-07,2.7168777621745946e-07,9.175817639509391e-07,4.140027051130052e-07,6.286880820638979e-07,2.027212319577513e-07,4.172323288602175e-07,1.6863527728510007e-06,4.833494112975111e-07,1.9017128835580315e-07,2.5275078247631597e-07,3.561812218994334e-08,2.5136311550969586e-06,4.867742473992621e-07,5.699237115497145e-07,4.730132576408054e-07,3.7384141083206195e-07,1.2578486038551804e-06,3.116745659613283e-07,2.631366915461703e-07,1.4782185471466067e-06,3.9606769458184453e-07,6.597391797691458e-07,2.852827029596121e-07,2.723497272080442e-07,4.4433748485155425e-07,3.37008171555017e-07,1.2275908387428237e-07,2.5373259314970817e-07,4.89924050773316e-07,1.0508872537997974e-07,6.167161219998538e-07,2.8089402053397486e-07,1.3008614542668694e-06,7.339529855477333e-07,2.132921172817365e-07,2.7157885516922707e-06,3.006594144804311e-07,3.7274709648148074e-08,7.756307627996742e-08,1.753852536803536e-06,6.496400213891804e-07,1.335915195635015e-06,1.9616022005991703e-07,2.2195500199695096e-07,1.0454605889456212e-07,9.29562495973817e-08,8.574508395824538e-07,3.440941023890262e-07,9.385321415393477e-07,5.316760234849688e-08,4.126232521079703e-07,4.064371812767167e-07,3.824097053490189e-07,1.9300259893249367e-07,4.2997178886698137e-07,9.305069444421566e-08,1.5212553774808405e-06,1.987387519791278e-07,7.365175081886638e-07,2.9920654355949265e-06,6.074538547463153e-07,2.3978832602700915e-07,1.007689053302513e-06
Prob contr bag 0,0.012030125254715283,0.02398675945890766,0.020873327904920594,0.009496817597450226,0.012089512254502546,0.01427330631077546,0.004359017124373832,0.0861096827640971,0.01312792267697391,0.05749942486292117,0.04621290827407206,0.018041266498310875,0.02704457195489467,0.006744298209349229,0.009414189246931933,0.0097573338654749,0.00735582956882617,0.0022450515530258734,0.004351007926375045,0.01425822437815076,0.0086833373469129,0.00753075002835393,0.006045728520661622,0.0013015110639718196,0.011097594517721715,0.007488089813814256,0.006473520198729052,0.0061701627787464014,0.02093049387768122,0.003459982570913514,0.0023680532859930263,0.011143684151510402,0.004934582137690687,0.01199498831311351,0.0028366800710618017,0.001309523350073663,0.0014565765319361254,0.002716877762174894,0.009175817639510402,0.004140027051130508,0.006286880820639672,0.0020272123195777363,0.004172323288602634,0.016863527728511865,0.004833494112975643,0.001901712883558241,0.002527507824763438,0.00035618122189947266,0.025136311550972353,0.004867742473993157,0.005699237115497773,0.004730132576408575,0.003738414108321031,0.01257848603855319,0.0031167456596136265,0.002631366915461993,0.014782185471467695,0.003960676945818881,0.006597391797692184,0.002852827029596435,0.002723497272080742,0.004443374848516032,0.003370081715550541,0.001227590838742959,0.002537325931497361,0.0048992405077337,0.001050887253799913,0.006167161219999217,0.0028089402053400577,0.013008614542670128,0.0073395298554781415,0.0021329211728176,0.027157885516925696,0.003006594144804642,0.0003727470964815218,0.0007756307627997596,0.01753852536803729,0.006496400213892519,0.01335915195635162,0.0019616022005993863,0.002219550019969754,0.0010454605889457364,0.0009295624959739195,0.008574508395825482,0.003440941023890641,0.00938532141539451,0.0005316760234850273,0.004126232521080158,0.004064371812767614,0.00382409705349061,0.0019300259893251493,0.004299717888670287,0.0009305069444422591,0.015212553774810079,0.001987387519791497,0.007365175081887449,0.02992065435595256,0.0060745385474638225,0.0023978832602703556,0.010076890533026241
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
