auc_roc,0.573418516966904,0.5583717357910907,0.5481776288227901,0.5590001396453009,0.5790741516547968,0.5804007820136853,0.5564865242284598,0.5792487082809663,0.5746055020248568,0.5824256388772517,0.5625261834939255,0.5820416142996788,0.5685309314341572,0.5647605083088953,0.5810640971931295,0.6119606200251361,0.6168132942326491,0.6043848624493786,0.6160452450775031,0.5906647116324536,0.5996020108923334,0.6149280826700182,0.6033375226923613,0.5882558301913141,0.6152771959223572,0.5780966345482474,0.6095517385839966,0.6118907973746683,0.5978564446306383,0.587522692361402,0.6014173998044965,0.60609551738584,0.6020807149839408,0.6247032537355117,0.6125541125541125,0.6170576735092864,0.6095168272587627,0.613461807010194,0.6152422845971233,0.5991132523390588,0.5889889680212261,0.6016617790811339,0.6005795279988828,0.5973676860773636,0.6083647535260439,0.6203044267560396,0.5999162128194386,0.595691942466136,0.5984848484848486,0.5975422427035331,0.6117511520737327,0.627950006982265,0.6254713028906578,0.6377950006982265,0.6340594888981985,0.6388423404552437,0.6365731043150398,0.6302192431224689,0.6075967043708979,0.6210026532607178,0.6260298840944002,0.6099357631615696,0.6233068007261555,0.6198156682027649,0.619082530372853,0.627216869152353,0.6308127356514454,0.6322091886608016,0.6272866918028208,0.6219103477167993,0.6215263231392264,0.6199204021784667,0.6291719033654517,0.6299399525205978,0.6295210166177908,0.6488968021226086,0.6523181119955314,0.6488968021226086,0.6416003351487223,0.653574919703952,0.652073732718894,0.6437299259879905,0.6646418098031002,0.7090490155006284,0.7115277195922357,0.7199413489736071,0.7120863007959781,0.7182306940371457,0.7101661779081134,0.7133780198296327,0.7163803937997486,0.711073872364195,0.7356165340036308,0.7253875157100964,0.7250034911325235,0.7195224130708002,0.7269236140203882,0.7292975841362939,0.7643834659963692,0.7634059488898198,0.7588674766094121
auc_pr,0.15860262115611842,0.14902655113396315,0.14319470607591706,0.146888822367999,0.16092137300126438,0.17327923652251995,0.1502281712736604,0.1695724612252233,0.15925761491565257,0.16401348349969075,0.15657320518531054,0.16078643144420302,0.1549612284936342,0.15374745523360728,0.16559445790157457,0.1818976628505595,0.17730058620363584,0.18499963825033777,0.18276903640805894,0.18284118367618987,0.17733352552168352,0.19513466268473165,0.18673473355697054,0.17741055508902143,0.18344150943288384,0.17450092385589067,0.18523444385090287,0.1935905898856706,0.18012607938560654,0.1745462419735848,0.1792001001527239,0.18945318031321753,0.18606224988982864,0.1795804500542219,0.1783465017987244,0.17623644960695833,0.17874958394799706,0.17577951768549216,0.18585140650925774,0.17045008122726502,0.16817417932146211,0.17105566586813076,0.17390092264518664,0.17369013625533164,0.17650265735359794,0.18295281647241407,0.1733426493330788,0.18443523992810376,0.17281150217720154,0.17225171858413696,0.19133255739044458,0.1977475455354239,0.19621136782955384,0.20120494493933364,0.202167780144755,0.19649103495926615,0.19617519774420195,0.2009518006912917,0.19419071460883755,0.21691978950704638,0.2208718039538885,0.21375795011688306,0.21470570615978685,0.23032160641554983,0.22667322204185958,0.22062063022851525,0.21717580504165845,0.23490111154114873,0.23318637379977325,0.22433596811459627,0.22967290083788733,0.2340779549876627,0.2452677603916796,0.23226133158360862,0.2228609514534847,0.2592988983247748,0.2620188463506545,0.25180373053680305,0.2605792014958531,0.2585587481462128,0.27249063580575245,0.2686791140361636,0.26894259752781724,0.2928471299435333,0.28974681768493266,0.3086077874876573,0.30401263103478343,0.29802652496541965,0.293783180225951,0.2974014410946203,0.30011928415227973,0.2915559990335337,0.3071164564681032,0.29901411778503295,0.29792686817568953,0.2916263908997151,0.3225543656146057,0.3208362056734186,0.33581846909887453,0.33997340456833325,0.3605263182571819
auc_roc_bag,0.3333333333333333,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.3333333333333333,0.1904761904761905,0.3333333333333333,0.2857142857142857,0.38095238095238093,0.2857142857142857,0.23809523809523814,0.23809523809523808,0.1904761904761905,0.3333333333333333,0.38095238095238093,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.4761904761904762,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.3333333333333333,0.47619047619047616,0.5714285714285714,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.42857142857142855,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4761904761904762,0.38095238095238093,0.47619047619047616,0.47619047619047616,0.2857142857142857,0.38095238095238093,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.4285714285714286,0.5714285714285714,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6190476190476191,0.5714285714285714,0.7142857142857142,0.7142857142857142,0.6666666666666666,0.7142857142857142,0.7142857142857142,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
auc_pr_bag,0.21884920634920635,0.22718253968253968,0.21884920634920635,0.21884920634920635,0.22718253968253968,0.21884920634920635,0.19047619047619047,0.21884920634920635,0.2132936507936508,0.22718253968253968,0.2132936507936508,0.196031746031746,0.2003968253968254,0.19047619047619047,0.21884920634920635,0.22718253968253968,0.21884920634920635,0.21884920634920635,0.2132936507936508,0.2132936507936508,0.21884920634920635,0.21884920634920635,0.21884920634920635,0.22718253968253968,0.22718253968253968,0.21884920634920635,0.24067460317460315,0.22718253968253968,0.2575396825396825,0.21884920634920635,0.24067460317460315,0.276984126984127,0.21884920634920635,0.26011904761904764,0.30456349206349204,0.26011904761904764,0.276984126984127,0.276984126984127,0.26011904761904764,0.24067460317460315,0.22718253968253968,0.24067460317460315,0.24067460317460315,0.24067460317460315,0.2575396825396825,0.22718253968253968,0.25456349206349205,0.25456349206349205,0.2132936507936508,0.22718253968253968,0.27142857142857146,0.276984126984127,0.30000000000000004,0.2492063492063492,0.30000000000000004,0.276984126984127,0.276984126984127,0.276984126984127,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3138888888888889,0.30000000000000004,0.3138888888888889,0.3138888888888889,0.3138888888888889,0.276984126984127,0.3138888888888889,0.3138888888888889,0.3138888888888889,0.3138888888888889,0.2908730158730159,0.34444444444444444,0.3138888888888889,0.30000000000000004,0.3722222222222222,0.3722222222222222,0.34444444444444444,0.3722222222222222,0.3722222222222222,0.4611111111111111,0.4611111111111111,0.4611111111111111,0.42777777777777776,0.42777777777777776,0.42777777777777776,0.4611111111111111,0.42777777777777776,0.42777777777777776,0.42777777777777776,0.4611111111111111,0.4047619047619047,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777
Date,2024-06-02
Time,69.40877985954285
seed,17
Number of anomalous bags,3
Number of anomalies,66
Rewards bag 0,7.017171931546833e-06,4.878305392303015e-06,3.946778230720291e-06,4.544350509434165e-06,4.00781603828184e-06,3.892098200296546e-06,3.956373776749866e-06,3.930909338383635e-06,4.206215643082756e-06,4.3172242346210805e-06,3.2690224608950387e-06,3.648384608283397e-06,3.466332083074464e-06,5.9270645260842466e-06,3.1951666590479994e-06,3.7084041838448776e-06,2.9490014814396883e-06,2.3185336485322323e-06,3.3640283754828562e-06,3.604107492739761e-06,3.150207172554781e-06,2.8931822419443028e-06,2.2653558328452574e-06,2.7603365804825273e-06,2.9113456910028103e-06,3.3064670195958046e-06,3.1893902281231044e-06,3.08890257759962e-06,2.9000272943142665e-06,2.9190506286040346e-06,2.538435908599982e-06,3.890161288209887e-06,5.167380378788884e-06,3.111083197625179e-06,2.4776826446153065e-06,2.670848126469562e-06,2.1668947409403242e-06,3.158070824150481e-06,2.0483715951986527e-06,1.8716235765838037e-06,2.155452970785785e-06,2.608936499677057e-06,1.9677485094299822e-06,2.189054724533627e-06,3.0120789953013774e-06,2.782461252437744e-06,1.338601800002594e-06,1.6075155151311433e-06,2.097925265206047e-06,4.115715127359896e-06,4.360813357923794e-06,1.5036048340073963e-06,2.28685722533699e-06,2.1063296980134822e-06,2.088966037901526e-06,1.7792150950249592e-06,1.741826336707715e-06,2.442791339664273e-06,1.4069751130569433e-06,1.379543028896108e-06,1.5738874098853608e-06,1.5944878900611774e-06,1.7084315204079332e-06,1.7649793842181868e-06,1.3917098980298192e-06,1.8042399696166737e-06,1.8658097306551803e-06,1.360455916534469e-06,1.79012711998333e-06,2.0234188349095235e-06,1.4698197230292825e-06,1.6864618367397678e-06,1.765414941418145e-06,1.2803709063475776e-06,2.0005123307319498e-06,1.4744925309781007e-06,1.931824458392842e-06,1.8320623705180317e-06,1.657439452260278e-06,1.7773642378833752e-06,1.6344445222332836e-06,2.0647749679321933e-06,3.995396507679654e-06,1.4571826344601169e-06,1.7971315018565737e-06,1.5702587049856382e-06,1.6376737414187739e-06,1.2083026708593883e-06,1.2157217462810194e-06,1.7997347625889052e-06,1.8910662263773486e-06,4.209568799179279e-06,1.4153476417107684e-06,1.350946531633198e-06,1.3902908353311524e-06,2.0067083799243728e-06,9.647775336486398e-07,2.523199471442422e-06,1.0383373465786434e-06,1.9941446086709053e-06
Prob contr bag 0,0.07017171931547606,0.04878305392303552,0.03946778230720725,0.04544350509434666,0.04007816038282282,0.03892098200296975,0.039563737767503014,0.039309093383840685,0.04206215643083219,0.04317224234621556,0.03269022460895399,0.03648384608283799,0.03466332083074846,0.05927064526084899,0.03195166659048351,0.03708404183845286,0.02949001481440013,0.023185336485324875,0.033640283754832266,0.03604107492740158,0.03150207172555128,0.028931822419446213,0.02265355832845507,0.027603365804828313,0.02911345691003131,0.03306467019596169,0.03189390228123456,0.030889025775999602,0.02900027294314586,0.029190506286043562,0.025384359086002617,0.038901612882103156,0.051673803787894525,0.031110831976255218,0.024776826446155795,0.02670848126469856,0.02166894740940563,0.031580708241508285,0.020483715951988783,0.018716235765840097,0.021554529707860225,0.026089364996773442,0.01967748509430199,0.02189054724533868,0.03012078995301709,0.027824612524380506,0.013386018000027413,0.016075155151313202,0.02097925265206278,0.04115715127360349,0.043608133579242744,0.015036048340075618,0.02286857225337242,0.02106329698013714,0.02088966037901756,0.01779215095025155,0.01741826336707907,0.02442791339664542,0.014069751130570983,0.0137954302889626,0.01573887409885534,0.01594487890061353,0.017084315204081213,0.017649793842183813,0.013917098980299724,0.018042399696168724,0.018658097306553857,0.013604559165346189,0.01790127119983527,0.020234188349097463,0.014698197230294445,0.016864618367399536,0.017654149414183393,0.012803709063477185,0.020005123307321702,0.01474492530978263,0.019318244583930545,0.018320623705182334,0.016574394522604605,0.01777364237883571,0.016344445222334636,0.020647749679324208,0.03995396507680094,0.014571826344602775,0.017971315018567715,0.01570258704985811,0.016376737414189543,0.012083026708595214,0.012157217462811534,0.017997347625891034,0.01891066226377557,0.04209568799179743,0.014153476417109243,0.013509465316333468,0.013902908353313054,0.020067083799245936,0.00964777533648746,0.025231994714426997,0.010383373465787578,0.01994144608671125
Align contr bag 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_clusters,10
instance_per_bag,50
n_bags,10
bag_contfactor,0.3
